acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.50,-2.70,-9.14,2.21,-2.31,0.89
4.43,-3.03,-9.68,3.44,-2.16,-0.09
3.03,-4.69,-12.15,4.37,-2.18,-1.19
-0.15,-5.28,-15.34,4.37,-2.12,-2.16
-3.11,-3.12,-19.61,4.37,-2.04,-2.85
-5.35,1.37,-19.61,4.37,-1.38,-2.93
-5.00,6.12,-19.61,4.37,-0.17,-2.91
-4.24,7.94,-19.61,4.37,0.82,-3.11
-5.22,3.93,-19.61,4.37,1.81,-3.73
-6.86,-4.07,-19.61,4.37,2.46,-4.37
-10.91,-8.57,-19.61,4.37,3.39,-4.37
-16.26,-11.56,-19.61,4.37,3.92,-4.37
-19.61,-14.77,-19.61,4.37,3.44,-4.37
-19.61,-17.35,-19.61,4.37,3.17,-4.37
-19.61,-13.33,-19.61,4.37,3.70,-4.37
-19.61,-8.50,-19.61,4.37,4.37,-4.37
-19.61,-5.71,-19.61,4.37,4.37,-4.37
-19.61,-3.69,-19.61,2.40,4.37,-4.37
-19.61,-1.53,-19.61,-0.34,4.37,-4.37
-19.61,0.21,-19.61,-2.76,4.37,-4.37
-19.61,0.07,-19.61,-4.37,3.62,-4.37
-19.61,-0.54,-19.61,-4.37,2.86,-4.37
-19.61,-3.59,-19.61,-4.37,4.15,-4.37
-19.61,-9.31,-19.27,-4.37,4.37,-4.37
-19.61,-11.73,-15.87,-4.37,4.37,-3.92
-19.61,-15.00,-11.66,-4.37,4.37,-3.05
-19.61,-15.31,-10.87,-2.74,4.37,-2.70
-19.61,-11.20,-9.87,-1.36,4.37,-2.33
-19.61,-6.02,-8.93,-0.51,4.37,-2.29
-19.61,-1.94,-9.77,-0.37,4.37,-2.36
-19.61,0.48,-9.46,-0.71,4.37,-2.37
-18.79,0.70,-7.55,-1.30,4.37,-2.09
-16.13,0.53,-7.24,-1.80,4.32,-1.72
-12.90,0.29,-5.86,-2.24,3.73,-1.25
-9.63,-0.09,-4.26,-2.52,3.49,-1.08
-4.89,-0.29,-8.50,-2.63,3.43,-1.14
-9.66,-1.71,-0.82,-2.68,3.16,-0.94
-3.00,-1.77,-0.24,-2.19,2.22,-0.81
-7.70,1.16,3.48,-2.22,3.59,-0.83
-1.74,-0.74,-3.07,-1.88,3.13,-0.04
-1.26,-0.37,0.59,-1.69,2.48,-0.78
-3.53,0.48,0.57,-1.32,2.22,-0.66
-2.87,0.90,1.50,-0.94,2.07,-0.55
-1.21,1.50,1.68,-0.56,1.56,-0.76
-1.19,2.64,-0.73,-0.37,1.11,-0.99
-1.30,1.98,-0.11,-0.19,0.85,-0.82
-0.92,2.12,-0.34,-0.09,0.72,-0.77
-1.45,1.92,-0.93,-0.10,0.45,-0.55
-0.22,1.99,-1.04,-0.19,0.16,-0.26
0.61,1.80,-0.96,-0.25,-0.03,-0.18
1.51,1.51,-1.19,-0.26,-0.16,-0.10
0.99,0.96,-1.33,-0.34,-0.37,-0.10
1.27,0.82,-1.81,-0.35,-0.51,0.14
1.17,0.85,-2.42,-0.35,-0.81,0.08
0.88,0.59,-2.73,-0.26,-1.11,0.04
0.82,0.60,-3.06,-0.16,-1.48,-0.02
0.99,0.76,-3.01,-0.10,-1.87,-0.12
1.48,1.73,-3.11,-0.17,-2.05,-0.06
2.06,2.02,-3.68,-0.34,-2.22,-0.15
1.59,2.04,-4.34,-0.54,-2.45,-0.24
1.05,2.06,-4.88,-0.76,-2.72,-0.38
0.40,1.83,-5.27,-0.90,-3.03,-0.51
-0.01,1.61,-6.29,-0.97,-3.37,-0.62
-0.02,1.53,-6.83,-0.98,-3.76,-0.81
0.27,1.81,-7.53,-0.97,-4.02,-0.98
0.85,1.90,-8.01,-0.97,-4.23,-1.14
0.86,1.58,-7.42,-0.86,-4.29,-1.24
1.16,1.05,-7.47,-0.60,-4.20,-1.36
-0.74,1.13,-8.61,-0.29,-4.11,-1.25
-0.62,1.38,-8.62,-0.02,-3.93,-1.16
0.94,2.37,-11.08,0.15,-3.77,-1.18
-1.61,3.39,-11.34,0.17,-3.68,-1.18
-1.18,3.84,-12.11,0.06,-3.69,-1.33
-0.86,4.66,-11.67,-0.03,-3.66,-1.49
-0.58,5.13,-10.60,-0.23,-3.69,-1.72
-1.36,5.30,-9.81,-0.37,-3.58,-1.96
-2.74,5.61,-10.10,-0.57,-3.52,-2.10
-3.55,5.65,-11.32,-0.78,-3.68,-2.23
-4.10,5.16,-11.99,-0.82,-4.03,-2.57
-5.37,3.85,-12.29,-0.52,-4.37,-2.94
-5.93,2.83,-12.45,0.07,-4.37,-3.05
-4.85,3.47,-12.80,0.56,-4.34,-2.89
-3.64,4.78,-12.08,0.80,-3.73,-2.51
-2.77,5.41,-11.01,0.96,-2.88,-2.11
-3.77,5.23,-9.90,1.05,-2.17,-1.69
-4.85,5.07,-9.65,1.17,-1.60,-1.31
-6.19,4.37,-9.94,1.27,-1.44,-0.99
-7.89,4.34,-10.45,1.31,-1.66,-0.88
-8.26,4.79,-11.49,1.28,-2.05,-0.93
-8.05,5.26,-12.60,1.03,-2.48,-1.11
-7.88,5.87,-13.55,0.49,-2.97,-1.20
-7.66,5.33,-12.39,-0.14,-3.27,-1.09
-5.70,6.17,-12.33,-0.91,-3.37,-0.94
-4.29,5.15,-10.96,-1.51,-3.28,-0.86
-4.05,5.05,-10.31,-2.06,-3.18,-0.84
-4.47,4.08,-9.46,-2.29,-3.09,-0.88
-4.75,3.94,-8.93,-2.42,-3.12,-1.06
-4.78,3.89,-8.72,-2.47,-3.12,-1.26
-5.19,3.76,-8.18,-2.52,-3.01,-1.44
-5.45,3.86,-8.38,-2.60,-2.99,-1.60
-5.97,3.66,-8.15,-2.65,-2.84,-1.68
-5.79,3.62,-8.14,-2.63,-2.71,-1.72
-5.97,3.35,-7.47,-2.59,-2.52,-1.73
-6.61,3.11,-7.10,-2.44,-2.32,-1.73
-7.12,2.78,-6.78,-2.19,-2.12,-1.71
-7.52,2.64,-6.59,-1.85,-1.90,-1.72
-7.98,2.46,-6.18,-1.47,-1.70,-1.68
-8.06,2.39,-6.04,-1.08,-1.47,-1.61
-8.12,2.51,-5.84,-0.70,-1.22,-1.55
-8.52,2.48,-6.03,-0.37,-1.01,-1.48
-8.95,2.38,-6.22,-0.12,-0.87,-1.36
-9.11,2.36,-6.11,0.08,-0.77,-1.21
-8.67,2.37,-7.51,0.25,-0.66,-1.12
-9.54,2.38,-6.66,0.32,-0.66,-0.90
-8.90,2.53,-6.17,0.33,-0.62,-0.82
-9.09,2.87,-6.15,0.30,-0.59,-0.84
-8.67,2.82,-6.07,0.21,-0.53,-0.81
-8.51,2.96,-5.81,0.12,-0.44,-0.82
-8.05,3.14,-5.30,0.06,-0.32,-0.83
-7.91,2.73,-5.05,0.02,-0.22,-0.83
-8.17,2.75,-4.97,0.04,-0.11,-0.82
-8.43,2.68,-4.79,0.08,-0.02,-0.75
-8.41,2.49,-4.84,0.19,0.10,-0.60
-8.72,2.54,-4.69,0.26,0.16,-0.48
-9.09,2.40,-4.76,0.31,0.22,-0.31
-9.17,2.27,-4.61,0.31,0.24,-0.16
-9.30,2.29,-4.39,0.31,0.29,-0.01
-9.60,2.75,-4.94,0.26,0.22,-0.03
-10.18,3.03,-4.64,0.18,0.10,0.03
-10.25,2.95,-4.46,0.04,-0.08,0.08
-10.01,3.32,-4.07,-0.12,-0.25,0.06
-10.07,3.26,-3.91,-0.27,-0.42,0.09
-9.38,3.26,-3.76,-0.40,-0.55,0.07
-9.18,3.11,-3.73,-0.50,-0.62,0.03
-8.95,2.80,-3.65,-0.62,-0.65,0.02
-8.77,2.06,-3.29,-0.71,-0.61,0.04
-8.48,2.21,-3.62,-0.80,-0.46,0.04
-8.14,1.62,-3.51,-0.84,-0.30,0.04
-8.22,1.28,-3.64,-0.86,-0.16,-0.02
-8.39,1.05,-3.59,-0.86,-0.01,-0.05
-8.36,0.92,-3.51,-0.85,0.12,-0.10
-8.29,0.82,-3.45,-0.86,0.23,-0.13
-8.44,0.98,-3.44,-0.91,0.30,-0.18
-8.65,1.12,-3.30,-0.98,0.30,-0.24
-8.90,1.15,-3.21,-1.06,0.27,-0.27
-9.01,1.28,-2.83,-1.18,0.20,-0.31
-9.02,1.29,-2.58,-1.28,0.16,-0.32
-9.40,1.08,-2.43,-1.38,0.08,-0.32
-9.67,0.85,-2.35,-1.39,0.01,-0.29
-9.83,0.65,-2.47,-1.37,-0.09,-0.27
-9.86,0.56,-2.47,-1.30,-0.16,-0.24
-9.69,0.31,-2.27,-1.15,-0.17,-0.20
-9.47,-0.03,-2.00,-0.91,-0.14,-0.13
-9.64,-0.04,-1.75,-0.61,-0.07,-0.07
-9.28,0.10,-1.80,-0.34,-0.01,-0.02
-8.99,0.51,-2.07,-0.03,0.07,0.02
-8.88,0.66,-2.23,0.25,0.12,0.04
-9.00,0.95,-2.66,0.45,0.14,0.09
-9.07,1.06,-2.84,0.59,0.12,0.14
-8.81,1.34,-3.11,0.65,0.07,0.17
-8.71,1.51,-3.29,0.62,0.00,0.17
-8.41,1.74,-3.28,0.53,-0.00,0.17
-8.12,1.98,-3.32,0.36,0.03,0.13
-8.04,2.14,-3.22,0.17,0.07,0.07
-8.26,1.84,-3.39,-0.04,0.09,0.05
-8.65,1.45,-3.52,-0.19,0.03,-0.02
-8.22,1.37,-3.51,-0.33,0.04,0.06
-8.28,1.55,-3.63,-0.47,-0.01,-0.01
-8.57,1.32,-3.13,-0.57,-0.02,-0.09
-8.40,1.37,-3.59,-0.64,-0.05,-0.16
-8.94,1.51,-3.21,-0.66,-0.07,-0.19
-8.74,1.72,-3.17,-0.64,-0.08,-0.18
-8.99,1.71,-2.77,-0.59,-0.12,-0.19
-9.15,1.76,-2.49,-0.49,-0.11,-0.11
-8.94,1.79,-2.09,-0.37,-0.10,-0.00
-8.73,1.93,-2.03,-0.21,-0.05,0.07
-8.60,1.97,-2.04,-0.07,-0.01,0.11
-8.51,2.00,-2.05,0.04,0.04,0.15
-8.51,2.00,-2.32,0.09,0.07,0.15
-8.80,1.85,-2.03,0.10,0.09,0.13
