acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-12.91,-2.87,-19.61,-2.99,3.64,-4.37
-14.17,-3.53,-19.61,-2.42,4.35,-4.37
-16.27,-3.29,-19.61,-1.73,4.37,-4.25
-18.64,-3.49,-19.61,-1.00,4.37,-3.93
-19.04,-2.38,-19.61,-0.39,4.37,-3.59
-19.40,-0.30,-19.61,0.01,4.37,-3.37
-19.61,0.92,-18.46,0.39,4.37,-3.40
-19.61,2.46,-17.24,0.36,4.37,-3.55
-19.61,3.74,-17.87,0.59,4.37,-3.85
-19.61,3.90,-16.59,0.90,4.37,-4.17
-19.61,4.23,-16.81,1.27,4.37,-4.24
-19.61,4.04,-15.45,1.56,4.37,-4.18
-19.61,4.24,-16.96,1.39,4.37,-3.62
-19.61,4.08,-16.22,0.94,4.37,-3.06
-19.61,3.48,-16.89,0.16,4.37,-2.42
-19.61,2.91,-15.05,-0.53,4.37,-1.84
-19.61,3.15,-13.17,-0.90,4.37,-1.52
-19.61,2.75,-11.69,-1.14,4.37,-1.41
-19.61,1.83,-10.75,-1.29,4.37,-1.40
-18.83,0.93,-10.04,-1.41,4.37,-1.34
-17.77,0.30,-9.14,-1.56,4.37,-1.21
-16.72,-0.40,-7.79,-1.58,4.37,-1.05
-16.01,-0.75,-7.02,-1.58,4.37,-0.89
-14.10,-0.89,-7.12,-1.46,4.37,-0.81
-13.44,-1.02,-6.48,-1.35,4.31,-0.84
-12.63,-1.44,-6.31,-1.29,4.01,-0.80
-11.43,-0.85,-5.83,-1.29,3.76,-0.79
-10.38,-0.40,-5.27,-1.30,3.58,-0.79
-9.26,0.23,-4.71,-1.36,3.47,-0.90
-8.26,0.62,-4.89,-1.40,3.35,-1.04
-7.54,0.69,-4.65,-1.50,3.11,-1.20
-6.89,0.47,-4.63,-1.63,2.87,-1.28
-7.31,-0.60,-4.33,-1.69,2.66,-1.19
-4.76,0.76,-5.58,-1.83,2.38,-1.08
-6.22,-1.23,-4.28,-1.70,2.18,-0.79
-5.01,-0.39,-2.71,-1.62,2.00,-0.57
-4.36,0.26,-3.14,-1.52,1.89,-0.38
-3.35,0.53,-2.45,-1.45,1.73,-0.28
-2.75,1.05,-2.74,-1.37,1.55,-0.24
-2.78,1.00,-2.85,-1.26,1.29,-0.29
-2.84,0.77,-3.65,-1.11,0.96,-0.29
-2.43,0.90,-4.17,-0.95,0.66,-0.30
-2.36,1.19,-4.07,-0.81,0.39,-0.33
-1.98,1.23,-4.26,-0.72,0.28,-0.34
-1.61,1.48,-4.34,-0.69,0.21,-0.25
-1.20,2.11,-4.31,-0.72,0.20,-0.16
-1.02,2.69,-4.40,-0.82,0.19,-0.08
-1.01,3.02,-4.66,-0.94,0.16,-0.02
-1.13,2.81,-5.16,-1.07,0.02,0.03
-1.00,2.89,-4.87,-1.11,-0.23,-0.04
-0.93,2.81,-4.16,-0.99,-0.48,-0.20
-1.00,2.69,-3.98,-0.76,-0.68,-0.39
-1.47,2.44,-3.91,-0.47,-0.84,-0.49
-1.37,2.12,-4.15,-0.18,-0.97,-0.47
-0.40,2.58,-4.64,0.03,-1.06,-0.50
-1.50,2.48,-4.49,0.15,-0.97,-0.57
-0.54,2.81,-5.68,0.32,-1.13,-0.37
-0.48,2.32,-5.17,0.29,-1.09,-0.31
-0.06,3.61,-6.69,0.12,-1.10,-0.21
-0.00,3.85,-6.50,-0.04,-1.14,-0.13
0.25,4.00,-6.62,-0.23,-1.13,-0.16
-0.13,3.55,-6.86,-0.39,-1.15,-0.19
-0.20,3.31,-7.17,-0.52,-1.26,-0.26
-0.17,3.52,-6.99,-0.57,-1.41,-0.34
-0.46,3.28,-6.99,-0.55,-1.57,-0.47
-0.66,2.94,-7.65,-0.47,-1.75,-0.56
-0.60,2.77,-8.23,-0.47,-2.02,-0.57
0.30,3.13,-8.28,-0.51,-2.11,-0.60
-0.55,3.85,-8.29,-0.41,-2.25,-0.60
0.05,3.78,-7.64,-0.34,-2.20,-0.54
0.25,4.56,-8.21,-0.26,-2.34,-0.66
0.06,4.76,-8.27,-0.00,-2.32,-0.77
-0.68,4.70,-9.26,0.32,-2.39,-0.74
-0.81,3.95,-9.71,0.62,-2.44,-0.55
-2.07,3.20,-9.63,0.92,-2.58,-0.23
-1.84,3.09,-12.26,1.21,-2.69,0.19
2.65,2.94,-9.50,1.33,-2.57,0.28
0.44,4.09,-10.84,1.49,-2.27,0.20
-1.82,5.41,-15.31,1.38,-2.57,0.53
-1.28,4.96,-13.06,0.72,-2.83,0.78
-0.15,5.35,-11.40,0.25,-2.47,1.03
0.33,4.82,-11.98,0.08,-2.38,0.79
-0.09,3.86,-12.23,0.05,-2.43,0.50
-0.15,2.93,-12.17,0.10,-2.62,0.26
-0.15,2.43,-10.93,0.08,-2.67,0.11
0.57,3.07,-11.09,0.09,-2.65,0.09
0.53,3.29,-10.62,0.09,-2.42,0.05
-0.06,3.73,-11.02,0.06,-2.31,-0.04
-0.80,3.42,-11.09,0.13,-2.26,-0.14
-1.51,3.39,-12.19,0.23,-2.33,-0.22
-2.41,2.77,-12.55,0.37,-2.48,-0.18
-1.95,2.87,-12.78,0.44,-2.54,-0.07
-1.22,3.32,-12.81,0.43,-2.51,-0.01
-0.90,3.85,-12.46,0.36,-2.31,0.01
-0.68,4.24,-12.09,0.26,-2.04,-0.04
-0.96,4.15,-11.49,0.20,-1.79,-0.16
-1.62,4.05,-11.59,0.11,-1.68,-0.27
-2.39,3.91,-12.18,0.14,-1.72,-0.39
-3.23,3.55,-12.93,0.23,-1.82,-0.45
-3.14,3.43,-12.82,0.29,-1.89,-0.43
-2.90,3.22,-12.42,0.35,-1.79,-0.33
-2.88,3.09,-12.15,0.37,-1.60,-0.25
-3.04,3.00,-11.73,0.40,-1.39,-0.17
-2.87,2.95,-11.15,0.44,-1.22,-0.16
-2.94,3.19,-10.80,0.49,-1.12,-0.20
-3.32,3.21,-10.25,0.54,-1.05,-0.27
-3.60,3.34,-9.57,0.60,-1.00,-0.33
-3.81,3.30,-9.07,0.66,-0.97,-0.38
-4.17,3.02,-8.69,0.68,-0.95,-0.40
-4.58,2.92,-8.91,0.63,-1.00,-0.36
-4.77,2.96,-8.73,0.52,-1.08,-0.30
-4.64,3.13,-8.28,0.40,-1.14,-0.26
-4.61,3.45,-7.81,0.24,-1.18,-0.26
-4.78,3.76,-7.40,0.07,-1.22,-0.30
-5.16,3.84,-7.12,-0.07,-1.24,-0.33
-5.59,3.80,-6.82,-0.18,-1.22,-0.39
-5.79,3.52,-6.65,-0.20,-1.24,-0.49
-6.12,3.27,-6.97,-0.14,-1.34,-0.60
-6.51,2.96,-7.45,-0.12,-1.51,-0.65
-6.67,2.78,-7.56,-0.14,-1.65,-0.61
-6.49,2.71,-7.35,-0.16,-1.75,-0.52
-6.67,2.87,-7.28,-0.26,-1.82,-0.49
-6.50,3.15,-7.43,-0.29,-1.82,-0.45
-6.97,3.33,-7.05,-0.38,-1.81,-0.48
-6.69,2.94,-6.44,-0.43,-1.68,-0.56
-6.68,2.97,-6.89,-0.43,-1.64,-0.65
-7.05,2.47,-6.73,-0.39,-1.63,-0.72
-7.05,2.31,-6.65,-0.30,-1.61,-0.77
-7.15,2.24,-6.62,-0.20,-1.58,-0.79
-7.45,2.22,-6.81,-0.15,-1.54,-0.80
-7.58,2.35,-6.88,-0.11,-1.52,-0.82
-12.60,2.45,-9.25,-0.18,-1.36,-0.59
-4.18,2.77,-8.31,-0.33,-1.35,-0.50
-7.78,3.62,-7.88,-0.31,-1.68,-0.67
-8.47,2.90,-5.26,-0.39,-1.78,-0.86
-7.38,3.06,-5.42,-0.29,-1.22,-0.89
-7.22,2.15,-6.40,-0.29,-1.07,-0.81
-7.59,1.73,-6.63,-0.24,-1.07,-0.72
-7.43,2.22,-6.51,-0.10,-0.99,-0.72
-7.18,2.47,-6.43,0.03,-0.83,-0.78
-7.40,2.18,-6.58,0.10,-0.68,-0.80
-7.55,1.98,-6.83,0.10,-0.58,-0.73
-7.63,2.14,-6.88,0.10,-0.56,-0.63
-6.90,2.43,-7.19,0.11,-0.52,-0.61
-7.50,2.25,-6.18,0.09,-0.43,-0.57
-7.86,2.79,-6.90,0.07,-0.49,-0.54
-7.66,2.45,-6.16,-0.01,-0.34,-0.42
-7.41,2.55,-6.16,-0.04,-0.35,-0.44
-7.75,2.61,-5.69,-0.04,-0.24,-0.38
-7.66,2.44,-5.83,-0.07,-0.15,-0.31
-7.80,2.31,-5.48,-0.09,-0.09,-0.24
-7.92,2.10,-5.26,-0.09,-0.01,-0.13
-7.84,2.07,-5.35,-0.08,0.01,-0.07
-8.05,2.17,-5.09,-0.07,-0.01,-0.05
-8.02,2.13,-5.10,-0.06,-0.03,-0.07
-7.98,2.16,-5.08,-0.04,-0.07,-0.10
-7.93,2.13,-4.90,-0.02,-0.14,-0.14
-7.91,2.07,-4.72,0.01,-0.16,-0.16
-7.86,2.00,-4.53,0.07,-0.15,-0.18
-7.89,1.85,-4.33,0.13,-0.12,-0.19
-8.00,1.80,-4.35,0.17,-0.06,-0.17
-8.15,1.66,-4.45,0.21,-0.04,-0.13
-8.22,1.54,-4.49,0.23,-0.04,-0.10
-8.27,1.62,-4.58,0.23,-0.06,-0.07
-8.27,1.66,-4.74,0.21,-0.08,-0.06
-8.26,1.73,-4.75,0.16,-0.09,-0.05
-8.24,1.73,-4.76,0.09,-0.08,-0.05
-8.25,1.81,-4.73,0.01,-0.05,-0.07
-8.27,1.90,-4.61,-0.08,-0.02,-0.09
-8.17,1.81,-4.42,-0.14,0.01,-0.12
-8.28,1.75,-4.51,-0.19,0.03,-0.14
-8.43,1.53,-4.41,-0.22,0.05,-0.13
-8.42,1.33,-4.41,-0.21,0.07,-0.09
-8.47,1.26,-4.33,-0.19,0.08,-0.03
-8.47,1.33,-4.41,-0.15,0.08,-0.01
-8.52,1.46,-4.36,-0.11,0.09,-0.01
-8.47,1.50,-4.28,-0.10,0.12,-0.01
-8.34,1.66,-4.10,-0.10,0.17,-0.02
-8.41,1.67,-3.92,-0.12,0.23,-0.04
-8.53,1.57,-4.04,-0.16,0.27,-0.03
-8.69,1.53,-4.02,-0.19,0.27,-0.02
-8.80,1.63,-3.98,-0.21,0.25,-0.02
-8.77,1.57,-4.05,-0.22,0.21,-0.02
-8.80,1.53,-3.85,-0.21,0.17,-0.03
-8.92,1.57,-3.79,-0.19,0.14,-0.02
-8.88,1.66,-3.70,-0.18,0.11,0.01
-8.81,1.57,-3.49,-0.20,0.11,0.03
-8.64,1.55,-3.49,-0.24,0.11,0.07
-8.54,1.44,-3.36,-0.26,0.12,0.10
-8.49,1.43,-3.21,-0.25,0.12,0.09
-8.77,1.30,-3.35,-0.19,0.11,0.09
-9.22,1.18,-3.44,-0.10,0.09,0.10
-9.37,1.26,-3.74,-0.03,0.04,0.16
-9.55,1.28,-3.66,0.04,-0.01,0.23
-9.65,1.42,-3.69,0.12,-0.03,0.29
-9.52,1.44,-3.59,0.15,-0.00,0.35
