acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-18.95,0.24,0.88,1.39,0.14,-2.27
-18.61,1.38,0.52,2.14,0.51,-2.48
-18.94,2.06,-0.13,2.81,0.69,-2.42
-17.05,5.56,-0.28,3.26,0.97,-2.10
-16.32,7.73,0.75,3.53,1.32,-1.68
-16.07,9.54,1.13,3.49,1.82,-1.01
-16.15,10.22,1.08,3.15,2.13,-0.20
-16.58,9.13,0.19,2.46,2.19,0.53
-16.35,10.69,-0.89,1.37,1.89,1.09
-17.02,11.48,-4.52,0.06,1.11,1.33
-15.74,8.75,-3.78,-1.19,0.45,1.89
-15.32,6.18,-3.67,-2.12,-0.05,2.03
-16.03,4.65,-2.93,-2.69,-0.25,2.18
-16.07,1.73,-1.52,-2.77,-0.45,2.13
-15.33,-0.10,-1.71,-2.33,-0.54,2.28
-13.55,-0.64,-1.50,-1.64,-0.66,2.42
-12.54,-0.50,-1.08,-0.96,-0.58,2.57
-11.65,-0.02,-0.45,-0.38,-0.43,2.84
-9.71,2.36,-0.47,0.03,-0.25,2.95
-8.49,3.83,-0.77,0.23,-0.20,2.85
-8.00,4.72,-1.70,0.14,-0.19,2.67
-6.40,5.48,-0.96,-0.15,-0.15,2.40
-5.46,5.80,0.83,-0.27,0.05,2.03
-3.79,6.16,1.72,-0.18,0.25,1.79
-0.20,6.85,3.04,0.01,0.24,1.70
2.03,7.47,4.36,0.18,0.09,1.78
5.84,9.08,4.83,0.26,-0.16,1.84
6.11,9.32,6.10,0.48,-0.26,1.54
6.11,9.04,5.43,0.68,-0.06,1.21
7.86,9.62,5.58,1.00,0.01,0.80
8.37,10.18,6.01,1.25,0.04,0.22
7.96,8.88,5.21,1.30,0.04,0.16
9.59,7.84,6.09,1.14,0.10,0.32
11.94,9.17,7.76,0.76,0.22,0.51
15.08,10.27,8.65,0.32,0.26,0.37
15.65,10.57,10.08,-0.17,0.12,-0.06
15.06,10.88,10.76,-0.45,0.08,-0.67
14.26,8.93,10.77,-0.48,-0.07,-1.16
13.01,7.24,11.28,-0.25,-0.04,-1.21
12.76,5.74,12.57,0.28,0.18,-1.02
12.67,4.45,12.55,0.96,0.47,-0.79
13.24,4.99,12.54,1.34,0.72,-0.43
14.54,6.17,12.52,1.24,0.83,-0.25
13.74,7.85,11.39,0.86,0.61,-0.35
12.07,9.18,9.50,0.55,0.00,-0.62
12.57,9.64,8.84,0.31,-0.68,-0.71
12.90,10.15,8.62,0.17,-1.10,-0.69
13.10,9.96,9.24,0.43,-1.00,-0.46
13.07,10.01,8.18,0.70,-0.96,-0.19
12.42,10.86,7.60,0.78,-0.72,0.15
13.68,11.91,7.18,0.67,-0.42,0.32
12.34,13.11,5.55,0.34,-0.51,0.41
12.89,13.54,4.53,-0.02,-0.73,0.46
13.25,13.85,4.32,-0.53,-1.05,0.66
13.95,13.91,4.46,-1.09,-1.22,0.82
14.43,12.91,4.80,-1.47,-1.22,0.81
15.19,11.57,5.78,-1.48,-0.90,0.54
15.55,10.84,6.45,-1.13,-0.31,0.09
14.46,11.71,5.72,-0.80,0.40,-0.49
13.19,13.14,3.50,-0.86,0.86,-1.11
10.61,13.41,2.15,-1.16,0.99,-1.81
8.49,12.90,0.63,-1.69,1.03,-2.22
6.27,11.02,0.58,-2.32,0.84,-2.36
4.24,9.27,1.86,-2.69,0.77,-2.44
2.55,6.89,2.41,-2.57,0.82,-2.57
-0.14,4.25,1.91,-2.22,0.64,-2.51
-2.35,2.32,1.71,-1.78,0.40,-2.27
-4.31,0.96,1.60,-1.46,0.29,-1.94
-6.69,-0.29,1.37,-1.37,0.24,-1.55
-9.60,-1.22,0.38,-1.31,0.20,-1.20
-11.08,-2.29,1.00,-1.12,0.25,-1.12
-12.73,-2.50,1.46,-0.91,0.40,-1.29
