acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
19.61,3.79,3.36,-1.43,-1.00,-0.49
19.61,5.96,4.04,-0.97,-0.08,-0.61
18.64,6.46,3.87,-0.88,0.66,-1.22
14.72,6.22,2.85,-0.94,1.16,-2.01
10.65,4.36,4.03,-0.72,1.85,-3.09
3.56,0.81,2.81,-0.60,1.92,-3.50
-2.22,1.09,1.00,-0.18,1.55,-3.96
-4.80,1.37,0.06,0.15,0.88,-4.37
-7.63,-0.72,-1.39,0.30,0.40,-4.37
-11.55,-3.60,-0.78,0.54,0.30,-4.37
-15.56,-5.74,-0.56,1.11,0.56,-3.57
-19.61,-6.41,-1.56,2.05,1.22,-2.22
-19.61,-5.34,-7.00,2.61,1.89,-1.21
-19.61,-4.00,-8.39,2.65,2.13,-1.12
-19.61,0.85,-6.92,2.94,2.06,-2.12
-19.61,-0.41,-5.58,3.49,2.99,-2.74
-19.61,3.79,-7.78,3.74,3.16,-2.73
-19.52,5.18,-5.81,3.56,2.63,-2.40
-18.63,18.09,-5.19,3.48,2.26,-1.56
-16.03,19.39,-4.82,1.96,2.06,-1.02
-11.51,14.79,0.30,0.04,1.86,0.23
-14.53,17.45,-5.24,-0.93,1.70,0.85
-16.20,9.49,-2.77,-1.52,1.25,1.42
-13.79,6.06,-1.85,-1.34,0.41,2.10
-12.97,6.00,-1.07,-0.66,0.12,2.06
-13.55,3.01,-2.72,-0.10,0.04,2.11
-14.13,3.44,-3.92,0.36,-0.05,2.40
-16.11,1.64,-6.78,0.57,-0.16,2.64
-16.82,-1.37,-6.88,0.62,-0.16,3.31
-17.02,0.16,-8.39,0.72,-0.28,3.70
-14.70,0.76,-10.31,0.47,-0.25,4.12
-12.24,0.86,-8.02,0.28,0.00,4.25
-10.89,2.09,-5.96,0.13,0.63,4.22
-7.16,2.87,-6.36,-0.24,1.09,4.11
-4.68,3.95,-6.43,-0.67,1.33,4.05
-2.92,4.47,-4.42,-0.99,1.53,3.83
-1.68,5.14,-3.07,-1.26,1.65,3.38
0.20,5.38,-1.37,-1.46,1.64,2.85
0.28,5.92,0.57,-1.52,1.60,2.29
2.11,6.14,0.84,-1.49,1.46,1.88
2.89,4.98,1.87,-1.48,1.30,1.68
6.34,4.73,2.64,-1.33,1.07,1.59
11.89,5.44,4.91,-1.15,0.73,1.50
15.02,6.63,6.37,-0.87,0.53,1.37
