acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.61,16.65,1.92,-0.18,-1.58,0.62
16.19,13.84,0.98,-0.01,-1.31,-0.02
14.31,15.32,-3.22,-0.23,-0.98,-0.60
10.23,12.87,-5.70,-0.55,-0.54,-1.16
6.28,10.23,-6.10,-1.10,-0.52,-1.47
4.08,6.46,-4.12,-1.23,-0.76,-1.43
2.53,2.73,-0.58,-0.43,-0.82,-1.66
1.37,0.72,1.94,0.99,-0.73,-2.32
-3.90,5.02,-3.06,1.16,-0.47,-2.83
-8.41,7.53,-9.20,0.16,-1.01,-2.76
-10.48,6.20,-11.56,-0.90,-1.92,-2.97
-12.91,1.97,-11.24,-1.44,-2.38,-3.33
-13.24,-1.42,-10.00,-1.40,-2.42,-3.50
-13.48,-2.90,-6.17,-0.98,-1.85,-3.32
-14.94,-3.70,-4.05,-0.39,-1.13,-2.63
-16.59,-5.54,-3.32,0.14,-0.83,-1.91
-19.42,-5.98,-1.38,1.37,-1.14,-1.10
-19.61,-10.18,-4.50,2.21,-2.21,-0.90
-19.61,-8.99,-6.59,2.90,-3.00,-0.98
-19.61,-6.29,-7.40,3.54,-3.63,-0.48
-13.23,1.42,-7.20,3.64,-3.01,0.12
-13.79,0.29,-10.79,4.36,-1.52,-0.10
-9.72,-0.22,-10.69,3.51,-1.21,0.15
-13.19,4.50,-14.64,3.47,-0.70,-0.08
-10.43,5.71,-14.61,2.69,0.07,0.01
-11.21,7.88,-14.03,0.51,-0.13,0.24
-10.61,6.94,-8.42,-0.35,0.57,0.72
-11.53,5.48,-12.14,-1.70,0.07,0.94
-13.21,2.55,-7.34,-2.65,0.00,1.27
-11.53,1.78,-6.39,-2.79,0.02,1.38
-8.53,0.16,-5.49,-2.77,-0.05,1.08
-8.49,-0.95,-5.38,-2.35,-0.06,0.92
-10.58,-4.76,-1.18,-1.74,0.18,1.17
-6.39,1.20,-4.61,-1.29,-0.20,1.11
-6.61,-0.79,-1.08,-0.56,0.14,0.87
-6.64,1.47,-3.19,-0.23,0.27,0.66
-5.39,1.59,-3.01,0.04,0.52,0.45
-6.78,2.87,-2.28,0.44,0.87,0.08
-7.44,3.54,-5.32,0.61,0.93,0.22
-8.25,3.03,-4.95,0.60,0.85,0.50
-9.13,4.06,-5.46,0.42,0.67,0.84
-8.43,5.07,-7.19,0.09,0.52,1.05
-8.24,4.28,-6.51,-0.26,0.55,1.10
-8.86,3.97,-7.74,-0.79,0.51,1.16
-8.18,3.32,-6.62,-1.12,0.50,1.27
-6.15,3.93,-5.43,-1.36,0.48,1.03
-6.18,3.56,-4.71,-1.32,0.45,0.95
-5.42,2.92,-5.54,-1.20,0.28,1.00
-5.19,3.65,-6.55,-1.15,-0.16,1.22
