acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
16.38,8.99,4.42,0.12,0.20,-0.81
15.02,7.59,4.87,0.35,0.32,-1.31
12.43,8.01,3.00,0.55,0.64,-1.51
10.03,9.68,-0.28,0.08,0.68,-1.53
9.08,11.45,-2.22,-0.83,0.22,-1.72
7.40,10.45,-2.41,-1.64,-0.18,-2.07
6.21,8.37,-0.90,-2.10,-0.24,-2.41
5.38,5.99,1.03,-2.11,-0.10,-2.63
3.68,3.38,2.92,-1.62,0.24,-2.83
-0.05,1.60,2.97,-0.91,0.71,-2.91
-3.50,0.56,1.53,-0.36,0.81,-2.86
-7.64,-0.60,-0.07,-0.11,0.75,-2.70
-10.56,-0.23,-1.71,-0.17,0.50,-2.57
-9.08,-0.92,-5.14,-0.24,-0.05,-2.62
-11.50,1.91,-1.37,-0.26,-0.28,-2.52
-15.95,1.29,-1.73,1.18,-0.02,-4.00
-19.61,-0.89,1.72,2.45,0.52,-3.76
-19.61,-2.50,-6.80,3.53,0.26,-2.39
-19.61,-2.57,-7.55,4.08,-0.28,-1.04
-17.98,1.29,-7.64,4.37,-0.60,-0.25
-17.12,4.97,-11.58,4.37,-1.38,0.22
-14.85,9.58,-9.38,4.37,-1.86,0.28
-12.47,11.34,-7.48,3.51,-1.78,0.48
-8.66,16.41,-7.53,2.01,-1.72,-0.02
-9.81,11.79,-9.33,1.09,-1.51,-0.02
-10.35,9.40,-9.23,0.33,-1.24,0.39
-8.71,9.15,-6.51,0.01,-1.11,0.24
-10.16,5.99,-7.96,-0.31,-0.78,0.28
-10.10,5.41,-7.32,-0.36,-0.14,0.26
-10.13,4.17,-8.77,-0.40,0.17,0.17
-11.33,2.16,-6.20,-0.47,0.58,0.50
-11.08,2.46,-5.91,-0.54,0.90,0.89
-10.57,3.48,-5.25,-0.65,1.19,1.24
-10.77,4.37,-5.18,-0.71,1.35,1.42
-10.92,4.71,-5.28,-0.89,1.52,1.50
-11.75,5.09,-4.76,-0.83,1.71,1.46
-11.41,4.05,-5.62,-0.83,1.65,1.48
-11.15,4.13,-5.79,-0.68,1.50,1.53
-9.56,4.41,-5.59,-0.59,1.35,1.46
-10.03,4.72,-5.76,-0.57,1.27,1.37
-9.55,4.94,-5.70,-0.75,1.19,1.35
-8.71,5.75,-5.10,-0.89,1.23,1.10
-9.15,6.89,-6.18,-1.02,1.43,0.86
-10.30,5.43,-5.08,-0.86,1.46,0.77
-10.79,4.42,-5.31,-0.61,1.41,0.93
-8.55,4.84,-5.75,-0.38,1.24,1.23
-6.58,4.85,-3.90,-0.21,1.00,1.43
-4.50,5.71,-2.94,-0.22,1.03,1.43
-2.97,6.14,-3.02,-0.29,1.02,1.32
-2.74,6.45,-3.12,-0.35,0.95,1.08
-2.43,6.68,-2.99,-0.24,0.67,0.74
-1.75,6.21,-2.19,0.12,0.45,0.47
-0.12,6.10,-0.73,0.52,0.29,0.35
1.90,6.81,-0.49,0.84,0.08,0.42
3.87,8.14,-0.35,1.05,-0.17,0.54
6.11,9.91,-0.55,1.01,-0.48,0.60
8.96,11.10,-0.32,0.62,-0.69,0.61
10.65,11.57,1.54,0.16,-0.78,0.35
10.77,11.79,2.18,0.01,-0.74,-0.28
9.75,10.85,1.88,0.39,-0.97,-0.82
8.44,11.03,3.01,1.26,-0.83,-1.21
7.04,10.87,-0.28,2.26,-1.30,-1.59
6.06,11.82,-0.50,3.06,-1.89,-1.27
4.95,14.61,-2.25,3.84,-2.19,-1.13
6.11,16.01,-4.05,3.97,-2.38,-0.75
7.04,17.36,-5.09,3.51,-2.52,-0.33
7.87,16.55,-5.53,2.70,-2.55,-0.07
10.49,17.85,-3.64,1.78,-2.26,-0.16
10.14,17.35,-3.88,1.03,-1.63,-0.55
9.33,15.63,-4.91,0.20,-1.50,-0.81
8.66,14.70,-4.18,-0.40,-1.33,-0.90
8.94,13.97,-2.53,-0.74,-0.89,-0.81
8.29,13.31,-2.59,-0.98,-0.42,-0.56
7.68,12.28,-2.41,-1.11,-0.02,-0.28
6.73,11.87,-1.82,-1.06,0.40,-0.08
5.65,11.57,-2.13,-0.96,0.68,0.09
5.12,11.73,-2.19,-0.93,0.82,0.29
5.59,12.01,-1.42,-1.06,1.01,0.38
5.28,12.43,-0.60,-1.21,1.22,0.25
4.80,11.97,-0.53,-1.43,1.45,0.13
3.56,11.11,-0.89,-1.60,1.50,0.00
2.62,10.34,-0.54,-1.68,1.47,-0.01
1.67,9.80,-1.04,-1.65,1.30,0.06
0.66,8.82,-0.69,-1.57,1.11,0.17
0.34,8.15,-1.20,-1.42,0.85,0.30
-0.05,8.09,-1.70,-1.20,0.47,0.40
-0.39,7.47,-1.32,-0.94,0.14,0.45
-0.04,7.15,-1.33,-0.74,-0.16,0.52
0.79,7.34,-0.80,-0.56,-0.36,0.52
1.16,7.45,-0.20,-0.31,-0.38,0.49
1.45,7.45,-0.40,-0.08,-0.34,0.42
1.51,7.48,-0.61,0.09,-0.24,0.36
1.54,7.63,-0.85,0.20,-0.18,0.30
1.00,8.05,-1.13,0.31,-0.13,0.24
0.76,8.35,-1.19,0.38,-0.10,0.19
0.91,9.18,-1.79,0.35,-0.11,0.18
0.78,9.43,-1.91,0.24,-0.12,0.17
0.84,9.61,-2.14,0.09,-0.15,0.17
0.99,9.64,-2.17,-0.01,-0.14,0.15
1.26,9.57,-2.02,-0.04,-0.12,0.09
1.23,9.35,-1.90,0.07,-0.09,0.03
1.10,9.19,-1.99,0.21,-0.03,-0.00
0.93,9.30,-2.11,0.37,0.03,0.00
0.64,9.59,-2.23,0.48,0.07,0.07
0.36,9.93,-2.68,0.49,0.06,0.15
0.47,10.45,-2.83,0.42,0.02,0.19
0.55,10.60,-2.93,0.30,-0.03,0.16
0.49,10.64,-3.18,0.13,-0.07,0.09
0.46,10.44,-2.97,-0.01,-0.10,0.02
0.42,10.06,-3.00,-0.11,-0.11,0.00
0.35,9.56,-2.93,-0.19,-0.12,0.04
0.51,9.06,-2.77,-0.22,-0.13,0.10
0.63,8.72,-2.50,-0.22,-0.10,0.14
