acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-13.18,-11.43,-19.61,4.37,2.89,-4.37
-17.42,-12.79,-19.61,4.37,2.52,-4.37
-19.61,-8.65,-19.61,4.37,2.23,-4.07
-18.92,-3.01,-19.61,4.37,1.82,-3.39
-17.33,1.32,-19.61,4.37,1.33,-3.39
-18.02,0.04,-19.61,2.84,1.00,-4.18
-18.47,-2.11,-19.61,0.75,0.21,-4.37
-17.76,-3.43,-19.61,-1.13,-0.83,-4.37
-15.32,-3.31,-19.61,-2.26,-1.21,-4.37
-10.64,-4.38,-18.22,-2.67,-1.42,-4.37
-12.57,-4.08,-16.36,-2.51,-0.31,-4.37
-11.37,-7.05,-19.61,-2.46,-0.97,-4.37
-12.01,-9.17,-12.93,-1.98,0.53,-4.37
-10.94,-8.12,-17.00,-1.85,2.64,-4.37
-9.29,-6.83,-16.53,-2.13,3.91,-4.37
-8.29,-6.23,-16.16,-2.42,4.37,-4.37
-10.91,-5.71,-16.20,-2.37,4.37,-4.37
-14.31,-4.39,-16.65,-1.82,4.37,-4.37
-16.83,-1.74,-15.69,-1.22,4.37,-4.14
-15.88,-1.21,-12.88,-0.52,3.55,-3.81
-12.40,-1.87,-13.37,0.09,3.17,-3.36
-9.78,-4.65,-12.98,0.55,2.97,-3.17
-8.22,-5.80,-11.79,1.02,3.35,-2.84
-6.94,-4.32,-12.06,1.07,3.75,-2.34
-5.76,-1.56,-10.19,0.82,4.31,-2.10
-5.61,1.14,-10.15,0.36,4.37,-2.19
-5.40,0.48,-8.29,0.00,4.37,-2.34
-5.55,0.27,-9.45,-0.30,4.37,-2.34
-2.67,-0.72,-13.33,-0.73,4.37,-2.34
-5.17,-0.53,-6.98,-1.11,4.19,-2.70
-3.81,-0.81,-7.72,-1.23,4.04,-3.10
-4.13,-1.49,-8.51,-1.29,3.88,-2.87
-3.00,-1.57,-7.24,-1.35,3.49,-2.67
-1.69,-2.79,-5.17,-1.25,3.41,-2.48
-2.35,-2.32,-5.47,-1.09,3.41,-1.95
-1.94,-2.90,-5.02,-1.09,3.22,-1.37
-1.83,-2.46,-4.14,-0.95,3.27,-0.82
-0.74,-2.50,-4.55,-0.81,3.25,-0.42
-0.67,-1.31,-4.90,-0.83,3.03,-0.22
1.17,-0.82,-3.78,-0.83,2.74,-0.34
2.11,-0.86,-4.23,-0.88,2.55,-0.63
2.93,-0.79,-4.75,-1.10,2.41,-0.91
3.47,-1.33,-4.39,-1.20,2.28,-1.09
3.29,-1.50,-4.55,-1.22,2.24,-1.05
3.19,-1.53,-4.75,-1.19,2.19,-0.88
3.24,-0.53,-4.73,-1.16,2.14,-0.70
3.98,-0.05,-3.97,-1.13,2.12,-0.52
4.73,0.23,-3.49,-1.10,2.08,-0.42
5.82,-0.16,-4.07,-1.06,1.99,-0.39
5.92,-1.01,-4.25,-0.91,1.72,-0.40
6.96,-1.81,-4.71,-0.73,1.39,-0.50
8.09,-1.90,-4.69,-0.53,1.18,-0.50
8.80,-1.56,-4.71,-0.39,1.05,-0.50
9.30,-0.83,-4.64,-0.32,1.09,-0.45
9.54,-0.35,-4.66,-0.32,1.23,-0.43
9.54,0.02,-4.70,-0.41,1.31,-0.31
9.50,0.02,-4.34,-0.42,1.34,-0.12
9.38,0.00,-4.56,-0.39,1.21,0.12
9.86,-0.11,-4.01,-0.33,1.07,0.36
9.96,0.23,-3.64,-0.25,0.88,0.50
9.79,0.74,-3.65,-0.19,0.73,0.42
9.89,1.37,-3.45,-0.25,0.57,0.18
10.17,1.56,-3.09,-0.38,0.43,-0.08
10.62,2.22,-2.63,-0.59,0.33,-0.37
10.47,1.76,-2.75,-0.93,0.38,-0.54
8.82,0.78,-2.88,-1.24,0.36,-0.52
9.25,0.23,-2.25,-1.36,0.29,-0.30
9.47,0.40,-1.87,-1.25,0.34,-0.27
9.80,-0.15,-2.26,-1.01,0.35,-0.29
10.17,-0.34,-2.72,-0.78,0.30,-0.34
9.93,-0.79,-2.86,-0.61,0.40,-0.42
9.95,-0.76,-3.01,-0.47,0.47,-0.54
9.63,-0.93,-2.82,-0.34,0.58,-0.56
9.29,-0.93,-3.11,-0.24,0.65,-0.43
9.11,-0.51,-3.14,-0.15,0.69,-0.32
9.56,0.08,-3.05,-0.12,0.66,-0.27
9.50,0.11,-2.88,-0.06,0.61,-0.29
9.52,-0.16,-2.90,-0.02,0.55,-0.24
9.59,-0.23,-2.67,0.03,0.51,-0.17
9.55,-0.17,-2.65,0.10,0.50,-0.11
9.62,0.02,-2.74,0.16,0.51,-0.11
9.59,0.51,-2.62,0.18,0.49,-0.14
9.81,0.86,-2.19,0.17,0.49,-0.20
9.77,0.98,-2.23,0.11,0.50,-0.22
9.68,0.92,-2.12,0.03,0.46,-0.22
9.52,0.73,-1.86,-0.00,0.45,-0.19
9.07,0.68,-1.93,-0.01,0.46,-0.15
8.66,0.77,-2.05,0.01,0.41,-0.11
8.50,1.08,-1.96,0.03,0.34,-0.11
8.48,1.31,-1.63,0.05,0.24,-0.11
8.68,1.27,-1.34,0.05,0.13,-0.11
8.60,1.03,-1.20,0.09,0.01,-0.11
8.95,0.58,-1.54,0.19,-0.08,-0.08
9.24,0.43,-2.25,0.26,-0.10,-0.03
9.57,0.64,-1.95,0.29,-0.03,-0.05
8.91,1.04,-2.95,0.30,-0.09,-0.03
9.29,1.63,-2.74,0.27,-0.05,-0.04
9.54,1.81,-2.57,0.25,-0.06,-0.06
10.05,1.74,-2.51,0.19,-0.07,-0.08
10.29,1.32,-2.34,0.19,-0.02,-0.06
10.20,1.07,-2.77,0.18,-0.02,-0.03
10.45,1.15,-2.82,0.13,-0.02,-0.02
10.58,1.16,-2.92,0.09,-0.00,-0.04
10.22,1.15,-3.32,0.04,0.01,-0.06
10.17,1.30,-3.23,-0.01,-0.01,-0.06
10.33,1.28,-2.88,-0.04,-0.05,-0.06
10.32,1.08,-2.88,-0.05,-0.06,-0.05
10.18,0.99,-2.94,-0.07,-0.10,-0.01
10.25,1.00,-2.80,-0.06,-0.13,0.03
10.25,1.21,-2.72,-0.05,-0.13,0.03
10.29,1.29,-2.64,-0.06,-0.12,0.00
10.42,1.31,-2.40,-0.09,-0.09,-0.04
10.56,1.15,-2.32,-0.14,-0.01,-0.08
10.62,1.07,-2.32,-0.17,0.08,-0.10
10.52,0.84,-2.55,-0.18,0.16,-0.14
9.91,0.62,-2.66,-0.15,0.18,-0.14
9.91,0.68,-2.56,-0.09,0.19,-0.13
9.94,0.85,-2.65,-0.03,0.19,-0.13
10.09,0.93,-2.50,-0.00,0.17,-0.15
10.31,1.05,-2.31,0.01,0.15,-0.14
10.27,0.94,-2.32,-0.00,0.14,-0.12
10.14,0.88,-2.34,0.01,0.10,-0.09
10.14,0.86,-2.26,0.04,0.08,-0.06
10.18,0.91,-2.26,0.07,0.07,-0.03
10.38,1.05,-2.17,0.08,0.08,-0.04
10.26,1.15,-2.23,0.07,0.09,-0.02
10.17,1.30,-2.29,0.05,0.11,0.00
9.99,1.43,-2.46,0.03,0.10,0.02
9.82,1.46,-2.54,0.01,0.10,0.01
9.77,1.32,-2.61,0.01,0.07,-0.01
9.79,1.15,-2.51,0.01,0.03,-0.01
10.01,1.03,-2.65,0.03,-0.01,-0.03
10.04,0.93,-2.80,0.02,-0.02,-0.03
10.14,0.91,-2.75,-0.02,-0.01,-0.02
10.22,0.90,-2.73,-0.07,0.02,-0.03
10.14,0.93,-2.69,-0.10,0.06,-0.05
10.20,0.83,-2.26,-0.09,0.08,-0.04
10.27,0.90,-2.10,-0.07,0.10,-0.03
10.32,0.92,-2.05,-0.05,0.10,-0.02
10.24,0.91,-2.02,-0.04,0.09,-0.02
10.25,0.96,-2.21,-0.01,0.06,-0.06
10.35,0.87,-2.23,-0.01,0.04,-0.07
10.25,1.02,-2.13,-0.03,0.04,-0.08
10.36,1.06,-2.12,-0.04,0.05,-0.08
10.31,1.00,-1.93,-0.04,0.06,-0.07
10.17,0.92,-2.01,-0.02,0.07,-0.04
10.12,0.96,-2.08,0.00,0.06,-0.02
10.06,0.93,-2.33,0.02,0.07,-0.03
10.13,0.92,-2.49,0.01,0.08,-0.05
9.92,0.94,-2.54,0.00,0.08,-0.05
9.83,1.17,-2.48,-0.01,0.07,-0.06
9.87,1.25,-2.38,-0.03,0.07,-0.05
9.76,1.27,-2.28,-0.05,0.06,-0.03
9.68,1.20,-2.23,-0.06,0.05,-0.00
9.67,1.05,-2.18,-0.06,0.03,0.01
9.47,0.98,-2.19,-0.05,-0.01,0.01
9.57,0.94,-2.01,-0.02,-0.04,-0.01
9.61,1.01,-2.12,0.00,-0.05,-0.02
9.67,1.06,-2.01,0.01,-0.06,-0.01
9.70,1.16,-2.05,0.01,-0.05,-0.00
9.80,1.14,-2.13,-0.01,-0.05,-0.00
9.79,1.08,-2.04,-0.03,-0.05,-0.01
9.86,1.13,-1.91,-0.02,-0.05,0.01
9.84,1.24,-2.01,-0.03,-0.07,0.01
9.88,1.23,-2.07,-0.05,-0.09,-0.00
9.90,1.13,-2.10,-0.05,-0.09,-0.04
9.77,1.15,-1.90,-0.03,-0.09,-0.04
9.76,1.20,-1.85,-0.02,-0.09,-0.03
9.79,1.28,-1.71,-0.03,-0.08,-0.01
9.69,1.14,-1.92,-0.04,-0.10,0.00
9.59,1.01,-1.96,-0.04,-0.14,0.01
