acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-10.36,-8.43,-19.61,-2.63,3.29,-4.37
-12.69,-9.33,-19.61,-2.67,4.37,-4.37
-15.62,-9.58,-19.61,-2.16,4.37,-4.37
-17.81,-9.79,-19.61,-1.11,4.37,-4.37
-19.61,-7.41,-19.61,0.04,4.37,-4.37
-19.61,-5.46,-19.61,0.93,4.37,-4.37
-19.61,-4.22,-19.61,1.66,4.37,-4.37
-19.61,-3.50,-19.61,2.09,4.37,-4.37
-19.61,-3.46,-19.61,2.24,4.37,-4.37
-19.61,-3.02,-19.61,2.23,4.37,-4.37
-19.61,-3.80,-19.61,2.14,4.37,-4.37
-19.61,-5.65,-19.61,1.91,4.37,-4.37
-19.61,-4.99,-19.61,1.19,4.37,-4.37
-19.61,-3.02,-19.61,0.50,4.37,-4.27
-19.61,-2.12,-19.61,-0.06,4.37,-4.37
-19.61,-2.63,-19.61,-0.56,4.37,-4.37
-19.61,-2.66,-19.61,-1.17,4.37,-4.37
-19.61,-3.16,-18.43,-1.66,4.37,-4.37
-19.61,-3.24,-17.60,-1.90,4.37,-4.26
-19.61,-3.50,-16.87,-1.86,4.37,-3.82
-18.46,-3.94,-13.47,-1.50,4.37,-3.28
-16.35,-4.27,-12.25,-0.97,4.37,-2.68
-13.23,-3.17,-11.55,-0.50,4.37,-2.05
-11.07,-1.78,-9.95,-0.11,4.37,-1.66
-9.93,-1.40,-8.96,0.03,4.37,-1.56
-8.91,-0.33,-8.65,-0.07,4.37,-1.60
-8.78,0.54,-7.72,-0.38,4.37,-1.64
-7.99,1.28,-7.36,-0.63,4.37,-1.81
-8.45,1.46,-5.83,-0.78,4.37,-2.00
-8.00,1.33,-5.73,-1.07,3.87,-2.09
-8.27,0.58,-3.69,-1.50,3.26,-1.95
-7.10,0.38,-2.25,-1.89,2.56,-1.75
-5.86,-0.44,-1.92,-2.00,1.76,-1.70
-6.23,-0.95,-0.78,-2.14,1.06,-1.68
-4.84,-1.50,1.29,-2.00,1.06,-1.60
-2.03,-2.17,1.81,-1.55,1.04,-1.56
-0.91,-1.74,0.65,-0.88,0.95,-1.56
-1.90,-1.81,-0.85,-0.56,1.12,-1.11
-1.03,-1.75,-1.26,-0.62,1.26,-0.33
0.14,1.03,-2.15,-0.63,0.98,-0.04
1.17,1.91,-2.44,-0.81,0.64,-0.08
1.12,2.05,-0.74,-0.83,0.35,-0.38
0.66,1.82,0.05,-0.61,-0.05,-1.01
0.15,-0.22,0.94,-0.21,-0.46,-1.61
1.74,-2.53,2.97,0.54,-0.48,-2.11
2.72,-5.06,4.77,1.88,0.08,-2.68
9.38,-6.73,4.19,3.40,1.23,-3.74
4.05,-4.42,1.75,4.37,3.15,-3.88
2.91,-2.08,-8.05,3.99,3.22,-0.97
0.65,3.44,-9.07,1.86,2.00,0.60
5.20,10.80,-6.94,-0.08,1.13,0.44
3.21,10.80,-2.55,-1.24,2.02,-0.09
1.68,7.84,-7.04,-2.14,1.64,-0.38
0.79,5.18,-6.49,-2.75,0.60,-0.67
0.45,1.68,-1.08,-2.84,0.23,-0.80
5.43,-2.97,-0.56,-2.75,0.29,0.51
4.36,0.81,0.62,-1.96,0.21,0.53
6.04,1.14,1.01,-1.04,0.41,0.21
5.64,-0.27,0.54,-0.36,0.38,0.01
5.15,2.00,0.56,0.38,0.18,-0.19
5.47,2.81,0.44,0.88,0.08,-0.50
5.69,1.93,4.04,1.20,-0.15,-0.56
5.98,5.70,-1.42,1.18,0.06,-0.50
5.39,4.65,-2.84,0.96,-0.15,-0.32
5.15,6.13,-2.38,0.64,-0.43,-0.02
5.18,6.98,-3.05,0.28,-0.56,0.16
4.30,7.31,-2.93,0.01,-0.90,0.16
5.68,7.00,-3.45,-0.27,-1.17,0.20
6.01,6.72,-2.64,-0.52,-1.23,0.22
5.69,6.05,-2.77,-0.62,-1.08,0.33
6.71,7.63,-3.33,-0.66,-1.29,0.04
4.98,6.71,-3.08,-0.78,-1.34,-0.26
3.12,5.29,-3.83,-0.94,-1.42,-0.17
2.06,4.65,-3.97,-1.08,-1.54,-0.04
1.95,4.01,-4.13,-1.16,-1.67,0.11
2.43,3.32,-3.31,-1.19,-1.73,0.17
2.59,3.39,-3.07,-1.08,-1.74,0.16
2.54,2.47,-2.86,-0.94,-1.81,0.17
2.07,2.19,-2.93,-0.76,-1.95,0.21
0.99,2.18,-3.84,-0.60,-2.17,0.25
0.19,1.98,-4.19,-0.53,-2.39,0.31
-0.34,2.23,-5.05,-0.53,-2.64,0.36
-0.04,2.31,-5.57,-0.62,-2.84,0.30
2.07,2.75,-5.33,-0.82,-3.05,-0.01
3.16,1.88,-4.71,-0.99,-3.11,-0.24
1.18,1.38,-4.58,-1.04,-3.10,-0.32
0.35,0.74,-5.50,-1.08,-3.28,-0.33
-0.28,0.56,-5.18,-1.07,-3.53,-0.31
-1.11,0.11,-6.39,-0.91,-3.69,-0.35
-1.49,0.08,-7.46,-0.81,-3.98,-0.37
-1.83,0.51,-8.02,-0.73,-4.28,-0.44
-0.60,1.26,-8.82,-0.69,-4.37,-0.61
0.04,1.21,-8.58,-0.65,-4.37,-0.79
0.63,0.76,-8.26,-0.54,-4.37,-0.94
-0.36,0.05,-8.01,-0.29,-4.37,-1.02
-1.58,-0.65,-9.78,0.05,-4.37,-0.99
-3.19,-0.51,-11.06,0.45,-4.37,-0.98
-4.42,0.32,-13.57,0.69,-4.37,-1.07
-4.80,1.23,-14.93,0.70,-4.37,-1.27
-3.19,2.36,-15.45,0.58,-4.37,-1.57
-3.02,1.70,-14.84,0.70,-4.37,-1.78
-2.76,0.62,-14.39,0.90,-4.37,-1.78
-3.27,-0.22,-13.51,1.35,-4.37,-1.51
-4.90,-0.48,-14.40,1.94,-4.37,-1.11
-5.83,0.58,-16.32,2.38,-4.37,-0.80
-6.15,1.64,-17.64,2.50,-4.37,-0.60
-6.88,2.70,-17.23,2.20,-4.37,-0.55
-6.67,2.75,-19.54,1.76,-4.37,-0.54
-4.72,1.77,-19.61,1.65,-4.37,-0.60
-3.81,0.83,-19.61,1.96,-4.37,-0.74
-3.46,0.14,-19.50,2.42,-4.37,-0.71
-3.81,0.46,-19.21,2.80,-3.95,-0.46
-4.42,2.12,-19.61,2.91,-3.53,-0.21
-4.94,4.52,-19.61,2.71,-3.36,-0.12
-4.97,5.60,-19.61,2.13,-3.42,-0.33
-4.90,5.29,-19.51,1.42,-3.38,-0.47
-5.42,5.93,-19.23,0.84,-3.43,-0.75
-5.38,4.03,-18.75,0.54,-3.60,-1.08
-5.13,3.03,-17.65,0.42,-3.64,-1.18
-5.51,1.95,-16.29,0.42,-3.37,-1.16
-5.52,1.62,-15.71,0.48,-3.08,-1.07
-6.00,1.56,-14.40,0.60,-2.78,-1.04
-6.80,1.39,-14.95,0.74,-2.63,-0.99
-7.45,0.94,-13.52,0.87,-2.47,-0.99
-7.07,0.93,-13.83,0.97,-2.38,-0.86
-6.54,1.44,-13.13,1.06,-2.28,-0.84
-6.56,1.92,-12.63,1.12,-2.03,-0.78
-5.78,1.95,-12.82,1.13,-1.85,-0.74
-6.69,2.03,-12.36,1.17,-1.72,-0.63
-6.27,2.14,-12.18,1.13,-1.64,-0.59
-6.47,2.24,-12.01,1.11,-1.62,-0.57
-6.59,2.38,-12.02,0.96,-1.62,-0.57
-4.54,1.93,-10.78,0.84,-1.54,-0.62
-5.71,2.58,-12.13,0.71,-1.66,-0.49
-6.17,2.68,-10.68,0.59,-1.58,-0.46
-5.33,2.70,-10.70,0.62,-1.38,-0.46
-5.21,2.24,-11.18,0.57,-1.35,-0.45
-5.80,2.46,-9.40,0.63,-1.18,-0.35
-5.56,2.36,-9.26,0.70,-1.05,-0.26
-5.73,2.69,-8.95,0.78,-0.91,-0.18
-5.85,2.73,-8.98,0.85,-0.80,-0.07
-6.46,2.65,-9.02,0.89,-0.71,0.03
-7.03,2.51,-9.47,0.87,-0.66,0.16
-6.70,2.61,-9.11,0.77,-0.64,0.25
-8.61,3.21,-9.31,0.53,-0.40,0.30
-6.36,2.51,-10.08,0.51,-0.63,0.18
-6.51,2.55,-7.77,0.47,-0.31,0.26
-6.51,1.39,-7.23,0.38,0.01,0.48
-6.57,0.51,-7.29,0.39,0.07,0.67
-7.34,0.75,-6.54,0.53,0.41,0.79
-7.07,0.65,-6.78,0.56,0.51,0.90
-7.52,0.51,-6.26,0.52,0.58,0.91
-7.69,0.80,-6.35,0.45,0.53,0.82
-7.98,0.87,-6.04,0.37,0.45,0.65
-8.20,0.68,-5.92,0.30,0.33,0.50
-8.38,0.53,-5.82,0.22,0.20,0.40
-8.80,0.53,-5.78,0.18,0.08,0.34
-9.10,0.27,-6.09,0.14,-0.04,0.33
-9.44,-0.02,-6.10,0.15,-0.13,0.35
-9.81,-0.30,-6.05,0.17,-0.16,0.41
-9.55,-0.21,-6.41,0.18,-0.17,0.51
-9.11,0.20,-6.26,0.12,-0.12,0.55
-8.37,0.60,-6.31,-0.01,-0.02,0.56
-7.84,1.11,-5.82,-0.15,0.11,0.52
-7.35,1.22,-5.22,-0.22,0.30,0.45
-7.35,0.81,-4.79,-0.19,0.47,0.50
-6.62,0.60,-4.34,-0.17,0.58,0.51
-7.10,0.26,-4.19,-0.05,0.62,0.58
-7.21,0.38,-4.46,0.09,0.58,0.62
-7.01,0.45,-4.86,0.19,0.49,0.63
-6.91,0.75,-5.01,0.20,0.40,0.60
-6.83,0.72,-5.32,0.12,0.37,0.59
-6.75,1.06,-5.35,-0.04,0.44,0.56
-6.61,1.23,-5.68,-0.19,0.50,0.50
-6.92,1.10,-5.96,-0.35,0.48,0.42
-7.21,0.78,-5.74,-0.48,0.47,0.34
-7.65,0.53,-5.67,-0.55,0.46,0.29
-7.90,0.30,-5.73,-0.57,0.40,0.24
-8.24,0.25,-6.15,-0.51,0.27,0.19
-8.59,0.00,-6.33,-0.42,0.18,0.17
-8.76,0.08,-6.51,-0.34,0.09,0.18
-8.78,0.23,-6.75,-0.31,0.04,0.20
-8.63,0.49,-6.86,-0.32,-0.00,0.23
-8.45,0.59,-6.67,-0.35,0.02,0.21
-8.17,0.78,-6.67,-0.38,0.07,0.20
-7.90,0.89,-6.40,-0.43,0.15,0.15
-7.74,1.02,-6.26,-0.47,0.23,0.10
-7.70,0.94,-5.97,-0.51,0.31,0.03
-7.74,0.95,-5.76,-0.52,0.36,-0.04
-7.75,1.04,-5.83,-0.53,0.36,-0.11
-7.66,1.27,-5.86,-0.56,0.33,-0.16
-7.46,1.29,-5.64,-0.58,0.30,-0.19
-7.39,1.28,-5.34,-0.62,0.29,-0.19
-7.31,1.20,-5.14,-0.64,0.28,-0.17
-7.13,1.18,-5.01,-0.65,0.30,-0.15
-7.06,1.07,-4.90,-0.64,0.30,-0.13
-7.18,0.96,-4.85,-0.62,0.29,-0.13
-7.24,0.81,-4.90,-0.59,0.26,-0.13
-7.18,0.77,-4.60,-0.54,0.25,-0.14
-7.23,0.70,-4.73,-0.48,0.25,-0.15
-7.29,0.60,-4.52,-0.43,0.23,-0.17
-7.32,0.60,-4.60,-0.40,0.21,-0.18
-7.39,0.75,-4.75,-0.40,0.17,-0.21
-7.39,0.83,-4.69,-0.40,0.11,-0.26
-7.41,0.83,-4.84,-0.41,0.04,-0.32
-7.51,0.95,-4.95,-0.40,-0.02,-0.38
-7.67,0.94,-4.86,-0.35,-0.03,-0.44
-7.69,0.80,-4.84,-0.32,-0.01,-0.45
-7.77,0.84,-4.75,-0.29,0.03,-0.42
-7.80,0.82,-4.74,-0.28,0.07,-0.40
-7.75,0.80,-4.68,-0.26,0.08,-0.38
-8.05,0.78,-4.67,-0.21,0.10,-0.38
-8.55,0.75,-4.89,-0.15,0.11,-0.41
-9.17,0.90,-5.12,-0.08,0.08,-0.46
-9.79,1.14,-5.41,0.00,0.03,-0.52
-10.01,1.15,-5.68,0.06,-0.04,-0.54
-9.97,1.04,-5.68,0.11,-0.10,-0.50
-9.59,0.66,-5.55,0.16,-0.16,-0.36
-8.96,0.45,-5.33,0.22,-0.18,-0.20
-8.41,0.51,-5.43,0.27,-0.17,-0.06
-7.97,0.58,-5.20,0.29,-0.12,0.02
-7.52,0.86,-5.37,0.25,-0.08,0.04
-7.08,1.19,-5.54,0.12,-0.08,-0.02
-6.83,1.29,-5.48,-0.02,-0.10,-0.12
-6.73,1.38,-5.20,-0.14,-0.13,-0.22
-6.69,1.19,-5.00,-0.23,-0.15,-0.29
-6.75,1.01,-5.15,-0.25,-0.20,-0.34
-6.97,0.58,-5.09,-0.22,-0.24,-0.35
-7.42,0.16,-5.26,-0.13,-0.30,-0.31
-7.73,-0.09,-5.60,-0.06,-0.37,-0.27
-7.99,-0.09,-6.03,-0.03,-0.46,-0.22
-8.15,-0.24,-6.38,-0.02,-0.58,-0.19
-8.14,-0.14,-6.81,-0.04,-0.69,-0.16
-7.77,0.18,-7.08,-0.08,-0.78,-0.15
-7.30,0.42,-7.08,-0.13,-0.81,-0.20
-7.09,0.61,-7.02,-0.18,-0.78,-0.25
-7.07,0.63,-7.15,-0.23,-0.74,-0.30
-6.81,0.50,-6.91,-0.26,-0.65,-0.30
-6.79,0.45,-7.03,-0.26,-0.57,-0.31
-6.86,0.29,-7.07,-0.28,-0.47,-0.31
-6.90,0.32,-7.16,-0.29,-0.41,-0.29
-7.07,0.31,-7.15,-0.31,-0.34,-0.30
-7.06,0.48,-7.11,-0.37,-0.29,-0.31
-6.96,0.55,-6.87,-0.44,-0.22,-0.34
-6.88,0.65,-6.90,-0.55,-0.15,-0.37
-7.05,0.73,-6.72,-0.66,-0.09,-0.41
-7.02,0.76,-6.62,-0.76,-0.02,-0.47
-7.15,0.62,-6.27,-0.84,0.06,-0.53
-7.26,0.49,-6.35,-0.91,0.16,-0.57
-7.54,0.34,-6.26,-0.99,0.23,-0.58
-7.51,0.25,-6.15,-1.03,0.28,-0.58
-7.58,0.21,-5.96,-1.05,0.34,-0.57
-7.74,0.21,-5.91,-1.05,0.40,-0.58
-7.92,0.28,-5.95,-1.04,0.43,-0.59
-7.90,0.25,-5.90,-1.02,0.43,-0.58
-7.77,0.30,-5.83,-0.98,0.43,-0.59
-7.84,0.35,-5.74,-0.91,0.43,-0.60
-7.92,0.21,-5.84,-0.81,0.41,-0.59
-8.01,0.11,-5.89,-0.71,0.41,-0.57
-7.94,0.24,-5.91,-0.63,0.43,-0.54
-8.02,0.30,-6.00,-0.59,0.45,-0.50
-8.08,0.40,-6.16,-0.59,0.46,-0.48
-7.99,0.70,-6.21,-0.63,0.46,-0.48
-7.93,0.64,-6.34,-0.65,0.47,-0.48
-7.95,0.64,-6.36,-0.67,0.45,-0.49
-7.90,0.58,-6.26,-0.64,0.47,-0.47
-7.81,0.38,-6.32,-0.61,0.49,-0.45
-7.81,0.44,-6.36,-0.60,0.52,-0.43
-7.76,0.56,-6.35,-0.60,0.54,-0.43
-7.81,0.88,-6.39,-0.66,0.52,-0.43
-7.69,1.00,-6.42,-0.71,0.55,-0.46
-7.69,0.99,-6.76,-0.74,0.44,-0.49
-7.78,0.85,-6.45,-0.79,0.46,-0.52
-7.43,0.73,-6.66,-0.77,0.46,-0.54
-7.62,0.74,-6.12,-0.76,0.53,-0.53
-7.53,0.30,-6.31,-0.72,0.57,-0.47
-7.70,-0.02,-6.18,-0.58,0.64,-0.34
-7.80,-0.18,-6.19,-0.55,0.69,-0.26
-7.53,-0.01,-5.79,-0.51,0.75,-0.21
-7.36,0.27,-5.67,-0.50,0.85,-0.21
-7.03,0.03,-5.84,-0.36,0.81,-0.22
-7.13,0.12,-5.63,-0.30,0.86,-0.26
-7.17,0.07,-6.24,-0.21,0.79,-0.24
-7.48,0.08,-6.28,-0.11,0.68,-0.25
-7.59,0.07,-6.63,-0.11,0.59,-0.27
-7.45,0.05,-6.20,-0.17,0.51,-0.27
-7.07,0.53,-6.66,-0.28,0.39,-0.30
-7.04,0.56,-6.90,-0.38,0.33,-0.37
-6.70,0.76,-7.13,-0.46,0.25,-0.45
-6.88,0.62,-6.73,-0.51,0.22,-0.50
-6.79,0.37,-6.79,-0.51,0.21,-0.50
-6.78,0.51,-6.35,-0.62,0.34,-0.55
-6.61,0.76,-7.31,-0.59,0.36,-0.51
-6.94,0.63,-7.59,-0.57,0.30,-0.46
-7.12,0.43,-6.47,-0.64,0.43,-0.47
-6.94,0.62,-6.63,-0.66,0.46,-0.47
-7.06,0.55,-6.91,-0.63,0.45,-0.46
-7.28,0.47,-6.91,-0.60,0.47,-0.45
-7.23,0.40,-6.67,-0.52,0.47,-0.42
-7.31,0.31,-6.66,-0.45,0.48,-0.37
-9.39,-3.71,-19.61,-2.50,4.37,-3.27
-12.37,-5.54,-19.61,-2.82,4.37,-3.94
-15.36,-7.38,-19.61,-2.92,4.37,-4.34
-18.69,-8.71,-19.61,-3.00,4.37,-4.37
-19.61,-10.12,-19.61,-2.94,4.37,-4.37
-19.61,-11.26,-19.61,-2.59,4.37,-4.37
-19.61,-11.91,-19.61,-2.11,4.37,-4.32
-19.61,-12.12,-19.61,-1.54,4.37,-4.22
-19.61,-12.04,-19.61,-1.06,4.37,-4.21
-19.61,-10.67,-19.61,-0.57,4.37,-4.34
-19.61,-9.34,-19.61,-0.36,4.37,-4.37
-19.61,-7.92,-19.61,-0.76,4.37,-4.37
-19.61,-6.36,-19.61,-1.47,4.37,-4.37
-19.61,-5.18,-19.61,-2.31,4.37,-4.37
-19.61,-5.56,-19.61,-3.13,4.37,-4.37
-19.61,-7.05,-17.79,-3.85,4.37,-4.37
-19.61,-7.72,-15.80,-4.33,4.37,-4.37
-19.03,-8.70,-13.73,-4.37,4.37,-4.37
-16.76,-9.37,-10.78,-4.26,4.37,-4.37
-14.82,-9.55,-8.76,-3.56,4.37,-4.37
-14.43,-9.09,-8.23,-2.71,4.37,-4.33
-14.51,-7.49,-8.78,-1.94,4.37,-3.95
-13.97,-4.85,-9.46,-1.47,4.37,-3.74
-12.71,-2.96,-8.62,-1.23,4.37,-3.60
-11.02,-1.07,-7.68,-1.15,4.37,-3.44
-9.91,0.78,-6.01,-1.17,4.37,-3.21
-8.62,2.26,-5.90,-1.33,4.37,-3.02
-9.06,4.00,-6.31,-1.52,4.37,-2.73
-8.72,5.23,-6.30,-1.80,4.37,-2.61
-8.74,5.76,-6.31,-1.93,4.33,-2.46
-7.81,6.44,-5.51,-1.96,4.12,-2.36
-6.70,6.03,-5.83,-2.04,3.93,-2.16
-6.94,5.37,-4.27,-2.00,3.76,-1.85
-6.35,5.31,-2.35,-1.84,3.65,-1.62
-7.84,5.38,-2.41,-1.65,3.53,-1.30
-6.01,4.96,-1.40,-1.52,3.26,-0.84
-5.49,4.91,-0.76,-1.30,3.08,-0.28
-4.20,4.69,-0.86,-1.01,2.91,0.14
-3.33,5.16,0.12,-0.65,2.75,0.48
-1.68,5.54,0.51,-0.42,2.79,0.66
-0.28,5.66,0.23,-0.25,2.69,0.83
-0.54,6.48,1.71,-0.32,2.71,0.96
0.84,6.72,1.30,-0.34,2.67,1.09
1.53,8.79,-0.01,-0.48,2.21,1.03
0.79,6.38,1.06,-0.76,1.64,1.11
1.23,6.19,1.71,-0.88,1.26,1.27
1.85,6.40,1.81,-0.96,0.64,1.31
2.55,5.41,2.58,-0.97,-0.13,1.30
4.51,5.10,4.44,-0.67,-0.58,1.03
5.88,4.21,5.88,-0.11,-0.43,0.73
6.08,2.50,4.37,0.47,-0.29,0.79
5.86,2.40,2.75,0.94,-0.49,0.86
7.27,3.31,2.54,1.40,-0.68,0.63
7.26,3.65,2.25,1.83,-0.64,0.12
7.15,2.96,0.77,2.02,-0.62,-0.36
7.94,3.34,2.79,2.11,-0.05,-0.64
6.59,3.22,0.65,1.98,0.57,-0.59
5.29,4.51,-1.61,1.51,0.63,-0.34
4.96,7.34,-2.08,0.97,0.44,-0.27
3.84,7.99,-2.89,0.23,0.07,-0.28
3.76,7.58,-3.83,-0.59,-0.25,-0.12
3.75,7.92,-2.62,-1.19,-0.76,-0.04
4.53,7.88,-0.70,-1.42,-0.86,-0.08
4.76,9.16,-1.32,-1.34,-1.00,-0.27
3.36,7.43,-1.21,-1.24,-1.26,-0.36
3.19,6.67,-0.57,-1.00,-1.37,-0.20
3.20,7.45,-1.56,-0.73,-1.48,-0.07
2.52,8.15,-1.54,-0.56,-1.74,0.05
3.00,7.98,-0.35,-0.36,-1.64,0.21
3.40,7.75,-1.47,-0.14,-1.60,0.37
4.41,8.91,-1.92,-0.08,-1.53,0.82
4.03,9.77,-1.53,-0.27,-1.32,0.89
3.28,10.16,-2.77,-0.33,-1.63,0.94
3.81,11.02,-1.72,-0.28,-1.49,0.74
2.32,9.34,-2.69,-0.44,-1.27,0.97
1.48,10.01,-5.04,-0.76,-1.53,1.13
2.74,10.68,-3.29,-0.82,-1.79,0.96
2.35,10.55,-3.68,-0.72,-1.85,0.66
2.95,9.78,-3.77,-0.71,-2.24,0.60
3.55,8.71,-2.98,-0.72,-2.47,0.88
4.02,8.25,-2.86,-0.66,-2.61,1.21
3.98,7.33,-3.13,-0.60,-2.76,1.43
3.89,6.68,-3.79,-0.40,-2.99,1.54
3.07,5.77,-4.30,-0.11,-3.13,1.55
2.53,5.03,-5.52,0.11,-3.27,1.56
2.72,5.37,-6.50,0.16,-3.33,1.53
3.15,5.58,-6.61,0.08,-3.21,1.37
4.44,5.93,-6.34,-0.15,-3.00,1.11
4.76,5.56,-5.23,-0.35,-2.75,0.89
3.77,4.39,-5.22,-0.41,-2.59,0.81
3.04,3.78,-4.92,-0.37,-2.59,0.86
2.34,3.16,-6.02,-0.26,-2.65,0.88
0.65,1.97,-7.64,-0.15,-2.87,0.95
0.73,1.95,-8.54,-0.10,-3.19,0.97
2.10,2.20,-8.00,-0.12,-3.23,0.85
4.25,2.80,-7.45,-0.22,-3.09,0.67
4.64,3.03,-7.58,-0.30,-2.95,0.43
5.25,2.82,-7.14,-0.40,-2.97,0.22
5.29,2.22,-6.10,-0.38,-2.98,0.11
4.38,1.25,-6.34,-0.16,-3.09,0.13
3.76,1.14,-7.04,0.17,-3.31,0.16
3.08,1.37,-8.58,0.42,-3.51,0.18
2.69,1.56,-10.78,0.54,-3.72,0.17
2.12,2.18,-12.55,0.42,-3.85,0.12
2.55,2.31,-12.27,0.19,-3.80,0.04
2.79,2.04,-11.15,0.01,-3.49,-0.04
2.61,2.27,-10.15,-0.03,-3.14,-0.20
1.93,2.08,-9.70,0.05,-2.86,-0.37
2.07,1.70,-8.26,0.27,-2.67,-0.55
-0.36,0.48,-8.47,0.75,-2.46,-0.82
-1.56,0.13,-9.44,0.75,-2.77,0.10
1.49,1.31,-8.95,1.13,-2.52,-0.22
-0.81,1.47,-9.88,1.49,-2.42,-0.31
0.14,0.64,-12.08,1.45,-2.47,-0.20
1.17,0.17,-10.11,1.42,-2.28,-0.09
0.96,0.51,-10.09,1.64,-2.09,-0.07
-0.15,0.43,-10.21,1.88,-2.20,-0.11
-1.07,0.41,-9.90,2.13,-2.28,-0.02
-1.70,0.91,-11.44,2.29,-2.48,0.07
-1.70,1.85,-13.28,2.21,-2.82,0.15
-0.52,2.63,-13.86,2.00,-3.06,0.05
-0.29,2.66,-14.08,1.83,-3.03,-0.03
-0.54,2.68,-14.02,1.70,-2.90,-0.17
0.11,1.76,-13.21,1.68,-2.64,-0.24
0.84,1.12,-11.89,1.93,-2.42,-0.21
-0.96,0.28,-11.61,2.32,-2.23,-0.14
-2.52,0.82,-14.07,2.52,-2.44,0.23
-3.29,1.92,-14.79,2.43,-3.12,0.53
-1.87,3.45,-13.86,2.35,-3.15,0.51
-1.73,3.57,-15.42,2.10,-3.27,0.51
-1.83,2.96,-15.94,1.79,-3.29,0.53
-1.19,2.31,-14.88,1.67,-3.08,0.50
-2.06,2.47,-14.52,1.70,-2.74,0.48
-3.86,3.00,-13.63,1.78,-2.50,0.22
-1.60,2.09,-13.25,1.81,-2.15,-0.00
-3.27,2.10,-13.57,1.80,-2.12,-0.03
-3.34,2.26,-14.26,1.64,-2.20,-0.04
-4.53,2.05,-11.49,1.57,-2.21,-0.16
-3.16,2.57,-13.16,1.56,-2.20,-0.28
-4.29,2.44,-13.32,1.51,-2.14,-0.29
-3.62,2.71,-15.08,1.43,-2.03,-0.21
-4.02,2.12,-12.01,1.45,-1.96,-0.09
