acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-2.73,-9.25,-2.46,-1.45,0.15,-0.10
-4.34,-9.23,-0.20,-0.67,0.25,-0.43
-5.19,-8.21,-0.48,-0.38,0.45,-0.18
-5.27,-6.58,0.68,-0.19,0.53,-0.57
-5.00,-6.02,-0.77,-0.10,0.45,-0.78
-4.19,-4.81,-1.21,-0.05,-0.02,-1.15
-5.47,-4.49,-1.45,0.10,-0.44,-1.98
-4.39,-4.90,0.52,1.01,-0.85,-2.53
-1.83,-2.94,-2.83,2.07,-1.08,-3.27
-2.76,-3.42,-1.51,3.32,-1.45,-3.52
-1.35,-0.77,-1.30,4.37,-1.46,-3.85
0.52,3.30,-3.52,4.37,-1.39,-4.37
-0.36,8.61,-8.03,4.37,-1.30,-4.37
-0.64,16.97,-13.84,4.37,-1.41,-4.37
2.03,19.61,-17.70,4.37,-1.80,-4.37
3.81,19.61,-19.61,4.37,-1.54,-4.37
0.85,19.61,-19.61,4.37,-1.47,-4.37
4.92,19.61,-19.61,3.83,-1.03,-3.73
5.25,19.61,-19.61,2.92,-0.60,-1.75
8.89,19.61,-19.61,1.85,-0.19,-0.99
10.47,19.61,-19.61,0.69,0.43,0.11
7.80,19.61,-12.45,0.23,0.96,0.04
10.11,19.61,-16.22,-0.29,2.69,-0.70
-1.92,19.61,-19.61,-1.49,2.05,1.24
6.77,19.61,-15.99,-2.15,1.83,1.06
4.44,19.61,-12.96,-2.46,1.95,0.93
-1.00,16.05,-9.65,-1.99,2.69,1.66
-2.14,14.07,-9.51,-1.85,2.41,2.55
1.22,12.11,-9.37,-2.12,2.31,2.58
0.42,8.58,-6.35,-2.69,2.22,2.29
-0.79,5.66,-3.44,-2.86,1.73,1.72
-13.24,5.41,-4.11,-3.38,1.57,3.32
-6.27,2.20,-3.26,-3.77,2.05,4.37
1.52,0.24,-4.78,-4.37,1.70,4.37
-0.79,0.97,-4.78,-4.37,0.83,3.58
-7.63,-1.56,-2.83,-4.37,-0.11,4.01
-4.51,-3.08,-0.77,-4.37,-0.38,4.29
-2.20,-5.25,-0.96,-4.37,-0.54,3.96
-0.93,-6.95,-1.23,-4.37,-1.28,3.26
-1.72,-15.15,8.76,-4.37,-0.65,2.35
-0.26,-5.47,-3.07,-3.97,-0.69,1.46
-3.29,-7.39,0.09,-3.46,-1.34,0.86
-3.22,-6.40,0.68,-2.80,-1.34,0.65
-1.79,-5.70,0.40,-2.05,-1.12,0.34
-1.07,-6.59,1.18,-1.13,-0.83,-0.14
-1.60,-3.27,-1.13,-0.61,-0.73,-0.40
-1.44,-4.02,0.05,0.07,-0.84,-0.49
-1.09,-2.95,-0.35,0.55,-0.99,-0.77
-0.68,-1.70,0.19,1.07,-0.75,-1.12
0.35,-1.75,0.54,1.58,-0.25,-1.40
0.06,-0.53,-0.63,1.91,0.03,-1.67
-0.63,-0.10,-1.11,2.11,0.09,-1.98
-0.63,0.45,-0.96,2.21,0.20,-2.37
-0.81,0.97,-1.35,2.24,0.22,-2.69
-0.92,1.66,-1.22,2.28,0.13,-3.00
-1.22,2.42,-1.78,2.26,-0.04,-3.29
-1.21,2.79,-1.92,2.25,-0.24,-3.59
-1.14,3.50,-2.42,2.27,-0.52,-3.87
-1.37,4.05,-2.81,2.29,-0.79,-4.10
-1.24,4.45,-2.70,2.42,-0.91,-4.31
-1.62,5.41,-2.93,2.56,-0.91,-4.37
-2.30,7.41,-3.82,2.57,-0.77,-4.37
-1.85,9.44,-4.90,2.36,-0.64,-4.30
-1.19,11.45,-5.63,2.03,-0.61,-4.37
-0.31,12.90,-6.12,1.71,-0.62,-4.37
-0.42,12.64,-8.04,1.52,-0.78,-4.37
-3.45,11.89,-2.26,1.47,-0.59,-4.37
0.24,10.18,-3.74,1.51,-0.42,-4.37
-2.00,10.60,-2.06,2.38,0.20,-4.37
-6.02,13.76,-5.65,3.31,0.65,-4.37
