acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.46,-11.99,-3.55,-1.98,0.39,-0.63
-1.52,-13.22,-4.54,-1.53,0.19,-1.17
-2.94,-15.56,-6.16,-1.27,0.20,-1.59
-3.39,-16.48,-6.50,-1.13,0.33,-1.73
-3.52,-16.10,-5.39,-0.72,0.78,-1.79
-2.72,-15.52,-5.03,-0.07,1.37,-1.81
-3.03,-15.04,-3.85,0.70,1.91,-1.81
-3.99,-13.55,-2.45,1.32,2.11,-2.02
-5.47,-10.69,-3.45,2.05,1.99,-2.53
-5.87,-7.99,-4.92,2.51,1.23,-3.15
-6.45,-4.71,-4.73,2.89,0.61,-3.59
-7.19,-3.14,-4.49,3.29,0.33,-3.56
-7.26,-1.18,-3.49,4.09,0.47,-3.04
-5.74,3.54,-2.67,4.37,0.76,-2.51
-6.70,10.89,-3.81,4.37,1.04,-1.57
-1.28,19.61,-9.94,4.37,0.85,-0.70
2.54,19.61,-12.70,4.37,0.15,-0.06
3.24,19.61,-16.41,4.37,-0.10,0.61
6.61,19.61,-19.61,4.37,-1.22,1.97
17.71,19.61,-19.61,4.37,-4.10,1.48
16.10,19.61,1.75,4.00,0.02,0.28
18.71,19.61,-16.63,1.29,1.54,0.28
12.12,19.61,-13.60,-1.02,1.66,0.25
10.48,19.61,-10.98,-1.81,1.14,-0.91
-11.16,19.61,-15.46,-0.92,-1.69,-2.90
-19.61,19.61,-11.03,-2.78,-2.13,3.07
19.61,19.61,-3.38,-4.37,2.53,4.37
4.08,9.25,-4.73,-4.37,3.06,4.37
3.15,16.84,-10.30,-4.37,2.05,3.29
-0.42,4.75,-6.83,-4.37,1.36,3.32
-3.49,4.42,-8.60,-4.37,1.35,3.34
0.11,1.07,-6.97,-4.37,0.49,2.62
-6.19,-4.13,-0.96,-3.34,0.24,2.39
-1.59,-5.46,-4.24,-2.09,0.48,1.51
-1.73,-7.60,-5.72,-1.35,0.09,0.80
0.75,-9.78,-3.39,-1.04,0.59,1.06
2.12,-8.04,-2.12,-1.01,0.95,0.10
2.15,-9.86,-3.26,-0.70,1.38,-0.45
-1.65,-12.01,-5.04,-1.33,1.03,-0.43
-6.14,-15.14,-3.45,-2.37,0.55,-0.46
-5.12,-14.66,-0.92,-2.08,-0.27,-0.44
-1.16,-12.92,2.77,-1.54,-0.22,-0.66
