acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-4.86,10.83,19.61,-0.91,2.14,4.30
-4.09,8.60,19.61,-1.45,1.54,4.37
-4.87,7.31,19.61,-1.73,1.10,4.37
-5.33,4.91,19.61,-1.81,0.26,4.37
-5.90,2.80,19.61,-1.66,-0.39,4.37
-4.54,2.06,19.61,-1.36,-0.77,4.37
-3.53,1.83,19.61,-1.04,-0.91,4.24
-3.84,1.89,19.61,-0.83,-1.01,3.96
-4.27,1.74,19.61,-0.68,-1.22,3.70
-4.40,1.53,18.94,-0.74,-1.44,3.48
-3.90,0.62,18.49,-0.89,-1.59,3.21
-3.20,0.68,17.45,-1.15,-1.34,2.83
-4.66,0.81,14.98,-1.62,-1.25,2.71
-6.60,-0.45,12.72,-2.30,-1.89,2.87
-5.70,-0.85,12.42,-3.00,-2.59,2.82
-3.73,-1.77,12.92,-3.42,-2.98,2.44
-2.38,-2.33,13.09,-3.55,-2.97,2.05
-2.09,-3.11,13.60,-3.34,-2.92,1.78
-3.74,-4.41,13.15,-2.88,-3.00,1.71
-4.31,-4.74,12.38,-2.53,-3.07,1.87
-4.66,-4.54,11.87,-2.29,-3.27,1.92
-3.66,-3.60,11.28,-2.46,-3.39,1.81
-3.40,-3.08,10.75,-2.90,-3.48,1.44
-2.94,-3.92,10.36,-3.32,-3.51,1.10
-2.96,-4.75,9.92,-3.62,-3.42,0.57
-4.40,-5.23,9.26,-3.70,-3.42,0.45
-2.83,-4.85,7.81,-3.62,-3.20,0.23
-2.76,-5.77,9.44,-3.26,-2.75,-0.07
-3.52,-3.69,8.91,-2.73,-2.27,-0.30
-4.01,-6.21,8.53,-2.20,-1.80,-0.58
-6.95,-6.78,7.68,-1.42,-1.90,-0.57
-7.15,-6.26,6.72,-0.89,-2.31,-0.49
-4.06,-5.21,8.09,-0.64,-2.24,-0.70
-3.69,-3.79,8.30,-0.37,-1.98,-1.00
-4.19,-3.23,7.30,-0.25,-1.87,-1.41
-4.04,-3.51,7.01,-0.08,-1.98,-1.91
-4.72,-3.77,6.33,0.19,-2.15,-2.34
-4.63,-3.66,6.78,0.42,-2.37,-2.45
-3.66,-2.88,6.77,0.50,-2.40,-2.46
-2.89,-2.53,6.07,0.60,-2.30,-2.51
-6.85,-2.24,4.98,0.71,-2.46,-2.21
-0.98,-2.17,4.66,0.55,-2.39,-2.29
-4.29,-1.55,2.45,0.73,-2.46,-2.31
-2.25,-0.93,2.84,0.91,-2.42,-2.18
-1.23,0.25,1.98,1.06,-2.61,-2.56
-1.24,0.48,1.56,0.87,-2.57,-2.69
-0.11,0.57,2.24,0.66,-2.45,-2.93
0.13,0.87,1.37,0.54,-2.04,-2.97
0.35,0.71,0.54,0.45,-1.77,-2.94
0.53,0.54,-0.33,0.39,-1.66,-3.07
0.71,0.41,-0.30,0.43,-1.50,-3.24
-0.49,1.20,-0.83,0.50,-1.36,-3.26
-1.65,1.86,-1.41,0.51,-1.51,-2.94
