acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-2.29,3.89,15.85,-2.09,-2.18,1.73
-2.34,4.03,16.93,-2.09,-2.13,1.74
-3.55,4.25,17.49,-2.02,-2.21,1.78
-5.04,5.19,17.72,-2.03,-2.28,1.85
-6.53,5.47,16.62,-2.22,-2.51,1.94
-8.13,5.48,15.27,-2.46,-2.88,1.96
-7.58,5.61,15.17,-2.65,-3.10,2.03
-5.79,5.36,14.77,-2.95,-3.10,1.94
-4.71,5.20,15.00,-3.24,-2.87,1.78
-5.49,3.22,14.37,-3.42,-2.60,1.64
-6.11,1.84,15.37,-3.24,-2.21,1.68
-6.87,-0.57,15.34,-2.77,-1.82,1.96
-8.02,-1.02,13.95,-2.37,-1.46,2.30
-11.99,0.23,11.68,-2.94,-1.87,2.28
-13.40,1.61,10.16,-3.43,-2.78,2.12
-11.49,0.55,9.13,-3.86,-3.79,1.57
-7.96,-1.86,10.06,-3.96,-4.37,0.98
-6.14,-3.83,11.69,-3.79,-4.37,0.69
-3.81,-5.13,11.84,-3.33,-4.26,0.58
-5.47,-5.52,11.48,-2.67,-3.69,0.40
-6.64,-5.05,9.67,-2.07,-3.26,0.51
-6.22,-4.79,9.92,-1.71,-2.83,0.82
-5.63,-4.03,8.50,-1.87,-2.38,0.88
-5.91,-3.89,7.17,-2.12,-2.14,0.96
-7.09,-4.46,6.59,-2.19,-2.19,0.88
-7.77,-6.04,6.76,-2.30,-2.43,0.79
-7.49,-5.70,5.67,-2.85,-2.85,0.39
-6.36,-5.32,6.66,-2.72,-3.17,-0.19
-5.20,-5.68,5.18,-1.98,-3.35,-0.94
-4.62,-7.18,5.05,-1.37,-3.24,-1.31
-3.80,-8.08,4.48,-0.77,-3.03,-1.38
-4.35,-7.49,3.55,-0.44,-2.63,-1.20
-3.84,-6.86,2.64,-0.30,-2.27,-0.98
-2.75,-6.38,1.60,-0.47,-1.93,-0.99
-1.53,-6.00,0.87,-0.47,-1.76,-1.28
-1.36,-6.64,0.51,-0.43,-1.63,-1.73
-1.90,-7.76,-1.16,-0.32,-1.47,-2.00
-1.76,-7.25,-0.83,-0.11,-1.42,-2.24
-1.44,-7.13,-1.05,-0.10,-1.43,-2.37
-1.79,-6.83,-0.63,-0.09,-1.16,-2.38
-1.28,-6.68,-0.56,-0.18,-0.87,-2.40
-1.33,-6.89,-0.91,-0.10,-0.58,-2.47
-1.11,-6.80,-1.76,-0.04,-0.32,-2.49
-0.81,-6.36,-2.18,0.00,-0.05,-2.55
-0.69,-5.43,-1.97,0.04,0.28,-2.62
-0.94,-4.53,-2.19,0.06,0.59,-2.74
-2.11,-4.39,-2.23,0.06,0.73,-2.86
-1.75,-3.92,-2.81,0.07,0.84,-2.88
-1.41,-4.61,-2.66,0.01,0.96,-3.04
-1.67,-3.61,-1.91,-0.02,1.16,-3.09
-1.60,-3.19,-1.54,0.06,1.41,-3.23
-1.64,-2.69,-1.36,0.15,1.75,-3.27
-1.89,-2.27,-1.11,0.30,2.00,-3.38
-2.58,-2.01,-1.31,0.52,2.30,-3.38
-3.56,-1.77,-2.14,0.69,2.48,-3.32
-4.34,-1.05,-2.06,0.76,2.63,-3.20
-4.68,-0.26,-1.91,0.76,2.79,-3.11
-5.54,0.59,-1.91,0.68,2.96,-3.03
-6.36,1.67,-2.25,0.46,3.05,-2.96
-6.42,2.53,-2.16,0.23,3.16,-2.90
-6.92,3.02,-1.56,0.05,3.30,-2.86
-6.70,3.71,-0.48,-0.29,3.61,-2.85
-7.86,4.39,0.36,-0.67,4.04,-2.84
-9.12,5.31,-0.36,-1.15,4.37,-2.70
-10.13,4.33,1.95,-1.50,4.37,-2.67
-13.60,6.80,1.45,-2.41,4.37,-2.15
-13.21,7.02,2.53,-3.04,4.37,-1.83
-15.79,7.39,5.37,-3.53,4.37,-1.51
-14.96,7.58,3.77,-3.88,4.37,-1.03
-13.55,6.97,6.08,-4.26,4.37,-0.58
-12.21,5.91,9.96,-4.37,4.35,-0.14
-11.93,4.74,13.07,-4.32,4.37,0.32
-13.30,4.18,13.86,-4.03,4.37,0.72
-16.43,4.54,14.28,-3.53,4.37,1.10
-19.57,4.18,14.39,-3.24,4.37,1.74
-16.29,5.07,13.87,-3.21,4.35,2.31
-15.21,4.84,15.80,-3.43,4.05,2.55
-16.35,2.33,16.71,-3.55,3.53,3.24
-14.00,-0.15,19.61,-3.87,3.07,3.78
-13.47,-0.54,19.61,-3.84,3.01,4.12
-15.72,0.16,19.61,-3.51,3.15,4.25
-17.22,-0.34,19.61,-2.83,2.31,4.15
-16.76,-2.14,19.41,-2.29,1.03,4.22
-16.27,-4.77,19.61,-2.58,0.24,4.37
-12.83,-5.85,19.61,-2.84,-0.22,4.37
-12.63,-6.73,19.61,-3.28,-0.46,4.37
-13.83,-6.61,19.61,-3.58,-0.54,4.37
-14.89,-6.32,19.61,-3.71,-1.11,4.37
