acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
12.19,7.64,-4.57,-1.82,2.75,4.28
11.21,7.67,-4.50,-1.01,2.81,4.29
9.97,8.37,-3.71,-0.38,2.66,4.37
9.32,8.60,-3.90,0.07,2.36,4.37
9.90,8.87,-3.13,0.62,2.10,4.37
10.44,8.95,-2.62,1.14,2.02,4.37
10.49,9.71,-2.46,1.57,2.04,4.37
9.99,9.65,-2.44,1.85,2.05,4.37
8.97,9.11,-2.88,1.96,1.95,4.37
8.89,8.37,-3.27,2.04,1.65,4.37
8.48,6.89,-4.13,2.13,1.30,4.37
9.07,5.17,-4.70,2.31,0.87,4.37
8.90,4.12,-5.12,2.54,0.48,4.37
7.73,4.09,-6.11,2.64,0.27,4.37
9.49,2.77,-10.07,2.27,-0.16,4.37
10.04,1.71,-9.98,1.53,-0.49,4.37
12.52,0.41,-12.68,0.94,-0.42,4.37
13.80,-2.13,-10.86,0.28,-0.36,4.37
11.77,-4.58,-12.71,-0.26,-0.21,4.37
11.44,-4.47,-11.52,-0.70,-0.01,4.37
10.25,-6.04,-11.35,-0.96,-0.17,4.37
8.42,-7.69,-13.76,-1.09,-0.47,4.37
8.93,-7.84,-13.79,-1.35,-0.51,4.21
10.09,-7.80,-11.70,-1.40,-0.32,3.28
15.36,-6.61,-10.41,-1.14,0.61,1.80
11.18,-5.73,-10.84,-0.87,1.67,0.95
9.98,-4.69,-10.16,-0.91,2.58,0.15
7.31,-4.52,-9.90,-1.07,3.10,-0.52
5.47,-3.96,-7.38,-1.02,3.51,-1.16
6.99,-4.47,-5.56,-0.98,4.37,-2.08
4.83,-2.54,-5.20,-0.71,4.37,-2.75
2.60,-0.78,-7.16,-1.00,4.37,-3.31
-1.11,0.60,-4.15,-0.81,4.37,-4.05
-1.84,1.89,-0.19,-1.52,4.37,-4.37
-3.27,1.43,0.03,-1.61,4.37,-4.37
-7.28,1.59,0.70,-1.82,4.37,-4.37
-11.04,0.47,2.55,-1.57,4.37,-4.37
-13.99,-0.43,4.88,-1.04,4.37,-4.37
-16.01,-0.40,5.92,-0.01,4.37,-4.37
-18.86,-1.86,5.91,0.76,4.37,-4.37
-19.61,-3.69,7.59,1.98,4.37,-4.37
-19.61,-3.02,6.00,2.87,4.37,-4.37
-19.61,-0.81,5.26,3.27,4.37,-4.37
-19.61,3.42,5.93,2.57,4.37,-3.68
-19.51,6.94,6.93,1.63,3.55,-3.00
-12.05,8.34,11.02,0.86,2.28,-2.80
-5.94,9.71,11.26,0.43,1.57,-2.68
-2.13,11.28,12.25,0.24,1.03,-2.54
-5.04,12.16,19.61,-0.17,-0.49,-2.96
6.45,14.09,19.61,1.28,0.87,-3.52
-3.00,9.35,16.17,1.46,1.68,-2.67
-8.52,7.17,11.21,0.93,0.88,-0.76
-9.55,6.46,10.57,0.34,0.25,0.77
-6.91,5.50,9.27,-0.22,-0.25,1.82
-4.06,6.24,7.47,-0.84,-0.70,2.08
-2.30,4.64,7.70,-1.14,-1.09,2.14
0.23,4.08,9.64,-1.09,-1.10,1.88
2.38,3.07,9.72,-0.94,-0.72,1.41
1.86,2.11,10.38,-0.75,-0.07,1.00
0.85,1.55,10.34,-0.46,0.35,0.78
0.26,1.52,11.93,0.10,0.66,0.57
-0.35,1.42,12.37,0.90,0.96,0.42
-0.88,1.38,10.87,1.47,1.15,0.47
-1.71,2.00,9.87,1.77,1.23,0.64
-2.44,2.60,8.72,1.77,1.13,0.71
-4.17,3.72,8.08,1.50,0.70,0.81
-4.04,4.30,7.46,1.12,0.30,0.90
-4.05,3.73,7.44,0.73,-0.05,0.94
-4.05,3.53,7.33,0.53,-0.31,1.01
-3.38,2.94,6.80,0.47,-0.53,1.09
-2.37,2.68,6.72,0.53,-0.61,1.14
-1.74,2.04,6.01,0.68,-0.55,1.05
-1.41,1.64,5.61,0.89,-0.40,1.04
-1.30,1.47,5.25,1.17,-0.18,0.99
-1.75,1.07,4.64,1.55,0.01,0.91
-2.23,0.94,3.93,1.90,0.06,0.92
-1.98,1.44,3.33,2.07,-0.06,0.94
-1.87,1.97,3.30,2.17,-0.14,0.94
-1.27,2.63,3.08,2.29,-0.23,0.88
-0.68,2.81,2.67,2.41,-0.29,0.73
-0.56,3.15,2.21,2.51,-0.25,0.55
-0.75,3.35,1.14,2.53,-0.19,0.39
-0.98,3.32,0.68,2.53,-0.16,0.23
-0.67,3.46,0.91,2.49,-0.01,0.09
0.26,4.07,1.23,2.36,0.21,-0.07
1.24,4.54,1.58,2.19,0.39,-0.22
2.04,5.07,2.17,2.02,0.50,-0.35
1.81,5.91,2.10,1.85,0.54,-0.49
1.02,6.13,1.53,1.62,0.40,-0.63
0.35,5.88,1.30,1.49,0.19,-0.81
-0.11,5.79,1.10,1.50,-0.04,-1.06
-0.34,5.57,1.14,1.65,-0.22,-1.30
-0.15,5.49,0.69,1.89,-0.34,-1.37
0.70,6.11,1.07,2.04,-0.36,-1.24
1.55,6.65,0.59,2.07,-0.29,-1.07
2.44,6.93,0.42,2.11,-0.15,-1.08
2.59,6.94,0.31,2.18,0.03,-1.29
2.09,7.02,0.06,2.29,0.18,-1.64
1.18,7.43,-0.51,2.42,0.23,-2.11
-0.36,7.29,-0.38,2.60,0.26,-2.51
0.32,6.56,-0.35,2.81,0.20,-2.80
-0.30,8.75,-1.03,3.00,0.30,-2.87
-0.35,9.26,0.73,3.06,0.40,-2.76
0.44,9.53,-0.29,2.94,0.55,-2.85
-0.48,10.35,-1.59,2.74,0.61,-2.66
-0.46,10.10,-1.55,2.48,0.49,-2.71
-1.57,9.62,-1.91,2.25,0.42,-2.79
-1.21,9.91,-2.08,2.08,0.35,-3.01
-1.77,10.52,-1.44,2.12,0.44,-3.30
-2.30,10.97,-1.63,2.25,0.45,-3.51
-2.81,12.49,-0.98,2.46,0.48,-3.57
-3.46,13.17,-1.03,2.70,0.67,-3.39
-4.87,12.94,-1.50,2.81,0.73,-3.05
-5.52,12.56,-1.82,2.91,0.65,-2.56
-5.39,12.05,-1.89,3.15,0.62,-2.24
-4.89,12.33,-2.35,3.47,0.52,-2.03
-3.74,13.53,-2.77,3.64,0.42,-2.05
-3.17,14.65,-3.26,3.66,0.45,-2.31
-2.62,15.72,-4.26,3.58,0.42,-2.53
-3.82,15.94,-3.67,3.32,0.11,-2.91
-4.17,16.01,-3.01,2.83,0.26,-2.98
-3.05,14.76,-2.78,2.18,0.33,-3.16
-4.29,13.70,-2.91,1.68,0.35,-3.40
-5.89,12.32,-2.99,1.23,0.26,-3.30
-6.61,11.29,-3.16,0.80,0.11,-3.05
-7.69,10.39,-3.10,0.55,-0.10,-2.77
-7.79,9.84,-2.99,0.54,-0.33,-2.50
-8.16,9.34,-3.11,0.84,-0.56,-2.34
-8.50,8.95,-2.66,1.46,-0.66,-2.17
-8.91,9.72,-4.21,1.84,-0.67,-1.94
-8.22,10.29,-4.50,1.91,-0.71,-1.84
-6.88,11.27,-3.46,2.13,-0.68,-2.03
-4.86,13.51,-1.73,2.54,-0.15,-2.71
-5.40,15.32,-1.41,3.10,0.64,-3.32
-8.36,14.20,-2.60,3.45,1.14,-3.24
-10.57,13.27,-5.05,3.19,1.05,-2.58
-12.26,11.84,-7.02,2.53,0.57,-1.41
-11.50,9.99,-7.68,1.58,0.17,-0.33
-10.51,8.24,-7.67,0.51,-0.29,0.42
-10.20,6.51,-7.26,-0.43,-0.68,0.87
-8.68,5.36,-6.28,-1.04,-0.97,0.81
-6.91,4.99,-5.60,-1.37,-1.13,0.27
-5.91,5.47,-4.76,-1.48,-1.18,-0.40
-7.66,3.41,-6.12,-1.54,-1.36,-0.84
-8.65,1.73,-5.53,-1.48,-1.43,-0.90
-8.09,0.77,-4.48,-1.32,-1.34,-0.65
-7.01,1.58,-4.65,-1.01,-1.20,-0.36
-6.85,1.72,-4.19,-0.67,-0.88,-0.15
-6.92,1.71,-4.24,-0.39,-0.53,0.00
-6.50,2.12,-4.01,-0.19,-0.21,-0.04
-6.77,2.47,-3.64,-0.07,0.09,-0.12
-6.87,3.12,-4.29,-0.02,0.27,-0.25
-6.92,3.56,-4.16,-0.02,0.34,-0.47
-7.38,3.97,-4.47,-0.11,0.45,-0.68
-7.56,3.67,-3.90,-0.13,0.48,-0.82
-7.85,3.72,-3.68,-0.20,0.51,-0.88
-8.37,3.77,-4.43,-0.24,0.47,-0.86
-8.79,3.81,-4.24,-0.32,0.41,-0.80
-9.10,3.76,-4.16,-0.35,0.35,-0.67
-8.74,3.93,-4.22,-0.41,0.25,-0.55
-8.93,3.96,-3.91,-0.43,0.17,-0.47
-8.75,4.07,-4.22,-0.49,0.08,-0.38
-8.44,4.30,-4.26,-0.55,0.00,-0.34
-8.65,4.24,-3.85,-0.56,-0.07,-0.33
-8.27,4.07,-3.79,-0.56,-0.08,-0.33
-8.45,3.80,-3.89,-0.57,-0.08,-0.28
-8.45,3.73,-3.84,-0.56,-0.07,-0.20
