acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
6.16,-6.00,-13.46,2.96,-2.62,2.94
6.11,-3.49,-14.88,3.80,-2.78,2.37
7.08,-0.03,-15.46,3.93,-3.24,1.69
6.70,0.42,-15.03,3.94,-3.32,0.99
-2.73,-7.64,-8.77,3.73,-2.75,0.93
5.36,-0.20,-19.61,3.38,-2.73,1.15
11.34,1.93,-16.36,3.76,-2.63,0.41
7.53,6.95,-18.12,3.76,-2.28,-0.70
5.02,4.76,-19.58,3.34,-1.79,-1.72
4.79,2.92,-19.61,2.92,-1.46,-2.70
2.10,0.72,-19.61,2.50,-1.66,-3.56
2.65,0.13,-19.61,2.45,-1.00,-3.99
2.25,-4.31,-18.99,3.07,0.59,-4.09
2.38,-4.34,-19.61,3.30,2.23,-4.35
1.86,-4.03,-19.61,2.84,3.21,-4.37
1.97,-1.07,-19.61,2.27,4.22,-4.37
3.61,0.68,-19.61,1.52,4.37,-4.37
0.58,0.31,-19.61,0.56,4.37,-4.37
0.89,-1.59,-16.43,-0.68,4.37,-4.37
-0.65,-0.98,-16.07,-2.16,4.37,-4.37
-5.55,-5.31,-7.49,-3.30,4.37,-4.37
-13.27,-6.00,-14.22,-3.68,4.37,-4.37
-7.90,-7.11,-3.21,-4.37,4.37,-4.37
-10.70,-6.42,-8.34,-4.37,4.37,-4.37
-14.12,-9.01,2.16,-2.97,4.37,-4.37
-14.00,-6.28,5.63,-1.43,4.37,-3.95
-19.61,-6.24,1.40,-0.53,4.37,-3.27
-19.61,2.71,-15.99,-0.29,4.37,-2.75
-19.61,2.78,-2.31,-1.94,4.37,-1.43
-19.61,5.00,7.60,-2.93,4.37,-1.81
-19.61,6.10,15.36,-3.65,4.37,-2.17
-15.39,2.58,15.01,-4.37,3.98,-2.39
-13.86,1.62,15.41,-3.99,2.20,-3.05
-7.63,0.35,18.05,-3.74,1.45,-3.20
-3.07,-0.79,19.61,-1.79,2.12,-3.42
-3.84,-1.00,16.95,-0.02,2.90,-3.49
-9.66,-0.91,10.04,0.90,2.83,-2.89
-9.17,0.01,8.90,1.21,1.62,-2.09
-6.70,2.81,12.10,1.48,1.50,-1.39
-3.56,4.74,12.25,1.24,1.99,-1.01
-2.00,6.13,13.08,1.00,2.12,-1.26
-2.73,6.27,12.76,1.26,1.98,-1.29
-4.93,7.34,11.54,1.02,2.26,-1.37
-4.64,7.31,8.85,0.51,1.88,-1.21
-3.58,6.69,10.19,0.12,1.55,-1.00
-4.45,6.45,12.23,-0.04,1.27,-0.70
-3.44,6.50,10.90,-0.18,1.11,-0.34
-3.34,5.60,12.05,-0.39,0.96,-0.07
-3.55,5.06,12.05,-0.51,0.90,0.19
-3.48,4.57,13.09,-0.46,0.86,0.39
-3.42,4.38,14.14,-0.09,0.82,0.56
-3.20,4.31,14.18,0.27,0.79,0.68
-3.28,4.78,13.04,0.60,0.70,0.72
-4.04,4.52,12.97,0.87,0.61,0.79
-4.46,4.27,11.98,1.10,0.64,0.92
-4.71,4.48,11.10,1.19,0.57,1.04
-5.05,5.00,10.16,1.25,0.40,1.10
-5.17,4.96,9.12,1.19,0.22,1.18
-4.85,5.04,8.00,1.04,-0.11,1.31
-4.24,5.34,7.65,0.75,-0.39,1.41
-3.38,5.62,7.64,0.44,-0.51,1.38
-3.36,5.43,7.24,0.12,-0.52,1.34
-3.61,5.04,7.08,-0.11,-0.56,1.28
-4.05,4.72,6.74,-0.23,-0.69,1.21
-4.11,4.43,6.06,-0.19,-0.84,1.15
-3.02,3.77,5.77,-0.06,-1.03,1.12
-2.29,3.92,5.41,0.09,-1.18,1.07
-1.71,3.91,5.34,0.33,-1.21,0.99
-1.28,3.97,4.89,0.53,-1.15,0.91
-1.21,3.74,4.35,0.65,-1.07,0.87
-0.98,3.55,4.32,0.79,-0.98,0.85
-0.36,3.46,4.16,0.98,-0.87,0.87
0.33,3.88,3.82,1.17,-0.80,0.82
