acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-14.74,0.66,-18.49,-0.99,-1.32,-4.37
-14.25,2.69,-19.61,-2.15,-0.19,-4.37
-14.85,4.83,-19.05,-3.55,0.97,-4.37
-17.13,6.50,-19.61,-4.37,2.53,-4.37
-19.07,3.97,-19.61,-4.37,3.72,-4.37
-19.61,1.90,-19.61,-4.37,4.37,-4.37
-19.61,-1.10,-19.61,-4.37,4.37,-4.37
-19.61,-4.78,-19.61,-4.37,4.37,-4.37
-19.61,-10.10,-18.88,-4.37,4.37,-4.37
-19.61,-7.83,-17.44,-4.04,4.37,-4.37
-19.61,-6.75,-13.55,-2.28,4.37,-4.37
-19.61,-5.02,-15.01,-0.81,4.37,-4.29
-19.61,-3.19,-16.84,0.13,4.37,-4.20
-19.61,-1.15,-19.57,0.31,4.37,-4.37
-19.61,-0.13,-19.61,0.20,4.37,-4.37
-19.61,0.83,-19.61,-0.40,4.37,-4.37
-19.61,2.06,-19.61,-1.31,4.37,-4.37
-19.61,3.02,-16.24,-2.21,4.37,-4.37
-19.61,-0.13,-19.61,-3.46,4.37,-4.37
-19.61,-0.76,-14.45,-4.13,4.37,-3.84
-19.61,-3.15,-14.91,-4.37,4.37,-2.71
-19.61,-3.20,-12.43,-4.37,4.37,-1.79
-19.61,-2.30,-8.09,-4.37,4.37,-1.42
-19.61,-6.56,-8.23,-4.37,4.37,-1.22
-19.61,-1.43,-7.36,-4.37,4.37,-1.06
-17.50,-9.41,-3.12,-4.37,4.37,-0.83
-16.50,-7.66,-4.09,-3.91,3.62,-0.42
-13.77,-7.76,-1.81,-3.10,3.16,-0.11
-12.72,-6.02,-3.85,-2.61,2.71,0.16
-10.90,-4.79,-2.17,-2.32,2.31,0.41
-9.37,-2.93,-2.16,-2.33,2.07,0.47
-7.10,-1.42,-0.59,-2.40,2.06,0.34
-6.32,-0.50,-1.33,-2.51,2.00,0.11
-6.09,-0.73,-1.21,-2.58,1.82,-0.02
-6.56,-0.34,-1.41,-2.58,1.59,-0.14
-6.28,-0.76,-1.38,-2.41,1.34,-0.18
-5.75,-1.02,-1.48,-2.11,1.06,-0.11
-5.99,-1.20,-2.23,-1.81,0.72,0.07
-5.90,-0.87,-2.77,-1.59,0.41,0.33
-5.51,-0.39,-2.82,-1.45,0.21,0.57
-4.56,0.36,-2.52,-1.40,0.14,0.80
-3.85,1.19,-2.52,-1.35,0.11,0.94
-3.39,1.29,-2.00,-1.27,0.15,1.02
-2.98,0.88,-1.78,-1.10,0.25,1.14
-3.12,0.49,-2.00,-0.89,0.31,1.26
-3.30,0.27,-2.74,-0.68,0.25,1.41
-3.03,-0.29,-2.38,-0.44,0.10,1.55
-2.41,0.83,-3.71,-0.27,0.07,1.58
-1.84,1.22,-4.61,-0.22,-0.15,1.50
-1.56,2.09,-3.90,-0.31,-0.24,1.33
-1.17,2.34,-3.75,-0.40,-0.32,1.16
-0.88,2.94,-3.96,-0.52,-0.39,0.90
-0.64,3.20,-3.66,-0.61,-0.50,0.63
-0.55,3.31,-4.76,-0.61,-0.78,0.40
-1.28,2.53,-2.68,-0.58,-0.75,0.27
-0.68,2.61,-2.32,-0.40,-0.72,0.02
-1.34,2.27,-3.14,-0.20,-0.63,-0.07
-1.44,1.81,-3.68,-0.10,-0.69,-0.17
-1.34,1.93,-3.22,-0.07,-0.64,-0.27
-1.31,2.23,-3.35,-0.09,-0.51,-0.39
-1.48,2.33,-3.68,-0.12,-0.39,-0.59
-1.72,2.58,-3.68,-0.18,-0.33,-0.83
-1.94,2.56,-3.78,-0.24,-0.30,-1.03
-2.24,2.51,-3.99,-0.30,-0.33,-1.16
-3.05,2.31,-3.94,-0.33,-0.40,-1.21
-2.80,2.45,-4.23,-0.37,-0.53,-1.24
-3.03,2.52,-4.26,-0.40,-0.65,-1.29
-3.15,2.36,-4.52,-0.44,-0.77,-1.34
-3.35,2.39,-4.67,-0.44,-0.92,-1.41
-2.79,2.79,-4.76,-0.39,-1.10,-1.50
-2.12,3.56,-4.41,-0.33,-1.22,-1.64
-2.32,3.93,-4.79,-0.22,-1.22,-1.70
-3.03,4.22,-5.17,-0.11,-1.24,-1.74
-3.94,4.16,-6.03,-0.01,-1.37,-1.71
-5.14,3.69,-6.96,0.14,-1.58,-1.60
-5.57,3.40,-8.14,0.26,-1.89,-1.45
-6.62,3.08,-5.78,0.42,-2.31,-1.24
-4.25,4.01,-9.38,0.52,-2.52,-1.19
-2.04,3.96,-9.19,0.42,-2.43,-1.03
-1.32,4.70,-8.62,0.59,-2.40,-1.36
-19.61,3.45,-19.61,-0.38,-3.69,-3.47
-15.25,5.52,-19.61,-2.10,-2.86,-3.60
-7.92,11.84,-19.61,-3.60,-1.17,-4.13
-14.07,4.23,-19.61,-4.37,1.63,-3.95
-13.34,4.14,-19.61,-4.37,4.37,-4.11
-19.61,-0.41,-19.61,-4.37,4.37,-4.26
-19.61,-0.08,-19.61,-4.37,4.37,-4.37
-19.61,-2.68,-19.61,-3.36,4.37,-4.37
-19.61,-3.60,-19.61,-1.71,4.37,-4.36
-19.61,-4.02,-19.61,-0.56,4.37,-3.96
-19.61,-2.09,-19.33,0.45,4.37,-3.58
-19.61,0.27,-18.98,1.44,4.37,-3.28
-19.61,3.67,-5.61,3.16,4.37,-3.46
-19.61,3.00,-19.61,2.66,4.37,-3.92
-19.61,7.78,-19.61,2.02,4.37,-4.17
-19.61,10.46,-19.61,1.33,4.37,-4.37
-19.61,12.03,-19.61,-0.19,4.37,-4.37
-19.61,8.71,-19.61,-1.76,4.37,-4.37
-19.61,6.03,-19.61,-3.19,4.37,-4.37
-19.61,4.81,-17.58,-4.36,4.37,-4.28
-19.61,2.60,-7.47,-4.37,4.37,-3.95
-19.61,-0.10,-9.83,-4.37,4.37,-3.25
-19.61,-1.53,-5.63,-4.37,4.37,-3.06
-19.61,-3.20,-8.38,-4.37,4.37,-1.99
-19.61,-4.78,-7.35,-4.37,4.37,-1.00
-18.66,-6.73,-4.60,-4.37,4.37,-0.25
-16.33,-6.64,-3.02,-4.37,3.72,-0.00
-14.43,-6.21,-1.73,-4.17,3.25,0.14
-12.50,-5.86,-1.28,-3.17,2.90,0.25
-10.62,-4.52,-1.21,-2.39,2.57,0.26
-8.50,-3.41,-1.49,-1.82,2.18,0.28
-8.04,-2.51,-1.38,-1.43,1.94,0.30
-7.81,-2.16,-2.10,-1.26,1.69,0.47
-6.91,-1.39,-2.43,-1.35,1.34,0.71
-5.38,-0.57,-2.12,-1.44,1.18,0.75
-4.35,0.72,-2.32,-1.47,0.99,0.62
-3.36,1.72,-2.29,-1.51,0.80,0.43
-3.60,1.51,-2.12,-1.56,0.67,0.29
-3.11,1.27,-1.69,-1.40,0.54,0.16
-2.65,0.87,-1.82,-1.07,0.48,0.14
-2.88,0.74,-2.94,-0.64,0.24,0.38
-0.22,0.51,-6.29,-0.47,0.17,0.93
-0.94,2.03,-6.33,-0.44,-0.14,1.18
-1.61,0.62,-4.53,-0.38,-0.43,1.40
-1.75,2.26,-4.91,-0.52,-0.60,1.67
-0.21,2.07,-4.19,-0.55,-0.53,1.81
0.60,2.93,-3.69,-0.49,-0.43,1.75
0.53,3.31,-3.80,-0.33,-0.39,1.54
0.03,2.70,-3.17,-0.22,-0.40,1.33
0.42,1.44,-2.79,-0.01,-0.47,1.07
0.31,0.67,-2.57,0.32,-0.42,0.87
0.34,-0.13,-2.50,0.65,-0.20,0.78
1.33,-0.35,-2.96,0.87,-0.04,0.72
1.82,-0.25,-2.93,0.90,0.06,0.68
2.95,0.89,-2.69,0.97,0.26,0.36
2.77,1.69,-3.50,0.94,0.55,0.00
2.59,1.98,-3.84,0.79,0.77,-0.29
1.83,2.70,-3.94,0.60,0.91,-0.54
1.50,2.69,-4.44,0.46,1.00,-0.66
0.13,2.51,-4.85,0.25,0.81,-0.53
-19.61,1.70,-19.61,0.06,-3.04,-4.37
-14.69,2.62,-19.61,-0.58,-1.52,-4.37
-15.52,6.43,-15.33,-1.12,0.61,-4.37
-16.86,6.15,-13.87,-1.31,3.15,-4.37
-19.61,6.11,-16.07,-1.52,4.37,-4.37
-19.61,7.00,-19.51,-2.17,4.37,-4.37
-19.61,5.79,-19.61,-3.09,4.37,-4.37
-19.61,4.97,-19.61,-4.12,4.37,-4.37
-19.61,3.99,-19.61,-4.37,4.37,-4.37
-19.61,1.30,-19.61,-4.37,4.37,-4.37
-19.61,-1.21,-18.86,-4.37,4.37,-4.37
-19.61,-6.52,-19.61,-4.37,4.37,-4.37
-19.61,-7.11,-19.61,-4.10,4.37,-4.37
-19.61,-6.82,-19.61,-3.04,4.37,-4.37
-19.61,-6.28,-19.61,-2.52,4.37,-4.37
-19.61,-4.26,-19.61,-2.19,4.37,-3.86
-19.61,-2.59,-19.61,-1.84,4.37,-3.07
-19.61,-0.50,-18.75,-1.63,4.37,-2.85
-19.61,0.04,-16.46,-1.34,4.37,-2.80
-19.61,0.25,-14.10,-1.27,4.37,-2.54
-19.61,-0.86,-12.47,-1.57,4.37,-1.99
-19.61,-1.52,-9.94,-2.05,4.37,-1.30
-19.24,1.71,-8.00,-2.72,4.37,-0.87
-19.61,3.60,-7.53,-3.67,4.37,-0.83
-19.36,-2.10,-7.32,-4.35,4.37,-0.70
-19.61,-1.07,-4.84,-4.37,4.37,-0.90
-17.37,-2.14,-5.36,-4.37,4.37,-1.24
-16.46,-1.79,-4.38,-4.37,3.65,-1.62
-14.92,-4.15,-4.12,-4.23,2.87,-1.41
-12.99,-5.78,-3.14,-3.87,2.06,-0.89
-10.70,-5.66,-1.86,-3.39,1.44,-0.24
-9.12,-4.43,-1.63,-3.00,1.05,0.23
-8.98,-3.40,-2.29,-2.77,0.81,0.68
-8.02,-1.39,-1.29,-2.79,0.77,0.96
-5.77,-0.29,-1.90,-2.80,0.79,0.93
-4.50,0.62,-1.81,-2.63,0.66,0.77
-4.26,0.53,-2.13,-2.43,0.47,0.69
-4.25,-0.15,-2.12,-2.28,0.32,0.73
-3.73,-0.57,-2.89,-2.14,0.10,0.82
-3.54,-0.49,-3.28,-2.05,-0.11,0.98
-2.66,0.19,-3.44,-2.03,-0.27,1.12
-1.98,1.19,-3.69,-2.07,-0.31,1.12
-1.63,1.41,-3.46,-2.10,-0.35,1.08
-0.79,1.17,-2.96,-2.05,-0.39,1.06
-1.00,0.93,-2.41,-1.86,-0.41,1.08
-2.31,1.33,-1.49,-1.59,-0.43,1.16
-1.02,0.56,-4.00,-1.33,-0.54,1.35
-0.11,0.17,-3.40,-1.07,-0.63,1.47
-1.21,0.49,-2.30,-0.79,-0.78,1.49
-0.22,1.31,-3.13,-0.53,-0.96,1.30
0.20,0.91,-1.98,-0.21,-1.02,0.99
0.12,0.75,-1.50,0.14,-0.87,0.70
0.46,0.34,-1.89,0.43,-0.73,0.34
-0.01,0.37,-1.94,0.65,-0.45,0.04
0.91,-0.08,-2.16,0.68,-0.26,0.03
0.86,0.31,-2.26,0.69,0.08,-0.05
0.51,0.76,-3.06,0.67,0.39,-0.08
-0.08,0.83,-3.76,0.51,0.54,-0.03
-0.37,1.01,-3.78,0.31,0.62,0.04
-0.08,1.59,-4.00,0.09,0.60,0.06
-19.61,9.13,-19.61,-3.27,0.89,-4.37
-19.61,4.58,-19.61,-4.22,1.71,-4.37
