acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-13.42,-2.94,-19.61,-3.49,-0.36,-4.37
-13.27,-2.41,-19.14,-4.37,0.96,-4.37
-14.03,-2.48,-19.08,-4.37,2.34,-4.37
-16.17,-4.45,-19.61,-4.37,3.22,-4.37
-18.75,-6.91,-19.61,-4.37,3.66,-4.37
-19.61,-8.87,-19.61,-4.37,4.00,-4.37
-19.61,-9.29,-17.97,-4.31,4.37,-4.37
-19.61,-8.32,-16.70,-3.61,4.37,-4.37
-19.61,-7.54,-15.10,-3.10,4.37,-4.37
-19.61,-6.52,-14.41,-2.62,4.37,-4.37
-19.61,-6.54,-14.52,-2.23,4.37,-4.37
-19.61,-6.22,-16.21,-1.84,4.37,-4.28
-19.61,-7.05,-15.76,-1.49,4.37,-4.01
-19.61,-5.96,-17.35,-1.29,4.37,-3.58
-19.61,-5.05,-17.22,-1.34,4.37,-3.14
-19.61,-3.51,-15.87,-1.45,4.37,-2.79
-19.61,-1.58,-13.29,-1.61,4.37,-2.76
-19.61,-2.22,-15.01,-2.00,4.37,-2.69
-19.61,-1.88,1.17,-2.31,4.37,-2.62
-19.61,-4.76,-7.49,-2.48,4.37,-2.00
-6.12,-1.06,-3.90,-2.06,2.29,-0.39
-5.54,-0.78,-4.25,-1.98,2.02,-0.24
-4.83,-0.52,-3.78,-1.84,1.76,-0.12
-4.57,-0.27,-3.82,-1.65,1.49,-0.09
-4.26,0.15,-3.90,-1.46,1.24,-0.11
-3.78,0.32,-4.11,-1.27,0.98,-0.15
-3.01,0.26,-4.30,-1.08,0.75,-0.16
-2.83,0.20,-4.60,-0.95,0.54,-0.10
-2.63,0.08,-4.77,-0.89,0.41,0.02
-2.03,0.30,-4.86,-0.84,0.34,0.11
-1.60,0.57,-4.64,-0.75,0.35,0.16
-1.43,0.80,-4.92,-0.70,0.32,0.16
-1.47,0.86,-4.83,-0.68,0.24,0.19
-1.62,0.76,-4.64,-0.64,0.14,0.25
-1.88,0.61,-4.38,-0.60,0.07,0.35
-1.86,0.51,-4.64,-0.54,-0.08,0.43
-2.30,1.03,-4.39,-0.51,-0.08,0.47
-2.04,1.29,-4.29,-0.46,-0.09,0.44
-1.44,1.85,-4.25,-0.43,-0.14,0.32
-1.18,1.97,-3.56,-0.41,-0.11,0.19
-13.67,1.97,-19.61,-4.37,-4.04,-4.37
-14.30,1.18,-19.61,-4.37,-3.10,-4.37
-14.19,-2.31,-19.61,-4.37,-2.03,-4.37
-16.05,-6.09,-19.61,-4.37,-1.19,-4.37
-18.64,-10.19,-19.61,-4.37,-0.53,-4.37
-19.27,-12.49,-19.61,-4.37,-0.02,-4.37
-19.61,-14.87,-19.60,-4.37,0.71,-4.37
-19.61,-16.63,-14.52,-4.37,1.87,-3.42
-19.61,-15.60,-1.31,-4.37,3.35,-2.66
-19.61,-12.31,-9.71,-4.37,4.37,-2.12
-19.61,-10.35,-12.54,-4.37,4.37,-2.18
-19.61,-9.82,-13.00,-3.11,4.37,-2.31
-19.61,-9.93,-14.54,-2.13,4.37,-2.61
-19.61,-10.79,-17.08,-1.45,4.37,-2.89
-19.61,-11.74,-18.75,-0.65,4.37,-3.15
