acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
19.61,0.02,10.14,-0.03,1.37,-0.25
19.61,-0.59,10.38,-0.22,1.73,-0.29
19.61,-0.71,10.48,-0.45,2.08,-0.56
19.61,0.40,12.90,-0.67,2.43,-0.97
19.61,0.62,7.21,-1.03,2.74,-1.37
19.61,-0.99,11.84,-1.50,2.79,-1.45
19.61,0.41,9.08,-1.64,3.03,-1.48
19.61,0.44,8.56,-1.83,3.05,-1.85
16.52,1.64,3.87,-2.07,3.05,-2.30
12.38,1.59,1.62,-2.44,2.91,-2.72
8.22,1.10,0.38,-2.59,2.69,-3.00
2.32,0.82,0.77,-2.33,2.67,-3.23
-3.75,0.76,2.33,-1.52,2.88,-3.04
-11.29,1.66,2.88,-0.45,3.56,-2.27
-16.39,3.67,-2.24,-0.02,4.14,-1.26
-19.61,8.67,-8.51,-0.29,3.93,-0.85
-14.56,2.32,0.50,-0.82,4.29,-0.88
-19.61,13.60,-4.04,0.68,3.18,-4.37
-19.61,9.79,-8.22,2.22,2.91,-4.37
-19.61,4.34,-6.00,2.96,0.87,-4.37
-19.61,4.54,-6.79,3.60,-0.45,-4.37
-19.61,6.42,-8.37,4.37,-1.44,-3.30
-19.61,9.97,-8.83,4.37,-2.00,-2.18
-19.61,12.10,-10.09,4.37,-2.03,-1.45
-17.49,11.21,-9.02,4.37,-1.66,-0.28
-12.48,15.20,-9.29,4.37,-1.19,0.82
-10.30,17.86,-5.49,3.40,-0.42,1.41
-11.61,17.81,-5.94,1.55,0.21,1.50
-13.15,16.21,-0.30,-0.32,0.59,1.82
-15.36,11.70,-3.93,-1.63,0.61,1.94
-15.50,10.89,-3.48,-2.46,0.38,2.20
-19.61,6.53,-2.82,-2.43,0.13,2.27
-19.61,4.62,-6.99,-2.27,-0.48,2.80
-19.61,3.58,-8.78,-2.22,-1.48,3.38
-19.61,1.98,-7.48,-2.07,-2.09,3.69
-17.49,1.80,-4.74,-1.63,-2.22,3.86
-14.07,2.09,-3.24,-1.25,-1.85,3.94
-11.29,0.92,-1.88,-1.12,-1.46,4.10
-8.25,1.18,0.99,-1.04,-0.97,4.37
-4.68,2.93,1.98,-0.82,-0.51,4.24
13.79,1.34,9.57,0.98,-0.67,2.89
15.05,1.14,10.29,1.20,-0.23,2.41
14.96,2.63,9.79,1.52,0.14,1.83
16.79,2.40,7.90,1.24,-0.10,1.43
16.40,2.06,8.18,0.78,-0.36,1.20
18.10,2.32,10.64,0.51,-0.56,0.94
19.38,3.80,11.56,0.50,-0.40,0.27
19.61,5.07,12.12,0.55,0.01,-0.45
16.96,5.69,12.38,0.63,0.59,-0.86
13.45,5.79,11.85,0.55,1.07,-0.56
11.32,7.12,11.01,0.17,1.29,0.05
10.56,8.48,10.97,-0.28,1.31,0.35
9.33,9.14,10.91,-0.56,1.21,0.20
7.91,9.04,9.71,-0.88,0.90,-0.11
6.65,8.28,8.57,-1.14,0.44,-0.40
5.75,7.52,8.10,-1.24,0.01,-0.54
4.25,6.60,7.19,-1.19,-0.32,-0.43
3.80,6.17,6.22,-1.11,-0.64,-0.09
3.83,6.24,6.92,-1.01,-0.74,0.29
5.09,6.15,6.71,-0.79,-0.69,0.49
19.61,-0.05,12.01,-0.54,0.02,-0.67
19.61,-0.37,12.28,-0.80,0.26,-0.95
19.61,-0.10,11.55,-1.15,0.60,-1.21
19.61,0.34,10.51,-1.72,0.73,-1.45
19.61,0.42,7.86,-2.37,0.78,-1.72
19.61,-0.67,5.81,-2.92,0.57,-1.97
19.61,-1.31,6.00,-3.05,0.44,-2.54
19.18,-2.31,5.39,-2.69,0.65,-3.29
16.35,-2.72,3.16,-2.23,0.99,-4.08
12.77,-1.72,3.10,-1.40,1.70,-4.37
3.73,0.60,4.56,-0.24,2.70,-4.37
-7.64,3.67,3.96,0.93,3.35,-4.37
-18.96,5.33,-1.96,1.23,2.99,-3.55
-19.61,3.94,-8.14,-0.11,1.77,-1.44
-19.61,3.99,-4.18,-1.17,1.34,-0.77
-19.61,5.54,-0.74,-0.30,1.73,-2.75
-19.61,3.14,2.66,1.61,2.30,-4.37
-19.61,2.61,-1.29,4.37,1.97,-4.37
-19.61,3.24,-6.60,4.37,1.01,-4.37
-19.61,6.23,-13.87,4.37,-0.30,-4.07
-19.61,14.37,-12.56,4.37,-1.56,-1.84
-13.06,19.61,-5.40,4.37,-1.34,-1.21
-6.52,19.61,1.68,3.42,-0.12,-1.01
-17.09,19.61,-1.16,0.78,0.22,-0.69
-12.92,19.20,-4.65,-0.97,0.62,-0.82
-14.11,13.53,-6.38,-2.59,-0.00,-0.61
-14.99,8.49,-4.67,-3.44,-0.55,-0.44
-14.37,4.35,-4.16,-3.76,-0.70,-0.28
-13.53,1.15,-2.99,-3.81,-0.83,0.23
-14.94,-0.51,1.10,-3.28,-0.58,0.96
-17.31,-1.63,1.66,-2.26,-0.04,1.92
-18.48,-1.74,0.29,-1.07,0.14,2.91
-19.02,-0.75,-0.58,0.24,0.11,3.52
-17.52,-0.62,-1.82,1.11,-0.02,4.00
-14.97,2.71,-0.68,1.38,-0.00,4.37
-12.65,7.00,-0.77,1.26,0.21,4.35
-16.02,7.96,-1.02,0.81,0.26,4.13
-11.02,9.28,0.36,0.32,0.25,3.84
-9.07,7.52,1.18,0.35,0.47,3.36
-6.56,6.54,2.83,0.24,0.55,3.21
13.82,2.81,8.85,1.14,-1.08,2.53
13.55,1.42,13.64,1.40,-0.46,2.54
13.63,5.20,6.85,1.74,-0.58,2.12
12.72,5.85,5.68,1.39,-1.07,1.66
14.95,5.73,7.71,0.89,-1.48,1.16
16.34,3.98,9.45,0.63,-1.42,0.65
16.25,1.92,8.21,0.59,-1.45,0.26
16.62,1.68,8.33,0.82,-1.60,-0.20
16.35,2.57,8.49,1.26,-1.40,-0.57
14.82,4.07,9.38,1.43,-0.97,-0.68
14.32,5.46,9.84,1.31,-0.30,-0.46
12.71,6.23,9.97,0.87,0.31,0.06
10.82,6.07,11.27,0.28,0.83,0.75
11.52,7.14,11.79,-0.51,1.23,0.99
11.04,7.81,10.40,-0.96,1.66,0.72
7.90,8.06,9.21,-1.13,1.52,0.12
5.89,8.71,5.54,-1.28,0.82,-0.55
4.76,8.39,5.22,-1.49,0.01,-0.74
4.60,8.60,4.61,-1.73,-0.53,-0.73
4.89,7.34,4.48,-1.73,-0.81,-0.35
19.61,2.43,12.73,-1.72,0.92,-1.54
19.61,0.74,11.71,-1.63,0.43,-2.05
19.61,-0.28,10.34,-1.39,0.07,-2.10
19.61,2.52,10.36,-1.40,-0.06,-2.19
19.61,5.93,9.08,-1.63,0.16,-2.59
19.61,7.40,7.25,-1.99,0.47,-3.51
19.61,5.26,7.80,-2.20,1.22,-4.17
