acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
19.61,17.82,-3.05,0.57,-0.61,-0.27
19.61,18.27,-2.07,0.27,-0.20,-0.75
19.61,17.20,-3.31,0.13,0.11,-0.97
19.61,15.05,-3.20,-0.03,0.21,-0.85
19.61,14.09,-4.22,0.15,0.20,-0.76
19.61,12.77,-4.48,0.76,0.36,-1.07
19.61,12.55,-6.83,1.24,0.59,-1.53
19.61,13.26,-8.58,1.25,0.97,-1.84
18.79,14.80,-8.71,0.99,1.45,-2.16
16.06,14.95,-10.13,0.54,1.83,-2.34
13.56,13.69,-10.47,-0.21,2.07,-2.31
9.18,12.05,-9.31,-1.21,2.07,-2.18
3.42,9.05,-8.85,-2.12,1.62,-2.16
-1.73,5.65,-7.82,-2.90,0.84,-2.20
-5.95,3.42,-7.52,-3.51,0.04,-2.24
-9.85,0.07,-5.56,-3.66,-0.69,-2.52
-14.07,-2.64,-5.44,-3.40,-1.05,-2.93
-19.01,-4.89,-6.35,-2.99,-1.29,-3.38
-19.61,-6.04,-7.88,-2.51,-1.48,-3.80
-19.61,-4.65,-6.76,-1.91,-1.42,-4.23
-19.61,-6.62,-6.58,-0.88,-1.34,-4.18
-19.61,-5.97,-3.37,1.11,-1.53,-4.04
-19.61,-7.28,-7.76,3.80,-2.46,-3.69
-19.61,-12.50,-9.24,4.37,-3.05,-2.13
-19.61,-13.69,-15.02,4.37,-2.74,0.51
-17.57,-4.98,-19.61,4.37,-2.33,2.65
-8.16,6.45,-19.61,4.37,-2.08,3.27
0.55,16.74,-19.61,4.37,-1.76,3.09
7.63,19.61,-15.08,1.05,-0.73,2.55
7.31,19.01,-8.04,-3.02,0.86,1.73
-1.59,7.36,-4.84,-4.37,1.98,1.33
-2.13,7.25,-3.38,-4.37,2.28,0.46
-5.11,5.17,-1.79,-4.37,2.03,-0.94
-5.94,-0.26,-2.66,-4.37,0.54,-2.77
-7.75,-7.32,2.15,-4.34,-0.68,-3.49
-7.05,-4.82,5.54,-2.51,-0.72,-3.25
-9.22,-4.63,2.15,-1.29,-0.64,-2.09
-5.70,1.62,2.36,-0.49,-0.65,-0.86
-2.89,2.99,2.88,0.30,-0.55,-0.42
-6.51,3.44,-0.34,0.80,0.16,-0.15
-7.41,4.49,-5.74,-4.37,-2.39,-1.03
-9.34,-0.47,-5.59,-4.37,-2.75,-1.12
-12.48,-3.90,-4.04,-4.02,-3.04,-0.84
-13.77,-6.77,-8.21,-3.18,-3.12,-0.95
-18.40,-11.71,-6.94,-2.10,-3.29,-0.68
-17.33,-12.08,-4.70,-0.46,-2.93,-0.95
-18.53,-11.61,-2.23,2.02,-2.03,-1.23
-19.61,-12.61,-7.01,4.34,-1.65,-1.11
-19.30,-13.12,-7.96,4.37,-1.07,-0.86
-17.18,-10.40,-11.74,4.37,-0.46,-0.32
-16.11,-6.65,-12.89,4.37,-0.05,0.18
-12.29,0.55,-14.14,4.37,0.40,0.29
-9.90,6.83,-14.22,4.37,0.50,0.10
-7.90,15.70,-15.69,4.34,0.48,-0.15
-4.75,19.61,-15.35,2.18,0.44,-0.09
-1.44,19.61,-10.79,-0.58,0.28,0.30
-2.49,14.43,-7.07,-2.98,0.57,0.41
-2.44,10.49,-5.96,-4.37,0.74,0.31
-3.37,7.13,-5.21,-4.37,0.48,-0.25
-5.16,1.72,-5.75,-4.37,-0.16,-0.82
17.58,14.26,-4.28,0.86,-0.05,-0.73
17.74,14.07,-7.37,0.51,-0.07,-0.87
19.61,15.92,-9.05,-0.26,0.47,-0.77
19.37,18.38,-10.00,-1.53,1.80,-0.78
19.61,19.61,-9.38,-3.27,2.97,-1.39
16.82,19.61,-6.56,-4.37,3.66,-2.56
11.22,19.61,-11.55,-4.37,3.30,-3.89
7.78,12.04,-2.65,-4.37,2.66,-3.85
0.15,7.97,-4.19,-4.37,1.09,-3.64
-3.08,5.83,-6.67,-2.70,-0.58,-3.39
-5.42,2.11,-2.97,-0.92,-1.35,-2.92
-5.59,5.08,-3.31,-0.55,-0.78,-2.33
-6.77,6.55,-5.38,-1.09,-0.08,-1.83
-8.86,9.33,-6.57,-1.92,0.01,-1.78
-12.80,4.20,-9.78,-2.20,-0.51,-2.54
-19.26,-0.95,-8.44,-1.72,-1.50,-2.86
-19.61,-1.60,-6.30,-0.68,-1.61,-3.02
-19.61,-2.89,-5.04,0.50,-1.60,-2.63
-19.61,-2.99,-5.47,1.54,-1.50,-1.97
-19.21,-1.47,-5.84,2.57,-1.32,-1.15
-18.13,-2.18,-6.98,3.44,-1.64,-0.55
-17.64,-4.20,-8.49,3.88,-1.71,0.19
-18.47,-4.85,-11.32,3.98,-1.64,1.28
-16.65,-3.15,-13.96,3.82,-1.77,2.11
-11.16,1.44,-14.39,3.66,-2.15,2.27
-7.21,4.51,-12.68,3.50,-2.28,1.94
-3.39,7.52,-12.48,3.31,-2.16,1.44
