acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.85,19.61,-0.96,0.50,1.57,1.20
15.30,19.61,-9.92,-2.17,2.64,0.65
10.27,19.61,-10.94,-4.28,2.73,0.54
6.56,19.61,-6.83,-4.37,2.53,0.68
3.65,19.61,-7.14,-4.37,2.53,0.98
0.72,14.90,-6.90,-4.37,2.32,1.33
-1.77,8.38,-7.11,-4.20,1.89,1.58
-2.99,2.12,-7.12,-3.44,1.48,1.78
-4.26,-3.03,-7.03,-2.52,1.09,1.84
-4.71,-7.68,-6.52,-1.79,0.61,1.98
-2.70,-7.92,-5.32,-1.34,0.40,1.95
-2.31,-6.00,-4.36,-1.02,0.28,1.32
-1.87,-7.51,-7.19,-1.39,0.06,0.53
-3.19,-12.73,-8.34,-2.50,-0.10,0.28
-3.14,-12.06,-4.93,-3.09,-0.12,-0.14
-3.03,-15.09,-3.63,-3.15,0.08,-0.64
-3.43,-16.96,-3.43,-2.77,-0.01,-1.08
-4.13,-16.15,-1.68,-1.96,-0.14,-1.43
-4.53,-17.27,-1.09,-1.10,-0.00,-1.51
-5.42,-15.13,-0.89,-0.22,0.17,-1.29
-5.55,-12.62,-0.95,0.54,0.17,-1.17
-5.91,-10.45,-0.90,1.09,0.10,-1.08
-5.34,-8.52,-2.38,1.52,-0.05,-1.03
-5.42,-6.81,-2.88,1.75,-0.18,-0.99
-5.03,-4.75,-3.78,1.94,-0.34,-1.05
-4.83,-3.48,-4.84,2.10,-0.62,-1.27
-4.14,-2.34,-5.17,2.24,-0.83,-1.59
-3.69,-1.00,-5.20,2.50,-0.88,-2.00
-3.98,0.66,-5.60,2.85,-0.80,-2.26
-3.87,3.85,-5.20,3.21,-0.74,-2.40
-3.10,7.59,-4.27,3.60,-0.81,-2.50
-2.02,12.18,-4.20,3.88,-0.99,-2.48
-0.13,19.36,-4.77,3.90,-1.37,-2.38
2.91,19.61,-4.02,4.20,-2.03,-2.08
6.84,19.61,-9.06,4.37,-3.12,-1.35
10.97,19.61,-6.92,4.37,-4.08,0.06
18.09,19.61,0.29,4.37,-3.01,0.76
6.14,19.61,-19.61,4.37,-3.49,0.36
19.61,19.61,-19.61,3.70,-0.42,1.80
19.61,19.61,-12.54,1.60,0.32,1.44
19.00,19.61,-11.33,-0.45,1.05,1.58
16.46,19.61,-7.24,-1.85,2.26,1.85
11.74,19.61,-11.75,-3.10,2.54,1.95
8.65,19.61,-6.62,-3.42,2.77,2.12
4.51,19.61,-6.39,-3.68,3.11,2.42
2.35,14.42,-5.87,-3.84,3.17,2.46
-0.01,10.64,-6.14,-4.35,2.89,2.27
-1.77,5.09,-5.07,-4.37,2.39,2.09
-3.33,-0.66,-3.57,-4.37,1.79,1.87
-3.15,-4.26,-3.09,-4.37,1.02,1.64
-2.96,-7.07,-2.09,-4.37,0.40,1.22
-1.24,-8.70,-1.50,-4.06,-0.01,0.87
-0.35,-8.64,-1.09,-3.40,-0.15,0.55
-0.40,-8.82,-2.21,-2.78,0.06,0.29
0.02,-7.74,-2.45,-2.17,0.32,-0.09
-0.11,-8.68,-4.19,-1.56,0.30,-0.47
-3.21,-11.23,-4.73,-1.23,-0.02,-0.25
-2.65,-10.30,-3.05,-0.75,0.08,-0.09
-1.76,-8.48,-3.35,-0.20,0.18,-0.10
-1.47,-7.11,-4.37,0.05,0.17,-0.36
-1.73,-7.89,-3.45,0.12,0.39,-0.64
-2.09,-8.23,-2.60,0.37,0.67,-0.80
-3.44,-8.16,-2.41,0.81,0.83,-0.93
-4.27,-7.62,-2.68,1.09,0.73,-1.09
-4.38,-6.57,-2.36,1.30,0.51,-1.29
-4.75,-5.54,-2.17,1.58,0.19,-1.59
-4.80,-5.33,-2.52,1.82,-0.01,-1.69
-5.09,-4.04,-2.65,2.20,-0.05,-1.58
-5.63,-2.64,-2.85,2.65,-0.07,-1.51
-5.09,-1.38,-4.24,3.06,-0.33,-1.61
-1.75,2.22,-4.16,3.07,-0.68,-2.13
1.47,7.82,-3.25,2.92,-1.00,-2.85
3.83,13.16,-2.51,2.67,-1.52,-3.46
0.43,18.63,-1.25,2.56,-1.93,-3.39
3.07,19.61,-6.23,2.79,-2.35,-2.45
3.22,19.61,-7.92,2.94,-2.77,-1.16
13.62,19.61,-3.19,3.43,-1.89,-0.68
19.61,19.61,-3.71,2.61,-0.51,-0.40
12.77,19.61,0.45,2.00,-0.04,-0.44
12.32,19.61,-8.05,0.40,-0.36,-0.67
10.13,19.61,-2.22,-0.74,-0.43,-0.54
9.02,19.61,-0.59,-1.15,-0.28,-0.41
7.31,16.72,-0.04,-1.27,0.03,-0.20
5.31,12.59,1.33,-0.98,-0.05,-0.07
3.92,10.41,0.53,-0.52,-0.14,0.18
4.06,8.81,0.58,-0.16,-0.31,0.42
3.50,8.39,0.88,0.21,-0.34,0.65
