acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
7.75,-6.68,-13.14,0.09,-1.24,3.97
9.22,-7.76,-13.53,0.18,-0.79,3.31
9.06,-5.33,-16.87,0.30,-0.80,2.47
6.83,-4.63,-16.65,0.57,-0.62,1.65
10.30,-3.23,-18.22,0.91,-0.05,1.12
6.51,-4.23,-18.66,0.58,-0.17,0.49
8.63,-2.15,-18.47,-0.03,-0.23,-0.14
8.36,-0.91,-15.48,-0.24,0.28,-0.91
8.58,-0.48,-13.51,-0.25,1.39,-1.68
8.43,-0.62,-12.75,-0.35,2.57,-2.17
7.74,-0.06,-12.65,-0.39,3.86,-2.62
6.04,-0.67,-13.88,-0.72,4.37,-2.83
6.05,-0.51,-12.11,-1.34,4.37,-3.00
4.23,-1.33,-10.88,-1.83,4.37,-3.21
2.71,-0.79,-8.87,-2.34,4.37,-3.42
-0.89,-1.44,-8.11,-2.80,4.37,-3.53
-3.68,-1.65,-6.02,-2.90,4.37,-3.71
-7.20,-2.44,-5.41,-3.02,4.37,-3.79
-11.75,-3.41,-3.53,-2.88,4.37,-3.58
-14.44,-3.10,-1.45,-2.88,4.37,-3.32
-15.09,-2.76,0.17,-2.96,4.37,-3.23
-15.99,-0.84,1.85,-2.86,4.37,-3.41
5.68,3.27,12.51,-2.68,4.37,-4.31
-19.61,-2.73,3.59,-2.97,4.37,-4.37
-19.61,-2.46,-1.14,-3.67,4.37,-3.85
-19.61,-9.34,7.18,-3.75,4.37,-2.75
-19.61,-7.70,11.40,-4.14,4.37,-1.84
-16.93,-7.22,14.19,-4.17,4.37,-0.86
-12.29,-7.33,16.62,-3.55,4.37,-0.73
-7.66,-4.95,19.50,-1.87,4.28,-0.61
-4.16,-1.61,19.48,-0.10,4.18,-0.94
-1.88,2.42,17.66,1.43,3.61,-1.31
3.62,9.10,19.61,2.58,4.37,-2.12
0.87,6.88,18.67,2.43,4.37,-2.54
-6.24,6.43,16.05,2.05,3.37,-1.40
-10.39,7.59,14.92,1.80,2.10,-0.22
-9.72,4.35,7.95,0.77,-0.04,0.28
-8.17,2.47,13.26,-0.07,-1.30,0.95
-1.80,5.23,11.54,-0.34,-1.68,1.01
1.28,3.97,10.63,-0.64,-1.67,0.87
2.78,3.59,11.37,-0.35,-0.93,0.11
1.37,1.39,10.38,0.04,-0.45,0.08
1.36,2.27,11.08,0.09,0.12,0.07
1.88,2.90,10.09,0.20,0.19,-0.03
1.21,2.71,10.74,0.31,0.48,-0.25
1.40,1.55,10.22,0.51,0.64,-0.41
0.85,1.82,10.32,0.76,0.88,-0.58
-0.22,1.59,8.83,0.84,0.81,-0.65
-1.52,1.02,8.65,0.83,0.56,-0.43
-2.18,1.29,8.42,0.69,0.18,0.02
-1.28,1.80,9.15,0.64,-0.13,0.37
-0.11,2.66,9.84,0.60,-0.24,0.53
0.91,3.12,9.73,0.61,-0.30,0.52
1.28,3.49,10.18,0.65,-0.23,0.40
1.22,3.08,9.58,0.64,-0.09,0.30
1.23,3.33,8.75,0.46,0.00,0.21
1.38,3.75,7.96,0.29,0.04,0.13
1.10,3.61,7.55,0.05,-0.01,0.09
0.95,3.33,8.16,-0.07,-0.07,0.16
0.99,2.46,8.37,-0.08,-0.07,0.27
-19.61,-1.96,-1.29,-1.76,4.37,-4.37
-19.61,1.82,-1.04,-2.33,4.37,-4.36
-19.61,-10.45,-9.41,-3.27,4.37,-4.37
-19.61,-5.61,10.07,-4.37,4.37,-4.37
-19.61,-5.77,8.22,-4.37,4.37,-3.08
-19.61,-7.02,14.70,-4.37,4.37,-2.16
-19.28,-6.00,16.12,-4.37,4.37,-1.48
-11.90,-7.33,16.55,-2.44,4.37,-1.18
-8.50,-2.01,17.36,-0.83,4.37,-1.41
-5.63,5.60,19.61,0.11,4.15,-1.21
7.48,15.10,19.61,1.30,4.37,-1.94
6.12,10.84,19.61,1.34,4.37,-1.91
-3.77,8.55,19.61,1.86,4.27,-1.00
-12.49,4.02,9.82,1.70,2.66,0.16
-14.20,2.65,7.16,0.76,0.28,1.25
-9.56,2.01,10.87,-0.40,-1.18,1.70
-4.12,2.27,10.57,-1.12,-1.63,2.01
-0.30,4.82,10.99,-1.69,-1.84,1.59
2.35,4.05,9.91,-1.90,-1.79,0.75
2.82,0.02,10.65,-1.72,-1.60,0.44
3.68,-7.24,-15.98,1.00,0.53,3.41
3.24,-7.63,-16.37,0.72,0.35,2.66
2.97,-8.07,-16.79,0.57,0.24,1.81
1.93,-6.95,-19.61,0.34,-0.03,0.79
2.37,-9.64,-18.68,0.80,0.05,-0.06
3.96,-9.50,-19.61,0.99,0.40,-0.82
3.80,-7.60,-19.61,0.74,0.92,-1.58
3.86,-5.84,-19.61,0.36,1.62,-2.20
2.58,-3.60,-19.61,-0.40,2.48,-2.74
2.25,-2.69,-18.71,-1.19,3.63,-3.18
1.40,-2.45,-17.31,-2.20,4.37,-3.51
1.22,-1.77,-16.95,-3.28,4.37,-3.80
-0.21,-2.00,-13.76,-4.08,4.37,-3.99
-0.09,-2.33,-11.29,-4.37,4.37,-4.20
-1.54,-3.04,-9.02,-4.37,4.37,-4.37
-2.89,-3.31,-7.11,-4.37,4.37,-4.37
-6.24,-4.10,-5.00,-4.37,4.37,-4.37
-10.99,-4.19,-0.58,-4.37,4.37,-4.37
-13.50,-4.94,-0.45,-4.37,4.37,-4.37
-17.46,-7.24,-1.35,-4.37,4.37,-4.37
-19.61,-8.67,1.42,-2.83,4.37,-4.37
-19.61,-11.88,-0.14,-3.19,4.37,-4.37
-19.61,-14.44,2.21,-4.37,4.37,-4.37
-19.61,-16.51,10.56,-4.37,4.37,-2.67
-19.61,-18.37,17.96,-4.37,4.37,-0.53
-19.61,-12.70,17.95,-4.37,4.37,-0.81
-17.86,-5.63,19.61,-1.78,4.21,-0.85
-14.60,4.65,19.61,0.50,2.87,-1.81
-6.22,5.42,19.61,1.91,3.15,-1.68
1.20,8.17,19.61,1.95,2.23,-1.08
-2.24,9.09,19.61,2.40,0.91,0.15
-10.48,3.07,18.78,3.40,-0.14,1.55
-12.24,0.27,12.81,2.84,-1.11,2.69
-9.35,1.60,14.00,2.22,-1.60,3.18
-0.99,0.82,5.33,1.08,-1.68,3.16
-0.66,5.05,3.90,-0.41,-2.33,2.34
-0.57,0.11,7.00,-1.30,-2.50,1.96
2.63,1.28,7.84,-1.21,-2.27,1.28
6.36,0.47,10.07,-1.17,-1.57,0.37
7.28,0.34,13.49,-0.80,-0.58,0.06
3.25,1.19,12.98,0.29,1.37,-0.37
1.41,2.35,11.33,0.58,1.57,-0.47
0.04,1.76,10.69,0.62,1.40,-0.47
-0.46,2.38,10.66,0.52,1.12,-0.44
-0.63,2.29,9.79,0.32,0.72,-0.38
-0.81,2.40,10.25,-0.01,0.24,-0.29
-0.34,2.44,10.30,-0.13,-0.03,-0.16
0.40,2.59,9.93,-0.17,-0.26,-0.09
-0.26,0.94,9.18,-0.08,-0.44,0.04
-0.01,1.36,8.59,-0.05,-0.48,0.24
0.28,1.29,9.01,0.02,-0.43,0.40
1.31,1.60,9.67,0.09,-0.40,0.43
1.72,1.83,9.70,0.21,-0.33,0.39
0.99,1.54,9.47,0.36,-0.27,0.32
