acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
3.74,-1.9,-0.45,0.03,0.15,0.0
3.78,-1.99,-0.7,0.06,-0.07,0.06
3.58,-2.41,-0.82,0.27,-0.14,0.19
3.87,-2.25,-1.18,0.39,-0.31,0.06
4.17,-1.58,-0.64,0.24,0.03,0.04
4.07,-1.74,-0.63,0.01,0.06,0.04
4.01,-1.74,-0.86,0.03,0.06,0.07
4.28,-1.69,-1.0,0.15,-0.2,0.0
4.51,-1.61,-1.19,0.06,-0.2,0.0
4.38,-1.74,-1.03,0.12,-0.19,0.03
-2.47,-3.54,-3.26,3.23,-2.3,3.49
4.73,-3.29,-6.59,4.28,-3.04,2.08
14.03,-6.63,-8.29,3.21,-3.26,1.91
18.79,-1.99,-5.23,2.14,-1.54,-0.93
18.04,2.23,-7.39,-1.81,-0.35,-1.73
11.82,1.85,-7.14,-0.58,-0.2,-0.04
7.14,3.93,-5.91,-0.17,-0.43,1.18
5.4,2.06,-5.61,-0.28,-0.23,0.87
6.53,2.45,-6.77,-0.28,-0.43,0.31
7.4,3.28,-7.06,-0.22,-0.06,0.15
7.31,3.32,-6.76,0.0,0.05,0.1
7.23,3.34,-6.58,-0.15,0.13,0.12
7.22,3.14,-6.6,0.0,0.02,0.0
7.44,3.47,-6.5,0.0,-0.03,-0.01
7.45,3.47,-6.64,-0.02,0.02,0.0
7.36,3.06,-6.45,-0.03,-0.04,0.0
7.45,3.36,-6.55,-0.03,-0.05,-0.03
7.52,3.21,-6.67,-0.07,-0.02,-0.06
7.43,3.2,-6.53,-0.05,-0.09,-0.02
7.62,3.36,-6.79,-0.01,-0.03,-0.04
7.4,3.26,-6.93,0.09,0.04,0.23
7.6,3.37,-7.14,-0.09,0.03,-0.08
7.56,3.37,-7.28,0.0,0.04,0.01
7.5,3.44,-7.1,-0.03,0.09,0.01
7.49,3.13,-6.89,0.04,0.05,0.0
7.4,3.67,-6.76,0.05,-0.06,-0.03
7.55,3.78,-6.78,-0.05,-0.03,-0.02
7.5,3.43,-6.96,-0.03,-0.06,-0.01
7.53,3.51,-6.93,-0.04,0.0,0.0
7.56,3.4,-6.93,-0.05,-0.03,-0.02
7.46,4.0,-5.96,-0.06,0.2,0.08
7.2,3.41,-6.28,-0.24,-0.08,0.16
6.77,3.11,-6.53,-0.03,-0.15,-0.04
7.25,3.33,-7.05,0.01,-0.08,-0.05
7.64,3.8,-6.98,0.15,0.12,0.0
7.5,3.32,-6.38,-0.17,0.23,0.12
7.38,3.26,-6.36,-0.16,-0.03,0.01
7.29,3.32,-6.59,-0.05,-0.18,0.0
7.3,3.43,-6.79,-0.05,-0.05,-0.03
7.3,3.28,-6.54,-0.04,-0.03,0.0
7.23,3.17,-5.67,-0.07,0.03,-0.07
7.09,2.84,-6.08,-0.03,-0.04,-0.02
7.49,3.29,-6.09,-0.16,0.04,-0.03
7.47,3.04,-5.89,-0.12,-0.09,-0.04
7.6,2.65,-5.92,0.01,-0.28,-0.05
7.41,2.31,-5.72,-0.12,-0.49,-0.21
