acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.72,1.5,-1.88,-0.55,0.4,-0.02
4.52,2.03,-1.62,-0.35,0.2,0.01
4.2,0.58,-1.89,0.34,0.0,0.13
4.72,1.08,-2.1,0.28,-0.04,0.15
4.7,1.78,-1.62,0.06,0.17,0.09
4.49,0.88,-1.65,0.13,-0.1,0.0
4.84,1.75,-2.25,0.16,-0.16,-0.05
4.79,1.7,-2.38,0.15,-0.06,-0.03
4.33,2.07,-1.97,0.0,0.13,0.01
4.46,1.34,-1.65,0.07,0.0,0.0
6.18,4.1,-5.71,-0.23,0.31,-0.39
5.14,4.65,-5.75,0.21,0.03,-0.17
6.3,3.74,-6.2,0.34,-0.19,-0.25
5.86,4.32,-5.88,-0.1,-0.37,0.04
6.88,4.3,-5.8,0.0,-0.4,0.1
7.02,4.64,-4.88,-0.12,-0.06,-0.08
5.32,4.05,-4.1,0.19,0.01,-0.08
6.07,4.09,-4.85,0.44,0.09,0.13
5.92,3.75,-4.41,-0.2,0.12,0.28
5.72,3.82,-4.34,-0.01,-0.15,0.11
4.83,2.23,-2.56,-0.7,0.37,0.39
4.75,2.1,-3.09,-0.25,0.02,0.38
5.08,3.11,-3.97,0.34,-0.19,0.31
5.03,2.68,-3.94,0.24,0.0,0.12
5.75,3.02,-3.77,0.35,-0.12,0.12
5.67,3.73,-3.54,0.08,-0.05,0.08
5.77,2.32,-3.32,-0.49,0.0,0.04
5.93,3.43,-3.18,-0.47,-0.04,-0.1
5.86,3.16,-3.56,-0.27,-0.07,-0.01
5.8,2.49,-3.89,0.0,-0.03,0.04
5.96,4.46,-5.53,0.56,0.23,0.6
6.66,3.82,-5.84,0.39,-0.02,0.31
6.48,3.57,-5.42,0.21,0.06,0.15
6.6,4.26,-5.29,0.05,0.0,0.01
6.33,3.26,-5.41,0.29,-0.05,0.25
6.62,3.53,-5.55,0.33,-0.01,0.47
7.7,2.36,-5.73,-0.14,-0.25,0.63
7.83,3.23,-4.58,-0.4,0.04,0.06
6.56,3.06,-4.55,-0.06,-0.32,0.11
7.13,2.67,-5.38,0.08,-0.24,0.04
6.76,3.92,-4.91,0.28,-0.11,0.27
6.47,2.71,-5.07,-0.14,0.07,0.17
6.48,2.56,-5.14,0.41,-0.05,0.15
6.85,3.04,-5.12,0.23,0.03,0.02
6.79,3.23,-5.2,0.04,0.0,0.0
6.84,3.23,-5.18,0.05,0.03,0.05
6.75,2.99,-5.21,-0.01,-0.03,-0.01
6.86,3.27,-4.69,-0.23,0.03,0.01
6.98,2.95,-4.92,-0.09,-0.15,-0.01
7.02,2.9,-5.59,-0.1,-0.09,0.0
6.58,3.59,-5.52,0.28,-0.14,0.17
6.65,2.22,-5.6,0.22,0.09,0.25
5.84,4.88,-4.51,-0.14,0.21,-0.02
6.12,4.22,-4.63,0.14,-0.17,0.04
6.39,3.62,-5.21,0.05,-0.19,0.06
6.37,3.61,-5.55,0.13,-0.2,0.03
6.7,3.63,-5.71,0.06,0.0,0.01
6.68,3.78,-5.4,0.06,-0.04,0.02
6.75,3.63,-5.36,0.04,-0.07,0.05
6.67,3.99,-5.28,-0.08,-0.09,0.05
3.71,-0.51,-0.86,2.23,-1.15,1.49
6.46,3.22,-4.06,2.64,-1.68,1.24
7.02,0.96,-4.0,2.07,-1.51,0.61
6.87,1.75,-5.14,1.18,-1.55,0.42
8.74,2.63,-5.47,1.79,-1.33,0.01
9.03,1.4,-4.47,0.47,-0.69,0.29
9.39,3.75,-5.59,-0.09,-0.29,-0.2
9.21,3.35,-5.25,-0.33,-0.06,-0.09
7.78,3.57,-5.84,-0.64,-0.05,0.08
7.43,3.38,-6.33,0.1,-0.09,0.06
9.05,2.39,-4.75,1.54,-1.37,-0.36
9.77,3.52,-5.44,1.19,-1.15,-0.23
9.49,5.17,-5.3,1.02,0.17,0.43
7.82,4.13,-5.13,-0.55,0.25,0.6
6.25,2.9,-5.61,-0.28,-0.03,0.41
6.26,3.53,-6.12,0.02,-0.22,0.27
6.83,3.68,-6.61,0.09,-0.16,0.08
7.25,3.64,-6.22,0.0,0.02,0.1
6.8,3.73,-6.02,-0.07,-0.09,0.09
6.75,3.28,-6.43,0.24,-0.31,-0.01
-0.78,0.16,-2.9,0.26,-0.1,0.87
-0.79,-1.58,-1.51,0.28,-0.66,1.36
-1.06,-2.49,0.03,2.01,-1.26,0.81
1.41,-0.54,-0.07,2.63,-1.61,0.94
2.93,-0.02,-0.4,1.99,-1.5,0.73
3.99,-0.17,-0.53,1.77,-1.27,0.88
4.45,0.26,-1.6,1.85,-1.88,0.45
6.29,2.39,-2.05,1.58,-2.03,-0.1
7.8,1.69,-1.79,1.26,-1.85,-0.19
9.81,4.29,-2.41,1.05,-1.51,0.14
0.89,-1.07,-0.78,1.34,-0.7,0.14
0.32,-1.49,-0.79,0.71,-0.36,0.53
0.0,0.83,-1.3,0.62,-1.09,0.88
0.99,-0.89,-1.38,0.76,-0.8,1.46
2.01,-2.67,-0.75,1.06,-0.86,0.84
2.97,-1.25,-1.52,2.39,-1.2,0.81
4.84,0.66,-1.46,1.8,-0.71,1.25
5.41,-1.85,-1.56,1.62,-0.7,0.57
4.83,-0.53,-0.89,0.78,-0.69,0.0
6.58,0.36,-1.14,1.67,-1.21,-0.29
-3.38,-1.45,1.29,1.25,-1.38,0.31
1.02,6.69,-3.33,-0.69,-3.29,-0.43
1.28,-4.25,-2.51,0.96,-2.35,0.82
4.41,-2.42,-2.8,0.96,-1.01,0.96
4.67,-1.67,-3.32,2.46,-1.28,0.81
4.6,-3.56,-1.77,1.44,-0.24,1.13
5.02,1.15,-2.79,1.18,-0.18,-0.07
5.95,-1.63,-0.86,0.61,0.33,-0.02
5.5,-0.69,-1.28,1.6,-0.6,-0.05
7.37,0.36,-2.18,1.65,-0.79,-0.61
5.77,1.2,-3.38,0.99,-0.22,0.64
5.74,1.9,-3.91,1.04,-1.12,0.11
5.85,2.22,-2.42,1.03,-0.7,0.03
7.75,1.02,-3.48,0.5,-1.24,-0.37
8.37,4.93,-3.1,1.14,-0.77,-0.77
10.3,3.42,-4.16,1.3,-0.51,-0.27
8.61,4.75,-4.36,0.34,0.1,0.32
7.69,4.33,-3.87,-0.45,0.44,0.65
5.95,3.33,-3.51,-0.75,0.2,0.82
6.12,2.25,-4.2,0.08,-0.36,0.53
7.42,0.55,-2.64,0.85,-0.7,-0.2
8.85,0.85,-2.52,1.17,-0.45,-0.12
8.39,1.05,-2.43,0.29,-0.4,-0.2
7.57,2.75,-4.03,2.59,-0.8,0.12
8.41,3.08,-6.05,0.89,-0.83,0.83
8.76,3.26,-7.07,0.6,-0.68,1.28
8.87,1.22,-6.85,0.34,0.2,1.0
7.99,1.44,-6.53,0.37,0.0,0.94
8.15,0.86,-6.7,0.89,-0.15,0.42
8.3,0.63,-6.65,0.96,0.06,0.12
5.29,-1.09,-0.67,2.67,-0.92,0.61
7.02,1.22,-2.48,1.25,-1.28,0.61
6.91,2.25,-3.21,0.81,-1.37,0.07
7.48,0.46,-4.65,0.29,-1.19,-0.02
7.28,1.32,-3.64,0.59,-0.74,-0.02
8.3,2.59,-4.58,0.3,-1.0,-0.22
8.94,2.54,-4.29,0.43,-0.59,0.1
8.19,2.71,-5.62,-0.32,-0.51,0.02
7.73,2.64,-6.26,0.01,-0.31,0.33
6.97,2.32,-5.94,-0.16,-0.06,0.39
5.85,3.72,-4.7,0.06,0.26,0.23
5.98,3.53,-4.32,0.04,0.15,0.15
5.72,2.36,-4.47,0.61,0.02,0.04
6.97,4.56,-5.33,0.28,0.0,0.26
6.54,3.09,-4.26,-0.53,0.84,0.56
4.71,3.58,-2.98,-0.32,0.11,0.0
5.57,2.44,-4.56,0.3,-0.07,0.15
5.93,3.45,-4.19,0.09,0.11,0.02
5.86,3.4,-3.79,-0.03,-0.02,-0.04
6.1,2.91,-4.4,0.06,-0.2,0.06
8.66,4.07,-4.27,0.46,-1.88,-0.38
10.19,3.68,-4.66,-0.21,-0.52,0.32
8.07,5.17,-5.54,-0.41,-0.39,0.34
6.83,3.96,-5.37,-0.37,0.14,0.52
5.61,5.3,-5.66,-0.29,0.06,0.84
5.49,4.12,-5.38,0.03,0.37,0.75
5.55,4.2,-5.41,0.22,0.0,0.86
5.23,4.34,-5.11,0.21,0.0,0.54
5.41,3.6,-4.96,0.34,-0.1,0.39
6.04,4.3,-5.29,0.45,-0.17,0.28
9.33,5.31,-4.81,-1.13,0.32,-0.14
7.98,1.94,-6.65,-1.0,0.28,0.09
6.34,2.47,-6.86,0.01,-0.25,0.24
7.83,1.81,-7.69,0.14,-0.18,0.28
7.52,2.03,-7.22,0.15,-0.6,0.73
8.75,4.32,-6.41,0.18,-0.12,0.49
7.79,4.02,-5.98,0.0,0.27,0.32
7.38,2.57,-6.22,0.02,0.05,0.1
7.07,2.51,-6.44,-0.09,0.34,-0.12
7.46,2.86,-6.26,0.06,0.13,-0.13
7.73,2.17,-5.72,0.35,0.11,0.7
9.63,5.43,-7.12,-1.47,1.04,-0.63
6.85,1.99,-4.91,0.45,0.84,0.8
6.37,2.15,-3.07,0.0,0.2,-0.38
8.47,4.06,-5.39,0.25,-0.52,-0.51
9.36,5.82,-6.32,0.26,0.19,0.18
7.21,3.01,-5.69,-0.36,0.51,0.47
6.0,2.81,-4.6,-0.06,0.23,0.46
5.75,2.49,-4.82,-0.05,-0.16,0.26
5.19,2.08,-5.07,0.2,-0.3,0.03
8.03,1.4,-3.89,-0.2,-0.75,-0.05
6.51,3.17,-3.84,0.48,-0.37,0.28
7.28,1.97,-3.79,-0.05,0.52,0.07
6.41,2.66,-3.81,-0.43,0.44,0.14
6.25,1.12,-3.87,0.07,0.2,-0.01
6.59,2.93,-4.31,0.08,-0.11,0.17
6.69,2.9,-4.15,0.04,0.06,0.09
6.61,2.61,-4.44,-0.17,-0.15,0.1
6.63,3.68,-4.57,-0.05,-0.06,0.06
6.42,3.69,-4.85,-0.32,-0.18,0.07
8.11,2.92,-2.74,0.41,-0.59,0.54
8.08,1.23,-3.52,0.78,-0.41,0.66
7.16,2.62,-3.53,0.13,-0.1,0.71
6.64,2.35,-5.08,0.45,-0.02,0.57
6.8,2.81,-4.67,0.37,0.78,0.71
5.29,3.82,-4.14,0.22,0.55,0.87
4.62,3.44,-3.7,0.59,0.59,0.79
3.68,3.09,-3.28,0.21,0.6,0.17
4.41,2.76,-3.58,0.44,-0.13,-0.34
6.4,4.58,-4.38,0.37,-0.54,-0.26
6.3,2.02,-1.49,0.53,-1.39,0.48
5.48,1.63,-1.89,0.15,-1.11,0.49
9.03,1.15,-3.9,0.89,-1.5,0.25
6.54,-0.97,-2.65,0.78,-0.45,0.72
8.38,3.46,-3.39,0.15,-0.39,0.36
7.38,1.74,-4.15,-0.13,0.0,0.31
6.26,2.29,-4.45,0.16,-0.11,0.34
6.35,1.58,-5.27,0.06,0.21,0.25
6.41,3.16,-5.55,-1.31,0.37,0.31
5.58,1.68,-3.88,-0.24,0.59,-0.01
6.97,1.07,-3.18,0.52,-0.25,0.34
7.78,1.47,-4.1,0.29,-0.25,0.2
