acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2.7,6.99,-7.11,-0.08,0.04,0.09
2.81,6.97,-6.87,-0.17,0.0,0.16
2.97,7.11,-6.83,0.02,0.12,0.08
2.97,7.03,-6.85,-0.01,0.08,0.06
3.15,7.17,-6.83,0.01,0.08,0.1
3.02,7.17,-6.67,-0.02,0.07,0.12
3.05,6.82,-6.73,-0.01,-0.03,0.13
3.01,6.83,-6.69,0.03,0.01,0.0
2.91,7.17,-6.8,0.0,-0.02,0.1
3.15,6.77,-6.88,-0.02,0.07,0.0
7.43,7.44,-8.8,1.18,-0.9,-0.48
8.0,6.37,-8.64,0.13,-0.73,-0.64
6.31,8.82,-8.84,0.75,-0.63,-0.11
6.63,7.53,-8.62,-0.32,-0.68,0.15
5.25,8.04,-8.18,-0.35,-0.4,0.46
5.18,6.49,-8.64,-0.51,-0.5,0.51
4.78,6.47,-9.36,-0.37,-0.24,0.17
4.78,6.35,-9.74,-0.55,-0.39,0.38
5.36,6.25,-9.81,-0.44,-0.08,0.13
4.92,6.21,-9.69,-0.48,-0.05,0.36
5.94,6.96,-6.1,0.03,-0.25,-0.21
5.53,7.27,-5.97,-0.24,-0.15,0.0
4.7,6.61,-6.84,-0.59,-0.24,0.0
4.16,6.58,-7.13,-0.29,-0.34,-0.09
3.87,6.54,-7.59,0.13,-0.36,-0.1
3.98,6.82,-7.81,-0.16,-0.27,-0.07
4.02,6.51,-7.72,0.0,-0.17,0.0
4.31,6.48,-7.47,-0.06,-0.08,-0.05
4.09,6.72,-7.39,0.05,-0.03,-0.05
4.38,6.78,-7.29,0.01,-0.01,-0.01
3.98,6.68,-7.8,0.03,-0.05,0.16
4.47,6.47,-7.66,0.08,0.07,0.0
4.19,6.57,-7.55,0.34,0.05,0.03
4.69,6.66,-7.42,-0.07,0.08,0.0
4.13,6.03,-7.56,0.28,0.05,0.04
4.39,6.83,-7.73,0.22,-0.1,0.0
4.21,6.77,-7.91,0.49,-0.07,-0.15
4.32,7.56,-8.22,0.2,-0.1,-0.03
4.33,7.02,-8.34,-0.03,0.02,-0.03
4.2,7.23,-8.3,-0.23,0.03,0.11
4.02,7.89,-9.31,-0.21,-0.21,0.09
3.91,6.95,-8.82,-0.18,0.05,-0.07
3.53,7.42,-9.1,-0.07,-0.09,0.07
3.94,7.06,-8.73,-0.13,0.0,-0.03
3.44,7.55,-8.78,0.02,0.08,0.01
3.58,7.47,-8.54,-0.24,0.04,0.04
3.58,7.19,-8.4,-0.13,0.14,0.06
3.54,7.24,-8.46,-0.12,0.0,0.04
3.64,7.06,-8.6,0.03,0.01,0.02
3.53,7.44,-8.8,0.01,-0.01,0.05
7.72,6.32,-6.88,0.27,-0.72,-0.29
6.76,7.58,-6.09,0.15,-0.32,0.03
6.23,6.91,-6.58,-0.93,-0.07,0.25
5.37,5.47,-7.22,-0.31,-0.15,0.19
5.02,5.49,-7.46,-0.19,-0.36,-0.02
5.16,5.56,-7.49,0.16,-0.18,-0.13
5.14,6.05,-7.54,-0.2,-0.05,-0.04
5.41,5.84,-7.23,-0.07,0.17,-0.06
5.03,6.19,-7.26,-0.05,0.19,0.0
5.07,5.65,-7.0,0.04,0.15,0.03
0.7,0.3,-1.54,3.52,-0.61,1.04
3.08,2.95,-3.02,2.99,-0.8,0.37
4.92,3.03,-2.36,2.05,-0.84,0.17
5.13,3.14,-4.34,2.3,-1.21,-0.76
6.24,5.97,-3.65,1.2,-1.25,-0.5
6.49,5.05,-5.68,0.38,-1.31,-0.85
6.15,6.16,-4.48,1.39,-0.97,-0.67
6.05,7.91,-5.21,0.35,-0.89,-0.72
5.28,6.99,-4.75,0.22,-0.45,-0.65
4.49,7.59,-5.2,-0.16,-0.41,-0.23
6.38,6.93,-5.63,0.61,-0.96,-0.8
5.54,8.4,-6.16,0.19,-0.72,-0.42
5.02,7.72,-5.82,-0.3,-0.5,-0.19
4.39,7.19,-6.03,-0.26,-0.35,0.02
3.6,6.68,-6.5,-0.41,-0.52,0.06
3.93,6.41,-6.55,0.08,-0.26,0.02
3.5,6.76,-6.66,-0.28,-0.18,0.12
4.04,6.47,-6.34,-0.22,0.04,0.04
3.41,7.02,-6.02,-0.16,0.01,0.14
3.92,6.54,-5.81,-0.38,-0.01,0.16
7.44,5.27,-4.7,0.36,-0.94,-0.7
7.18,3.16,-5.54,-0.02,-0.79,-0.58
6.75,4.01,-5.17,0.16,-0.5,-0.52
6.5,4.53,-5.03,-0.17,-0.46,-0.38
6.06,4.57,-4.94,0.22,-0.54,-0.29
5.62,4.51,-5.47,0.64,-0.6,0.07
6.2,5.47,-5.19,0.4,-0.46,-0.16
