acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
6.98,4.47,-7.81,-0.07,0.03,0.03
6.81,4.36,-7.82,-0.04,-0.02,0.06
6.9,3.95,-7.83,-0.07,-0.04,0.02
7.07,4.55,-7.62,0.02,-0.06,-0.09
7.48,4.8,-7.67,-0.01,0.01,0.02
7.21,4.6,-7.46,-0.07,0.14,0.01
7.03,4.47,-7.51,-0.04,-0.01,0.14
6.61,4.26,-7.7,-0.02,-0.05,0.07
6.73,3.97,-7.68,-0.03,-0.1,0.03
7.05,4.22,-7.71,-0.03,-0.04,-0.03
7.44,4.65,-9.38,0.05,-0.09,-0.05
7.22,4.1,-9.09,-0.13,0.09,-0.01
7.19,4.64,-8.92,0.14,-0.05,-0.07
7.38,4.73,-8.85,0.03,0.03,0.01
7.2,4.69,-9.23,0.04,-0.03,0.01
7.36,4.4,-8.91,-0.1,0.05,0.03
6.99,4.45,-8.87,-0.09,0.03,-0.01
7.43,4.53,-8.95,-0.04,0.04,0.0
7.12,4.22,-8.82,-0.09,-0.02,-0.02
7.65,4.89,-9.02,0.04,-0.03,0.02
7.19,4.71,-8.53,0.02,0.0,0.0
7.27,4.24,-8.74,-0.06,0.08,0.0
7.07,4.85,-8.59,0.03,-0.01,0.05
7.25,4.2,-8.79,0.06,0.0,0.09
6.99,4.57,-8.64,0.03,0.05,0.03
7.51,4.26,-8.76,0.08,0.06,0.04
6.95,4.51,-8.19,-0.12,0.1,0.0
7.49,4.52,-8.55,0.05,-0.08,0.05
6.98,4.39,-8.45,-0.22,0.07,0.01
7.21,4.71,-8.47,0.03,-0.09,0.09
8.06,3.85,-8.2,-0.04,0.0,0.0
7.37,3.36,-8.23,-0.1,0.01,-0.01
7.75,4.03,-8.1,-0.05,-0.1,0.05
7.53,3.48,-8.53,-0.06,-0.03,-0.02
7.66,3.81,-8.18,-0.11,-0.01,0.02
7.72,3.56,-8.21,0.05,0.0,-0.06
7.76,3.88,-8.07,-0.03,-0.02,0.02
7.77,3.64,-8.31,-0.03,0.02,0.0
7.5,4.14,-8.19,0.0,-0.02,0.01
7.56,3.75,-8.23,0.01,-0.03,0.04
8.03,4.21,-8.6,0.0,-0.02,-0.03
7.45,4.04,-8.58,0.04,0.04,0.03
7.77,3.55,-8.56,-0.22,0.15,0.01
7.22,3.43,-8.6,0.04,0.0,0.0
7.72,3.2,-8.87,0.03,-0.11,-0.05
7.69,4.44,-8.71,0.07,-0.06,-0.17
7.67,4.17,-7.98,-0.12,0.06,0.0
7.9,3.81,-8.39,-0.08,0.05,-0.05
8.03,4.14,-8.6,-0.23,0.01,0.02
7.55,4.32,-8.77,-0.02,0.0,0.05
6.76,4.34,-8.57,-0.27,0.39,0.11
7.06,4.59,-8.43,0.0,0.13,0.02
6.93,4.0,-8.55,0.0,0.09,0.02
6.7,4.92,-8.53,0.09,-0.03,-0.1
6.84,4.63,-8.35,0.1,0.04,-0.11
6.76,4.48,-8.66,0.08,-0.17,-0.11
