acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.64,7.32,-6.59,0.03,-0.32,-0.22
-0.8,7.9,-7.32,0.46,-0.68,-0.6
-0.76,9.69,-6.4,0.86,-0.73,-0.74
-0.57,9.34,-6.83,0.68,-0.33,-0.62
-0.91,10.33,-7.56,0.16,-0.01,-0.5
-1.11,8.94,-7.3,-0.46,0.35,-0.25
-1.53,9.12,-8.54,-0.4,0.14,-0.19
-1.58,8.5,-8.64,-0.5,-0.21,-0.3
-1.84,7.6,-8.31,-0.32,-0.22,-0.32
-2.79,8.15,-8.25,-0.47,-0.15,0.02
-1.0,11.27,-7.74,-0.29,-0.15,-0.05
-1.75,10.86,-8.21,-0.69,0.16,0.17
-1.79,9.09,-8.44,-1.44,-0.12,0.41
-1.09,7.56,-8.7,-0.34,-0.59,0.52
-0.94,7.73,-8.99,0.68,-0.88,0.72
-1.08,8.67,-8.63,0.84,-1.05,0.9
0.17,7.0,-7.85,0.28,-0.88,1.06
1.24,6.74,-7.61,0.61,-0.46,1.13
2.32,7.16,-7.89,0.5,0.24,1.03
2.02,6.53,-8.22,-0.08,0.55,0.76
2.41,6.22,-8.25,-0.2,-0.71,0.1
3.24,7.36,-8.67,-0.33,-1.03,0.02
3.65,8.91,-8.35,-0.89,-1.25,-0.13
3.36,8.17,-8.39,-0.07,-1.04,-0.42
3.07,8.89,-8.66,0.76,-0.98,-0.42
2.67,9.62,-8.78,0.6,-0.85,-0.31
2.47,8.38,-9.16,-0.15,-0.78,-0.22
2.18,8.02,-9.61,-0.05,-0.74,-0.32
1.91,8.89,-9.75,-0.27,-0.47,-0.29
1.69,8.36,-10.13,-0.42,-0.16,-0.2
-10.63,-2.81,-13.71,4.03,4.34,-4.34
-20.43,18.07,4.85,-0.04,4.34,-4.34
-18.04,18.07,3.04,-3.46,4.34,-4.34
-8.05,10.17,-8.17,-2.8,0.28,-0.9
-7.25,5.41,-3.01,-0.13,0.0,2.24
-3.2,11.0,-6.12,2.49,2.37,2.85
