acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
3.4,7.76,-11.13,0.49,0.13,-0.48
3.31,8.67,-11.6,0.44,-0.05,-0.32
2.9,7.36,-10.54,0.1,0.24,-0.23
3.65,8.39,-10.14,0.0,0.55,-0.12
3.77,7.5,-10.54,-0.09,0.08,-0.07
4.16,7.39,-10.4,0.11,0.16,0.02
3.86,7.34,-10.51,0.23,0.23,0.02
3.65,7.34,-10.46,-0.03,0.18,0.02
3.57,7.32,-10.8,-0.11,0.18,0.0
3.63,7.46,-10.55,-0.09,0.27,0.04
7.01,-0.2,-6.3,0.33,-0.98,0.33
6.07,0.98,-9.84,-0.62,-1.41,-0.25
7.6,-0.44,-10.69,-0.24,-0.92,-0.69
5.99,4.25,-12.6,-1.28,-1.29,-1.53
7.84,2.87,-10.6,-0.32,-0.6,-1.65
9.3,5.07,-9.24,0.02,-0.89,-0.96
9.6,6.17,-9.79,-0.78,-1.01,-1.3
9.86,6.42,-11.89,0.02,-1.06,-1.1
9.93,5.37,-11.01,0.24,-0.27,-0.54
9.47,5.58,-13.38,0.07,-0.3,-0.13
4.41,-0.19,-8.87,0.88,-2.08,0.16
4.48,0.53,-9.02,0.47,-1.34,-0.07
5.31,0.77,-11.05,-0.25,-1.41,-0.41
6.21,1.45,-11.39,-0.16,-1.44,-0.84
5.53,2.47,-11.22,-0.46,-1.71,-1.43
6.97,3.56,-11.88,-0.84,-2.08,-1.85
11.66,7.89,-12.3,-1.61,-1.7,-1.34
12.96,10.21,-14.09,-3.51,-1.12,-2.02
11.61,5.83,-13.11,-0.94,-0.12,-1.71
11.33,7.06,-12.55,0.04,0.73,-1.39
2.01,-1.01,0.89,1.82,0.49,0.09
1.52,0.08,-0.82,1.93,0.28,0.22
2.12,1.03,-2.56,2.27,0.09,0.9
2.65,2.33,-5.1,2.31,-0.46,1.19
2.51,1.8,-4.66,0.72,-0.23,0.93
2.52,2.36,-6.42,0.6,-0.52,0.93
2.66,1.79,-6.86,0.72,-0.87,0.57
5.55,2.16,-4.57,0.92,-1.08,0.36
7.88,6.68,-6.44,1.14,-1.88,-0.15
10.07,4.76,-4.82,0.88,-1.29,-0.87
3.83,-2.03,-1.51,0.23,-0.28,0.57
3.59,-1.87,-3.2,0.35,-0.26,0.86
1.63,-2.33,-3.54,0.56,-0.39,0.34
3.39,0.48,-5.11,0.9,-0.77,0.05
3.76,-0.25,-5.97,1.68,-1.23,0.01
4.07,0.37,-3.35,1.49,-0.23,-0.39
7.6,4.71,-3.64,1.76,0.11,-1.24
6.76,4.85,-3.32,1.29,0.19,-1.78
5.32,2.88,-2.64,1.19,0.01,-1.67
6.68,5.9,-3.57,1.53,-1.02,-1.52
5.2,-2.04,-2.64,0.99,-0.73,0.16
5.37,-0.73,-2.49,0.99,-0.4,0.07
6.88,3.49,-6.52,1.18,-1.03,-0.28
8.03,1.39,-5.35,1.51,-0.56,-0.53
5.93,2.16,-5.88,1.38,-0.57,-0.76
7.36,2.21,-4.68,0.6,-0.29,-0.74
9.48,3.56,-4.38,-0.05,-0.64,-1.14
10.8,3.34,-4.03,0.28,-0.35,-1.03
10.21,3.8,-1.45,0.36,1.04,-0.12
8.95,5.56,-5.24,-1.38,0.82,-0.49
3.63,-0.86,-5.46,1.88,-1.14,1.16
5.3,0.24,-4.64,0.44,-0.53,1.06
6.72,1.81,-5.41,0.74,-0.13,0.68
5.66,2.11,-4.93,0.84,-0.22,0.09
5.21,1.23,-0.49,1.45,0.46,-0.52
8.95,3.41,-5.62,1.1,-1.03,-0.86
8.64,0.93,-3.27,1.12,-0.4,-0.88
8.77,3.59,-5.33,1.06,-0.14,-0.74
9.19,3.36,-5.83,0.67,0.09,-0.71
9.07,5.25,-5.1,-0.01,0.41,-0.64
9.6,28.24,67.68,17.81,25.23,17.6
