acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0.31,9.26,-2.06,-0.98,-0.05,-0.97
0.24,7.87,-2.47,-0.51,-0.21,-0.42
0.49,6.92,-3.23,-0.65,-0.16,0.2
0.02,6.19,-3.74,-0.39,-0.05,0.19
-0.63,6.52,-4.08,-0.19,-0.1,0.1
-0.11,5.94,-3.93,-0.4,-0.34,-0.21
-0.02,5.91,-4.07,-0.11,-0.16,-0.24
-0.16,5.81,-3.77,0.05,0.0,-0.28
-0.41,5.56,-3.87,0.2,0.1,-0.14
-1.11,5.43,-3.72,0.45,0.17,-0.22
-3.86,8.09,-8.49,0.21,-0.14,-0.41
-4.37,7.57,-8.34,-0.11,0.26,-0.04
-4.26,7.06,-8.03,-0.17,0.44,0.09
-4.78,6.99,-7.64,0.16,0.17,-0.01
-4.57,6.84,-7.43,0.11,0.26,0.08
-4.91,6.88,-7.66,0.11,0.1,0.05
-4.42,6.66,-7.69,0.15,0.08,-0.01
-4.84,6.65,-7.59,0.1,0.11,-0.04
-5.0,6.94,-7.46,0.13,0.04,-0.1
-4.55,6.96,-7.28,0.17,0.01,-0.07
-3.73,7.39,-10.19,-0.08,-0.11,0.03
-3.59,7.45,-10.17,0.11,-0.23,-0.09
-3.57,7.84,-10.41,0.08,-0.19,-0.05
-3.45,7.57,-10.56,-0.06,-0.03,-0.07
-3.49,7.68,-10.62,-0.01,-0.02,-0.05
-3.45,7.69,-10.53,0.01,-0.08,-0.07
-3.37,7.5,-10.49,0.0,-0.07,-0.08
-3.54,7.58,-10.52,0.0,-0.03,-0.04
-3.57,7.57,-10.36,0.0,-0.01,-0.05
-3.73,7.41,-10.51,0.09,-0.07,-0.06
7.39,7.36,-7.73,-0.8,-1.05,-0.67
5.41,6.52,-11.37,-1.62,-1.17,-1.21
3.7,5.63,-11.27,-1.21,-0.6,-1.47
3.3,6.97,-11.55,-1.48,-0.57,-1.09
4.69,5.02,-10.48,-1.93,-1.24,-1.54
5.68,2.07,-8.32,-1.03,-1.89,-2.02
6.02,5.93,-10.31,-1.03,-2.52,-2.54
5.21,6.49,-10.65,-0.62,-3.14,-2.6
5.55,9.46,-12.61,-1.25,-3.39,-2.38
4.42,7.09,-12.13,-0.8,-3.09,-1.83
4.37,5.11,-12.23,-2.2,-0.78,-0.69
5.81,5.95,-11.74,-2.16,-1.24,-1.01
4.67,5.18,-12.18,-2.49,-1.71,-1.05
5.05,5.58,-12.9,-1.78,-2.2,-1.37
4.24,7.98,-15.08,-2.19,-2.63,-2.03
2.8,7.36,-14.35,-0.47,-2.06,-2.04
1.69,9.39,-14.72,-1.15,-1.74,-1.6
0.11,8.0,-13.6,-0.96,-1.75,-1.49
-0.42,7.83,-12.17,0.01,-1.83,-1.42
-1.91,8.4,-11.97,0.08,-1.5,-1.56
-7.12,-2.99,-4.43,0.7,0.55,0.73
2.05,3.57,-10.9,0.55,0.48,0.04
1.92,5.81,-15.35,0.57,-0.02,-0.26
4.62,5.17,-14.76,0.21,-0.01,0.14
2.57,5.18,-16.4,-0.67,-0.29,0.16
1.46,9.94,-17.54,1.27,-0.05,-0.21
2.06,8.67,-16.87,0.81,0.86,0.29
1.04,7.77,-15.6,-0.67,1.29,0.56
1.46,6.74,-14.8,-1.5,0.69,0.78
3.89,4.34,-13.06,-2.21,0.29,0.81
-7.8,-2.71,-5.34,0.77,-0.14,0.63
0.04,2.9,-13.24,0.05,0.05,-0.24
2.73,6.54,-16.29,0.35,-0.24,-0.5
3.69,7.66,-17.86,-0.58,-0.53,0.06
1.54,1.31,-20.04,2.6,0.02,0.3
3.13,3.92,-18.03,-0.36,0.2,0.14
2.04,3.96,-18.05,0.44,0.3,-0.27
1.27,4.96,-17.98,-0.15,0.38,0.01
0.98,4.84,-16.92,-0.66,0.56,0.24
0.24,5.65,-16.35,-1.61,0.69,0.39
-6.66,5.33,-5.1,-0.37,0.12,-0.96
-7.24,5.43,-5.05,-0.29,0.04,-1.05
-7.41,6.29,-5.06,-0.53,-0.07,-1.09
-7.11,5.95,-4.9,-0.43,-0.18,-0.82
-7.18,4.95,-5.09,-0.26,-0.04,-0.33
-7.25,4.62,-5.0,-0.15,0.05,0.21
-6.94,4.31,-5.08,-0.48,0.18,0.6
-7.34,3.06,-5.05,-0.52,0.31,0.7
-6.94,3.4,-4.97,-0.2,0.28,0.64
-6.96,3.48,-4.91,0.08,0.01,0.47
-4.99,6.51,-4.82,0.17,0.0,-0.86
-5.33,5.64,-4.84,0.35,0.13,-0.42
-5.81,5.43,-5.01,0.16,0.07,-0.19
-5.74,5.08,-4.85,0.08,0.0,-0.25
-6.31,5.26,-5.1,0.09,-0.09,-0.21
-6.42,5.12,-4.89,0.25,-0.16,-0.17
-6.55,5.33,-5.14,0.43,-0.3,-0.15
-6.13,5.27,-5.13,0.34,-0.3,-0.11
-6.02,5.14,-5.13,0.09,-0.14,-0.07
-5.99,4.96,-5.26,-0.04,-0.15,-0.09
-18.09,-0.42,2.06,2.97,1.55,2.23
-6.87,-1.09,-3.12,-0.57,1.23,1.39
0.04,3.1,-9.85,0.43,0.57,-0.47
3.26,4.37,-11.95,-0.31,-0.5,0.02
3.74,8.3,-15.78,-1.7,-0.48,0.24
1.0,7.11,-18.03,1.48,0.17,0.58
0.55,10.09,-17.42,-1.8,1.19,1.42
1.76,4.59,-13.24,-2.63,1.72,1.42
3.19,4.03,-12.26,-2.37,0.76,1.02
6.7,1.86,-11.35,-3.35,0.0,0.62
4.08,9.29,-16.22,-0.69,-0.63,-0.14
1.55,8.9,-15.48,-2.41,0.62,0.55
1.15,10.77,-14.46,-1.17,0.84,1.08
1.08,8.6,-13.03,-3.46,0.47,1.73
3.49,6.02,-11.5,-3.77,-0.21,1.53
5.73,2.56,-11.25,-3.55,-0.69,1.01
6.02,1.71,-12.18,-2.76,-1.1,-0.15
6.81,3.22,-13.03,-2.5,-1.43,-1.6
5.49,3.1,-12.56,-1.94,-1.32,-3.03
4.76,3.9,-12.13,-0.56,-1.23,-3.74
3.59,4.5,-13.42,-4.05,0.72,0.89
4.88,2.54,-12.31,-3.18,0.05,0.19
7.23,3.23,-12.55,-1.98,-0.7,-0.69
7.68,3.9,-12.21,-1.82,-1.05,-1.35
6.99,3.44,-11.37,-2.29,-0.74,-1.37
6.14,3.1,-10.57,-1.75,-0.65,-1.51
4.95,2.33,-9.93,-0.84,-0.72,-1.89
3.72,4.68,-9.22,0.19,-0.89,-1.83
0.9,5.38,-8.84,0.29,-0.73,-2.53
0.59,6.37,-8.55,0.85,-1.21,-2.62
3.77,3.56,-9.04,-0.81,-0.82,-1.24
4.11,3.58,-7.89,-0.81,-1.05,-1.44
2.97,5.28,-7.85,-0.52,-1.24,-1.89
2.56,4.76,-7.24,-0.53,-1.47,-3.09
0.66,7.34,-7.24,-0.07,-1.82,-2.93
-0.66,6.59,-7.0,-0.81,-1.35,-3.25
-3.63,9.94,-8.31,-1.27,-1.38,-3.1
-5.29,10.39,-7.42,-1.19,-1.65,-3.03
-5.98,9.48,-7.33,-0.89,-1.78,-2.84
-5.98,8.16,-6.47,-0.41,-1.49,-2.24
5.56,2.33,-17.3,-0.25,0.1,0.13
3.67,3.63,-16.58,-1.29,0.29,-0.08
1.93,6.11,-16.91,-2.56,0.32,-0.2
3.37,6.42,-15.92,-4.29,0.25,0.16
3.04,6.75,-15.26,-4.29,-0.01,0.62
6.42,5.6,-13.03,-3.43,-0.38,0.55
8.57,3.41,-12.74,-3.36,-0.61,-0.17
8.8,2.37,-12.47,-2.88,-0.19,-0.72
8.94,2.7,-11.96,-2.79,-0.22,-1.51
7.42,2.13,-9.92,-1.65,-0.22,-2.53
4.09,8.22,-8.44,-0.02,-1.24,-1.37
2.22,6.38,-8.29,-1.12,-0.41,-1.83
1.62,7.56,-8.3,0.0,-0.29,-1.82
-1.02,6.71,-8.0,0.12,-0.1,-2.53
-1.71,9.88,-7.56,-0.21,-0.41,-2.3
-3.15,7.76,-6.56,-1.38,-0.04,-1.66
-3.47,7.89,-5.81,-1.4,0.16,-1.32
-4.62,8.96,-5.44,-1.56,0.14,-1.34
-5.17,8.02,-5.06,-0.83,-0.17,-1.45
-4.82,7.59,-4.41,-0.61,-0.03,-1.11
5.45,3.61,-12.94,-3.96,0.41,2.21
8.36,1.78,-11.69,-2.14,0.23,1.53
9.99,-0.02,-10.46,-2.01,0.27,0.94
10.15,-1.71,-10.38,-1.86,-0.03,-0.14
9.4,-1.67,-10.47,-1.92,-0.06,-1.37
7.16,-2.43,-9.73,-1.28,-0.43,-2.05
5.67,1.51,-9.53,-1.2,-0.78,-2.53
4.34,-0.74,-8.14,-0.93,-1.09,-2.78
3.09,4.24,-8.84,-0.5,-1.66,-2.76
1.84,4.02,-8.68,-0.48,-1.51,-3.6
-3.23,8.26,-7.97,-0.18,-0.44,-1.07
-5.19,7.75,-7.57,-0.81,-0.51,-1.06
-5.42,7.21,-6.52,-0.17,-0.46,-0.92
-5.7,6.59,-6.53,-0.16,-0.27,-0.65
-5.51,6.17,-6.68,-0.05,-0.07,-0.78
-6.13,6.07,-6.96,0.05,-0.24,-0.71
-6.6,5.73,-6.92,0.07,-0.3,-0.6
-6.39,5.68,-6.76,0.15,-0.17,-0.35
-6.88,5.5,-6.71,0.3,0.08,-0.14
-6.92,5.55,-6.86,0.48,0.15,-0.12
-6.38,7.09,-9.71,-0.06,-0.11,-0.2
-6.31,6.07,-9.46,-0.15,0.15,-0.1
-6.68,6.18,-9.31,-0.04,0.16,-0.09
-6.84,5.63,-8.98,-0.14,0.07,0.0
-6.91,5.97,-8.92,0.05,0.12,0.08
-6.98,5.48,-8.82,0.11,0.1,0.11
-6.72,5.74,-8.8,0.06,0.11,0.12
-6.75,5.57,-8.77,-0.04,0.08,0.06
-6.68,5.57,-8.8,-0.12,0.0,0.02
-6.73,5.54,-8.7,-0.02,-0.04,0.0
-6.7,5.58,-9.25,-0.13,0.06,-0.08
-6.65,5.88,-9.16,-0.19,0.0,-0.12
-6.81,5.36,-8.87,-0.08,-0.16,-0.23
-6.76,5.66,-8.8,-0.07,-0.15,-0.32
-6.81,5.45,-8.56,-0.38,-0.02,-0.27
-7.19,5.31,-8.57,-0.14,0.02,-0.17
-7.22,5.14,-8.48,-0.2,0.0,-0.1
-7.1,5.34,-8.56,-0.14,-0.03,-0.09
-7.21,5.06,-8.62,0.0,-0.17,-0.12
-7.53,5.18,-8.65,0.0,-0.18,-0.09
3.13,6.3,-11.43,-0.42,-2.64,-2.1
1.69,10.4,-12.66,-0.01,-2.54,-1.39
-0.22,7.29,-11.55,-0.11,-2.29,-1.14
-1.74,8.63,-11.64,-0.23,-1.77,-1.4
-3.54,8.68,-11.24,-0.53,-1.17,-1.5
-4.81,8.0,-10.6,-0.84,-0.53,-1.52
-6.12,8.16,-10.42,-0.97,-0.3,-1.48
-6.62,7.81,-10.18,-0.6,-0.23,-1.23
-7.03,7.64,-9.89,-0.12,-0.36,-1.37
-7.3,7.94,-9.78,-0.2,-0.64,-1.05
-6.7,0.45,-8.18,-0.69,0.6,0.05
1.19,3.5,-8.07,-1.25,1.3,-0.27
1.95,6.9,-13.19,-0.28,-0.58,-0.32
1.76,9.4,-17.95,-0.31,-0.4,0.42
-1.03,7.77,-18.53,-1.91,1.1,0.58
-1.72,6.38,-17.82,-2.21,0.78,0.71
2.2,4.41,-15.02,-3.16,0.69,0.6
5.44,2.34,-13.63,-2.52,0.16,0.45
5.01,2.3,-12.69,-1.42,-0.47,-0.39
6.18,4.31,-11.76,-1.08,-0.73,-1.06
-7.23,4.63,-7.69,-0.22,-0.33,-0.08
-7.27,4.35,-9.08,0.22,-0.74,-0.42
-7.03,5.61,-11.18,1.16,-1.5,-1.16
-7.34,7.69,-15.79,0.12,-2.59,-1.68
-17.01,9.83,-25.55,1.56,-4.38,-2.51
-20.43,7.19,-24.94,0.33,0.5,-0.31
-20.43,14.05,-12.77,2.46,4.34,0.66
-20.43,18.07,-13.73,3.82,4.34,1.46
-20.43,-5.33,1.21,-2.05,4.34,3.04
-14.22,3.0,1.05,0.33,3.15,0.28
-7.21,4.66,-7.99,0.0,0.14,0.25
-7.09,4.85,-7.78,0.08,0.19,0.11
-7.0,4.61,-7.8,-0.09,0.11,0.01
-7.13,4.99,-7.66,0.04,0.07,-0.08
-7.09,5.18,-7.62,-0.14,0.06,-0.15
-7.13,5.45,-7.54,-0.05,0.08,-0.1
-7.23,5.37,-7.51,-0.14,0.03,-0.07
-7.22,5.27,-7.51,-0.02,0.0,-0.01
-7.2,4.98,-7.67,-0.04,-0.09,-0.03
-7.2,5.08,-7.78,0.08,-0.16,-0.08
-6.09,8.24,-9.49,-0.53,-0.32,-1.63
-6.01,8.13,-8.54,-0.39,-0.29,-1.43
-6.45,7.63,-8.56,0.17,-0.38,-1.27
-6.57,7.34,-8.54,0.24,-0.68,-1.0
-6.76,7.03,-8.55,0.68,-0.79,-0.9
-7.18,7.05,-8.8,0.26,-0.75,-0.73
-6.7,6.57,-8.66,0.13,-0.42,-0.46
-7.01,6.01,-9.14,0.01,-0.25,-0.06
-7.2,5.5,-8.91,0.27,0.0,0.06
-7.26,5.53,-8.94,0.04,0.13,0.11
6.91,5.15,-12.45,-2.07,-1.29,-3.03
5.87,4.88,-9.72,-1.84,-1.52,-3.15
4.64,8.46,-9.18,-1.61,-1.36,-3.07
2.84,6.99,-7.96,-1.34,-1.05,-2.11
1.35,6.61,-7.77,0.23,-0.91,-1.34
-1.34,6.21,-7.71,-0.33,-0.4,-1.71
-2.96,9.8,-7.14,0.18,-0.16,-1.42
-4.41,8.5,-7.2,0.06,-0.11,-1.52
-4.8,8.09,-7.31,0.22,-0.1,-1.09
-4.78,7.91,-7.79,-0.36,0.1,-1.33
-6.3,5.26,-6.69,0.09,-0.02,-0.34
-6.74,5.54,-6.65,0.33,-0.16,-0.43
-6.91,5.49,-6.7,0.29,-0.25,-0.35
-6.93,5.32,-6.82,0.21,-0.14,-0.23
-6.92,5.47,-7.04,0.01,0.0,-0.12
-7.04,5.02,-6.82,-0.16,0.05,0.0
-6.93,5.01,-6.55,0.05,-0.05,0.0
-7.47,4.93,-6.96,0.44,-0.33,-0.02
-7.31,5.5,-7.05,1.04,-0.63,-0.21
-6.96,6.77,-7.87,1.75,-0.93,-0.47
-7.1,5.52,-7.8,-0.04,0.2,-0.06
-6.98,5.42,-7.89,-0.27,0.4,-0.05
-7.3,4.98,-7.8,-0.26,0.23,-0.02
-7.14,4.53,-7.61,-0.35,0.19,0.0
-7.58,4.77,-7.47,-0.17,0.24,-0.02
-7.75,4.59,-7.28,-0.21,0.17,0.11
-7.78,4.43,-7.35,0.0,0.04,0.15
-7.68,4.56,-7.26,0.21,-0.02,0.1
-7.66,4.56,-7.23,0.17,-0.03,0.09
-7.49,4.4,-7.33,0.04,-0.01,0.06
-8.23,6.77,-7.87,-0.05,-0.6,-1.7
-8.13,6.0,-7.64,0.45,-0.69,-1.19
-7.38,5.67,-7.83,0.78,-0.52,-0.63
-6.93,5.63,-7.68,0.53,-0.26,-0.44
-7.35,4.72,-7.37,0.26,-0.08,-0.18
-7.55,5.21,-7.23,0.2,-0.08,-0.04
-7.38,4.97,-7.19,0.37,-0.07,-0.08
-7.31,5.17,-6.99,0.37,0.03,-0.02
-7.46,4.69,-6.82,0.23,0.15,0.08
-7.8,4.49,-6.7,0.0,0.08,0.2
3.38,5.09,-13.85,-2.04,-2.31,-0.87
