acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0.31,9.26,7.75,-0.98,-0.05,-0.97
0.24,7.87,7.34,-0.51,-0.21,-0.42
0.49,6.92,6.58,-0.65,-0.16,0.2
0.02,6.19,6.07,-0.39,-0.05,0.19
-0.63,6.52,5.73,-0.19,-0.1,0.1
-0.11,5.94,5.880000000000001,-0.4,-0.34,-0.21
-0.02,5.91,5.74,-0.11,-0.16,-0.24
-0.16,5.81,6.040000000000001,0.05,0.0,-0.28
-0.41,5.56,5.94,0.2,0.1,-0.14
-1.11,5.43,6.09,0.45,0.17,-0.22
-3.86,8.09,1.3200000000000003,0.21,-0.14,-0.41
-4.37,7.57,1.4700000000000006,-0.11,0.26,-0.04
-4.26,7.06,1.7800000000000011,-0.17,0.44,0.09
-4.78,6.99,2.170000000000001,0.16,0.17,-0.01
-4.57,6.84,2.380000000000001,0.11,0.26,0.08
-4.91,6.88,2.1500000000000004,0.11,0.1,0.05
-4.42,6.66,2.12,0.15,0.08,-0.01
-4.84,6.65,2.2200000000000006,0.1,0.11,-0.04
-5.0,6.94,2.3500000000000005,0.13,0.04,-0.1
-4.55,6.96,2.5300000000000002,0.17,0.01,-0.07
-3.73,7.39,-0.379999999999999,-0.08,-0.11,0.03
-3.59,7.45,-0.35999999999999943,0.11,-0.23,-0.09
-3.57,7.84,-0.5999999999999996,0.08,-0.19,-0.05
-3.45,7.57,-0.75,-0.06,-0.03,-0.07
-3.49,7.68,-0.8099999999999987,-0.01,-0.02,-0.05
-3.45,7.69,-0.7199999999999989,0.01,-0.08,-0.07
-3.37,7.5,-0.6799999999999997,0.0,-0.07,-0.08
-3.54,7.58,-0.7099999999999991,0.0,-0.03,-0.04
-3.57,7.57,-0.5499999999999989,0.0,-0.01,-0.05
-3.73,7.41,-0.6999999999999993,0.09,-0.07,-0.06
7.39,7.36,2.08,-0.8,-1.05,-0.67
5.41,6.52,-1.5599999999999987,-1.62,-1.17,-1.21
3.7,5.63,-1.459999999999999,-1.21,-0.6,-1.47
3.3,6.97,-1.7400000000000002,-1.48,-0.57,-1.09
4.69,5.02,-0.6699999999999999,-1.93,-1.24,-1.54
5.68,2.07,1.4900000000000002,-1.03,-1.89,-2.02
6.02,5.93,-0.5,-1.03,-2.52,-2.54
5.21,6.49,-0.8399999999999999,-0.62,-3.14,-2.6
5.55,9.46,-2.799999999999999,-1.25,-3.39,-2.38
4.42,7.09,-2.3200000000000003,-0.8,-3.09,-1.83
4.37,5.11,-2.42,-2.2,-0.78,-0.69
5.81,5.95,-1.9299999999999997,-2.16,-1.24,-1.01
4.67,5.18,-2.369999999999999,-2.49,-1.71,-1.05
5.05,5.58,-3.09,-1.78,-2.2,-1.37
4.24,7.98,-5.27,-2.19,-2.63,-2.03
2.8,7.36,-4.539999999999999,-0.47,-2.06,-2.04
1.69,9.39,-4.91,-1.15,-1.74,-1.6
0.11,8.0,-3.789999999999999,-0.96,-1.75,-1.49
-0.42,7.83,-2.3599999999999994,0.01,-1.83,-1.42
-1.91,8.4,-2.16,0.08,-1.5,-1.56
-7.12,-2.99,5.380000000000001,0.7,0.55,0.73
2.05,3.57,-1.0899999999999999,0.55,0.48,0.04
1.92,5.81,-5.539999999999999,0.57,-0.02,-0.26
4.62,5.17,-4.949999999999999,0.21,-0.01,0.14
2.57,5.18,-6.589999999999998,-0.67,-0.29,0.16
1.46,9.94,-7.729999999999999,1.27,-0.05,-0.21
2.06,8.67,-7.0600000000000005,0.81,0.86,0.29
1.04,7.77,-5.789999999999999,-0.67,1.29,0.56
1.46,6.74,-4.99,-1.5,0.69,0.78
3.89,4.34,-3.25,-2.21,0.29,0.81
-7.8,-2.71,4.470000000000001,0.77,-0.14,0.63
0.04,2.9,-3.4299999999999997,0.05,0.05,-0.24
2.73,6.54,-6.479999999999999,0.35,-0.24,-0.5
3.69,7.66,-8.049999999999999,-0.58,-0.53,0.06
1.54,1.31,-10.229999999999999,2.6,0.02,0.3
3.13,3.92,-8.22,-0.36,0.2,0.14
2.04,3.96,-8.24,0.44,0.3,-0.27
1.27,4.96,-8.17,-0.15,0.38,0.01
0.98,4.84,-7.110000000000001,-0.66,0.56,0.24
0.24,5.65,-6.540000000000001,-1.61,0.69,0.39
-6.66,5.33,4.710000000000001,-0.37,0.12,-0.96
-7.24,5.43,4.760000000000001,-0.29,0.04,-1.05
-7.41,6.29,4.750000000000001,-0.53,-0.07,-1.09
-7.11,5.95,4.91,-0.43,-0.18,-0.82
-7.18,4.95,4.720000000000001,-0.26,-0.04,-0.33
-7.25,4.62,4.8100000000000005,-0.15,0.05,0.21
-6.94,4.31,4.73,-0.48,0.18,0.6
-7.34,3.06,4.760000000000001,-0.52,0.31,0.7
-6.94,3.4,4.840000000000001,-0.2,0.28,0.64
-6.96,3.48,4.9,0.08,0.01,0.47
-4.99,6.51,4.99,0.17,0.0,-0.86
-5.33,5.64,4.970000000000001,0.35,0.13,-0.42
-5.81,5.43,4.800000000000001,0.16,0.07,-0.19
-5.74,5.08,4.960000000000001,0.08,0.0,-0.25
-6.31,5.26,4.710000000000001,0.09,-0.09,-0.21
-6.42,5.12,4.920000000000001,0.25,-0.16,-0.17
-6.55,5.33,4.670000000000001,0.43,-0.3,-0.15
-6.13,5.27,4.680000000000001,0.34,-0.3,-0.11
-6.02,5.14,4.680000000000001,0.09,-0.14,-0.07
-5.99,4.96,4.550000000000001,-0.04,-0.15,-0.09
-18.09,-0.42,11.870000000000001,2.97,1.55,2.23
-6.87,-1.09,6.69,-0.57,1.23,1.39
0.04,3.1,-0.03999999999999915,0.43,0.57,-0.47
3.26,4.37,-2.139999999999999,-0.31,-0.5,0.02
3.74,8.3,-5.969999999999999,-1.7,-0.48,0.24
1.0,7.11,-8.22,1.48,0.17,0.58
0.55,10.09,-7.610000000000001,-1.8,1.19,1.42
1.76,4.59,-3.4299999999999997,-2.63,1.72,1.42
3.19,4.03,-2.4499999999999993,-2.37,0.76,1.02
6.7,1.86,-1.5399999999999991,-3.35,0.0,0.62
4.08,9.29,-6.409999999999998,-0.69,-0.63,-0.14
1.55,8.9,-5.67,-2.41,0.62,0.55
1.15,10.77,-4.65,-1.17,0.84,1.08
1.08,8.6,-3.219999999999999,-3.46,0.47,1.73
3.49,6.02,-1.6899999999999995,-3.77,-0.21,1.53
5.73,2.56,-1.4399999999999995,-3.55,-0.69,1.01
6.02,1.71,-2.369999999999999,-2.76,-1.1,-0.15
6.81,3.22,-3.219999999999999,-2.5,-1.43,-1.6
5.49,3.1,-2.75,-1.94,-1.32,-3.03
4.76,3.9,-2.3200000000000003,-0.56,-1.23,-3.74
3.59,4.5,-3.6099999999999994,-4.05,0.72,0.89
4.88,2.54,-2.5,-3.18,0.05,0.19
7.23,3.23,-2.74,-1.98,-0.7,-0.69
7.68,3.9,-2.4000000000000004,-1.82,-1.05,-1.35
6.99,3.44,-1.5599999999999987,-2.29,-0.74,-1.37
6.14,3.1,-0.7599999999999998,-1.75,-0.65,-1.51
4.95,2.33,-0.11999999999999922,-0.84,-0.72,-1.89
3.72,4.68,0.5899999999999999,0.19,-0.89,-1.83
0.9,5.38,0.9700000000000006,0.29,-0.73,-2.53
0.59,6.37,1.2599999999999998,0.85,-1.21,-2.62
3.77,3.56,0.7700000000000014,-0.81,-0.82,-1.24
4.11,3.58,1.9200000000000008,-0.81,-1.05,-1.44
2.97,5.28,1.9600000000000009,-0.52,-1.24,-1.89
2.56,4.76,2.5700000000000003,-0.53,-1.47,-3.09
0.66,7.34,2.5700000000000003,-0.07,-1.82,-2.93
-0.66,6.59,2.8100000000000005,-0.81,-1.35,-3.25
-3.63,9.94,1.5,-1.27,-1.38,-3.1
-5.29,10.39,2.3900000000000006,-1.19,-1.65,-3.03
-5.98,9.48,2.4800000000000004,-0.89,-1.78,-2.84
-5.98,8.16,3.3400000000000007,-0.41,-1.49,-2.24
5.56,2.33,-7.49,-0.25,0.1,0.13
3.67,3.63,-6.769999999999998,-1.29,0.29,-0.08
1.93,6.11,-7.1,-2.56,0.32,-0.2
3.37,6.42,-6.109999999999999,-4.29,0.25,0.16
3.04,6.75,-5.449999999999999,-4.29,-0.01,0.62
6.42,5.6,-3.219999999999999,-3.43,-0.38,0.55
8.57,3.41,-2.9299999999999997,-3.36,-0.61,-0.17
8.8,2.37,-2.66,-2.88,-0.19,-0.72
8.94,2.7,-2.1500000000000004,-2.79,-0.22,-1.51
7.42,2.13,-0.10999999999999943,-1.65,-0.22,-2.53
4.09,8.22,1.370000000000001,-0.02,-1.24,-1.37
