acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-5.29,15.2,-12.110000000000001,4.2,-4.38,1.63
-2.25,12.68,-2.3200000000000003,-2.31,-3.93,-0.02
-1.58,2.0,-2.619999999999999,-0.98,0.97,0.17
-2.47,1.12,-3.4399999999999995,-0.7,0.59,-0.33
-13.65,-4.94,-11.409999999999998,0.86,0.37,-0.34
4.01,6.96,-5.32,-4.29,0.0,-0.53
0.66,3.6,-6.109999999999999,-4.29,-0.47,-0.85
-2.81,9.12,-3.59,-4.29,-0.85,-4.34
-2.72,10.99,-3.6899999999999995,-1.91,-1.46,-2.56
-3.63,11.46,-4.58,0.52,-2.36,-2.4
-9.86,7.03,-0.9699999999999989,0.79,-1.4,-2.05
-9.11,5.65,0.3600000000000012,0.8,-1.33,-2.42
-9.44,2.62,1.0300000000000011,1.06,-0.65,-0.17
-8.74,1.38,2.7800000000000002,1.21,-0.49,0.07
-8.96,0.9,2.6800000000000006,1.35,0.57,0.14
-9.98,-0.05,3.1800000000000006,1.23,0.51,0.51
-9.53,1.06,2.66,0.61,0.37,0.05
-10.18,1.13,2.45,-0.28,1.34,0.21
-9.5,1.09,2.2300000000000004,-0.9,0.02,0.88
-10.28,1.62,2.66,-0.07,-0.02,0.82
-2.75,-0.62,-0.129999999999999,0.07,0.15,1.0
-3.21,1.51,-0.21999999999999886,-0.03,0.0,0.89
-4.05,1.63,-1.1399999999999988,-1.37,-0.29,-0.09
-5.1,3.62,-3.5199999999999996,-1.52,-0.91,-1.46
-6.81,6.73,-5.059999999999999,-2.11,-1.8,-3.15
-7.22,5.8,-5.41,-2.11,-2.59,-3.44
-9.68,9.85,-3.6999999999999993,-1.52,-2.42,-3.32
-10.75,8.37,-3.3099999999999987,-0.53,-2.08,-3.02
-10.33,7.67,-1.5399999999999991,-0.02,-1.46,-2.6
-11.35,5.43,-1.5999999999999996,0.34,-1.51,-1.92
-9.05,2.41,2.2300000000000004,0.2,0.58,1.1
-8.03,4.62,1.5,-0.36,0.61,0.91
-7.56,4.12,1.2599999999999998,-0.34,0.02,0.52
-7.37,3.99,1.0999999999999996,-0.13,-0.16,0.36
-7.87,4.84,1.3499999999999996,0.39,-0.38,0.3
-7.82,5.45,1.8800000000000008,0.06,-0.53,0.51
-6.62,4.38,1.4900000000000002,-0.19,-0.68,0.53
-7.16,5.55,2.7,-0.34,-0.48,0.64
-7.53,6.43,3.5500000000000007,-1.45,-0.51,0.67
-6.22,3.57,4.250000000000001,-2.62,-1.17,-0.35
-9.66,4.35,-3.209999999999999,0.81,-1.7,-0.96
-9.39,5.59,-2.49,1.32,-1.26,-0.3
-8.36,4.4,-0.8699999999999992,0.43,-0.76,0.1
-8.39,3.77,0.120000000000001,0.33,0.0,0.11
-9.1,3.33,0.9900000000000002,0.11,0.3,0.42
-8.44,4.21,0.6100000000000012,-0.18,0.47,-0.21
-8.34,2.65,1.3200000000000003,-0.97,0.39,-0.03
-8.42,3.28,1.540000000000001,-0.52,0.5,0.05
-9.13,3.52,1.4900000000000002,-0.53,0.29,0.08
-8.33,3.18,1.9000000000000004,-0.47,0.27,0.07
-5.23,4.55,-2.369999999999999,0.33,-0.72,-0.86
-4.15,5.02,-3.969999999999999,-0.07,-1.73,-1.23
-4.49,6.76,-6.58,0.01,-1.46,-2.25
-5.32,5.53,-6.749999999999998,-1.01,-2.87,-0.63
-5.96,5.22,-4.58,0.29,-2.1,-1.31
-7.78,7.61,-6.33,1.4,-2.31,-0.69
-9.58,5.57,-10.519999999999998,2.37,-2.46,-1.59
-8.61,6.15,-9.429999999999998,1.1,-1.84,-0.4
-8.87,4.57,-8.33,0.42,0.11,-0.22
-9.21,4.24,-8.62,-0.15,1.26,0.48
-6.41,5.6,0.05000000000000071,1.13,-0.75,0.16
-7.36,5.35,0.41000000000000014,0.21,-0.28,0.25
-8.03,5.13,0.7900000000000009,-0.43,0.04,0.02
-7.76,3.96,0.75,-0.47,0.08,0.35
-8.27,4.43,0.9000000000000004,-0.03,-0.04,0.11
-8.32,4.22,1.8400000000000007,-0.41,-0.29,0.06
-7.79,3.43,2.2600000000000007,0.05,-0.29,0.08
-7.63,4.06,2.0100000000000007,0.33,-0.23,0.06
-7.86,4.44,2.08,0.04,-0.17,0.0
-7.83,4.36,1.8400000000000007,0.19,0.08,-0.12
-20.43,9.79,1.8400000000000007,-1.36,4.34,-4.34
-20.43,5.36,14.850000000000001,1.21,4.34,-0.07
-20.43,8.55,15.0,-4.13,4.34,2.5
-16.6,0.47,9.07,-0.04,4.34,1.5
-7.69,-3.17,3.66,-1.19,2.53,1.69
-2.89,-0.37,-0.5,-0.81,1.8,1.22
-0.81,3.38,-3.49,0.02,0.92,-1.22
-1.47,4.06,-1.2400000000000002,-0.8,1.07,0.57
-4.19,5.2,-3.039999999999999,2.09,-1.78,0.47
-3.08,4.08,-4.74,-1.4,-2.13,-0.26
-9.14,5.52,3.0700000000000003,-0.42,-1.36,-0.02
-8.63,6.48,1.5899999999999999,-2.92,-2.68,-2.21
-8.4,-5.07,5.84,-0.32,-1.13,-2.78
-8.49,4.43,7.1000000000000005,2.17,-0.69,-0.83
-10.61,3.18,7.390000000000001,1.1,-0.5,0.09
-11.32,5.63,5.510000000000001,1.9,-0.89,1.05
-10.11,7.62,4.680000000000001,1.8,-1.05,0.4
-12.09,9.09,2.7200000000000006,0.97,-1.56,0.77
-8.28,5.11,1.6400000000000006,-0.21,-1.3,2.25
-6.42,5.3,1.7400000000000002,-0.03,-1.54,0.82
-8.23,3.46,0.2900000000000009,-0.26,0.02,-0.1
-9.24,3.83,0.4900000000000002,-0.01,0.38,0.5
-9.23,4.06,-0.20999999999999908,0.01,0.6,0.46
-8.72,4.23,0.13000000000000078,0.09,0.53,0.54
-8.43,4.19,-0.09999999999999964,-0.42,0.14,0.49
-8.29,3.84,0.9199999999999999,-0.75,0.4,0.52
-10.87,4.14,0.16000000000000014,-0.26,0.06,0.67
-9.13,3.48,1.3100000000000005,-0.11,-0.33,0.94
-7.72,4.67,1.08,-0.4,-0.6,1.04
-6.23,5.05,0.40000000000000036,-0.28,-0.86,0.4
-6.87,7.09,0.8800000000000008,0.9,-1.12,-1.99
-8.12,7.93,-0.5399999999999991,0.27,-0.84,-1.12
-8.68,6.02,0.5700000000000003,0.06,-1.13,-0.55
-8.0,4.83,1.0300000000000011,0.9,-0.64,-0.06
-7.9,5.11,1.2400000000000002,0.55,-0.21,0.09
-8.21,4.52,1.2800000000000011,0.26,-0.15,0.14
-8.27,4.07,1.8800000000000008,-0.28,-0.07,0.18
-8.1,3.44,1.9600000000000009,-0.06,0.08,0.26
-8.33,4.06,2.12,0.24,0.01,0.16
-7.98,3.84,2.3600000000000003,0.03,-0.07,0.14
-2.25,5.23,-8.49,0.94,-1.74,-2.05
-2.88,3.39,-8.709999999999999,-0.67,-2.53,-0.98
-4.92,5.62,-9.549999999999999,-0.69,-2.93,-0.59
-5.65,5.19,-9.019999999999998,-0.94,-2.36,-0.38
-6.23,3.68,-7.790000000000001,-1.74,-2.38,0.92
-7.38,6.24,-6.5600000000000005,0.19,-1.2,-0.84
-7.73,5.75,-5.32,-0.08,-1.25,-0.48
-7.06,6.3,-3.9000000000000004,-0.51,-0.92,-0.2
-7.5,5.69,-4.1,-0.73,-1.04,0.21
-7.64,4.99,-3.25,-0.28,-0.94,-0.09
-2.45,3.83,-3.9799999999999986,-0.99,-1.76,-1.51
-3.26,4.72,-4.459999999999999,-1.53,-2.16,-1.88
-6.54,7.21,-5.789999999999999,-1.17,-2.82,-2.21
-4.91,7.25,-6.09,-2.07,-2.97,-1.88
-8.46,6.94,-7.369999999999999,-0.63,-3.07,-2.16
-8.42,7.41,-3.5199999999999996,-0.45,-2.21,-1.55
-11.07,8.74,-3.369999999999999,-0.88,-2.52,-1.11
-9.55,5.94,-0.6699999999999999,-1.98,-1.8,-0.5
-9.87,5.11,0.5099999999999998,-0.61,-0.63,-0.27
-9.36,5.57,-0.33000000000000007,0.01,-0.61,-0.82
-1.16,0.34,-0.9399999999999995,-0.57,1.04,0.25
0.18,2.4,-1.83,0.08,0.61,0.92
0.62,3.49,-4.369999999999999,0.13,0.0,-0.59
-2.02,3.23,-2.139999999999999,-1.33,-0.65,-0.13
-1.81,3.25,-3.66,-1.35,-0.61,-1.48
-2.85,5.18,-4.299999999999999,-0.97,-0.6,-1.82
-3.25,5.73,-6.9399999999999995,-0.4,-1.33,-2.32
-3.54,7.12,-7.679999999999998,-0.87,-2.18,-2.44
-3.59,7.62,-6.6899999999999995,-1.59,-2.25,-2.05
-5.37,8.1,-3.9000000000000004,-1.95,-2.01,-1.61
-20.43,10.68,16.04,0.97,4.34,3.43
-20.43,0.41,17.09,-0.81,4.34,4.38
-10.44,-1.68,7.49,1.15,3.6,3.33
-4.55,-0.26,3.4000000000000004,0.73,1.62,1.55
-2.46,-0.86,0.9500000000000011,-0.75,0.94,1.12
-1.98,-2.12,-1.0399999999999991,0.23,0.98,0.98
-0.16,1.43,-1.4499999999999993,0.09,-0.14,0.01
-0.5,5.98,-2.8099999999999987,-0.74,0.61,-1.5
0.08,2.07,-1.7299999999999986,-3.51,-1.76,0.51
-3.59,3.72,-3.1899999999999995,-0.57,-0.86,-1.48
-20.43,11.71,12.93,-1.46,4.34,3.11
-14.95,2.72,13.030000000000001,0.7,4.34,4.38
-7.67,-0.34,4.53,0.86,2.7,1.84
-5.58,-5.57,3.8500000000000005,-0.19,1.7,1.28
-3.47,0.08,1.0700000000000003,-1.13,0.99,0.9
-1.49,-0.12,-0.5099999999999998,-0.41,0.7,0.5
-2.09,1.47,-1.209999999999999,-0.98,0.28,0.33
-2.47,1.66,-2.119999999999999,-1.07,-0.07,-0.54
-3.6,3.56,-2.9000000000000004,-1.51,-0.74,-1.15
-2.88,4.74,-4.99,-1.48,-1.44,-1.64
-20.43,13.78,20.04,-2.92,4.34,4.38
-14.52,-0.5,13.010000000000002,-0.79,3.94,4.38
-6.89,1.3,6.4,1.5,2.37,2.27
-2.63,0.0,1.9500000000000002,0.05,2.05,1.14
-0.46,0.0,-2.01,0.28,1.61,1.79
-4.64,-4.52,-1.9699999999999989,0.1,0.29,-0.8
-3.14,-1.89,-2.0,-1.57,-0.93,3.14
-1.51,-0.48,-2.92,0.9,-0.29,-0.61
-1.07,4.67,-3.99,0.01,-0.83,-1.33
-1.16,4.76,-6.6899999999999995,-1.36,-1.87,-1.91
-7.48,3.96,2.9800000000000004,0.0,-0.43,0.02
-7.4,4.24,2.790000000000001,0.23,-0.38,-0.01
-7.86,4.45,2.83,0.06,-0.22,-0.08
-8.39,4.48,3.2800000000000002,0.13,-0.05,-0.06
-8.28,4.2,3.2800000000000002,-0.03,-0.01,0.33
-7.39,5.44,3.710000000000001,0.08,-0.42,0.55
-7.96,5.01,4.380000000000001,1.83,0.27,1.12
-7.21,7.65,3.62,0.33,0.18,2.77
-7.12,7.56,4.670000000000001,-0.64,-0.33,2.18
-4.91,9.75,2.1100000000000003,-4.29,-0.67,2.52
-1.38,5.07,-6.970000000000001,-0.4,0.75,0.35
-0.98,6.38,-6.15,-0.93,0.75,0.3
-0.46,6.32,-6.3199999999999985,-1.12,0.64,0.35
-0.33,6.21,-6.529999999999999,-0.72,0.54,0.09
0.41,6.38,-5.209999999999999,-0.46,0.83,0.02
0.02,6.31,-5.729999999999999,-0.45,0.87,0.26
0.05,6.16,-4.529999999999999,-0.37,0.94,0.52
0.55,5.29,-4.369999999999999,0.0,0.99,0.85
1.7,5.34,-3.33,0.25,0.74,0.71
2.25,4.7,-3.539999999999999,0.36,0.38,0.78
-6.77,7.41,-2.6099999999999994,0.4,-0.5,-0.9
-7.23,7.1,-2.629999999999999,0.14,-0.06,-0.54
-6.93,6.74,-1.3200000000000003,-0.24,-0.31,-0.27
-6.3,4.76,-1.1199999999999992,-0.15,-0.47,0.05
-8.86,6.76,-0.1399999999999988,0.13,-0.79,0.17
-8.52,4.73,0.08999999999999986,-0.35,-0.61,0.08
-8.38,5.18,0.8000000000000007,-0.09,-0.98,0.12
-8.03,4.31,1.6100000000000012,0.01,-1.12,0.15
-7.77,3.81,2.2600000000000007,0.29,-1.2,0.06
-7.3,3.88,1.7400000000000002,0.55,-1.14,-0.13
-7.22,7.14,-3.41,-1.14,-1.22,-0.65
-7.51,5.23,-3.629999999999999,-1.33,-1.21,-0.44
-7.39,5.61,-3.869999999999999,-1.07,-1.42,-0.71
-8.19,6.42,-2.16,-1.5,-0.97,-0.75
-8.21,5.08,-1.9399999999999995,-1.58,-0.53,-0.44
-8.27,6.14,-0.9000000000000004,-1.51,-0.35,-0.42
-8.18,4.86,0.0,-1.3,-0.17,-0.26
-7.84,3.64,0.6300000000000008,-0.26,0.15,0.0
-8.49,4.4,1.0600000000000005,0.34,0.0,-0.18
-8.66,4.33,1.9500000000000002,-0.38,-0.33,-0.17
-1.27,4.18,-3.83,-0.34,0.07,0.21
-1.12,5.46,-4.799999999999999,0.59,0.0,-0.23
-0.69,6.16,-4.9,0.41,0.11,-0.53
-0.5,8.19,-5.229999999999999,-0.1,-0.11,-0.24
-1.18,6.56,-5.43,-0.3,0.12,-0.33
-1.12,7.61,-5.02,-0.84,0.21,-0.09
-1.07,6.3,-5.289999999999999,-0.57,0.13,-0.03
-0.86,7.48,-4.379999999999999,-0.16,0.1,-0.15
-1.27,7.07,-3.9299999999999997,-0.22,0.14,-0.06
-1.68,6.47,-3.1500000000000004,-0.28,0.22,0.07
-3.3,0.33,-1.6899999999999995,0.04,0.83,1.29
-4.97,6.97,-4.559999999999999,1.97,1.08,-0.56
-0.38,3.72,-2.8599999999999994,-1.42,0.88,-0.75
-2.62,4.33,-5.51,1.64,0.14,-0.1
-0.95,5.03,-6.029999999999999,0.34,0.05,-0.43
-1.2,6.32,-5.539999999999999,-0.36,0.16,-0.2
-1.34,5.87,-6.039999999999999,-0.52,0.09,0.13
-1.25,6.49,-5.85,-0.31,0.17,-0.09
-1.39,6.48,-5.629999999999999,-0.63,0.22,-0.16
-1.3,6.97,-5.4,-0.81,0.05,0.02
-20.43,-5.65,13.95,-4.29,4.34,3.71
-10.04,10.29,11.47,2.19,3.42,-0.98
-8.8,0.82,2.0300000000000002,-1.97,0.81,1.04
-3.15,1.01,0.7599999999999998,-0.57,1.18,0.17
-4.34,1.62,-1.5199999999999996,0.16,0.28,0.85
-3.31,6.31,-2.3099999999999987,0.6,0.26,0.67
-2.47,4.86,-2.91,-0.56,-0.1,0.29
-3.4,5.56,-2.34,-0.53,0.02,0.16
-4.1,4.86,-0.879999999999999,-1.39,0.19,0.23
-5.13,3.77,-0.1399999999999988,-1.05,-0.02,0.18
0.19,8.36,-3.9499999999999993,0.3,0.91,0.04
0.37,7.32,-4.209999999999999,-0.03,1.01,-0.06
0.23,7.85,-3.9499999999999993,0.19,0.93,0.09
0.45,6.99,-3.969999999999999,0.35,1.2,0.02
0.79,6.35,-3.5,0.24,0.95,-0.12
0.63,7.37,-3.639999999999999,0.43,0.58,-0.14
1.83,6.88,-3.5,1.05,0.07,0.24
2.32,6.7,-4.6,-0.1,0.0,-0.04
1.38,6.22,-4.07,0.78,0.13,0.04
1.87,7.55,-4.729999999999999,0.88,0.25,0.25
-7.2,6.66,1.7400000000000002,0.02,-0.38,-0.4
-7.37,6.14,1.9300000000000006,-0.26,-0.06,-0.19
-7.16,5.78,1.9400000000000004,-0.3,0.16,-0.14
-7.24,5.01,1.6400000000000006,-0.31,0.1,0.05
-7.66,4.28,1.4900000000000002,-0.05,-0.03,0.21
-7.88,4.15,1.5700000000000003,0.01,-0.13,0.24
-7.72,4.36,1.450000000000001,-0.01,-0.07,0.05
-7.82,4.62,1.6799999999999997,-0.22,-0.05,-0.11
-7.77,4.28,1.8500000000000005,-0.1,0.02,0.04
-8.1,4.21,1.8900000000000006,0.08,0.04,0.29
-8.07,7.89,-9.179999999999998,-0.08,-4.38,-2.85
-8.99,3.97,-7.5699999999999985,-0.72,-4.38,-1.69
-10.6,6.17,-4.08,-1.01,-3.74,-1.22
