acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.85,-2.32,1.8000000000000007,-1.8,1.01,-0.1
-0.17,2.44,0.9000000000000004,-1.38,0.08,-0.51
0.5,4.39,-1.0099999999999998,-0.77,-0.39,-0.92
1.67,7.06,-1.6999999999999993,-0.43,-0.74,-0.56
1.12,8.5,-2.3200000000000003,-0.42,-0.52,-0.52
0.74,8.89,-2.6999999999999993,-0.66,-0.37,-0.18
0.13,8.27,-2.58,-0.8,-0.27,-0.02
0.32,7.9,-2.4799999999999986,-0.64,-0.23,0.05
0.45,8.06,-2.0999999999999996,-0.41,-0.08,-0.04
0.67,8.19,-1.7400000000000002,-0.4,0.0,-0.01
1.0,7.39,-3.0299999999999994,-0.31,0.28,-0.23
1.04,7.66,-3.42,-0.43,0.19,-0.06
1.16,8.17,-3.039999999999999,-0.85,0.24,-0.14
0.91,7.65,-2.5700000000000003,-0.6,0.19,-0.03
0.46,7.91,-2.0700000000000003,-0.38,0.05,-0.02
0.7,7.87,-1.6500000000000004,-0.35,-0.07,0.06
0.86,8.07,-1.299999999999999,-0.7,0.08,-0.08
0.53,8.34,-1.0700000000000003,-1.02,0.19,-0.11
0.3,7.89,-0.4499999999999993,-1.13,-0.01,0.03
0.46,7.71,-0.1399999999999988,-1.1,-0.41,-0.24
0.29,6.52,-0.09999999999999964,-0.5,0.02,0.18
-1.66,6.51,0.3200000000000003,-0.76,0.37,-0.16
-0.29,6.49,0.7100000000000009,-0.82,0.75,-0.51
-0.68,7.52,1.0999999999999996,-0.87,0.88,-1.07
-1.75,7.87,1.6400000000000006,-1.12,0.97,-1.28
-0.85,8.79,2.8900000000000006,-0.67,1.14,-1.65
-3.22,8.85,2.5500000000000007,-0.49,0.74,-1.85
-3.16,7.92,3.5700000000000003,-0.05,0.8,-1.65
-4.11,8.71,3.5500000000000007,-0.81,0.5,-1.51
-5.28,7.15,3.7600000000000007,-0.62,0.53,-1.64
-3.23,7.12,7.0,-0.3,0.64,-2.6
-4.89,6.98,6.91,0.01,0.6,-2.77
-5.58,6.88,6.82,0.5,0.57,-2.37
-5.7,6.39,5.630000000000001,0.72,0.57,-1.61
-6.28,5.83,4.74,0.62,0.63,-0.86
-6.8,5.24,3.880000000000001,0.11,0.64,-0.34
-7.6,4.69,3.540000000000001,-0.24,0.57,-0.12
-8.04,3.97,3.210000000000001,-0.25,0.32,0.13
-8.09,3.74,3.2,-0.09,0.08,0.26
-8.28,3.39,3.0200000000000005,0.08,-0.05,0.31
1.21,8.04,-0.40000000000000036,-0.79,0.05,-0.09
1.03,8.67,0.2400000000000002,-0.73,0.21,-0.02
0.78,8.27,0.20000000000000107,-0.3,0.09,-0.06
0.81,7.91,0.41000000000000014,-0.02,-0.02,-0.09
-0.12,7.71,-0.4599999999999991,0.02,-0.3,-0.03
0.82,7.94,-0.20999999999999908,0.12,0.0,-0.05
0.86,8.13,0.0600000000000005,0.2,0.2,-0.21
0.84,8.64,0.3200000000000003,-0.03,0.36,-0.21
0.0,8.28,0.6600000000000001,-0.54,0.23,-0.22
0.08,8.04,0.9100000000000001,-0.63,0.14,-0.04
1.08,7.66,0.5,-0.71,0.25,0.04
0.83,7.28,0.7800000000000011,-0.69,0.32,0.0
0.92,7.32,1.3499999999999996,-0.63,0.49,-0.02
0.54,9.19,2.3600000000000003,-0.48,0.73,-0.11
0.4,8.17,1.7200000000000006,-0.5,0.64,-0.1
0.62,7.46,1.9600000000000009,-0.36,0.7,0.06
0.14,6.77,1.9000000000000004,-0.9,0.75,-0.06
-0.11,6.45,2.4000000000000004,-0.84,0.83,-0.02
-0.09,6.28,2.7600000000000007,-0.88,0.58,0.03
-0.49,6.59,3.790000000000001,-0.6,0.55,0.09
1.86,7.87,-2.049999999999999,-0.5,0.19,0.0
1.98,8.12,-2.0,-0.17,0.03,-0.07
1.8,8.15,-1.8899999999999988,-0.16,0.0,-0.12
1.38,8.85,-1.9900000000000002,-0.29,-0.01,-0.08
