acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0.72,9.15,6.34,0.45,-0.47,-2.01
2.02,10.45,7.33,-0.19,-0.34,-1.64
0.53,9.15,6.83,-0.07,-0.39,-0.97
0.36,8.58,6.040000000000001,0.47,-0.73,-0.4
-0.03,8.25,5.61,0.28,-0.75,-0.21
0.49,5.73,5.180000000000001,-0.03,-0.81,0.23
-0.69,6.65,4.86,0.06,-0.59,0.22
-0.83,6.28,4.540000000000001,0.06,-0.5,0.23
-0.6,5.99,4.45,0.08,-0.36,0.12
-0.59,6.49,4.630000000000001,0.01,-0.2,0.0
-2.93,6.71,1.9600000000000009,0.13,-0.54,-0.25
-4.91,6.62,1.9300000000000006,0.34,-0.33,-0.19
-5.1,7.2,1.9600000000000009,0.25,-0.23,-0.15
-5.11,6.9,1.9900000000000002,0.15,-0.12,-0.15
-5.33,6.55,2.1400000000000006,0.06,-0.12,-0.17
-5.22,6.55,2.1800000000000006,0.04,-0.1,-0.18
-5.35,6.42,2.2600000000000007,0.02,-0.1,-0.16
-5.31,6.72,2.1900000000000004,0.06,-0.11,-0.15
-5.34,6.58,2.210000000000001,0.05,-0.07,-0.11
-5.41,6.71,2.130000000000001,0.06,-0.07,-0.07
-2.96,-6.44,3.9800000000000004,0.57,-1.11,1.4
1.75,-3.76,5.7700000000000005,1.16,-0.7,-0.13
4.15,-1.13,5.82,0.36,-0.66,-0.52
5.8,0.63,5.630000000000001,0.79,-0.1,-0.84
6.49,0.82,6.5,-0.13,0.48,-0.76
5.29,0.9,6.16,-0.07,0.58,-0.9
5.48,0.76,7.16,-0.2,1.02,-1.09
4.65,0.49,5.260000000000001,0.24,0.92,-1.29
3.64,2.56,6.260000000000001,0.57,0.61,-1.29
4.89,0.74,5.66,0.87,0.32,-1.35
-6.44,5.5,3.3200000000000003,0.29,-0.88,-0.26
-6.39,5.39,3.170000000000001,0.45,-0.79,-0.14
-6.1,5.38,3.6100000000000003,0.3,-0.54,-0.09
-6.13,5.68,3.8200000000000003,-0.03,-0.22,0.11
-6.08,5.38,4.420000000000001,-0.19,0.04,0.24
-6.42,4.66,5.130000000000001,-0.24,-0.06,0.28
-6.47,5.03,5.74,0.3,-0.48,0.28
-6.29,5.22,6.32,-0.16,-0.91,0.3
-5.69,5.04,6.3100000000000005,-0.94,-0.77,0.29
-5.28,4.94,6.800000000000001,-1.85,-0.12,0.24
1.12,7.2,3.0900000000000007,-0.01,0.04,0.05
0.91,7.3,3.0700000000000003,-0.04,0.05,-0.02
0.69,7.02,3.0900000000000007,-0.07,0.05,-0.03
0.34,6.6,3.3000000000000007,-0.05,0.13,-0.11
-0.08,6.84,3.3000000000000007,-0.07,0.11,-0.2
-0.55,5.97,3.250000000000001,0.07,0.06,-0.23
-0.33,6.75,3.1400000000000006,0.0,-0.05,-0.49
0.28,6.76,3.1400000000000006,0.3,-0.21,-0.64
0.47,8.26,3.1400000000000006,0.24,-0.21,-0.82
0.11,8.66,3.0200000000000005,0.14,-0.21,-0.6
-20.43,18.07,-19.18,3.62,4.34,-2.89
-20.43,18.07,-11.13,-4.29,4.34,4.38
-20.43,17.94,-4.41,-2.8,4.34,4.38
-20.43,-1.79,5.58,-0.56,4.34,4.38
-17.9,-5.03,0.7300000000000004,-2.07,1.5,3.12
-8.67,-0.66,1.120000000000001,-0.37,-0.09,1.15
-4.4,-1.71,-0.20999999999999908,-0.46,0.56,0.58
1.29,-0.19,3.040000000000001,-0.48,0.44,0.13
2.2,2.91,3.210000000000001,0.13,0.18,-0.62
3.94,6.45,3.0200000000000005,0.04,-0.14,-0.48
-7.17,7.34,3.0600000000000005,0.45,-1.15,-1.51
-7.41,7.37,3.7700000000000005,0.76,-1.24,-1.24
-7.75,7.21,4.3500000000000005,0.07,-1.42,-0.99
-7.75,6.06,4.24,-0.04,-1.62,-0.74
-7.65,6.29,5.180000000000001,-0.33,-1.69,-0.52
-7.02,5.2,4.920000000000001,-0.6,-1.82,-0.37
-6.59,4.83,5.45,-0.31,-2.06,-0.25
-5.55,4.0,5.000000000000001,-0.1,-2.22,-0.35
-4.67,3.7,3.5500000000000007,0.53,-2.44,-0.59
-3.41,3.37,2.630000000000001,0.98,-2.47,-0.85
2.52,6.25,2.66,0.07,-0.04,-0.21
1.8,6.69,2.8400000000000007,0.1,-0.03,-0.26
1.24,6.26,2.95,0.11,-0.07,-0.24
0.67,5.66,2.8000000000000007,0.0,0.0,-0.31
0.82,6.75,2.9400000000000004,-0.31,0.03,-0.5
0.3,6.26,2.5200000000000005,-0.01,-0.09,-0.72
1.24,7.85,3.33,-0.21,-0.08,-0.94
0.16,7.67,3.1400000000000006,-0.85,-0.06,-1.39
0.95,8.02,3.3600000000000003,-0.14,-0.21,-1.29
0.73,7.49,3.3500000000000005,-0.37,-0.36,-1.5
2.22,2.35,3.8900000000000006,-0.5,0.22,-0.09
3.19,5.4,5.0200000000000005,-0.05,0.33,-0.37
4.21,5.24,5.0200000000000005,0.04,0.04,-0.24
4.88,6.28,4.58,-0.05,-0.02,-0.45
4.66,6.05,4.45,-0.18,0.08,-0.3
4.98,6.58,4.1000000000000005,-0.5,0.09,-0.33
4.37,6.3,3.8100000000000005,0.11,-0.11,-0.2
4.57,6.25,3.3500000000000005,0.0,-0.08,-0.02
4.68,6.31,3.4000000000000004,-0.05,-0.01,-0.07
4.44,5.97,3.9400000000000004,-0.25,0.18,-0.01
-20.43,18.07,-2.26,-4.29,4.34,4.38
-20.43,5.36,4.210000000000001,-3.52,4.34,4.38
-16.76,3.1,2.6900000000000004,-1.98,3.2,4.38
-9.09,0.1,0.6600000000000001,-0.94,1.4,1.88
-5.58,0.16,1.6100000000000012,-0.77,0.46,1.59
-1.78,0.12,1.8500000000000005,0.24,0.19,0.88
1.79,2.4,3.66,0.01,0.14,0.23
2.92,3.6,4.3100000000000005,0.24,0.0,-0.1
4.28,5.19,4.800000000000001,-0.09,0.05,-0.33
4.17,6.1,4.670000000000001,0.26,-0.2,-0.43
4.46,5.41,4.090000000000001,0.06,0.05,-0.16
