acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.73,6.66,3.12,0.0,-0.08,-0.04
4.57,6.41,3.33,-0.21,-0.15,0.09
4.76,6.88,3.7,-0.11,-0.17,0.08
4.34,6.56,4.24,-0.52,-0.23,0.28
3.6,6.85,5.19,-0.78,-0.2,0.32
2.47,6.16,5.510000000000001,-1.28,-0.48,0.39
3.11,4.15,5.19,-1.36,-0.69,-0.07
4.54,4.46,4.98,-1.36,-0.83,-0.51
5.35,5.2,4.3500000000000005,-1.06,-0.78,-0.7
5.17,5.45,4.28,-1.32,-0.63,-0.63
4.22,6.73,2.4700000000000006,0.17,-0.09,-0.14
4.17,6.63,2.4400000000000004,0.05,-0.06,-0.15
4.13,6.64,2.290000000000001,0.24,0.01,-0.19
3.77,6.91,2.3400000000000007,0.14,0.09,-0.24
3.66,6.68,2.16,0.03,0.01,-0.15
3.57,6.89,2.2200000000000006,0.03,-0.03,-0.18
3.62,6.82,2.2600000000000007,0.01,-0.1,-0.15
3.53,7.28,2.1500000000000004,0.01,-0.06,-0.18
3.56,7.34,2.0600000000000005,0.0,-0.09,-0.1
3.56,7.25,2.3600000000000003,-0.08,-0.11,-0.08
4.96,5.9,3.250000000000001,0.01,0.0,-0.04
4.87,5.89,3.2800000000000002,0.0,-0.02,-0.05
4.68,5.96,3.460000000000001,-0.07,-0.01,-0.08
4.93,6.1,3.250000000000001,-0.36,-0.11,-0.13
5.09,5.56,3.420000000000001,-0.08,-0.09,-0.15
5.01,6.07,3.2600000000000007,-0.06,-0.08,-0.13
4.88,5.94,3.2200000000000006,0.06,-0.12,-0.1
5.02,6.27,3.16,0.0,-0.09,-0.08
4.85,6.0,3.2800000000000002,0.0,-0.07,-0.03
4.93,6.08,3.0300000000000002,-0.1,-0.02,-0.04
-14.92,2.84,2.16,-1.72,4.34,4.38
-4.42,-1.3,2.4300000000000006,0.28,3.94,3.93
-3.6,2.52,3.4300000000000006,1.27,2.61,2.02
0.0,1.99,3.6500000000000004,0.13,1.8,0.92
1.07,1.95,5.49,0.07,0.77,0.45
3.18,2.56,6.050000000000001,0.23,0.17,0.06
4.62,2.33,5.69,-0.04,-0.19,-0.38
5.52,4.78,5.07,-0.02,-0.09,-0.56
5.59,3.31,4.3100000000000005,-0.05,-0.19,-0.74
5.46,5.37,5.45,-0.36,-0.18,-0.67
5.77,5.79,4.07,0.06,-0.1,-0.13
4.94,5.9,4.23,0.04,-0.11,-0.06
4.92,5.57,4.170000000000001,0.1,-0.15,0.01
4.56,5.77,3.9000000000000004,0.0,-0.05,-0.01
4.52,5.66,3.99,0.1,-0.09,-0.01
4.66,5.79,4.11,-0.01,-0.01,0.0
4.78,5.63,4.03,0.02,-0.04,-0.05
4.63,5.86,4.12,0.02,-0.04,-0.02
4.88,5.83,3.880000000000001,0.03,-0.12,0.0
4.77,5.81,3.91,0.02,-0.07,0.0
5.81,5.26,2.8500000000000005,-0.06,-0.13,0.03
5.9,5.23,2.960000000000001,-0.01,-0.04,-0.03
5.69,5.35,2.9800000000000004,-0.08,-0.01,-0.03
5.89,5.42,3.040000000000001,-0.02,-0.03,-0.05
5.78,5.47,2.95,-0.08,0.02,-0.03
5.8,5.46,2.9400000000000004,-0.01,-0.01,-0.04
