acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-10.23,7.32,1.1600000000000001,-0.16,-0.78,-2.53
-9.24,6.51,1.0600000000000005,0.62,-0.7,-1.73
-8.33,5.16,1.4400000000000013,0.92,-0.11,-0.58
-8.42,3.29,2.74,0.48,0.44,0.13
-9.18,1.5,3.4400000000000004,0.57,0.19,0.2
-8.82,1.19,3.1400000000000006,1.06,-0.2,0.22
-8.87,1.33,3.49,0.55,-0.02,0.23
-8.92,0.92,3.91,-0.06,0.15,0.31
-9.03,0.49,3.8900000000000006,0.05,0.08,0.26
-9.21,0.86,3.83,0.0,-0.02,0.24
-11.63,7.36,-0.379999999999999,-0.49,-1.34,-3.04
-9.59,6.24,0.02000000000000135,-0.04,-1.01,-1.72
-8.49,3.69,1.2100000000000009,1.14,-0.11,-0.01
-8.79,1.76,2.3400000000000007,1.5,0.29,0.59
-8.45,0.24,3.6100000000000003,1.04,0.27,0.76
-9.16,-0.08,4.090000000000001,0.66,-0.01,0.44
-9.25,-1.05,4.170000000000001,0.65,-0.04,0.68
-9.13,-0.78,4.210000000000001,0.12,0.25,0.45
-9.19,-0.67,4.970000000000001,-0.08,0.45,0.22
-9.49,-1.09,5.07,-0.04,0.02,0.22
-9.19,4.24,2.710000000000001,0.82,-0.09,-0.52
-8.76,3.23,2.540000000000001,1.49,0.24,0.35
-9.16,1.67,2.8400000000000007,1.13,0.16,0.34
-9.25,0.77,3.040000000000001,1.11,-0.08,0.47
-9.4,0.59,2.7300000000000004,1.24,-0.16,0.63
-9.47,0.05,3.0600000000000005,0.58,0.07,0.76
-9.46,-0.48,3.2600000000000007,-0.05,0.11,0.38
-9.51,-0.22,3.170000000000001,-0.11,0.08,0.36
-9.65,-0.68,3.4300000000000006,0.0,0.08,0.02
-9.48,0.06,3.170000000000001,0.05,-0.06,-0.18
-8.93,2.65,2.9400000000000004,2.01,-0.25,-0.52
-8.81,2.12,3.0700000000000003,1.52,-0.14,-0.35
-8.8,1.21,3.1900000000000004,1.55,-0.08,-0.03
-9.34,1.14,3.7800000000000002,1.1,0.07,0.2
-9.36,0.68,3.790000000000001,0.28,0.11,0.41
-9.49,0.04,3.960000000000001,-0.07,0.21,0.49
-9.39,-0.6,4.19,-0.04,0.22,0.66
-9.66,-0.24,4.140000000000001,-0.25,0.23,0.31
-9.43,-0.95,3.83,-0.14,0.05,0.17
-9.6,-0.06,3.2800000000000002,0.0,-0.07,-0.1
-9.57,6.72,0.4299999999999997,-1.78,0.11,-2.06
-10.39,5.46,1.3200000000000003,-0.91,-0.2,-1.74
-10.22,3.1,1.3499999999999996,0.33,-0.87,-0.58
-9.55,1.89,0.4800000000000004,2.1,-1.23,-0.28
-8.53,0.72,1.25,3.45,-0.64,-0.07
-9.09,1.99,0.5,3.6,-0.94,0.22
-9.02,2.33,1.8000000000000007,1.15,-0.04,0.41
-9.31,0.15,3.5900000000000007,-0.64,0.24,0.47
-9.88,-0.96,4.7,0.03,-0.03,0.03
-8.92,0.74,4.140000000000001,0.14,-0.13,-0.01
-8.6,3.39,2.420000000000001,0.42,-0.26,-0.83
-9.28,2.98,3.5600000000000005,-0.42,-0.14,-0.68
-9.37,0.78,3.6900000000000004,-0.07,-0.26,-0.6
-8.39,0.96,3.7300000000000004,0.86,-0.22,-0.67
-8.93,1.66,4.510000000000001,0.82,-0.18,-0.47
-9.0,1.27,4.3100000000000005,0.51,-0.47,-0.27
-9.3,0.72,4.44,0.89,-0.26,-0.22
-8.67,1.36,4.550000000000001,0.65,-0.19,-0.18
-7.6,1.0,4.5200000000000005,0.26,0.0,0.02
-7.34,0.77,4.800000000000001,-0.3,0.13,0.1
-9.18,2.88,3.5700000000000003,2.53,-0.17,-0.79
-9.1,3.1,2.920000000000001,2.1,-0.32,-0.21
-9.14,1.34,2.9400000000000004,0.97,-0.36,0.06
-9.0,0.55,3.0500000000000007,0.95,-0.17,0.24
-9.35,0.65,3.170000000000001,0.75,-0.12,0.35
-9.13,-0.58,3.0100000000000007,0.44,-0.23,0.51
-8.99,-0.44,2.920000000000001,0.26,-0.04,0.09
-9.36,0.39,3.040000000000001,0.12,0.05,0.07
-9.41,0.73,3.380000000000001,0.02,0.1,0.06
-9.43,-0.57,3.4800000000000004,-0.07,0.07,0.12
-9.02,-0.22,3.4000000000000004,1.04,-0.14,0.35
-9.3,-0.69,3.290000000000001,1.1,-0.03,0.49
-9.42,-0.38,3.3000000000000007,0.52,0.11,0.42
-9.37,-0.56,3.7300000000000004,0.06,0.23,0.24
-9.6,-0.55,3.6800000000000006,0.13,0.09,0.43
-9.77,-0.34,3.4800000000000004,0.08,-0.05,0.38
-9.72,-0.76,3.33,0.0,-0.07,0.25
-9.55,-0.16,3.2700000000000005,0.02,0.0,0.14
-9.52,-0.34,3.5200000000000005,-0.04,-0.06,0.03
-9.56,-0.06,3.2200000000000006,0.03,-0.18,0.03
-9.47,-0.09,3.880000000000001,1.28,0.05,0.34
-9.19,-0.86,3.790000000000001,0.85,0.02,0.29
-9.29,-0.79,3.7,0.54,0.17,0.13
-9.57,-0.77,3.790000000000001,0.59,0.05,0.15
-9.43,-0.36,3.3400000000000007,0.36,-0.14,0.01
-9.4,-0.7,3.2200000000000006,0.23,-0.04,0.02
-9.42,-0.06,3.1100000000000003,0.04,-0.12,-0.15
-9.36,-0.26,3.0500000000000007,-0.02,-0.09,-0.05
-9.61,-0.43,3.2600000000000007,-0.07,0.02,-0.04
-9.46,-0.06,3.1900000000000004,0.14,-0.05,-0.03
-10.21,5.78,3.2600000000000007,-0.69,1.08,-1.97
-9.85,4.89,3.8900000000000006,-0.69,1.14,-1.74
-9.82,2.65,3.7700000000000005,0.55,0.58,-0.79
-9.45,2.04,3.2200000000000006,1.37,0.09,-0.12
-9.43,1.4,2.9300000000000006,0.71,-0.19,0.02
-9.32,-0.34,3.040000000000001,0.73,-0.16,0.26
-9.44,-0.07,3.0100000000000007,0.88,-0.18,0.24
-9.61,-0.4,3.0900000000000007,0.47,-0.1,0.45
-9.75,-0.43,3.1900000000000004,0.3,-0.09,0.32
-9.63,-0.92,3.290000000000001,0.29,-0.06,0.39
-10.88,4.92,4.44,-1.04,0.43,-2.36
-10.44,5.79,4.550000000000001,0.07,0.96,-2.13
-9.31,5.29,5.4,-0.01,0.9,-1.61
-9.18,3.29,4.880000000000001,0.83,0.49,-1.17
-9.3,2.87,4.45,1.62,0.32,-0.63
-8.83,2.27,3.5300000000000002,1.08,-0.04,-0.33
-9.04,0.73,3.670000000000001,0.56,0.02,0.05
-9.29,-0.04,3.750000000000001,0.47,-0.07,0.04
-9.31,-0.52,3.5200000000000005,0.52,-0.16,0.18
-9.48,-0.78,3.49,0.2,-0.1,0.24
-9.78,7.1,2.790000000000001,-0.41,0.18,-2.07
-9.02,5.06,3.8100000000000005,-0.32,1.19,-1.31
-9.72,3.63,4.6000000000000005,0.96,0.92,-0.82
-9.84,2.41,3.7600000000000007,1.79,-0.18,-0.17
-9.18,1.88,2.83,1.32,-0.44,0.08
-9.04,0.96,2.6500000000000004,0.7,-0.21,0.22
-9.68,-0.09,2.99,0.64,-0.04,0.31
-9.71,-0.32,2.91,0.38,-0.16,0.24
-9.46,-0.76,2.9000000000000004,0.13,-0.18,0.11
-9.77,-0.6,2.8600000000000003,0.13,-0.15,0.05
-8.85,4.29,4.4,0.29,0.65,-0.9
-9.36,2.28,4.630000000000001,0.73,0.6,0.07
-9.19,0.4,4.08,1.1,0.01,0.15
-8.91,-0.06,3.4800000000000004,1.12,-0.02,0.3
-9.17,-0.46,3.3500000000000005,0.66,0.08,0.32
-9.44,-0.99,3.7,-0.03,0.24,0.3
