acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.95,9.83,-18.82,-1.72,-1.44,-1.28
-12.59,9.97,-21.15,-1.73,1.42,0.13
-18.81,17.1,-22.06,-2.08,4.38,3.58
-18.81,5.39,-16.22,-3.5,4.38,4.36
-18.81,2.69,-18.81,-2.65,4.38,4.36
-18.81,-5.31,-21.47,-4.31,4.38,4.36
-18.81,-8.04,-15.33,-1.72,4.38,4.36
-15.79,-3.75,-9.56,-2.46,3.21,4.36
-6.68,-5.35,-7.46,-0.97,1.36,2.7
-2.83,-4.7,-7.77,-0.93,-0.13,1.28
-0.76,-3.05,-8.25,-0.89,0.28,-0.05
-1.41,-2.26,-8.41,-0.15,0.21,-1.49
-4.09,1.31,-8.47,-0.83,-0.51,-3.48
-3.02,4.47,-8.57,-1.33,-2.1,-4.36
-6.09,12.73,-7.83,-1.03,-1.89,-4.36
-11.46,12.46,-8.68,1.96,-1.98,-4.36
-13.24,13.99,-8.83,1.05,-3.11,-4.36
-13.01,12.71,-12.94,2.2,-3.06,-4.36
-10.7,10.22,-11.96,1.07,0.32,-4.36
-13.72,7.43,-10.65,1.85,2.42,-3.52
-12.01,8.0,-10.63,1.32,1.13,-1.89
-8.97,6.15,-10.4,0.12,0.1,0.14
-8.14,3.17,-10.33,-0.25,0.01,1.09
-7.84,2.13,-9.93,-0.14,0.24,1.09
-9.02,1.48,-9.62,-0.09,0.55,0.9
-8.73,0.75,-10.12,0.04,0.2,1.01
-9.05,2.98,-10.13,-1.64,0.81,0.62
-10.08,-0.35,-9.22,-3.07,0.81,0.95
-8.54,-2.28,-9.07,-0.64,-0.03,0.61
-8.21,-0.11,-9.82,0.7,-0.5,0.29
-9.71,14.29,-23.72,2.9,-0.48,-2.77
-9.44,5.0,-21.4,-0.57,3.81,-0.4
-18.81,6.03,-22.64,-1.91,4.38,-0.25
-18.81,12.07,-26.34,-0.76,4.38,1.93
-18.81,0.32,-26.47,-4.31,4.38,4.36
-18.81,-2.24,-21.51,-4.31,4.38,4.36
-18.81,-4.25,-16.22,-3.71,4.38,4.36
-17.66,-3.19,-11.62,-2.91,3.47,4.36
-8.32,-4.53,-7.74,-1.97,2.1,3.16
-2.64,-1.02,-8.14,-2.24,1.2,1.92
0.45,-3.23,-8.62,0.16,1.0,1.64
1.25,-1.13,-8.2,-0.56,1.33,0.54
0.6,-2.31,-7.28,-0.05,0.92,-1.05
-0.07,-0.51,-7.79,0.25,-0.26,-2.71
-0.96,5.41,-9.33,-0.93,-1.52,-4.36
-5.8,5.68,-8.03,-1.19,-0.76,-4.36
-6.59,7.67,-6.65,0.84,-0.33,-4.36
-14.17,15.47,-8.52,0.74,-1.44,-4.36
-14.38,10.55,-8.52,1.96,-1.97,-4.36
-13.43,10.34,-11.4,2.9,-1.28,-4.36
-16.76,8.67,-13.27,4.41,-1.53,-4.36
-13.35,9.58,-13.99,3.17,-1.02,-4.36
-10.37,8.01,-13.28,1.79,0.16,-2.18
-9.03,6.06,-11.96,0.83,0.83,0.15
-8.44,2.66,-10.95,-0.13,1.0,1.54
-8.38,1.94,-10.03,-0.11,1.06,0.56
-9.3,2.06,-9.24,-0.41,0.77,0.74
-9.27,0.77,-9.06,-0.77,0.43,0.97
-8.89,-0.38,-8.82,-0.78,0.27,0.9
-8.94,0.11,-9.2,-0.69,0.03,0.34
-18.81,15.36,-29.31,0.69,4.38,0.07
-18.81,5.07,-24.33,-4.31,4.38,4.36
-18.81,-7.1,-24.75,-3.19,4.38,4.36
-18.81,-2.98,-18.69,-4.31,4.38,4.36
-18.81,-2.5,-13.62,-3.31,4.38,4.36
-15.6,-3.29,-9.49,-3.19,3.62,4.36
-7.21,-4.14,-6.99,-1.38,1.53,3.69
-2.57,-2.9,-7.18,-0.81,1.47,2.33
-0.25,-3.34,-6.98,-0.58,0.63,0.64
1.94,-3.0,-7.6,0.17,0.21,-0.88
0.76,-1.72,-8.83,0.67,-0.5,-2.97
-2.43,2.98,-9.86,0.55,-1.52,-4.36
-5.09,5.97,-11.13,0.41,-2.98,-4.36
-11.13,12.97,-11.35,0.22,-2.95,-4.36
-10.83,12.04,-10.45,-0.5,-2.29,-4.36
-16.95,13.5,-8.53,-0.37,-2.6,-4.36
-14.87,11.72,-8.95,0.36,-2.03,-4.36
-13.58,10.01,-10.3,1.61,-1.58,-4.36
-11.23,9.96,-11.64,1.55,-0.4,-3.44
-9.26,7.09,-10.7,0.66,0.45,-1.56
-8.86,5.13,-9.77,0.66,0.54,-0.72
-8.46,4.02,-9.83,1.32,0.21,0.02
-8.25,3.85,-10.21,1.51,0.49,1.1
-8.7,3.19,-9.24,0.61,0.24,2.3
-7.01,1.64,-9.18,0.0,-0.12,2.21
-8.56,2.4,-8.1,-1.1,0.01,0.74
-8.68,0.68,-6.76,-0.71,0.25,0.65
-8.29,0.83,-6.82,-0.15,0.23,0.46
-8.42,1.22,-7.22,-0.4,0.36,0.3
-8.07,0.5,-8.65,0.24,1.23,0.04
-5.07,4.27,-18.51,4.41,-3.61,-1.64
-4.68,5.89,-17.72,-0.37,-0.9,-1.07
