acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.33,9.59,-16.32,0.77,-0.8,-0.35
-10.04,9.62,-20.0,-1.24,1.67,1.63
-18.8,4.22,-17.82,-1.6,4.38,3.51
-18.81,1.85,-14.81,-0.59,4.38,3.26
-18.81,3.56,-13.67,0.96,4.38,1.82
-18.81,7.32,-12.71,-2.12,4.38,2.94
-18.81,-1.5,-7.79,-2.76,4.38,3.39
-14.36,-1.0,-6.56,-1.22,4.04,3.31
-8.59,-3.32,-4.5,-1.71,2.6,1.78
-5.03,-2.04,-5.18,-1.12,1.47,1.04
-2.71,-2.58,-5.13,-0.53,0.39,0.4
-2.08,-0.37,-6.65,-0.03,-0.47,-0.61
-2.82,1.1,-8.07,0.23,-1.29,-1.64
-5.53,5.73,-11.06,0.74,-1.94,-2.34
-6.08,7.07,-12.96,-0.26,-2.32,-2.96
-9.52,7.18,-13.09,0.16,-2.46,-3.07
-10.61,6.82,-13.23,0.35,-2.5,-3.33
-12.58,8.05,-15.48,2.47,-3.42,-2.94
-10.55,8.51,-15.45,0.54,-2.53,-3.07
-11.58,4.36,-12.69,-0.07,-2.46,-2.91
-18.81,6.1,-13.61,-0.55,4.38,2.84
-18.81,3.31,-12.16,-1.06,4.38,2.91
-18.81,2.34,-12.14,0.08,4.38,2.36
-18.81,1.65,-11.86,-2.37,4.38,2.11
-18.81,2.05,-11.72,-0.72,4.38,2.78
-18.08,-2.71,-6.44,-2.19,4.38,2.58
-7.77,-3.34,-5.95,-1.24,2.75,1.93
-5.59,-2.14,-4.16,-0.88,1.92,0.84
-0.8,-1.56,-5.94,-0.69,0.23,0.08
-1.8,1.03,-7.49,0.11,-0.28,-0.39
-2.31,2.32,-8.5,0.68,-1.07,-0.86
-3.05,4.39,-11.59,0.86,-1.95,-1.21
-5.36,5.25,-13.41,0.28,-2.54,-1.89
-6.7,6.43,-14.91,-0.07,-2.86,-1.98
-10.62,6.48,-15.97,0.52,-3.83,-2.46
-9.47,8.39,-15.85,-1.33,-3.32,-2.94
-12.38,5.92,-13.73,-0.82,-2.37,-2.98
-11.86,6.0,-13.96,-0.68,-2.09,-3.2
-11.57,5.67,-12.22,-1.68,-0.98,-3.33
-12.47,3.33,-10.2,-1.41,-0.21,-3.41
-18.81,3.46,-15.01,-1.26,4.38,4.28
-18.81,1.6,-13.62,-0.26,4.38,4.36
-18.81,4.29,-12.18,0.47,4.38,4.35
-18.81,2.79,-11.52,-0.05,4.38,3.71
-18.81,0.64,-7.89,0.84,4.38,3.73
-12.91,0.35,-5.93,0.93,4.33,2.23
-6.96,-0.57,-4.25,-0.05,2.33,1.38
-2.26,-0.63,-3.82,-0.49,1.11,0.68
-1.56,-1.64,-4.34,-0.78,-0.48,-0.11
-0.57,1.44,-7.5,-0.19,-1.33,-0.87
-3.07,3.15,-10.08,-0.13,-1.94,-1.52
-3.46,5.55,-13.46,-0.6,-2.12,-1.41
-6.47,6.26,-16.61,-1.06,-2.88,-2.12
-5.8,8.44,-15.04,-1.81,-1.85,-2.1
-8.82,8.12,-14.83,-2.33,-2.62,-2.52
-9.44,8.46,-13.77,-0.14,-2.16,-2.31
-10.31,10.32,-13.86,-2.44,-2.51,-2.67
-8.5,6.62,-11.52,-0.93,-1.64,-2.38
-10.73,7.45,-9.65,-0.67,-0.92,-2.05
-9.55,6.43,-9.01,-1.05,-1.06,-1.99
-8.11,8.43,-18.5,2.06,0.45,0.25
-15.22,6.67,-17.94,-0.03,3.39,1.65
-18.81,6.53,-15.88,-0.22,4.38,2.91
-18.81,5.51,-13.06,-0.16,4.38,3.66
-18.81,6.53,-13.04,0.06,4.38,3.0
-18.81,4.56,-12.37,-1.42,4.38,3.0
-18.81,-0.28,-8.46,-0.51,4.38,3.47
-12.81,0.24,-6.85,0.56,4.38,2.75
-8.1,-2.17,-3.3,-1.46,3.12,1.11
-4.19,-2.18,-3.06,-0.56,0.8,0.57
-2.2,-0.21,-4.96,-0.25,-0.43,-0.14
-1.94,0.61,-6.05,-0.26,-1.18,-0.82
-3.25,2.82,-7.59,-0.19,-2.09,-1.53
-4.57,5.68,-11.65,-0.06,-3.11,-2.1
-7.29,7.16,-15.66,-0.88,-3.29,-2.58
-8.31,10.58,-16.37,-1.81,-2.81,-2.78
-10.8,9.0,-15.37,-1.32,-3.2,-3.53
-12.32,7.77,-15.98,0.31,-3.13,-3.11
-10.69,9.74,-16.7,-0.41,-2.46,-3.24
-10.57,5.9,-13.74,-1.28,-1.09,-2.94
-9.99,8.81,-19.7,2.58,0.01,-0.25
-17.69,7.55,-18.13,0.13,3.49,1.16
-18.81,7.43,-14.98,-0.42,4.38,3.01
-18.81,5.83,-12.37,-0.36,4.38,3.98
-18.81,4.61,-10.9,-0.1,4.38,3.14
-18.81,4.08,-7.91,0.12,4.38,3.56
-18.6,0.4,-6.41,-0.56,4.38,2.54
-11.17,-1.67,-2.57,-0.84,3.59,1.8
-5.04,-1.83,-3.91,-0.79,1.21,0.78
-2.25,-0.35,-5.5,-0.28,0.33,0.32
-0.04,0.44,-7.07,-0.34,-0.24,-0.13
-1.27,1.96,-7.06,-0.18,-0.62,-0.66
-1.48,2.34,-9.37,-0.61,-1.91,-1.37
-4.52,5.8,-12.16,-0.81,-2.7,-2.29
-5.71,6.09,-13.63,-1.49,-2.94,-2.6
-8.66,7.53,-12.77,-0.9,-2.3,-2.92
-10.32,9.47,-14.62,-0.73,-2.79,-3.06
-11.7,6.55,-13.53,-0.65,-2.05,-2.61
-10.84,9.39,-13.54,-1.07,-1.78,-3.35
-11.94,6.57,-11.15,-1.09,-1.45,-2.26
-9.01,8.0,-20.33,3.99,-0.48,-0.63
-14.92,7.22,-19.71,0.58,3.01,0.63
-18.81,7.68,-17.13,-0.3,4.38,1.6
-18.81,8.47,-13.59,-0.02,4.38,2.27
-18.81,7.94,-11.57,0.73,4.38,1.64
-18.81,7.12,-8.35,0.44,4.38,2.43
-18.81,2.46,-7.39,-0.34,4.38,1.84
-12.45,0.14,-3.59,-0.77,4.01,1.82
-5.59,-0.57,-3.54,-0.54,1.7,0.81
-3.13,-0.39,-3.32,-0.91,0.52,0.17
-0.88,0.69,-6.42,-0.26,-1.11,-0.22
-1.06,2.43,-8.14,-0.91,-1.53,-0.93
-3.46,3.99,-9.53,-0.85,-2.67,-1.39
-5.59,6.46,-13.78,-2.44,-3.34,-1.85
-7.87,6.17,-13.82,-3.57,-2.83,-2.0
-8.34,8.31,-13.25,-3.94,-2.38,-3.0
-11.7,6.25,-11.42,-2.52,-1.96,-2.81
-10.25,10.96,-10.05,-1.7,-0.97,-3.65
-11.65,7.57,-9.03,-1.73,-0.56,-2.42
-10.23,5.2,-8.43,-0.61,0.24,-2.4
-18.81,5.08,-16.37,-1.32,4.38,2.82
-18.81,6.82,-14.46,2.47,4.38,2.52
-18.81,10.0,-13.42,1.53,4.38,2.72
-18.81,5.08,-9.9,-0.15,4.38,2.72
-18.81,0.64,-4.87,-0.19,4.38,2.4
-9.16,-2.85,-0.53,-1.7,2.65,1.21
-4.45,-2.56,-5.28,-1.37,1.09,0.53
-1.45,2.73,-9.62,-0.09,1.34,1.11
0.02,1.33,-8.18,-1.59,1.55,1.32
-0.82,0.9,-7.01,-1.28,-0.73,-0.72
-1.38,5.56,-9.83,-4.31,-2.36,-1.98
-2.62,4.97,-10.5,-4.31,-3.5,-2.31
-3.96,3.61,-8.36,-4.23,-1.94,-2.53
-5.98,9.86,-8.05,-4.1,-1.1,-2.56
-7.99,5.59,-4.28,-2.78,0.3,-2.72
-9.5,8.79,-2.66,-1.57,0.84,-3.25
-9.39,8.31,-5.27,-0.02,0.34,-3.32
-10.23,7.96,-4.07,-0.32,1.24,-2.94
-9.51,6.38,-4.18,0.38,0.53,-2.47
-8.98,6.32,-4.36,0.8,0.62,-2.27
