acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-5.29,15.2,-21.92,4.2,-4.38,1.63
-2.25,12.68,-12.13,-2.31,-3.93,-0.02
-1.58,2.0,-12.43,-0.98,0.97,0.17
-2.47,1.12,-13.25,-0.7,0.59,-0.33
-13.65,-4.94,-21.22,0.86,0.37,-0.34
4.01,6.96,-15.13,-4.29,0.0,-0.53
0.66,3.6,-15.92,-4.29,-0.47,-0.85
-2.81,9.12,-13.4,-4.29,-0.85,-4.34
-2.72,10.99,-13.5,-1.91,-1.46,-2.56
-3.63,11.46,-14.39,0.52,-2.36,-2.4
-9.86,7.03,-10.78,0.79,-1.4,-2.05
-9.11,5.65,-9.45,0.8,-1.33,-2.42
-9.44,2.62,-8.78,1.06,-0.65,-0.17
-8.74,1.38,-7.03,1.21,-0.49,0.07
-8.96,0.9,-7.13,1.35,0.57,0.14
-9.98,-0.05,-6.63,1.23,0.51,0.51
-9.53,1.06,-7.15,0.61,0.37,0.05
-10.18,1.13,-7.36,-0.28,1.34,0.21
-9.5,1.09,-7.58,-0.9,0.02,0.88
-10.28,1.62,-7.15,-0.07,-0.02,0.82
-2.75,-0.62,-9.94,0.07,0.15,1.0
-3.21,1.51,-10.03,-0.03,0.0,0.89
-4.05,1.63,-10.95,-1.37,-0.29,-0.09
-5.1,3.62,-13.33,-1.52,-0.91,-1.46
-6.81,6.73,-14.87,-2.11,-1.8,-3.15
-7.22,5.8,-15.22,-2.11,-2.59,-3.44
-9.68,9.85,-13.51,-1.52,-2.42,-3.32
-10.75,8.37,-13.12,-0.53,-2.08,-3.02
-10.33,7.67,-11.35,-0.02,-1.46,-2.6
-11.35,5.43,-11.41,0.34,-1.51,-1.92
-9.05,2.41,-7.58,0.2,0.58,1.1
-8.03,4.62,-8.31,-0.36,0.61,0.91
-7.56,4.12,-8.55,-0.34,0.02,0.52
-7.37,3.99,-8.71,-0.13,-0.16,0.36
-7.87,4.84,-8.46,0.39,-0.38,0.3
-7.82,5.45,-7.93,0.06,-0.53,0.51
-6.62,4.38,-8.32,-0.19,-0.68,0.53
-7.16,5.55,-7.11,-0.34,-0.48,0.64
-7.53,6.43,-6.26,-1.45,-0.51,0.67
-6.22,3.57,-5.56,-2.62,-1.17,-0.35
-9.66,4.35,-13.02,0.81,-1.7,-0.96
-9.39,5.59,-12.3,1.32,-1.26,-0.3
-8.36,4.4,-10.68,0.43,-0.76,0.1
-8.39,3.77,-9.69,0.33,0.0,0.11
-9.1,3.33,-8.82,0.11,0.3,0.42
-8.44,4.21,-9.2,-0.18,0.47,-0.21
-8.34,2.65,-8.49,-0.97,0.39,-0.03
-8.42,3.28,-8.27,-0.52,0.5,0.05
-9.13,3.52,-8.32,-0.53,0.29,0.08
-8.33,3.18,-7.91,-0.47,0.27,0.07
-5.23,4.55,-12.18,0.33,-0.72,-0.86
-4.15,5.02,-13.78,-0.07,-1.73,-1.23
-4.49,6.76,-16.39,0.01,-1.46,-2.25
-5.32,5.53,-16.56,-1.01,-2.87,-0.63
-5.96,5.22,-14.39,0.29,-2.1,-1.31
-7.78,7.61,-16.14,1.4,-2.31,-0.69
-9.58,5.57,-20.33,2.37,-2.46,-1.59
-8.61,6.15,-19.24,1.1,-1.84,-0.4
-8.87,4.57,-18.14,0.42,0.11,-0.22
-9.21,4.24,-18.43,-0.15,1.26,0.48
-6.41,5.6,-9.76,1.13,-0.75,0.16
-7.36,5.35,-9.4,0.21,-0.28,0.25
-8.03,5.13,-9.02,-0.43,0.04,0.02
-7.76,3.96,-9.06,-0.47,0.08,0.35
-8.27,4.43,-8.91,-0.03,-0.04,0.11
