acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.85,-2.32,-8.01,-1.8,1.01,-0.1
-0.17,2.44,-8.91,-1.38,0.08,-0.51
0.5,4.39,-10.82,-0.77,-0.39,-0.92
1.67,7.06,-11.51,-0.43,-0.74,-0.56
1.12,8.5,-12.13,-0.42,-0.52,-0.52
0.74,8.89,-12.51,-0.66,-0.37,-0.18
0.13,8.27,-12.39,-0.8,-0.27,-0.02
0.32,7.9,-12.29,-0.64,-0.23,0.05
0.45,8.06,-11.91,-0.41,-0.08,-0.04
0.67,8.19,-11.55,-0.4,0.0,-0.01
1.0,7.39,-12.84,-0.31,0.28,-0.23
1.04,7.66,-13.23,-0.43,0.19,-0.06
1.16,8.17,-12.85,-0.85,0.24,-0.14
0.91,7.65,-12.38,-0.6,0.19,-0.03
0.46,7.91,-11.88,-0.38,0.05,-0.02
0.7,7.87,-11.46,-0.35,-0.07,0.06
0.86,8.07,-11.11,-0.7,0.08,-0.08
0.53,8.34,-10.88,-1.02,0.19,-0.11
0.3,7.89,-10.26,-1.13,-0.01,0.03
0.46,7.71,-9.95,-1.1,-0.41,-0.24
0.29,6.52,-9.91,-0.5,0.02,0.18
-1.66,6.51,-9.49,-0.76,0.37,-0.16
-0.29,6.49,-9.1,-0.82,0.75,-0.51
-0.68,7.52,-8.71,-0.87,0.88,-1.07
-1.75,7.87,-8.17,-1.12,0.97,-1.28
-0.85,8.79,-6.92,-0.67,1.14,-1.65
-3.22,8.85,-7.26,-0.49,0.74,-1.85
-3.16,7.92,-6.24,-0.05,0.8,-1.65
-4.11,8.71,-6.26,-0.81,0.5,-1.51
-5.28,7.15,-6.05,-0.62,0.53,-1.64
-3.23,7.12,-2.81,-0.3,0.64,-2.6
-4.89,6.98,-2.9,0.01,0.6,-2.77
-5.58,6.88,-2.99,0.5,0.57,-2.37
-5.7,6.39,-4.18,0.72,0.57,-1.61
-6.28,5.83,-5.07,0.62,0.63,-0.86
-6.8,5.24,-5.93,0.11,0.64,-0.34
-7.6,4.69,-6.27,-0.24,0.57,-0.12
-8.04,3.97,-6.6,-0.25,0.32,0.13
-8.09,3.74,-6.61,-0.09,0.08,0.26
-8.28,3.39,-6.79,0.08,-0.05,0.31
1.21,8.04,-10.21,-0.79,0.05,-0.09
1.03,8.67,-9.57,-0.73,0.21,-0.02
0.78,8.27,-9.61,-0.3,0.09,-0.06
0.81,7.91,-9.4,-0.02,-0.02,-0.09
-0.12,7.71,-10.27,0.02,-0.3,-0.03
0.82,7.94,-10.02,0.12,0.0,-0.05
0.86,8.13,-9.75,0.2,0.2,-0.21
0.84,8.64,-9.49,-0.03,0.36,-0.21
0.0,8.28,-9.15,-0.54,0.23,-0.22
0.08,8.04,-8.9,-0.63,0.14,-0.04
1.08,7.66,-9.31,-0.71,0.25,0.04
0.83,7.28,-9.03,-0.69,0.32,0.0
0.92,7.32,-8.46,-0.63,0.49,-0.02
0.54,9.19,-7.45,-0.48,0.73,-0.11
0.4,8.17,-8.09,-0.5,0.64,-0.1
0.62,7.46,-7.85,-0.36,0.7,0.06
0.14,6.77,-7.91,-0.9,0.75,-0.06
-0.11,6.45,-7.41,-0.84,0.83,-0.02
-0.09,6.28,-7.05,-0.88,0.58,0.03
-0.49,6.59,-6.02,-0.6,0.55,0.09
1.86,7.87,-11.86,-0.5,0.19,0.0
1.98,8.12,-11.81,-0.17,0.03,-0.07
1.8,8.15,-11.7,-0.16,0.0,-0.12
1.38,8.85,-11.8,-0.29,-0.01,-0.08
1.19,8.38,-11.72,-0.14,0.09,0.17
2.02,8.07,-11.31,-0.44,0.34,0.36
2.09,7.74,-11.74,-0.83,0.4,0.3
1.81,7.75,-10.88,-0.46,0.16,0.23
1.92,7.68,-10.36,-0.54,0.01,0.2
1.92,7.62,-9.35,-0.57,-0.02,-0.04
3.37,6.65,-9.4,-0.32,-0.42,-0.25
2.89,6.98,-9.49,-0.01,-0.22,-0.47
1.95,6.51,-9.84,0.15,0.0,-0.56
2.32,7.59,-10.15,0.03,0.24,-0.67
2.56,7.15,-9.13,0.18,0.58,-0.26
2.32,7.76,-9.23,-0.11,0.54,-0.19
2.49,8.33,-8.74,-0.2,0.28,-0.12
2.56,8.33,-8.81,0.17,0.18,-0.09
2.41,8.52,-8.65,-0.06,0.2,-0.02
1.9,8.13,-8.69,-0.15,0.16,0.14
0.04,7.84,-11.41,-0.41,0.3,0.12
0.36,7.82,-11.18,-0.53,0.29,0.11
0.33,7.84,-10.94,-0.36,0.19,0.03
0.48,8.27,-10.84,-0.11,0.08,0.01
0.5,8.45,-10.72,-0.18,0.07,0.05
0.53,8.07,-10.6,-0.49,0.14,0.1
0.42,8.03,-10.42,-0.56,0.19,0.12
0.66,8.09,-9.98,-0.45,0.25,0.13
0.62,8.03,-9.76,-0.45,0.31,0.1
0.62,7.95,-9.72,-0.39,0.27,0.12
0.68,7.62,-7.35,-0.21,0.41,-0.06
1.17,7.26,-7.0,0.22,0.46,0.17
1.06,7.69,-7.04,0.12,0.29,0.09
1.26,7.75,-7.16,-0.03,0.1,-0.09
1.15,7.87,-7.49,0.0,-0.09,-0.21
0.85,7.53,-7.25,0.15,-0.13,-0.17
1.14,7.89,-7.42,0.44,-0.18,-0.28
0.45,8.42,-8.42,-0.11,-0.25,-0.63
0.18,7.93,-8.1,-0.12,-0.32,-0.31
0.32,8.32,-8.27,0.0,-0.15,0.0
1.02,8.11,-8.3,-0.22,-0.02,0.16
1.12,7.68,-7.99,-0.01,-0.02,0.13
1.02,7.61,-7.8,-0.11,0.04,0.1
0.97,7.6,-7.78,-0.2,0.08,0.13
0.73,5.62,-7.17,-0.24,0.17,0.35
1.12,7.69,-7.72,-0.46,0.08,0.24
1.17,6.21,-7.89,-0.02,-0.05,-0.22
1.01,7.46,-7.75,0.46,-0.13,-0.4
0.99,8.35,-7.46,0.11,0.0,-0.35
0.96,7.6,-7.72,-0.08,0.06,-0.16
0.9,7.51,-6.75,-0.22,0.21,0.13
1.02,7.52,-6.65,-0.13,0.21,0.1
1.05,7.29,-6.43,-0.19,0.2,0.08
0.98,7.21,-6.35,-0.22,0.16,0.06
0.97,7.22,-6.27,-0.24,0.12,0.04
0.97,7.06,-6.15,-0.14,0.08,0.0
