acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0.72,9.15,-3.47,0.45,-0.47,-2.01
2.02,10.45,-2.48,-0.19,-0.34,-1.64
0.53,9.15,-2.98,-0.07,-0.39,-0.97
0.36,8.58,-3.77,0.47,-0.73,-0.4
-0.03,8.25,-4.2,0.28,-0.75,-0.21
0.49,5.73,-4.63,-0.03,-0.81,0.23
-0.69,6.65,-4.95,0.06,-0.59,0.22
-0.83,6.28,-5.27,0.06,-0.5,0.23
-0.6,5.99,-5.36,0.08,-0.36,0.12
-0.59,6.49,-5.18,0.01,-0.2,0.0
-2.93,6.71,-7.85,0.13,-0.54,-0.25
-4.91,6.62,-7.88,0.34,-0.33,-0.19
-5.1,7.2,-7.85,0.25,-0.23,-0.15
-5.11,6.9,-7.82,0.15,-0.12,-0.15
-5.33,6.55,-7.67,0.06,-0.12,-0.17
-5.22,6.55,-7.63,0.04,-0.1,-0.18
-5.35,6.42,-7.55,0.02,-0.1,-0.16
-5.31,6.72,-7.62,0.06,-0.11,-0.15
-5.34,6.58,-7.6,0.05,-0.07,-0.11
-5.41,6.71,-7.68,0.06,-0.07,-0.07
-2.96,-6.44,-5.83,0.57,-1.11,1.4
1.75,-3.76,-4.04,1.16,-0.7,-0.13
4.15,-1.13,-3.99,0.36,-0.66,-0.52
5.8,0.63,-4.18,0.79,-0.1,-0.84
6.49,0.82,-3.31,-0.13,0.48,-0.76
5.29,0.9,-3.65,-0.07,0.58,-0.9
5.48,0.76,-2.65,-0.2,1.02,-1.09
4.65,0.49,-4.55,0.24,0.92,-1.29
3.64,2.56,-3.55,0.57,0.61,-1.29
4.89,0.74,-4.15,0.87,0.32,-1.35
-6.44,5.5,-6.49,0.29,-0.88,-0.26
-6.39,5.39,-6.64,0.45,-0.79,-0.14
-6.1,5.38,-6.2,0.3,-0.54,-0.09
-6.13,5.68,-5.99,-0.03,-0.22,0.11
-6.08,5.38,-5.39,-0.19,0.04,0.24
-6.42,4.66,-4.68,-0.24,-0.06,0.28
-6.47,5.03,-4.07,0.3,-0.48,0.28
-6.29,5.22,-3.49,-0.16,-0.91,0.3
-5.69,5.04,-3.5,-0.94,-0.77,0.29
-5.28,4.94,-3.01,-1.85,-0.12,0.24
1.12,7.2,-6.72,-0.01,0.04,0.05
0.91,7.3,-6.74,-0.04,0.05,-0.02
0.69,7.02,-6.72,-0.07,0.05,-0.03
0.34,6.6,-6.51,-0.05,0.13,-0.11
-0.08,6.84,-6.51,-0.07,0.11,-0.2
-0.55,5.97,-6.56,0.07,0.06,-0.23
-0.33,6.75,-6.67,0.0,-0.05,-0.49
0.28,6.76,-6.67,0.3,-0.21,-0.64
0.47,8.26,-6.67,0.24,-0.21,-0.82
0.11,8.66,-6.79,0.14,-0.21,-0.6
-20.43,18.07,-28.99,3.62,4.34,-2.89
-20.43,18.07,-20.94,-4.29,4.34,4.38
-20.43,17.94,-14.22,-2.8,4.34,4.38
-20.43,-1.79,-4.23,-0.56,4.34,4.38
-17.9,-5.03,-9.08,-2.07,1.5,3.12
-8.67,-0.66,-8.69,-0.37,-0.09,1.15
-4.4,-1.71,-10.02,-0.46,0.56,0.58
1.29,-0.19,-6.77,-0.48,0.44,0.13
2.2,2.91,-6.6,0.13,0.18,-0.62
3.94,6.45,-6.79,0.04,-0.14,-0.48
-7.17,7.34,-6.75,0.45,-1.15,-1.51
-7.41,7.37,-6.04,0.76,-1.24,-1.24
-7.75,7.21,-5.46,0.07,-1.42,-0.99
-7.75,6.06,-5.57,-0.04,-1.62,-0.74
-7.65,6.29,-4.63,-0.33,-1.69,-0.52
-7.02,5.2,-4.89,-0.6,-1.82,-0.37
-6.59,4.83,-4.36,-0.31,-2.06,-0.25
-5.55,4.0,-4.81,-0.1,-2.22,-0.35
-4.67,3.7,-6.26,0.53,-2.44,-0.59
-3.41,3.37,-7.18,0.98,-2.47,-0.85
2.52,6.25,-7.15,0.07,-0.04,-0.21
1.8,6.69,-6.97,0.1,-0.03,-0.26
1.24,6.26,-6.86,0.11,-0.07,-0.24
0.67,5.66,-7.01,0.0,0.0,-0.31
0.82,6.75,-6.87,-0.31,0.03,-0.5
0.3,6.26,-7.29,-0.01,-0.09,-0.72
1.24,7.85,-6.48,-0.21,-0.08,-0.94
0.16,7.67,-6.67,-0.85,-0.06,-1.39
