acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-18.81,10.2,-12.0,0.69,4.38,3.01
-18.81,-6.99,7.13,-1.45,4.38,2.24
-18.54,-2.46,4.16,1.33,2.93,0.73
-8.71,-5.89,1.76,-2.35,1.31,0.15
-1.78,4.35,-4.73,0.56,0.2,0.07
-1.25,3.01,-9.02,-0.83,0.05,-0.12
0.53,6.66,-12.38,-0.85,-0.15,-0.17
-0.98,8.45,-14.85,-0.15,0.21,-0.11
-0.34,6.74,-15.23,0.28,-0.12,0.11
0.14,6.96,-15.38,-0.93,-0.08,-0.33
-18.81,-1.41,-20.02,-0.23,4.38,4.36
-18.81,-1.54,2.71,0.1,4.38,2.68
-18.81,-8.1,9.13,-0.58,4.38,0.74
-11.24,0.38,5.33,-0.1,2.77,0.07
-4.89,-1.68,-0.67,-1.29,1.25,0.27
-1.32,2.59,-4.16,-1.06,0.54,0.02
-0.25,4.59,-6.59,-0.39,-0.13,-0.25
-1.47,6.83,-11.02,-0.18,-1.44,-0.57
-0.53,9.16,-16.03,-0.23,-0.52,-0.42
-1.53,8.24,-16.45,-0.23,-0.36,0.0
-18.81,4.23,-9.8,0.21,4.38,3.95
-18.81,-6.21,9.91,-0.3,4.38,2.25
-12.39,-1.56,5.85,1.0,1.61,0.01
-3.73,1.49,-4.23,-0.81,0.89,0.41
-2.17,1.5,-6.23,-0.74,1.1,0.31
0.0,0.84,-8.91,-0.97,-0.07,0.11
-0.68,5.91,-13.22,-0.23,-0.51,-0.71
-0.69,7.63,-16.41,0.11,-0.28,0.0
-0.74,6.77,-16.58,-0.06,0.0,-0.42
-1.08,7.69,-16.71,0.0,0.01,0.16
-18.81,10.17,-14.06,1.17,4.38,3.94
-18.81,-1.66,6.32,0.03,4.38,3.82
-16.05,-2.71,7.24,-1.05,2.42,0.62
-7.46,0.2,0.89,0.26,0.78,1.23
-2.13,-2.71,-8.15,-1.1,0.41,0.21
-1.12,2.92,-11.61,-0.45,0.06,0.11
1.6,4.86,-14.26,0.23,0.05,0.02
0.57,5.8,-14.97,-0.07,-0.04,-0.23
1.21,6.35,-15.74,0.01,-0.13,-0.16
0.41,7.34,-15.61,0.1,0.03,-0.28
-18.81,9.35,-9.73,1.09,4.38,4.23
-18.81,0.8,6.81,0.51,4.38,2.62
-15.63,-3.48,7.1,0.41,2.62,0.64
-6.82,-0.09,1.24,-0.86,1.29,0.83
-1.5,-0.43,-6.52,-0.41,0.35,-0.01
-0.89,3.57,-9.52,-0.71,-0.13,0.0
1.21,5.61,-14.44,0.15,-0.18,-0.08
-0.36,7.82,-15.74,0.08,-0.14,-0.13
0.46,6.78,-16.85,-0.05,-0.06,-0.06
0.41,7.31,-16.54,0.08,0.0,-0.02
-18.81,5.45,-19.26,0.7,4.38,4.3
-18.81,3.54,2.95,-0.68,4.38,4.19
-18.81,-11.56,9.91,-0.07,4.12,0.62
-10.61,-0.19,6.9,-0.61,1.54,0.74
-3.0,-1.46,-5.02,0.01,0.57,-0.22
-0.36,3.93,-8.16,-1.36,0.49,0.22
0.84,5.98,-11.98,0.5,0.06,-0.01
-0.6,6.6,-14.08,0.44,-0.21,-0.15
0.87,7.14,-15.82,-0.49,-0.38,-0.27
-0.2,8.29,-16.28,-0.06,-0.13,-0.03
-18.81,1.6,-27.6,-1.09,4.38,4.36
-18.81,-7.61,-9.63,-2.59,4.38,4.36
-18.81,-15.54,2.99,-2.04,4.37,2.29
-12.75,-2.48,3.67,-0.33,1.68,1.57
-4.63,-2.64,-4.55,-0.31,0.21,1.14
-1.59,1.66,-6.25,-0.85,0.66,0.22
0.74,3.49,-7.75,-0.27,0.06,0.03
1.33,6.21,-11.14,-1.02,-0.17,-0.79
0.26,8.64,-12.04,0.07,-0.08,-0.42
1.47,9.08,-13.88,0.67,-0.44,-0.19
-18.81,6.2,-24.0,-1.31,4.38,4.36
-18.81,-5.95,-3.72,-1.54,4.38,4.36
-18.81,-7.46,8.34,-0.44,3.68,2.43
-10.27,-2.98,5.18,0.02,1.59,1.26
-3.76,-1.62,-3.68,0.69,0.47,0.52
0.34,3.33,-6.53,-1.54,0.45,0.52
1.52,3.77,-9.76,-0.27,0.18,0.05
-1.64,5.19,-12.92,0.66,-0.3,-0.42
1.93,8.12,-13.58,-0.3,-0.24,-0.38
0.47,9.21,-13.85,-0.02,-0.33,-0.21
-18.81,11.78,-29.31,-0.65,4.38,4.36
-18.81,-4.27,-6.91,-1.81,4.38,4.36
-18.81,-20.44,9.91,-1.58,4.38,1.24
-9.98,-0.42,3.36,0.57,0.41,0.44
-3.99,-1.86,-7.3,-0.05,0.1,0.04
-0.6,1.76,-5.69,-0.85,0.58,0.1
2.55,4.43,-10.52,0.16,-0.49,-0.05
1.41,6.14,-11.58,-0.29,-0.05,-0.7
1.73,8.77,-12.88,-0.2,-0.64,-0.5
1.24,8.59,-13.88,-0.04,-0.2,-0.38
1.64,8.83,-13.84,0.16,-0.48,-0.45
0.63,9.44,-14.33,-0.2,-0.31,-0.17
1.11,8.47,-13.79,-0.01,-0.24,-0.11
1.02,9.05,-13.84,-0.13,-0.28,-0.02
0.54,7.63,-13.75,0.05,-0.22,0.0
1.17,8.37,-13.83,0.14,-0.27,-0.08
1.02,7.55,-14.01,0.0,-0.33,-0.06
0.71,8.14,-13.94,0.03,-0.1,-0.2
0.45,8.07,-13.51,0.0,-0.29,-0.04
0.69,8.09,-13.68,-0.03,-0.16,-0.09
-18.81,3.47,-23.46,-1.11,4.38,4.36
-18.81,-1.19,-7.39,0.84,4.38,3.62
-18.81,-9.02,8.17,-0.37,3.92,1.32
-13.92,-5.45,6.7,0.08,1.49,0.27
-1.59,-0.44,-6.13,0.84,-0.17,-0.02
-2.04,4.0,-8.4,-1.26,0.65,-0.1
0.51,9.33,-12.49,0.52,0.03,0.26
-0.42,2.83,-13.92,-0.55,-0.06,-0.08
0.8,8.18,-15.33,-0.68,-0.24,-0.14
0.2,7.26,-16.58,1.27,-0.17,0.0
-18.81,10.13,-13.64,-1.03,4.38,4.36
-18.81,-7.79,-3.95,-1.4,4.38,4.36
-14.79,-12.14,0.47,-0.59,3.36,1.89
-9.28,-5.72,-0.58,-0.86,1.41,0.76
-3.49,-4.83,-6.94,1.16,0.24,0.15
-1.67,1.63,-8.62,-0.93,0.47,-0.22
-1.12,8.88,-12.39,0.18,0.04,-0.2
0.05,6.1,-14.78,-0.21,-0.22,-0.41
0.1,9.24,-12.59,-1.1,0.2,-0.22
-0.01,7.28,-12.44,-0.21,0.03,0.1
-18.81,-5.73,-10.52,0.24,4.38,4.36
-18.81,-7.51,3.34,-1.05,4.38,1.54
-17.45,-1.37,4.4,-1.24,2.54,0.97
-7.38,-0.58,-2.82,-1.0,1.25,0.91
-5.36,3.17,-6.66,-0.48,0.74,0.59
-1.89,-0.79,-8.97,-0.98,0.2,0.17
-1.68,6.86,-11.51,-0.02,-0.03,0.12
-1.23,4.69,-13.53,0.02,-0.27,-0.3
-0.56,7.42,-14.95,0.16,-0.21,-0.13
-1.27,7.74,-14.29,0.23,0.07,-0.15
-18.81,6.99,-9.98,1.08,4.38,3.99
-18.81,-7.19,2.73,-1.76,4.38,3.31
-18.08,-4.9,5.08,0.04,3.01,0.24
-9.55,-1.69,-0.37,-0.67,1.75,0.79
-2.93,0.52,-6.68,0.29,0.55,0.0
-2.64,3.99,-8.81,-1.35,0.58,-0.02
-0.1,4.59,-10.67,0.01,0.14,0.24
-1.34,5.33,-12.95,0.1,-0.22,-0.45
-0.4,8.51,-14.99,-0.33,-0.33,-0.06
-0.5,7.01,-15.54,-0.13,-0.22,0.01
-18.81,1.28,-24.92,-1.61,4.38,4.36
-18.81,-2.88,-8.23,-2.06,4.38,4.36
-18.81,-5.62,-1.13,-0.29,4.15,2.72
-12.21,0.06,0.76,-1.22,2.45,1.61
-8.0,-4.11,-5.11,-0.58,0.94,0.96
-2.32,1.0,-6.82,-0.99,0.93,0.86
-0.73,1.92,-7.82,-0.27,0.47,0.09
0.62,4.82,-11.05,-0.5,-0.37,-0.35
1.11,7.03,-12.08,-0.66,-0.05,-0.33
0.79,7.79,-13.29,0.52,-0.36,-0.38
-18.81,3.67,-27.46,-0.06,4.38,4.36
-18.81,-11.83,-0.35,-2.24,4.38,4.24
-18.81,-7.52,7.02,0.05,2.53,1.61
-9.77,-6.13,-0.11,-1.03,0.92,1.31
-0.84,-2.93,-7.09,0.25,0.79,0.57
-3.29,2.44,-8.77,-0.71,0.35,0.22
0.89,5.04,-11.25,0.3,0.04,-0.27
-0.46,6.69,-13.98,0.21,-0.54,-0.16
1.12,6.44,-14.68,-0.29,0.02,-0.35
-0.29,8.91,-14.94,0.32,-0.33,-0.19
-18.81,3.67,-22.52,-0.76,4.38,4.36
-18.81,2.52,-3.36,0.06,4.38,4.36
-18.81,-15.04,7.42,-2.12,3.48,2.71
-13.05,-2.66,3.82,-0.47,2.35,1.47
-3.21,-9.01,-3.91,-0.28,0.98,0.16
-2.43,-1.72,-3.95,-4.04,-0.04,-0.78
0.05,9.03,-10.51,0.56,-0.27,-0.64
-0.38,7.1,-9.56,-0.96,0.31,-0.2
0.16,8.63,-8.71,-0.26,-0.19,-0.07
0.0,10.16,-11.21,0.23,-0.23,-0.37
-18.81,-0.65,-16.43,-1.85,4.38,3.85
-18.81,-9.34,-0.73,-2.72,4.38,2.86
-18.81,-4.36,2.35,-0.47,3.44,1.48
-10.79,-4.2,-3.51,-0.62,1.21,1.28
-5.3,-0.18,-6.04,-0.97,1.11,0.65
-1.45,1.31,-7.38,-0.4,0.63,0.56
-1.36,4.04,-9.82,0.1,0.18,-0.18
-0.87,7.21,-11.91,-0.09,-0.22,-0.33
-0.24,7.03,-15.12,0.52,-0.34,-0.02
-0.14,7.02,-14.27,-0.68,0.13,-0.44
-18.81,2.54,-14.67,0.21,4.38,4.36
-18.81,-6.75,2.84,-1.17,4.38,3.65
-17.48,-7.15,6.98,-0.93,2.6,0.24
-7.78,-0.61,-2.18,-1.06,1.21,0.75
-4.51,-0.02,-7.16,-0.31,0.79,0.14
-1.48,3.01,-8.93,-1.65,0.39,0.01
-0.58,5.78,-11.52,0.59,0.42,0.0
-0.13,5.95,-12.34,-0.68,0.04,-0.3
-0.12,8.89,-13.09,-0.18,-0.04,-0.21
