acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-9.95,11.92,-10.23,-1.06,-1.98,-4.34
-11.78,11.53,-8.96,-1.41,-1.56,-3.82
-15.92,11.92,-9.58,-1.56,-1.72,-4.34
-17.17,12.05,-8.69,-0.47,-1.47,-4.34
-15.18,12.76,-10.18,-0.01,-1.53,-4.34
-14.01,11.35,-6.6,-0.12,-0.32,-3.49
-12.13,9.24,-7.8,0.53,-1.54,-3.32
-8.92,9.87,-9.56,1.13,-1.31,-2.23
-6.85,9.21,-9.12,0.27,-0.31,-0.79
-7.4,6.06,-7.86,0.06,0.1,0.36
-2.23,-0.06,-6.25,-1.81,-1.14,-1.35
-3.6,4.33,-8.31,-1.9,-1.4,-1.93
-5.4,6.88,-9.99,-2.21,-1.89,-2.77
-5.3,9.92,-10.29,-2.56,-1.2,-3.03
-9.31,12.22,-8.71,-1.89,-1.5,-3.84
-10.02,11.08,-8.91,-1.89,-0.85,-3.76
-10.61,11.42,-8.3,-1.15,-0.61,-3.82
-10.11,12.69,-6.93,-1.23,-0.27,-3.1
-9.7,8.05,-6.94,-0.71,-0.16,-2.71
-8.32,8.1,-6.49,0.0,-0.04,-2.46
-5.3,9.1,-10.75,-2.2,-1.32,-2.24
-6.73,8.57,-10.19,-2.99,-1.12,-2.92
-8.68,9.3,-9.38,-1.22,-0.91,-3.33
-9.53,12.11,-7.36,-1.64,-0.37,-3.25
-10.75,9.03,-7.5,-1.63,-0.31,-2.92
-10.4,9.06,-7.1,-0.83,-0.07,-3.03
-9.28,8.13,-6.87,-1.04,0.35,-2.38
-9.17,6.71,-5.81,-0.94,0.72,-2.13
-8.66,6.38,-4.84,-0.28,0.51,-1.72
-8.34,5.0,-4.92,0.55,0.09,-1.36
-9.73,8.82,-8.99,-0.92,-0.23,-3.15
-10.55,8.33,-6.98,-0.8,0.26,-2.28
-9.81,6.58,-7.08,-0.61,0.08,-2.09
-8.75,6.26,-6.87,-0.07,0.29,-1.48
-8.63,5.39,-6.2,0.09,0.39,-0.93
-8.23,3.99,-5.52,0.4,0.23,-0.4
-8.29,2.65,-5.42,0.89,-0.11,-0.14
-8.47,1.65,-5.63,1.11,-0.35,-0.04
-8.72,1.92,-5.67,0.87,-0.22,0.06
-8.96,1.32,-5.7,0.22,-0.16,0.26
-6.56,6.55,-8.45,-1.37,-1.11,-3.12
-8.3,9.59,-8.45,-2.09,-1.34,-3.95
-10.6,11.01,-7.2,-1.99,-0.72,-3.92
-13.37,8.72,-7.32,-0.86,-0.39,-4.05
-12.39,11.47,-6.38,-0.76,0.3,-4.1
-11.41,9.33,-5.8,-1.51,0.71,-3.12
-9.96,7.08,-5.37,-0.73,1.12,-2.65
-9.67,5.81,-4.68,0.57,0.65,-1.95
-9.11,4.44,-5.0,1.56,0.38,-1.4
-8.59,3.6,-5.93,1.98,-0.17,-0.61
-9.24,-0.75,-4.48,0.12,-0.15,0.04
-9.01,-0.95,-4.37,0.18,-0.17,-0.15
-8.95,-0.58,-4.21,0.08,-0.27,-0.33
-8.85,-0.4,-3.82,-0.02,-0.26,-0.34
-9.78,-1.27,-2.48,-0.53,-0.3,-0.31
-10.17,-3.61,-1.18,-0.92,-0.53,-0.36
-10.31,-4.09,-0.1,-0.93,-0.6,-0.55
-10.6,-4.29,-0.21,-0.92,-1.25,-1.3
-9.99,-2.32,-3.71,-0.37,-1.82,-1.68
-7.6,-0.38,-5.31,-0.92,-0.93,-1.7
0.99,6.76,-12.84,-0.37,-0.51,-0.04
-0.2,7.18,-11.98,-0.77,0.09,-0.67
-1.21,6.52,-12.15,-0.36,-0.47,-0.32
-1.24,6.97,-11.9,-0.78,-0.45,-0.84
-2.47,7.63,-11.82,-1.01,-0.61,-0.78
-2.45,5.72,-11.19,-0.88,-0.59,-0.93
-4.09,7.45,-11.59,-1.07,-0.96,-1.27
-5.1,6.14,-10.95,-0.83,-0.9,-1.5
-5.52,7.94,-10.68,-1.39,-1.29,-1.61
-7.19,7.05,-10.0,-1.31,-0.97,-2.0
-9.0,5.26,-7.33,-0.39,0.03,-1.11
-8.68,4.21,-7.25,0.62,0.15,-0.37
-8.54,3.5,-7.07,0.6,0.27,0.05
-8.88,2.33,-7.04,0.39,0.11,0.35
-9.24,1.34,-7.1,0.37,0.05,0.51
-9.27,0.75,-7.0,0.65,-0.02,0.54
-9.5,1.16,-7.14,0.43,0.06,0.41
-9.43,1.06,-7.06,0.03,0.17,0.35
-9.51,1.15,-6.88,-0.04,0.11,0.23
-9.15,1.27,-7.14,-0.1,0.04,0.2
-6.04,-8.52,-8.91,2.22,-1.04,2.17
-3.26,-11.43,-9.67,-0.5,-0.8,-0.06
-2.33,-8.4,-9.18,-0.02,0.4,-1.93
-2.66,-1.39,-6.78,-0.61,0.95,-2.27
-3.21,3.04,-4.46,-0.86,0.73,-2.8
-5.45,5.75,-3.5,0.33,0.53,-3.26
-5.47,9.41,-3.94,0.15,0.31,-3.27
-8.28,9.22,-2.09,0.55,0.62,-3.42
