acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2.99,6.97,-9.98,-0.13,0.07,0.06
3.0,6.94,-10.0,0.1,-0.02,-0.11
3.24,7.17,-9.68,-0.01,0.04,-0.18
3.06,7.53,-9.46,-0.16,0.14,-0.19
3.29,7.25,-9.36,0.14,0.05,-0.23
2.97,7.43,-9.49,0.2,0.0,-0.3
2.66,7.38,-9.65,0.17,0.0,-0.32
2.38,8.0,-9.89,-0.01,0.02,-0.39
1.91,8.31,-9.95,-0.07,-0.03,-0.38
2.05,8.18,-10.27,-0.03,0.03,-0.28
-7.27,18.07,-2.94,-2.18,1.4,-0.11
-15.46,-2.66,-3.31,4.38,-4.38,4.08
-7.85,-3.21,-5.02,2.25,-2.89,1.14
-1.41,2.85,-3.82,3.72,-1.61,1.47
5.38,2.18,-6.54,2.62,-2.23,1.52
11.9,1.68,-4.66,3.05,-2.03,0.84
9.46,0.64,-6.73,1.06,-1.26,0.49
10.5,0.57,-7.66,1.55,-1.85,-0.59
8.93,1.76,-9.1,0.99,-1.14,-0.48
10.29,5.28,-9.99,0.84,-0.59,-1.04
8.32,4.11,-7.09,2.84,-2.11,-0.08
9.57,-0.02,-9.27,4.43,-1.87,-0.47
7.86,2.95,-10.74,3.08,-1.69,-0.14
8.72,3.84,-11.79,3.05,-1.84,-1.32
9.28,7.35,-11.36,0.69,-1.26,-1.55
8.72,6.15,-12.56,-0.33,-0.78,-0.64
7.51,7.97,-12.71,-0.96,-0.54,-0.79
6.3,5.4,-11.6,-0.27,-0.35,-0.17
5.56,7.06,-12.17,0.38,-0.22,-0.2
4.0,7.2,-12.24,-0.2,-0.08,-0.3
2.23,7.37,-7.6,-0.75,-0.56,-2.25
1.54,6.47,-6.6,-0.9,-0.01,-1.76
-1.18,8.57,-6.91,0.4,-0.59,-1.09
-1.13,12.42,-5.97,0.23,-0.53,-1.6
-3.94,6.78,-6.84,1.16,0.09,-2.07
-5.57,13.38,-8.01,0.53,-0.35,-2.31
-5.01,6.73,-7.58,0.73,-0.27,-2.28
-5.88,6.91,-7.91,0.61,0.29,-1.56
-7.43,5.79,-8.88,0.12,0.41,-0.99
-7.12,6.37,-8.52,-0.14,0.21,-0.43
-5.46,6.61,-9.93,2.03,-0.51,-2.25
-6.38,10.23,-9.89,-0.06,-0.05,-1.19
-5.87,6.3,-9.07,-0.75,0.46,0.35
-6.4,7.42,-8.88,-0.84,0.71,-0.06
-6.36,6.1,-8.79,-0.83,0.52,0.0
-5.15,6.39,-8.25,-0.73,0.34,0.43
-4.76,6.43,-7.97,-1.13,0.54,0.67
-6.12,5.99,-7.89,-0.8,0.22,0.47
-5.41,5.87,-7.52,-0.46,-0.16,0.16
-4.72,5.67,-7.17,-0.33,0.1,0.09
-4.96,5.03,-4.81,-0.16,0.33,0.18
-4.95,5.36,-4.57,-0.27,0.28,0.0
-5.31,6.07,-4.13,-0.48,0.11,-0.04
-4.81,5.43,-4.35,-0.37,0.15,-0.05
-5.32,5.77,-4.25,-0.36,0.05,-0.01
-4.72,5.15,-4.16,-0.12,0.01,0.06
-4.36,5.06,-4.57,-0.24,-0.02,0.33
-4.12,4.93,-4.39,-0.3,0.06,0.33
-3.83,5.17,-4.37,-0.28,0.22,0.18
-4.11,5.24,-4.48,-0.34,0.23,0.15
3.16,7.81,-7.41,0.7,0.11,-0.53
1.61,10.27,-8.5,-0.1,-0.3,-1.02
0.84,9.23,-7.27,0.62,-0.29,-1.04
-0.46,9.38,-9.42,1.05,-0.3,-1.37
-1.62,10.42,-8.87,0.41,-0.49,-1.15
-2.34,8.52,-8.63,-0.13,-0.42,-0.59
-1.82,8.69,-7.9,0.01,0.14,-0.1
-2.24,8.72,-8.19,-0.87,0.82,-0.08
-2.71,7.43,-7.98,-0.47,0.75,0.06
-2.18,8.21,-8.0,0.05,0.39,-0.06
12.03,3.27,-4.85,1.21,-1.34,-0.86
10.64,4.03,-7.62,0.82,-0.99,-2.35
6.91,2.58,-7.83,0.47,-0.98,-2.74
6.75,7.09,-6.51,0.29,0.17,-2.17
3.05,6.11,-7.44,-1.15,0.63,-1.65
1.5,5.07,-7.91,1.48,0.19,-2.12
0.01,9.88,-9.06,0.66,-0.87,-1.44
-0.93,10.97,-7.71,1.62,-0.78,-1.43
-1.67,11.32,-10.25,-0.18,-0.87,-1.28
-1.48,11.15,-9.42,0.52,-0.32,-1.02
10.04,3.45,-4.76,1.53,-0.93,-1.32
8.78,2.32,-6.03,-0.41,-0.43,-1.7
6.97,3.51,-6.98,-0.29,0.07,-1.8
3.33,0.91,-6.91,-0.4,0.21,-1.59
2.69,1.98,-6.4,0.17,0.07,-1.4
2.69,8.03,-5.69,1.02,-0.31,-1.55
2.43,9.02,-5.64,0.57,-0.5,-1.25
0.35,9.62,-5.15,-0.3,0.33,-1.57
-0.13,11.03,-4.61,-1.01,0.39,-1.29
-1.81,9.19,-4.48,-0.13,0.45,-1.31
-4.2,5.32,-5.44,-0.21,-0.01,-0.13
-4.42,6.2,-5.38,-0.25,0.02,-0.33
-4.47,6.53,-5.32,-0.42,0.04,-0.18
-4.62,6.3,-5.28,-0.17,0.05,-0.1
-4.53,6.17,-5.26,-0.06,0.0,-0.01
-4.45,6.0,-5.26,0.04,0.0,-0.01
-4.5,5.77,-5.15,-0.09,-0.17,0.03
-4.28,5.82,-5.22,0.16,-0.14,-0.11
-4.1,5.83,-5.13,-0.09,-0.04,-0.01
-4.25,5.87,-4.98,0.04,0.09,0.0
0.72,7.73,-6.29,0.21,-0.14,-1.37
0.86,8.76,-5.67,0.4,-0.08,-1.3
-0.62,8.53,-5.93,-0.3,-0.65,-0.49
1.54,10.23,-4.06,0.59,-0.6,-0.77
0.54,8.92,-5.39,0.09,-0.67,-0.71
0.89,9.49,-6.38,0.31,-0.65,-0.55
0.22,8.2,-6.64,-0.25,-0.06,-0.19
0.09,7.75,-6.53,-0.48,0.34,-0.22
0.02,6.96,-6.34,-0.96,0.73,-0.63
-3.01,5.86,-5.59,-0.81,0.79,-0.44
4.42,1.89,-5.15,0.9,-0.28,-1.91
3.18,2.06,-4.58,-0.43,0.19,-1.39
2.93,4.69,-4.07,-0.07,0.1,-1.06
2.08,6.17,-4.23,0.01,-1.2,-1.83
5.17,9.02,-2.69,-0.07,-1.5,-1.58
3.08,5.01,-4.19,-0.31,-0.47,-1.59
2.09,7.31,-3.06,-0.48,-0.43,-1.78
0.38,9.42,-3.17,0.71,-0.69,-2.13
-0.41,7.44,-4.41,0.69,-0.55,-2.25
-1.77,9.29,-4.51,0.32,-0.05,-1.89
-2.96,4.9,-2.5,-0.12,-0.05,-0.07
-2.71,4.81,-2.92,0.02,-0.3,-0.12
-2.6,4.63,-3.08,0.24,-0.38,-0.04
-2.49,4.59,-3.04,0.07,-0.17,0.22
-2.91,4.69,-3.46,-0.01,0.0,0.25
-2.76,4.68,-3.16,-0.03,0.22,0.15
-3.04,4.76,-3.27,-0.04,0.15,0.18
-2.92,5.14,-3.23,0.15,-0.01,-0.12
-2.32,5.34,-3.17,0.4,-0.21,-0.44
-2.12,5.66,-3.19,0.63,-0.28,-0.41
3.56,9.94,-3.88,-1.29,-0.44,-0.9
4.38,4.35,0.84,0.67,-0.35,-0.7
1.82,8.02,-4.24,-0.91,1.1,0.24
1.63,4.38,-5.36,-1.45,0.74,0.12
1.31,5.91,-3.95,0.06,0.45,-0.18
0.78,4.95,-4.06,-0.51,0.09,-0.33
1.61,4.55,-4.47,0.39,-0.22,-0.61
1.83,6.26,-3.59,0.42,-0.14,-0.39
1.55,7.05,-3.16,0.18,0.04,0.04
1.13,6.6,-3.2,0.0,-0.01,0.41
7.02,4.64,-10.31,0.01,-0.09,0.0
6.72,4.81,-10.42,-0.09,0.11,-0.02
6.93,5.05,-10.02,0.08,-0.02,-0.03
6.87,5.0,-9.97,-0.06,0.01,0.02
6.98,4.84,-9.87,0.1,-0.05,-0.02
7.0,4.94,-10.01,-0.09,-0.02,0.01
6.84,5.08,-10.17,0.03,0.0,0.0
6.92,4.81,-10.05,-0.04,0.01,0.04
6.87,4.93,-10.11,0.04,-0.01,0.04
6.91,4.83,-10.13,0.06,-0.04,0.02
7.04,5.12,-10.09,-0.04,0.02,0.03
6.92,5.28,-10.12,-0.14,0.0,0.05
7.36,4.86,-10.16,0.01,-0.04,0.05
6.54,5.25,-10.59,-0.31,0.04,0.14
7.5,4.14,-10.5,-0.19,0.05,0.06
6.59,5.01,-10.51,0.03,0.1,-0.04
7.47,4.41,-10.42,0.05,-0.04,0.06
7.15,4.74,-10.34,0.37,0.15,-0.07
7.04,4.94,-10.29,0.0,0.01,0.09
7.24,4.95,-10.16,0.3,0.0,0.0
7.77,4.99,-9.93,0.49,-0.88,-0.6
7.06,4.28,-9.59,-0.36,-0.63,-0.13
7.06,4.42,-9.28,0.16,-0.69,-0.44
7.0,4.5,-8.61,0.56,-0.37,-0.72
6.06,7.14,-9.22,0.34,-0.32,-0.51
6.83,8.19,-9.15,-0.03,-0.06,-0.38
5.91,6.57,-9.49,-0.15,0.13,0.02
6.26,7.06,-9.78,0.17,-0.05,0.16
6.0,5.59,-9.6,-0.31,0.29,0.14
5.84,6.06,-9.6,-0.09,-0.11,0.18
7.49,5.78,-8.84,-0.3,0.07,-0.03
6.56,6.69,-9.4,0.29,-0.21,0.12
6.85,5.37,-9.26,0.05,0.0,0.04
6.15,5.64,-9.35,-0.2,-0.06,0.18
6.78,5.98,-9.47,0.17,0.03,0.04
6.21,5.62,-9.77,-0.09,0.02,0.14
6.33,5.55,-9.61,0.13,-0.01,-0.05
6.11,5.47,-9.81,-0.28,0.07,-0.01
6.09,5.58,-9.97,0.09,-0.04,-0.06
6.56,5.41,-9.79,0.01,0.03,-0.05
6.37,6.11,-9.91,-0.21,-0.43,-0.17
6.35,7.43,-10.3,-0.24,-0.32,-0.35
5.61,5.24,-10.65,-0.2,-0.47,0.0
5.72,6.19,-10.48,-0.22,-0.16,-0.05
5.45,6.31,-10.76,-0.38,0.25,-0.05
5.16,6.53,-10.48,0.28,0.25,-0.14
5.44,7.28,-9.83,0.03,0.21,-0.03
5.01,5.59,-9.55,-0.24,0.28,-0.09
4.86,6.34,-9.7,0.05,-0.07,-0.13
5.1,5.94,-9.66,-0.09,-0.11,-0.11
7.93,5.47,-9.59,0.35,-0.71,0.01
6.77,6.03,-9.88,0.08,-0.19,-0.14
7.04,4.94,-9.38,0.08,-0.46,0.04
6.41,6.87,-9.88,-0.23,-0.23,-0.1
6.29,5.41,-9.94,-0.01,-0.04,0.0
6.14,5.81,-10.18,-0.18,0.09,-0.13
6.61,5.82,-9.66,0.02,0.16,-0.14
6.1,6.04,-9.72,-0.24,0.16,0.0
6.58,5.72,-9.59,0.1,0.03,0.0
5.86,5.47,-9.54,0.01,0.08,0.01
8.54,4.18,-8.9,0.31,-0.74,0.07
7.85,5.53,-10.11,0.47,-0.56,0.12
7.88,3.91,-10.36,-0.06,-0.45,0.3
7.58,4.71,-10.39,0.07,-0.13,-0.01
7.71,3.53,-9.58,-0.23,0.11,0.18
6.8,4.8,-10.17,-0.06,-0.13,-0.04
7.58,4.38,-9.94,0.3,-0.06,-0.05
7.11,4.58,-10.41,-0.16,0.13,0.0
7.41,4.13,-9.87,-0.01,0.14,-0.12
7.07,4.4,-10.13,-0.1,0.13,-0.09
6.26,6.15,-9.87,0.02,-0.1,-0.03
6.74,5.99,-9.78,0.05,-0.04,0.09
6.14,5.52,-10.0,-0.06,-0.02,0.2
6.43,5.1,-10.04,0.04,-0.11,0.1
6.14,5.29,-9.95,-0.02,0.0,0.0
6.22,5.54,-9.86,-0.04,0.0,0.0
5.98,5.6,-10.02,-0.01,0.06,-0.03
6.23,5.45,-9.88,-0.05,0.04,0.0
6.27,5.53,-9.93,0.0,0.01,-0.05
6.27,5.4,-9.97,0.02,-0.04,-0.04
6.78,5.5,-10.21,-0.1,0.12,-0.12
6.46,5.49,-9.91,-0.27,0.36,-0.03
6.7,5.48,-9.73,-0.3,0.28,0.0
6.24,5.44,-9.6,-0.06,0.12,-0.02
6.74,5.38,-9.69,-0.07,0.09,0.01
6.36,5.61,-9.97,0.03,0.03,0.21
6.46,5.12,-9.93,0.11,0.05,0.15
6.34,5.3,-9.83,0.15,0.11,0.01
6.27,4.87,-9.43,0.21,-0.04,-0.04
6.58,5.46,-9.48,0.15,0.11,-0.12
8.81,2.39,-8.49,-0.06,-0.44,-0.57
9.32,4.67,-9.45,0.39,-0.75,-0.91
8.69,5.45,-9.88,0.75,-0.85,-0.64
8.59,6.38,-10.88,0.65,-0.64,-0.45
7.28,5.85,-11.26,0.41,-0.55,-0.11
7.15,5.99,-11.05,0.03,-0.49,0.07
6.56,5.87,-10.68,-0.16,-0.11,0.28
6.2,5.96,-10.49,-0.54,-0.05,0.28
5.34,5.46,-10.3,-0.05,0.0,0.0
5.81,5.43,-10.63,-0.23,0.01,0.02
10.45,3.28,-8.86,0.42,-0.27,0.06
9.31,3.64,-9.78,0.89,-0.83,-1.03
8.5,4.99,-9.38,0.94,-0.57,-0.92
9.36,4.79,-9.9,0.17,-0.15,-0.47
8.76,6.03,-10.04,0.01,-0.3,-0.18
7.59,5.87,-9.11,-0.85,-0.49,-0.09
7.04,4.28,-9.09,-0.29,-0.65,0.11
5.33,4.42,-8.72,-0.2,-0.52,0.05
5.61,4.95,-9.91,-0.32,-0.48,-0.09
5.96,4.48,-10.48,0.34,-0.13,-0.38
5.42,5.76,-9.26,-0.22,0.04,0.04
5.23,5.96,-9.33,0.08,0.04,0.0
5.34,5.88,-9.35,0.16,-0.09,0.06
5.24,6.33,-9.03,0.27,-0.04,-0.07
5.14,5.75,-9.06,0.12,-0.1,0.0
5.66,5.85,-8.96,0.1,-0.09,-0.25
5.67,6.18,-9.03,0.01,-0.14,-0.27
5.73,7.48,-8.81,-0.12,-0.11,-0.23
5.26,6.84,-8.79,-0.21,-0.08,0.05
5.26,6.38,-8.84,-0.18,-0.13,0.15
9.13,2.64,-9.52,0.01,-0.72,-0.53
7.3,6.55,-8.56,0.35,-0.53,-0.35
7.66,5.02,-8.56,0.29,-0.25,-0.21
6.87,6.05,-9.78,0.18,-0.29,-0.03
7.73,5.94,-10.28,0.67,-0.28,-0.09
6.84,6.86,-9.82,0.11,-0.36,0.13
6.46,4.78,-9.34,0.13,-0.18,0.12
6.47,5.15,-9.41,-0.03,0.18,0.22
6.37,4.92,-9.46,-0.18,0.33,0.26
6.53,5.47,-9.27,-0.08,0.17,0.05
10.78,-0.71,-8.91,-0.25,-1.96,-0.23
11.68,-1.03,-8.35,0.38,-1.74,-0.81
10.39,0.69,-9.05,-0.14,-1.4,-0.87
8.2,3.61,-9.85,0.38,-1.29,-0.36
7.6,4.22,-10.15,-0.09,-0.08,-0.46
7.19,4.72,-12.23,0.5,-0.72,-0.21
7.44,4.43,-10.91,0.8,-0.46,-0.65
6.72,6.06,-11.64,-0.78,-0.18,-0.19
6.09,4.24,-11.43,0.08,0.02,-0.58
6.95,4.78,-11.3,1.24,-0.13,-0.95
-2.81,2.24,-1.43,0.72,0.52,2.12
-13.41,2.3,-1.15,1.14,0.82,1.82
-8.04,5.88,1.45,1.03,-0.78,2.79
-0.38,3.38,-0.77,1.34,-1.43,1.33
6.02,1.62,-2.83,1.21,-1.9,0.98
8.5,2.08,-6.33,1.64,-2.3,0.55
9.87,0.5,-8.07,1.89,-2.61,1.56
9.62,1.22,-10.42,2.0,-1.97,0.89
10.45,1.96,-10.13,1.08,-1.48,-0.02
8.78,1.99,-11.64,0.14,-1.1,-0.64
-6.53,6.07,-1.42,0.4,-0.52,1.46
1.9,2.17,-4.06,1.13,-1.86,0.23
5.58,0.77,-5.7,2.46,-2.22,0.51
8.63,1.26,-8.32,2.2,-3.03,0.75
10.37,1.91,-10.09,2.0,-3.05,1.12
10.87,3.19,-10.26,1.41,-2.51,1.03
10.67,4.85,-10.41,0.33,-2.2,0.17
9.66,3.32,-10.94,-0.61,-1.46,-0.19
8.3,2.93,-12.0,-1.79,-0.83,0.36
8.49,4.85,-12.5,0.86,-0.77,-0.55
5.41,3.13,-6.62,0.9,-1.79,1.4
8.92,1.63,-7.62,0.75,-2.35,1.52
10.23,1.58,-8.76,1.55,-2.12,0.88
9.77,3.94,-9.47,1.22,-2.13,0.42
10.25,3.54,-9.48,-0.62,-2.06,-0.14
8.3,1.39,-10.55,-1.09,-1.58,-0.49
8.96,3.17,-10.45,-0.33,-1.24,-0.18
8.48,5.5,-10.56,0.77,-0.87,-0.38
7.4,4.3,-10.66,-0.3,-0.68,-0.08
7.71,5.99,-10.43,-0.21,-0.51,-0.07
9.24,2.02,-7.46,1.07,-1.82,1.23
9.59,4.84,-8.39,1.11,-2.01,0.98
9.5,5.17,-9.65,0.31,-2.1,0.34
8.62,4.96,-10.43,-1.31,-1.41,-0.15
7.68,4.29,-11.41,-0.9,-0.99,-0.13
8.02,4.66,-10.85,-0.59,-0.91,0.06
7.06,4.81,-10.82,-1.1,-1.16,0.38
8.22,4.84,-10.46,-0.8,-1.12,0.21
7.09,4.85,-11.1,-0.32,-0.71,-0.07
6.82,4.91,-11.05,0.01,-0.53,-0.02
9.02,0.01,-8.44,0.11,-2.11,0.51
7.9,1.9,-10.28,-1.48,-2.32,1.1
10.38,1.52,-10.36,-0.09,-1.76,0.0
9.98,2.85,-10.19,0.59,-1.52,-1.33
8.73,3.03,-10.28,-0.25,-1.06,-0.65
8.68,5.38,-10.76,0.01,-0.26,-0.47
7.67,4.14,-10.53,-0.6,-0.08,0.0
8.19,5.58,-10.83,0.16,0.15,-0.22
7.49,5.22,-10.62,-0.68,0.3,-0.16
7.48,4.69,-10.04,0.02,0.22,-0.08
8.68,6.69,-10.8,0.38,-0.68,-0.38
7.64,4.68,-11.15,-0.24,-0.81,0.17
6.81,6.11,-11.99,0.02,-0.17,-0.03
6.07,4.95,-11.81,-0.35,-0.08,0.0
6.16,5.61,-11.61,0.16,0.11,-0.14
5.7,5.39,-11.36,-0.37,0.08,-0.03
