acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2.99,6.97,-0.16999999999999993,-0.13,0.07,0.06
3.0,6.94,-0.1899999999999995,0.1,-0.02,-0.11
3.24,7.17,0.13000000000000078,-0.01,0.04,-0.18
3.06,7.53,0.34999999999999964,-0.16,0.14,-0.19
3.29,7.25,0.45000000000000107,0.14,0.05,-0.23
2.97,7.43,0.3200000000000003,0.2,0.0,-0.3
2.66,7.38,0.16000000000000014,0.17,0.0,-0.32
2.38,8.0,-0.08000000000000007,-0.01,0.02,-0.39
1.91,8.31,-0.1399999999999988,-0.07,-0.03,-0.38
2.05,8.18,-0.4599999999999991,-0.03,0.03,-0.28
-7.27,18.07,6.870000000000001,-2.18,1.4,-0.11
-15.46,-2.66,6.5,4.38,-4.38,4.08
-7.85,-3.21,4.790000000000001,2.25,-2.89,1.14
-1.41,2.85,5.99,3.72,-1.61,1.47
5.38,2.18,3.2700000000000005,2.62,-2.23,1.52
11.9,1.68,5.15,3.05,-2.03,0.84
9.46,0.64,3.08,1.06,-1.26,0.49
10.5,0.57,2.1500000000000004,1.55,-1.85,-0.59
8.93,1.76,0.7100000000000009,0.99,-1.14,-0.48
10.29,5.28,-0.17999999999999972,0.84,-0.59,-1.04
8.32,4.11,2.7200000000000006,2.84,-2.11,-0.08
9.57,-0.02,0.5400000000000009,4.43,-1.87,-0.47
7.86,2.95,-0.9299999999999997,3.08,-1.69,-0.14
8.72,3.84,-1.9799999999999986,3.05,-1.84,-1.32
9.28,7.35,-1.549999999999999,0.69,-1.26,-1.55
8.72,6.15,-2.75,-0.33,-0.78,-0.64
7.51,7.97,-2.9000000000000004,-0.96,-0.54,-0.79
6.3,5.4,-1.7899999999999991,-0.27,-0.35,-0.17
5.56,7.06,-2.3599999999999994,0.38,-0.22,-0.2
4.0,7.2,-2.4299999999999997,-0.2,-0.08,-0.3
2.23,7.37,2.210000000000001,-0.75,-0.56,-2.25
1.54,6.47,3.210000000000001,-0.9,-0.01,-1.76
-1.18,8.57,2.9000000000000004,0.4,-0.59,-1.09
-1.13,12.42,3.8400000000000007,0.23,-0.53,-1.6
-3.94,6.78,2.9700000000000006,1.16,0.09,-2.07
-5.57,13.38,1.8000000000000007,0.53,-0.35,-2.31
-5.01,6.73,2.2300000000000004,0.73,-0.27,-2.28
-5.88,6.91,1.9000000000000004,0.61,0.29,-1.56
-7.43,5.79,0.9299999999999997,0.12,0.41,-0.99
-7.12,6.37,1.290000000000001,-0.14,0.21,-0.43
-5.46,6.61,-0.11999999999999922,2.03,-0.51,-2.25
-6.38,10.23,-0.08000000000000007,-0.06,-0.05,-1.19
-5.87,6.3,0.7400000000000002,-0.75,0.46,0.35
-6.4,7.42,0.9299999999999997,-0.84,0.71,-0.06
-6.36,6.1,1.0200000000000014,-0.83,0.52,0.0
-5.15,6.39,1.5600000000000005,-0.73,0.34,0.43
-4.76,6.43,1.8400000000000007,-1.13,0.54,0.67
-6.12,5.99,1.9200000000000008,-0.8,0.22,0.47
-5.41,5.87,2.290000000000001,-0.46,-0.16,0.16
-4.72,5.67,2.6400000000000006,-0.33,0.1,0.09
-4.96,5.03,5.000000000000001,-0.16,0.33,0.18
-4.95,5.36,5.24,-0.27,0.28,0.0
-5.31,6.07,5.680000000000001,-0.48,0.11,-0.04
-4.81,5.43,5.460000000000001,-0.37,0.15,-0.05
-5.32,5.77,5.5600000000000005,-0.36,0.05,-0.01
-4.72,5.15,5.65,-0.12,0.01,0.06
-4.36,5.06,5.24,-0.24,-0.02,0.33
-4.12,4.93,5.420000000000001,-0.3,0.06,0.33
-3.83,5.17,5.44,-0.28,0.22,0.18
-4.11,5.24,5.33,-0.34,0.23,0.15
3.16,7.81,2.4000000000000004,0.7,0.11,-0.53
1.61,10.27,1.3100000000000005,-0.1,-0.3,-1.02
0.84,9.23,2.540000000000001,0.62,-0.29,-1.04
-0.46,9.38,0.39000000000000057,1.05,-0.3,-1.37
-1.62,10.42,0.9400000000000013,0.41,-0.49,-1.15
-2.34,8.52,1.1799999999999997,-0.13,-0.42,-0.59
-1.82,8.69,1.9100000000000001,0.01,0.14,-0.1
-2.24,8.72,1.620000000000001,-0.87,0.82,-0.08
-2.71,7.43,1.83,-0.47,0.75,0.06
-2.18,8.21,1.8100000000000005,0.05,0.39,-0.06
12.03,3.27,4.960000000000001,1.21,-1.34,-0.86
10.64,4.03,2.1900000000000004,0.82,-0.99,-2.35
6.91,2.58,1.9800000000000004,0.47,-0.98,-2.74
6.75,7.09,3.3000000000000007,0.29,0.17,-2.17
3.05,6.11,2.37,-1.15,0.63,-1.65
1.5,5.07,1.9000000000000004,1.48,0.19,-2.12
0.01,9.88,0.75,0.66,-0.87,-1.44
-0.93,10.97,2.1000000000000005,1.62,-0.78,-1.43
-1.67,11.32,-0.4399999999999995,-0.18,-0.87,-1.28
-1.48,11.15,0.39000000000000057,0.52,-0.32,-1.02
10.04,3.45,5.050000000000001,1.53,-0.93,-1.32
8.78,2.32,3.7800000000000002,-0.41,-0.43,-1.7
6.97,3.51,2.83,-0.29,0.07,-1.8
3.33,0.91,2.9000000000000004,-0.4,0.21,-1.59
2.69,1.98,3.41,0.17,0.07,-1.4
2.69,8.03,4.12,1.02,-0.31,-1.55
2.43,9.02,4.170000000000001,0.57,-0.5,-1.25
0.35,9.62,4.66,-0.3,0.33,-1.57
-0.13,11.03,5.2,-1.01,0.39,-1.29
-1.81,9.19,5.33,-0.13,0.45,-1.31
-4.2,5.32,4.37,-0.21,-0.01,-0.13
-4.42,6.2,4.430000000000001,-0.25,0.02,-0.33
-4.47,6.53,4.49,-0.42,0.04,-0.18
-4.62,6.3,4.53,-0.17,0.05,-0.1
-4.53,6.17,4.550000000000001,-0.06,0.0,-0.01
-4.45,6.0,4.550000000000001,0.04,0.0,-0.01
-4.5,5.77,4.66,-0.09,-0.17,0.03
-4.28,5.82,4.590000000000001,0.16,-0.14,-0.11
-4.1,5.83,4.680000000000001,-0.09,-0.04,-0.01
-4.25,5.87,4.83,0.04,0.09,0.0
0.72,7.73,3.5200000000000005,0.21,-0.14,-1.37
0.86,8.76,4.140000000000001,0.4,-0.08,-1.3
-0.62,8.53,3.880000000000001,-0.3,-0.65,-0.49
1.54,10.23,5.750000000000001,0.59,-0.6,-0.77
0.54,8.92,4.420000000000001,0.09,-0.67,-0.71
0.89,9.49,3.4300000000000006,0.31,-0.65,-0.55
0.22,8.2,3.170000000000001,-0.25,-0.06,-0.19
0.09,7.75,3.2800000000000002,-0.48,0.34,-0.22
0.02,6.96,3.4700000000000006,-0.96,0.73,-0.63
-3.01,5.86,4.220000000000001,-0.81,0.79,-0.44
4.42,1.89,4.66,0.9,-0.28,-1.91
3.18,2.06,5.23,-0.43,0.19,-1.39
2.93,4.69,5.74,-0.07,0.1,-1.06
2.08,6.17,5.58,0.01,-1.2,-1.83
5.17,9.02,7.120000000000001,-0.07,-1.5,-1.58
3.08,5.01,5.62,-0.31,-0.47,-1.59
2.09,7.31,6.75,-0.48,-0.43,-1.78
0.38,9.42,6.640000000000001,0.71,-0.69,-2.13
-0.41,7.44,5.4,0.69,-0.55,-2.25
-1.77,9.29,5.300000000000001,0.32,-0.05,-1.89
-2.96,4.9,7.3100000000000005,-0.12,-0.05,-0.07
-2.71,4.81,6.890000000000001,0.02,-0.3,-0.12
-2.6,4.63,6.73,0.24,-0.38,-0.04
-2.49,4.59,6.7700000000000005,0.07,-0.17,0.22
-2.91,4.69,6.3500000000000005,-0.01,0.0,0.25
-2.76,4.68,6.65,-0.03,0.22,0.15
-3.04,4.76,6.540000000000001,-0.04,0.15,0.18
-2.92,5.14,6.58,0.15,-0.01,-0.12
-2.32,5.34,6.640000000000001,0.4,-0.21,-0.44
-2.12,5.66,6.620000000000001,0.63,-0.28,-0.41
3.56,9.94,5.930000000000001,-1.29,-0.44,-0.9
4.38,4.35,10.65,0.67,-0.35,-0.7
1.82,8.02,5.57,-0.91,1.1,0.24
1.63,4.38,4.45,-1.45,0.74,0.12
1.31,5.91,5.86,0.06,0.45,-0.18
0.78,4.95,5.750000000000001,-0.51,0.09,-0.33
1.61,4.55,5.340000000000001,0.39,-0.22,-0.61
1.83,6.26,6.220000000000001,0.42,-0.14,-0.39
1.55,7.05,6.65,0.18,0.04,0.04
1.13,6.6,6.61,0.0,-0.01,0.41
7.02,4.64,-0.5,0.01,-0.09,0.0
6.72,4.81,-0.6099999999999994,-0.09,0.11,-0.02
6.93,5.05,-0.20999999999999908,0.08,-0.02,-0.03
6.87,5.0,-0.16000000000000014,-0.06,0.01,0.02
6.98,4.84,-0.05999999999999872,0.1,-0.05,-0.02
7.0,4.94,-0.1999999999999993,-0.09,-0.02,0.01
6.84,5.08,-0.35999999999999943,0.03,0.0,0.0
6.92,4.81,-0.2400000000000002,-0.04,0.01,0.04
6.87,4.93,-0.29999999999999893,0.04,-0.01,0.04
6.91,4.83,-0.3200000000000003,0.06,-0.04,0.02
7.04,5.12,-0.27999999999999936,-0.04,0.02,0.03
6.92,5.28,-0.3099999999999987,-0.14,0.0,0.05
7.36,4.86,-0.34999999999999964,0.01,-0.04,0.05
6.54,5.25,-0.7799999999999994,-0.31,0.04,0.14
7.5,4.14,-0.6899999999999995,-0.19,0.05,0.06
6.59,5.01,-0.6999999999999993,0.03,0.1,-0.04
7.47,4.41,-0.6099999999999994,0.05,-0.04,0.06
7.15,4.74,-0.5299999999999994,0.37,0.15,-0.07
7.04,4.94,-0.47999999999999865,0.0,0.01,0.09
7.24,4.95,-0.34999999999999964,0.3,0.0,0.0
7.77,4.99,-0.11999999999999922,0.49,-0.88,-0.6
7.06,4.28,0.22000000000000064,-0.36,-0.63,-0.13
7.06,4.42,0.5300000000000011,0.16,-0.69,-0.44
7.0,4.5,1.200000000000001,0.56,-0.37,-0.72
6.06,7.14,0.5899999999999999,0.34,-0.32,-0.51
6.83,8.19,0.6600000000000001,-0.03,-0.06,-0.38
5.91,6.57,0.3200000000000003,-0.15,0.13,0.02
6.26,7.06,0.030000000000001137,0.17,-0.05,0.16
6.0,5.59,0.21000000000000085,-0.31,0.29,0.14
5.84,6.06,0.21000000000000085,-0.09,-0.11,0.18
7.49,5.78,0.9700000000000006,-0.3,0.07,-0.03
6.56,6.69,0.41000000000000014,0.29,-0.21,0.12
6.85,5.37,0.5500000000000007,0.05,0.0,0.04
6.15,5.64,0.46000000000000085,-0.2,-0.06,0.18
6.78,5.98,0.33999999999999986,0.17,0.03,0.04
6.21,5.62,0.040000000000000924,-0.09,0.02,0.14
6.33,5.55,0.20000000000000107,0.13,-0.01,-0.05
6.11,5.47,0.0,-0.28,0.07,-0.01
6.09,5.58,-0.16000000000000014,0.09,-0.04,-0.06
6.56,5.41,0.02000000000000135,0.01,0.03,-0.05
6.37,6.11,-0.09999999999999964,-0.21,-0.43,-0.17
6.35,7.43,-0.4900000000000002,-0.24,-0.32,-0.35
5.61,5.24,-0.8399999999999999,-0.2,-0.47,0.0
5.72,6.19,-0.6699999999999999,-0.22,-0.16,-0.05
5.45,6.31,-0.9499999999999993,-0.38,0.25,-0.05
5.16,6.53,-0.6699999999999999,0.28,0.25,-0.14
5.44,7.28,-0.019999999999999574,0.03,0.21,-0.03
5.01,5.59,0.2599999999999998,-0.24,0.28,-0.09
4.86,6.34,0.11000000000000121,0.05,-0.07,-0.13
5.1,5.94,0.15000000000000036,-0.09,-0.11,-0.11
7.93,5.47,0.22000000000000064,0.35,-0.71,0.01
6.77,6.03,-0.07000000000000028,0.08,-0.19,-0.14
7.04,4.94,0.4299999999999997,0.08,-0.46,0.04
6.41,6.87,-0.07000000000000028,-0.23,-0.23,-0.1
6.29,5.41,-0.129999999999999,-0.01,-0.04,0.0
6.14,5.81,-0.3699999999999992,-0.18,0.09,-0.13
6.61,5.82,0.15000000000000036,0.02,0.16,-0.14
6.1,6.04,0.08999999999999986,-0.24,0.16,0.0
6.58,5.72,0.22000000000000064,0.1,0.03,0.0
5.86,5.47,0.27000000000000135,0.01,0.08,0.01
8.54,4.18,0.9100000000000001,0.31,-0.74,0.07
7.85,5.53,-0.29999999999999893,0.47,-0.56,0.12
7.88,3.91,-0.5499999999999989,-0.06,-0.45,0.3
7.58,4.71,-0.5800000000000001,0.07,-0.13,-0.01
7.71,3.53,0.23000000000000043,-0.23,0.11,0.18
6.8,4.8,-0.35999999999999943,-0.06,-0.13,-0.04
