acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.72,1.5,7.930000000000001,-0.55,0.4,-0.02
4.52,2.03,8.190000000000001,-0.35,0.2,0.01
4.2,0.58,7.920000000000001,0.34,0.0,0.13
4.72,1.08,7.710000000000001,0.28,-0.04,0.15
4.7,1.78,8.190000000000001,0.06,0.17,0.09
4.49,0.88,8.16,0.13,-0.1,0.0
4.84,1.75,7.5600000000000005,0.16,-0.16,-0.05
4.79,1.7,7.430000000000001,0.15,-0.06,-0.03
4.33,2.07,7.840000000000001,0.0,0.13,0.01
4.46,1.34,8.16,0.07,0.0,0.0
6.18,4.1,4.1000000000000005,-0.23,0.31,-0.39
5.14,4.65,4.0600000000000005,0.21,0.03,-0.17
6.3,3.74,3.6100000000000003,0.34,-0.19,-0.25
5.86,4.32,3.9300000000000006,-0.1,-0.37,0.04
6.88,4.3,4.010000000000001,0.0,-0.4,0.1
7.02,4.64,4.930000000000001,-0.12,-0.06,-0.08
5.32,4.05,5.710000000000001,0.19,0.01,-0.08
6.07,4.09,4.960000000000001,0.44,0.09,0.13
5.92,3.75,5.4,-0.2,0.12,0.28
5.72,3.82,5.470000000000001,-0.01,-0.15,0.11
4.83,2.23,7.25,-0.7,0.37,0.39
4.75,2.1,6.720000000000001,-0.25,0.02,0.38
5.08,3.11,5.84,0.34,-0.19,0.31
5.03,2.68,5.870000000000001,0.24,0.0,0.12
5.75,3.02,6.040000000000001,0.35,-0.12,0.12
5.67,3.73,6.2700000000000005,0.08,-0.05,0.08
5.77,2.32,6.49,-0.49,0.0,0.04
5.93,3.43,6.630000000000001,-0.47,-0.04,-0.1
5.86,3.16,6.25,-0.27,-0.07,-0.01
5.8,2.49,5.92,0.0,-0.03,0.04
5.96,4.46,4.28,0.56,0.23,0.6
6.66,3.82,3.9700000000000006,0.39,-0.02,0.31
6.48,3.57,4.390000000000001,0.21,0.06,0.15
6.6,4.26,4.5200000000000005,0.05,0.0,0.01
6.33,3.26,4.4,0.29,-0.05,0.25
6.62,3.53,4.260000000000001,0.33,-0.01,0.47
7.7,2.36,4.08,-0.14,-0.25,0.63
7.83,3.23,5.23,-0.4,0.04,0.06
6.56,3.06,5.260000000000001,-0.06,-0.32,0.11
7.13,2.67,4.430000000000001,0.08,-0.24,0.04
6.76,3.92,4.9,0.28,-0.11,0.27
6.47,2.71,4.74,-0.14,0.07,0.17
6.48,2.56,4.670000000000001,0.41,-0.05,0.15
6.85,3.04,4.69,0.23,0.03,0.02
6.79,3.23,4.61,0.04,0.0,0.0
6.84,3.23,4.630000000000001,0.05,0.03,0.05
6.75,2.99,4.6000000000000005,-0.01,-0.03,-0.01
6.86,3.27,5.12,-0.23,0.03,0.01
6.98,2.95,4.890000000000001,-0.09,-0.15,-0.01
7.02,2.9,4.220000000000001,-0.1,-0.09,0.0
6.58,3.59,4.290000000000001,0.28,-0.14,0.17
6.65,2.22,4.210000000000001,0.22,0.09,0.25
5.84,4.88,5.300000000000001,-0.14,0.21,-0.02
6.12,4.22,5.180000000000001,0.14,-0.17,0.04
6.39,3.62,4.6000000000000005,0.05,-0.19,0.06
6.37,3.61,4.260000000000001,0.13,-0.2,0.03
6.7,3.63,4.1000000000000005,0.06,0.0,0.01
6.68,3.78,4.41,0.06,-0.04,0.02
6.75,3.63,4.45,0.04,-0.07,0.05
6.67,3.99,4.53,-0.08,-0.09,0.05
3.71,-0.51,8.950000000000001,2.23,-1.15,1.49
6.46,3.22,5.750000000000001,2.64,-1.68,1.24
7.02,0.96,5.8100000000000005,2.07,-1.51,0.61
6.87,1.75,4.670000000000001,1.18,-1.55,0.42
8.74,2.63,4.340000000000001,1.79,-1.33,0.01
9.03,1.4,5.340000000000001,0.47,-0.69,0.29
9.39,3.75,4.220000000000001,-0.09,-0.29,-0.2
9.21,3.35,4.5600000000000005,-0.33,-0.06,-0.09
7.78,3.57,3.9700000000000006,-0.64,-0.05,0.08
7.43,3.38,3.4800000000000004,0.1,-0.09,0.06
9.05,2.39,5.0600000000000005,1.54,-1.37,-0.36
9.77,3.52,4.37,1.19,-1.15,-0.23
9.49,5.17,4.510000000000001,1.02,0.17,0.43
7.82,4.13,4.680000000000001,-0.55,0.25,0.6
