acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2.7,6.99,2.7,-0.08,0.04,0.09
2.81,6.97,2.9400000000000004,-0.17,0.0,0.16
2.97,7.11,2.9800000000000004,0.02,0.12,0.08
2.97,7.03,2.960000000000001,-0.01,0.08,0.06
3.15,7.17,2.9800000000000004,0.01,0.08,0.1
3.02,7.17,3.1400000000000006,-0.02,0.07,0.12
3.05,6.82,3.08,-0.01,-0.03,0.13
3.01,6.83,3.12,0.03,0.01,0.0
2.91,7.17,3.0100000000000007,0.0,-0.02,0.1
3.15,6.77,2.9300000000000006,-0.02,0.07,0.0
7.43,7.44,1.0099999999999998,1.18,-0.9,-0.48
8.0,6.37,1.17,0.13,-0.73,-0.64
6.31,8.82,0.9700000000000006,0.75,-0.63,-0.11
6.63,7.53,1.1900000000000013,-0.32,-0.68,0.15
5.25,8.04,1.6300000000000008,-0.35,-0.4,0.46
5.18,6.49,1.17,-0.51,-0.5,0.51
4.78,6.47,0.45000000000000107,-0.37,-0.24,0.17
4.78,6.35,0.07000000000000028,-0.55,-0.39,0.38
5.36,6.25,0.0,-0.44,-0.08,0.13
4.92,6.21,0.120000000000001,-0.48,-0.05,0.36
5.94,6.96,3.710000000000001,0.03,-0.25,-0.21
5.53,7.27,3.8400000000000007,-0.24,-0.15,0.0
4.7,6.61,2.9700000000000006,-0.59,-0.24,0.0
4.16,6.58,2.6800000000000006,-0.29,-0.34,-0.09
3.87,6.54,2.2200000000000006,0.13,-0.36,-0.1
3.98,6.82,2.000000000000001,-0.16,-0.27,-0.07
4.02,6.51,2.0900000000000007,0.0,-0.17,0.0
4.31,6.48,2.3400000000000007,-0.06,-0.08,-0.05
4.09,6.72,2.420000000000001,0.05,-0.03,-0.05
4.38,6.78,2.5200000000000005,0.01,-0.01,-0.01
3.98,6.68,2.0100000000000007,0.03,-0.05,0.16
4.47,6.47,2.1500000000000004,0.08,0.07,0.0
4.19,6.57,2.2600000000000007,0.34,0.05,0.03
4.69,6.66,2.3900000000000006,-0.07,0.08,0.0
4.13,6.03,2.250000000000001,0.28,0.05,0.04
4.39,6.83,2.08,0.22,-0.1,0.0
4.21,6.77,1.9000000000000004,0.49,-0.07,-0.15
4.32,7.56,1.5899999999999999,0.2,-0.1,-0.03
4.33,7.02,1.4700000000000006,-0.03,0.02,-0.03
4.2,7.23,1.5099999999999998,-0.23,0.03,0.11
4.02,7.89,0.5,-0.21,-0.21,0.09
3.91,6.95,0.9900000000000002,-0.18,0.05,-0.07
3.53,7.42,0.7100000000000009,-0.07,-0.09,0.07
3.94,7.06,1.08,-0.13,0.0,-0.03
3.44,7.55,1.0300000000000011,0.02,0.08,0.01
3.58,7.47,1.2700000000000014,-0.24,0.04,0.04
3.58,7.19,1.4100000000000001,-0.13,0.14,0.06
3.54,7.24,1.3499999999999996,-0.12,0.0,0.04
3.64,7.06,1.2100000000000009,0.03,0.01,0.02
3.53,7.44,1.0099999999999998,0.01,-0.01,0.05
7.72,6.32,2.9300000000000006,0.27,-0.72,-0.29
6.76,7.58,3.7200000000000006,0.15,-0.32,0.03
6.23,6.91,3.2300000000000004,-0.93,-0.07,0.25
5.37,5.47,2.5900000000000007,-0.31,-0.15,0.19
5.02,5.49,2.3500000000000005,-0.19,-0.36,-0.02
5.16,5.56,2.3200000000000003,0.16,-0.18,-0.13
5.14,6.05,2.2700000000000005,-0.2,-0.05,-0.04
5.41,5.84,2.58,-0.07,0.17,-0.06
5.03,6.19,2.5500000000000007,-0.05,0.19,0.0
5.07,5.65,2.8100000000000005,0.04,0.15,0.03
0.7,0.3,8.27,3.52,-0.61,1.04
3.08,2.95,6.790000000000001,2.99,-0.8,0.37
4.92,3.03,7.450000000000001,2.05,-0.84,0.17
5.13,3.14,5.470000000000001,2.3,-1.21,-0.76
6.24,5.97,6.16,1.2,-1.25,-0.5
6.49,5.05,4.130000000000001,0.38,-1.31,-0.85
