acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.31,-2.59,9.88,0.05,-0.02,0.04
-0.31,-2.61,10.030000000000001,-0.07,0.0,0.02
-0.29,-2.83,9.91,-0.01,0.0,0.03
-0.28,-2.59,9.780000000000001,0.08,-0.02,0.0
-0.34,-2.62,9.950000000000001,-0.04,0.01,0.01
-0.25,-2.71,9.690000000000001,0.07,-0.01,0.0
-0.27,-2.51,9.85,-0.05,0.05,0.0
-0.27,-2.74,9.9,-0.01,0.02,-0.01
-0.23,-2.42,9.93,0.0,-0.01,-0.02
-0.32,-2.4,9.940000000000001,0.05,-0.01,-0.02
0.41,-3.4,9.89,0.0,-0.04,0.01
0.37,-3.68,9.74,-0.01,0.02,0.03
0.37,-3.39,9.72,0.01,-0.01,0.02
0.31,-3.48,9.59,0.0,0.0,0.04
0.32,-3.48,9.6,0.06,-0.03,0.07
0.23,-3.52,9.84,0.15,0.0,0.05
-0.16,-3.07,9.96,0.19,-0.11,0.19
0.13,-3.74,9.21,0.66,-0.24,0.22
-0.68,-2.16,9.93,0.93,-0.32,0.55
0.26,-1.75,9.540000000000001,0.75,-0.61,0.67
0.65,-2.89,6.36,-0.2,-0.01,0.0
0.11,-3.97,8.43,-0.54,0.37,0.2
-0.41,-5.6,10.58,-0.34,0.2,0.29
-0.05,-4.9,10.14,0.02,-0.11,0.19
0.15,-5.42,9.790000000000001,0.0,-0.02,0.22
0.12,-5.29,9.780000000000001,-0.06,0.13,0.06
0.06,-4.79,9.690000000000001,0.22,-0.01,-0.03
0.02,-4.34,9.38,0.21,-0.09,-0.06
0.32,-3.53,9.620000000000001,0.16,0.0,0.0
0.29,-3.89,9.8,0.06,0.04,-0.02
0.3,-3.84,9.65,0.2,-0.02,0.1
0.4,-4.19,9.56,0.0,-0.06,0.11
0.47,-4.11,9.700000000000001,0.0,-0.02,0.07
0.47,-4.02,9.6,0.0,-0.03,0.02
0.34,-3.92,9.75,0.07,0.02,-0.02
0.32,-3.81,9.68,0.0,-0.04,0.0
0.51,-3.94,9.43,0.03,0.0,0.0
0.35,-3.61,9.67,0.03,0.01,-0.02
0.3,-3.76,9.360000000000001,0.06,-0.02,-0.01
0.32,-3.71,9.64,0.0,0.06,0.0
-7.77,-1.34,12.42,0.63,0.65,-1.67
-1.05,-6.51,6.260000000000001,-0.07,-0.85,0.25
-0.19,-5.81,6.17,0.4,-0.04,-0.42
0.05,-4.17,8.77,-0.04,-0.17,0.29
0.09,-5.4,9.520000000000001,0.11,-0.23,0.21
0.5,-5.86,9.06,-0.3,-0.18,0.15
0.78,-5.85,7.9,0.27,-0.36,0.17
0.97,-6.31,8.27,-0.06,-0.05,0.16
0.99,-5.79,9.02,0.15,0.02,0.17
0.75,-6.33,8.55,0.18,-0.01,-0.03
0.64,-4.39,9.43,0.01,0.03,-0.08
0.77,-4.25,9.48,0.07,0.03,0.0
0.5,-4.49,9.3,-0.06,0.03,-0.03
0.67,-4.4,9.68,0.05,0.02,0.01
0.59,-4.66,9.120000000000001,0.0,0.01,-0.04
0.59,-4.09,9.55,-0.01,0.04,0.01
0.46,-4.55,9.51,-0.16,0.0,0.04
0.49,-4.8,9.49,-0.21,0.01,0.04
0.25,-4.86,9.32,0.05,-0.02,0.05
