acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-18.81,-1.02,19.560000000000002,-3.59,4.38,-4.36
-9.78,-7.98,7.800000000000001,-0.31,-1.79,1.98
-1.23,-4.07,3.5200000000000005,0.47,-1.73,0.93
0.66,-5.26,6.3500000000000005,-0.51,1.6,-0.53
-3.13,-1.4,11.47,-0.4,0.57,0.1
-0.92,-4.61,11.030000000000001,-0.06,-0.41,0.13
-1.08,-2.23,9.6,0.28,-0.16,0.12
-0.64,-3.15,10.07,-0.27,0.16,-0.14
-1.04,-2.34,10.540000000000001,0.02,-0.09,-0.03
-0.36,-2.17,10.040000000000001,-0.14,-0.14,-0.28
-18.81,5.79,2.670000000000001,-2.42,2.6,-4.36
-8.1,-3.68,5.8100000000000005,1.67,-0.19,1.89
-5.94,-3.74,7.8100000000000005,-1.04,-1.13,0.77
-0.94,-6.59,8.0,0.22,1.07,0.03
-4.5,-3.0,12.57,-0.47,-0.18,0.06
-1.88,-5.39,9.96,0.44,-0.05,0.38
-1.77,-4.05,9.770000000000001,-0.4,-0.21,-0.06
-1.38,-3.58,9.56,0.15,-0.05,0.1
-1.46,-2.34,9.49,0.16,-0.14,0.03
-1.35,-3.56,9.24,-0.01,-0.17,-0.01
-18.81,1.81,15.07,-4.31,4.38,-4.36
-10.58,5.07,7.09,1.35,0.16,0.22
-7.3,4.23,9.38,2.33,-0.23,3.6
1.94,-9.37,8.21,-2.35,0.05,-0.78
-3.29,-3.73,13.74,0.34,0.85,0.66
-2.19,-3.0,11.51,-0.42,-0.29,0.16
-1.57,-3.27,10.22,-0.07,0.09,0.26
-1.24,-3.18,10.360000000000001,-0.12,0.05,0.08
-0.88,-3.27,9.610000000000001,-0.18,-0.07,0.0
-0.78,-2.18,9.440000000000001,0.17,-0.09,0.08
-18.81,-4.04,14.620000000000001,-4.31,2.94,-4.36
-11.99,7.77,9.190000000000001,2.46,-0.15,0.71
-4.44,-10.12,5.540000000000001,-0.8,-0.89,0.98
-1.56,-4.66,9.290000000000001,0.67,0.81,0.17
-3.27,-0.77,10.1,-0.32,-0.18,0.25
-2.12,-2.78,11.49,0.37,0.15,0.29
-1.29,-2.67,9.93,0.02,-0.16,0.02
-1.29,-1.9,10.0,0.0,-0.11,0.19
-0.82,-2.55,9.610000000000001,0.07,-0.22,0.13
-1.05,-0.53,9.57,0.14,-0.06,-0.05
-18.81,-8.62,14.920000000000002,-3.41,2.9,-4.36
-8.87,1.97,11.83,3.94,0.02,1.17
-3.14,-6.93,6.5,-2.26,-1.19,0.29
0.35,-4.04,10.020000000000001,1.02,0.81,0.29
-1.51,-3.34,11.3,-0.22,-0.08,0.23
-0.59,-3.88,10.15,-0.24,-0.17,0.23
-0.04,-1.98,9.73,0.24,-0.05,-0.08
-0.22,-2.1,9.9,-0.02,0.16,0.06
-0.56,-1.8,9.71,0.01,-0.11,0.13
0.34,-2.27,8.850000000000001,0.02,0.02,0.07
-18.81,-3.04,4.220000000000001,-2.98,2.45,-4.36
-13.97,-1.86,3.5200000000000005,-1.04,1.5,-3.18
-6.76,5.09,8.0,4.41,0.43,2.68
-2.32,-7.67,9.41,-2.22,0.12,0.87
-2.86,-4.68,15.34,0.4,0.06,0.57
-1.49,-1.54,11.31,0.1,-0.33,0.47
-2.28,-4.03,10.25,-0.99,-0.38,0.37
-0.92,-2.74,9.290000000000001,0.67,-0.28,0.1
-1.28,-0.58,8.100000000000001,-0.85,-0.17,0.03
-0.78,-3.42,9.120000000000001,0.0,-0.21,0.35
-18.81,1.09,-1.629999999999999,2.58,1.52,-4.36
-12.31,16.3,8.99,-2.79,0.81,-2.34
2.75,-3.21,6.17,1.33,-0.88,1.94
0.86,-2.63,6.48,-0.38,0.69,-0.86
-4.93,-1.6,13.46,-0.1,0.86,0.86
-0.83,-5.25,12.530000000000001,0.33,0.0,0.23
-1.09,-1.95,11.43,-0.23,0.02,0.07
-1.26,-1.08,11.72,-0.46,-0.15,0.12
0.1,-3.03,10.17,0.18,-0.25,0.27
-0.23,-2.33,9.35,-0.61,-0.23,-0.17
-18.81,-8.52,7.2700000000000005,-2.12,3.17,-4.36
-4.14,-14.56,3.2800000000000002,0.99,-1.69,3.63
-0.9,-7.84,9.89,-0.44,-0.88,-0.02
0.06,-5.67,7.3500000000000005,-0.36,0.75,0.07
-4.43,-1.86,10.59,0.19,-0.35,0.08
-0.18,-5.0,11.190000000000001,0.25,0.47,-0.12
-1.71,-3.59,9.92,-0.09,-0.18,-0.06
-0.72,-1.81,9.5,0.01,-0.06,0.0
-1.28,-2.92,10.22,0.44,-0.02,0.23
-0.96,-1.76,9.84,0.05,-0.12,-0.04
-18.81,6.43,19.72,-3.83,1.76,-4.36
-1.74,-20.44,7.75,2.1,-1.25,3.42
2.19,11.01,10.07,0.21,-0.54,-1.72
-2.18,-2.93,8.51,0.63,0.82,0.17
-2.52,-3.04,9.99,-0.06,-0.06,-0.22
-2.09,-2.51,10.610000000000001,-0.32,0.01,-0.01
-2.04,-3.06,12.100000000000001,0.17,0.08,0.22
-1.43,-2.58,9.450000000000001,-0.24,-0.16,0.16
-1.31,-3.01,10.51,0.27,-0.13,0.2
-1.79,-1.84,9.72,-0.22,-0.22,0.2
-18.81,-2.84,5.16,-2.36,3.45,-4.36
-10.66,5.0,4.710000000000001,1.72,-0.01,-1.64
-4.34,-6.44,9.950000000000001,1.08,0.34,1.16
-1.07,-6.95,11.23,-0.99,0.8,-0.32
-4.5,0.69,12.870000000000001,0.66,0.05,0.24
-1.45,-2.65,11.100000000000001,-0.32,-0.09,0.22
-1.2,-2.76,11.16,0.28,-0.04,0.22
-0.83,-1.95,9.17,-0.17,-0.25,-0.03
-0.91,-0.99,9.07,-0.03,0.0,0.13
-0.91,-2.77,8.850000000000001,-0.08,0.07,0.02
-18.81,-11.49,14.120000000000001,-4.31,4.38,-4.36
-5.78,0.75,2.0200000000000005,3.41,-1.63,2.48
-4.12,-6.59,8.68,-1.71,0.39,0.84
0.91,-5.46,11.76,1.44,0.77,0.54
-1.76,-3.73,10.97,-1.19,0.12,-0.08
-1.99,-3.91,13.15,0.17,0.35,0.22
-1.33,-3.58,10.97,-0.13,-0.29,-0.07
-1.56,-2.22,10.040000000000001,0.11,-0.04,0.02
-1.09,-3.05,9.620000000000001,-0.02,-0.2,-0.01
-0.36,-2.37,10.14,-0.06,-0.02,0.01
-18.81,-5.23,4.82,-4.31,-0.07,-4.36
-9.27,1.88,1.700000000000001,-0.09,-1.11,1.61
-5.52,-9.55,7.74,1.78,-0.14,1.87
-1.61,-7.9,9.48,-0.38,0.5,-0.14
-3.14,-3.6,11.540000000000001,0.26,0.0,0.52
-1.6,-5.21,9.64,-0.46,-0.24,-0.25
-2.72,-1.25,10.76,0.08,-0.08,0.0
-0.79,-3.09,8.77,-0.11,-0.41,-0.07
-0.95,-2.65,8.780000000000001,0.16,-0.09,0.09
-0.82,-2.24,10.01,-0.15,0.07,-0.18
-18.81,-8.81,14.350000000000001,-4.31,2.2,-4.36
-2.81,1.37,-0.34999999999999964,4.41,-0.25,4.36
