acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-20.43,-3.11,3.6900000000000004,-4.29,2.33,-0.59
-20.43,-13.87,20.04,0.76,1.38,-2.4
2.54,-0.11,-0.16999999999999993,2.07,-1.82,0.24
-9.69,-9.92,11.72,4.43,0.29,0.13
-14.34,1.17,15.65,4.43,-2.45,2.16
-6.57,6.92,5.950000000000001,4.43,-2.86,2.28
1.45,5.51,6.94,3.9,-0.63,3.02
9.38,-1.28,1.3600000000000012,1.91,-1.94,1.81
14.78,-5.98,2.420000000000001,0.72,-1.22,0.42
17.15,-2.83,0.370000000000001,0.6,-2.06,-1.06
-20.43,-9.22,6.960000000000001,-1.97,-1.66,-0.29
-20.43,-10.62,11.780000000000001,0.4,1.76,-1.68
-14.07,-4.4,4.640000000000001,4.43,-0.82,-0.09
-13.94,-1.25,12.13,2.26,-1.21,1.24
-10.59,3.5,9.440000000000001,4.29,-0.27,0.87
-2.57,0.82,8.26,3.98,0.03,1.92
5.79,5.85,5.74,3.35,0.12,1.6
12.69,4.72,2.91,2.55,-0.75,0.87
12.58,3.39,2.2600000000000007,-0.3,-1.77,0.68
14.75,0.82,5.720000000000001,-0.54,-1.62,-0.75
-20.43,-7.39,3.6900000000000004,-2.17,-1.38,-1.43
-20.38,-6.97,13.440000000000001,-1.67,1.25,-0.68
-10.39,-8.55,3.37,2.65,-0.29,-1.27
-7.82,-5.54,11.81,3.35,-1.0,1.22
-10.48,-4.95,7.66,4.43,-1.17,1.55
-5.48,2.57,8.83,4.43,-0.19,1.93
1.06,5.05,5.050000000000001,4.43,-0.04,1.52
6.42,3.95,3.9800000000000004,3.29,-0.78,1.46
10.68,5.99,1.67,1.1,-1.77,0.96
12.19,3.79,1.3800000000000008,-1.35,-1.84,-0.51
-18.93,-9.14,5.050000000000001,-2.34,-0.88,-0.81
-8.24,-12.6,13.5,-2.18,1.08,-1.22
-10.61,-9.13,3.960000000000001,2.24,0.03,-0.77
-3.78,-8.85,9.68,2.06,-0.77,0.81
-9.4,-6.74,6.07,4.43,-0.63,1.01
-6.71,-0.71,10.77,4.43,0.02,1.62
1.04,5.46,3.7700000000000005,4.43,0.23,1.13
4.16,7.09,3.5600000000000005,4.32,-0.03,1.24
9.54,7.45,1.6600000000000001,0.82,-1.13,1.43
11.13,5.29,2.710000000000001,-0.61,-1.32,0.03
-20.43,-9.01,5.98,-3.68,-1.37,-1.08
-18.78,4.57,13.88,-4.29,0.43,-0.44
-15.59,-9.58,2.33,2.98,-0.04,-1.55
-8.47,-4.23,10.270000000000001,3.51,-1.63,1.14
-12.47,-9.34,7.0,4.43,-0.94,1.46
-1.89,5.3,8.09,4.43,-0.62,2.05
3.01,3.84,5.040000000000001,4.43,-0.42,1.3
10.28,5.97,2.5600000000000005,3.0,-0.77,1.5
14.55,5.38,4.65,1.05,-1.22,0.37
13.22,5.14,2.920000000000001,-0.17,-1.2,-0.4
-20.43,-7.26,1.8000000000000007,-2.94,-1.84,-0.52
-9.63,-3.29,15.56,-4.29,1.67,-1.93
-11.17,-8.18,3.5900000000000007,3.32,-0.68,-0.46
-7.41,-7.42,11.23,2.42,-1.31,0.73
-13.67,-7.36,8.540000000000001,4.43,-1.35,1.38
-7.15,2.54,9.23,4.43,-0.41,1.9
0.08,4.63,6.24,4.03,-0.5,1.4
7.75,4.71,5.73,3.5,0.11,1.42
10.09,5.28,2.33,2.69,-0.64,0.72
10.95,4.12,4.66,1.09,-0.43,0.14
-20.09,-7.83,7.430000000000001,-3.28,-0.52,-1.14
-14.92,-8.1,9.5,-2.83,0.53,-0.37
-7.24,-11.08,3.5600000000000005,1.77,-0.35,-0.87
-4.39,-7.87,10.23,1.95,-1.1,0.76
-9.07,-8.69,7.41,4.43,-0.73,1.18
-6.3,1.98,9.91,4.43,-0.35,1.42
-0.98,3.53,7.710000000000001,4.43,-0.1,1.18
5.41,6.52,3.41,4.43,-0.46,1.08
7.27,5.37,3.880000000000001,2.93,-0.82,1.35
12.02,7.61,1.7200000000000006,-0.02,-1.09,0.16
-20.43,-4.51,6.84,-3.62,-1.38,-0.36
-14.15,-12.97,14.34,-2.08,2.27,-0.49
-10.38,-7.15,5.23,1.26,-0.71,-0.93
-5.64,-4.51,6.83,3.3,-1.27,0.17
-9.67,-2.84,8.76,4.43,-0.5,0.99
-9.35,-1.61,8.16,4.43,-0.32,1.54
-2.56,2.92,6.9,4.43,0.15,1.19
0.6,3.16,5.710000000000001,3.98,0.68,0.85
8.08,8.81,3.0700000000000003,2.12,-0.56,0.79
8.32,6.24,6.32,1.93,-0.15,0.75
-17.92,-1.94,6.380000000000001,-3.27,-0.88,0.05
-11.12,-6.24,10.74,-1.2,2.18,-0.58
-5.25,-9.98,6.880000000000001,-0.74,1.18,-0.93
-5.18,-5.11,7.390000000000001,1.46,-0.59,-0.01
-3.31,-8.19,9.98,2.89,-0.18,0.86
-7.81,-4.83,8.860000000000001,4.43,-0.51,0.97
-5.64,2.58,7.390000000000001,4.43,-0.75,1.14
-5.09,3.06,8.200000000000001,4.43,0.43,1.26
2.24,8.64,2.58,3.22,0.22,1.49
6.22,6.45,6.0,0.6,0.09,1.17
-20.43,-1.64,5.73,-3.28,-3.2,0.17
3.26,6.6,20.04,-3.15,1.88,0.59
-11.06,-9.85,3.9000000000000004,4.3,-0.96,-0.15
-6.72,-7.6,11.24,2.74,-1.5,1.46
-10.66,-3.94,8.200000000000001,4.43,-1.49,1.53
-1.97,1.4,6.760000000000001,4.43,-0.63,1.3
2.85,4.74,6.17,4.43,0.26,0.94
5.6,4.78,4.710000000000001,3.27,0.27,0.46
7.66,5.72,3.4000000000000004,1.01,-0.8,0.37
8.81,7.57,6.5200000000000005,0.19,-0.6,-0.28
-20.43,-2.71,2.9700000000000006,-34.8,-34.89,-9.63
-20.43,-21.15,-16.369999999999997,-4.29,-0.97,4.38
-3.77,-7.52,7.69,2.41,-1.83,0.76
-11.04,-10.42,9.14,4.43,-0.76,1.02
-8.34,1.49,8.46,4.43,-0.64,1.49
-2.5,-2.23,7.130000000000001,4.43,-0.15,1.8
