acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
7.36,3.36,3.000000000000001,-0.02,0.02,0.05
7.13,4.0,3.2200000000000006,-0.1,0.0,0.07
7.17,3.36,3.000000000000001,0.01,0.0,0.09
6.86,3.35,3.5500000000000007,-0.07,0.07,0.05
7.16,3.34,3.5500000000000007,-0.02,-0.09,-0.04
7.29,3.57,3.540000000000001,-0.07,-0.05,-0.03
7.23,3.59,3.6000000000000005,-0.11,-0.13,-0.01
7.4,3.53,3.290000000000001,-0.14,-0.08,-0.06
7.37,3.32,3.12,-0.09,-0.13,-0.02
7.52,3.55,2.87,-0.09,-0.02,-0.06
7.16,3.68,3.6400000000000006,0.02,0.01,0.06
7.19,3.35,3.5300000000000002,-0.01,0.03,0.0
7.14,3.22,3.3600000000000003,-0.25,0.1,-0.07
7.29,3.33,3.6900000000000004,-0.15,0.05,-0.03
6.84,3.65,4.11,-0.1,0.05,-0.04
7.13,3.38,3.8900000000000006,-0.01,-0.07,-0.11
7.26,3.74,3.670000000000001,0.04,-0.02,0.02
7.12,3.39,3.8000000000000007,0.01,0.03,0.0
6.96,3.61,3.8200000000000003,0.06,-0.02,0.02
7.08,3.66,3.5900000000000007,0.0,0.02,0.06
6.13,4.9,3.5700000000000003,-0.26,-0.32,-0.63
5.82,4.97,3.0700000000000003,-0.47,-0.18,-0.47
5.35,3.81,3.130000000000001,-0.32,-0.12,-0.74
5.67,4.52,3.210000000000001,-0.39,0.03,-0.65
5.29,5.53,3.3900000000000006,-0.33,0.08,-0.76
3.92,4.39,5.040000000000001,-0.69,0.46,-0.77
4.08,6.21,5.140000000000001,-0.28,0.31,-0.92
2.99,5.69,4.960000000000001,-0.37,-0.1,-0.89
3.66,5.82,4.040000000000001,0.31,-0.3,-1.08
3.85,6.26,3.3600000000000003,0.06,-0.26,-0.97
5.11,0.87,5.960000000000001,3.56,-0.43,1.45
9.57,3.34,3.1000000000000005,2.64,-1.03,0.7
11.15,3.3,4.41,2.77,-1.09,0.25
11.33,5.64,1.7200000000000006,1.77,-0.97,-1.05
12.04,6.75,2.7300000000000004,0.82,-1.02,-0.92
9.09,5.53,1.5899999999999999,0.66,-0.63,-0.34
8.28,5.41,2.500000000000001,-0.16,-0.08,0.12
5.5,7.3,2.45,-0.81,0.14,0.25
4.34,4.92,2.040000000000001,-0.86,-0.13,0.1
4.49,6.63,1.9100000000000001,0.25,-0.3,0.06
4.55,6.28,3.83,0.06,0.08,0.03
4.62,6.77,3.8500000000000005,-0.01,0.16,0.19
4.61,5.81,4.000000000000001,-0.17,0.2,0.23
4.28,5.99,3.87,-0.23,0.19,0.1
4.4,5.54,4.0200000000000005,-0.04,0.16,0.12
4.67,5.78,4.010000000000001,-0.02,0.07,0.13
4.93,5.32,4.140000000000001,-0.04,0.04,0.0
4.52,5.57,4.19,0.01,0.02,0.03
4.82,5.44,3.9800000000000004,0.16,0.12,0.0
4.87,6.36,3.95,-0.08,0.16,-0.05
4.29,6.0,4.170000000000001,-0.05,0.03,-0.02
4.34,5.91,4.16,-0.07,-0.02,0.02
4.35,5.83,4.11,0.03,-0.04,-0.02
