acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
19.61,7.63,4.48,-1.57,0.94,-1.81
19.61,7.47,4.36,-1.85,1.11,-1.97
19.23,7.01,3.57,-2.09,1.19,-2.15
18.96,6.13,2.58,-2.32,0.97,-2.23
18.08,5.87,2.68,-2.45,0.97,-2.41
16.95,5.09,4.04,-2.26,1.34,-2.64
15.00,4.45,4.82,-1.95,1.99,-2.81
12.47,3.93,4.74,-1.40,2.47,-2.89
8.71,3.35,4.75,-0.91,2.78,-3.15
3.50,0.36,3.30,-0.52,2.90,-2.89
-1.04,-0.36,2.49,-0.19,2.58,-2.55
-4.89,-0.93,0.58,-0.19,1.63,-2.57
-10.42,-2.89,0.80,-0.16,0.34,-2.57
-12.05,-5.43,-2.83,-0.15,-0.88,-2.28
-14.51,-6.81,-3.03,-0.44,-1.21,-1.63
-16.16,-5.63,-5.03,-0.73,-0.51,-1.48
-17.56,-6.73,-1.28,-0.62,1.09,-1.82
-19.23,-8.10,-4.03,-0.39,2.16,-2.36
-19.61,-3.51,9.06,0.57,4.37,-3.20
-19.61,-5.19,3.73,2.72,4.37,-3.54
-19.61,0.45,0.50,3.86,4.37,-3.15
-19.61,8.33,2.36,4.01,4.24,-2.21
-19.61,14.91,7.47,2.86,3.31,-1.11
-15.16,19.61,12.05,1.34,2.51,-0.91
-4.90,19.61,16.30,0.53,1.29,-0.20
-19.61,19.61,14.40,0.35,-0.04,-0.34
-9.36,-4.63,14.33,0.08,-1.40,0.94
-15.01,9.02,12.67,-0.16,-1.65,1.01
-8.19,5.02,8.19,0.82,-1.42,1.61
-9.77,3.85,2.49,0.38,-1.72,1.61
-9.92,2.87,1.67,0.33,-1.74,2.21
-9.97,4.29,5.76,-0.18,-1.40,2.40
-7.42,4.90,6.00,0.14,-0.71,2.18
-9.36,3.32,4.96,0.59,-0.54,1.93
-11.37,2.40,4.82,1.57,-0.23,1.82
-13.87,1.43,3.43,2.24,0.04,1.92
-14.48,3.11,0.86,2.21,0.17,2.47
-13.48,4.92,0.52,1.78,-0.09,2.84
-13.92,6.17,-0.38,1.22,-0.22,2.95
-11.48,5.01,-0.55,0.50,-0.33,3.14
11.02,8.08,8.04,-0.59,-0.14,-0.37
11.30,6.74,7.24,-0.73,-0.27,-0.08
11.57,5.31,6.45,-0.65,-0.46,0.19
9.92,4.07,6.65,-0.46,-0.68,0.44
9.67,4.02,6.88,-0.21,-0.70,0.57
9.39,4.99,7.27,-0.01,-0.61,0.49
9.91,6.21,7.80,0.08,-0.43,0.24
9.54,6.88,7.22,0.03,-0.30,-0.03
9.02,6.84,7.29,-0.05,-0.20,-0.20
8.13,6.65,6.93,-0.09,-0.10,-0.23
7.27,6.44,6.29,-0.11,-0.14,-0.11
6.52,6.27,5.72,-0.09,-0.25,0.05
6.55,6.18,4.76,-0.08,-0.38,0.27
6.36,6.42,4.64,-0.12,-0.51,0.37
6.47,6.36,4.92,-0.13,-0.51,0.43
6.15,6.31,5.37,-0.03,-0.38,0.45
6.08,6.35,5.26,0.07,-0.23,0.46
5.77,6.39,5.22,0.17,-0.10,0.43
5.43,6.48,4.99,0.26,-0.01,0.41
5.09,6.45,4.72,0.35,-0.00,0.41
18.23,6.83,2.37,-1.64,1.27,-1.17
