acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
19.61,5.38,2.55,-0.31,0.99,-1.74
17.85,5.22,1.68,-0.66,1.07,-2.09
16.37,5.63,1.75,-0.97,1.23,-2.59
13.60,5.05,0.54,-1.17,1.27,-3.27
9.36,3.96,1.90,-1.20,1.40,-4.02
3.23,1.64,0.30,-1.11,1.07,-4.31
0.82,2.73,3.42,-0.81,1.14,-4.37
-4.56,0.62,-0.32,-0.76,0.55,-4.37
-9.88,-0.74,-1.22,-0.95,-0.20,-4.37
-13.29,-1.63,-1.41,-1.11,-0.58,-4.35
-18.21,-3.34,-4.04,-1.21,-0.78,-3.71
-19.61,-4.73,-4.73,-1.59,-0.30,-3.15
-19.61,-3.85,-6.75,-1.74,0.06,-3.55
-19.61,-4.11,0.28,-1.39,1.31,-4.37
-19.61,-5.56,-1.41,0.56,2.75,-4.37
-19.61,-8.39,-4.56,2.86,2.32,-4.37
-19.61,-3.68,-9.32,4.37,0.62,-4.37
-19.61,7.55,-9.94,4.37,-0.36,-3.30
-13.13,19.61,5.43,4.37,-0.11,-1.52
-19.61,19.61,19.61,3.24,0.70,-0.45
-1.48,19.61,4.35,1.90,0.45,2.00
-3.57,15.31,-8.06,-0.24,0.59,2.16
-5.38,10.93,-4.36,-1.91,-0.39,2.45
-4.66,10.08,6.67,-2.72,0.53,1.19
-3.69,6.77,0.37,-3.68,-0.35,-0.02
-6.08,2.48,-0.45,-3.80,-0.83,-0.40
-6.29,0.97,3.79,-3.57,-1.09,-0.67
-5.72,-0.16,3.31,-3.09,-1.05,-0.29
-5.28,-0.32,3.82,-2.31,-0.87,-0.01
-6.52,-0.41,6.05,-1.10,-0.54,0.52
-5.52,-0.09,6.96,-0.18,0.28,1.44
-6.45,0.82,5.92,0.83,0.90,2.26
-6.76,2.42,5.57,1.58,1.09,2.48
-6.69,4.81,4.63,2.28,1.23,2.57
-7.52,8.07,2.05,2.67,0.97,2.31
-9.23,5.92,1.64,3.13,1.28,2.67
-9.68,5.23,2.09,3.62,1.30,2.87
-9.20,6.32,0.65,3.84,1.43,3.49
-8.76,7.93,-3.13,3.73,1.23,3.78
-7.85,8.99,-4.31,3.12,1.06,3.96
7.38,6.72,1.17,1.53,0.83,1.23
6.59,7.36,0.71,1.76,0.30,1.29
8.30,9.05,0.24,1.70,-0.16,1.54
10.01,9.92,0.33,1.53,-0.42,1.59
10.88,10.79,0.62,1.30,-0.52,1.39
11.54,10.67,2.13,1.13,-0.43,1.10
12.49,10.56,1.53,1.11,-0.01,0.70
10.66,9.85,1.88,1.04,0.14,0.62
9.74,9.37,1.50,1.14,-0.02,0.78
9.25,9.01,1.21,1.16,-0.28,1.07
10.11,9.76,1.72,1.11,-0.45,1.13
10.45,10.78,1.70,0.96,-0.51,0.97
10.58,10.58,2.11,0.67,-0.51,0.75
10.21,9.74,2.30,0.38,-0.35,0.66
8.53,8.90,3.29,0.29,-0.27,0.66
8.83,8.94,0.97,0.30,-0.20,0.71
7.06,8.81,0.41,0.14,-0.49,1.05
8.85,9.13,1.16,0.03,-0.37,1.04
9.09,10.18,0.50,-0.11,-0.22,0.86
9.09,10.81,0.13,-0.33,-0.10,0.60
8.33,9.87,0.36,-0.66,0.09,0.41
7.22,9.41,0.04,-0.97,0.11,0.44
6.49,8.71,-0.43,-1.22,-0.05,0.50
6.02,7.41,-0.27,-1.35,-0.37,0.57
