acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.72,1.5,-1.88,-0.55,0.4,-0.02
4.52,2.03,-1.62,-0.35,0.2,0.01
4.2,0.58,-1.89,0.34,0.0,0.13
4.72,1.08,-2.1,0.28,-0.04,0.15
4.7,1.78,-1.62,0.06,0.17,0.09
4.49,0.88,-1.65,0.13,-0.1,0.0
4.84,1.75,-2.25,0.16,-0.16,-0.05
4.79,1.7,-2.38,0.15,-0.06,-0.03
4.33,2.07,-1.97,0.0,0.13,0.01
4.46,1.34,-1.65,0.07,0.0,0.0
6.18,4.1,-5.71,-0.23,0.31,-0.39
5.14,4.65,-5.75,0.21,0.03,-0.17
6.3,3.74,-6.2,0.34,-0.19,-0.25
5.86,4.32,-5.88,-0.1,-0.37,0.04
6.88,4.3,-5.8,0.0,-0.4,0.1
7.02,4.64,-4.88,-0.12,-0.06,-0.08
5.32,4.05,-4.1,0.19,0.01,-0.08
6.07,4.09,-4.85,0.44,0.09,0.13
5.92,3.75,-4.41,-0.2,0.12,0.28
5.72,3.82,-4.34,-0.01,-0.15,0.11
4.83,2.23,-2.56,-0.7,0.37,0.39
4.75,2.1,-3.09,-0.25,0.02,0.38
5.08,3.11,-3.97,0.34,-0.19,0.31
5.03,2.68,-3.94,0.24,0.0,0.12
5.75,3.02,-3.77,0.35,-0.12,0.12
5.67,3.73,-3.54,0.08,-0.05,0.08
5.77,2.32,-3.32,-0.49,0.0,0.04
5.93,3.43,-3.18,-0.47,-0.04,-0.1
5.86,3.16,-3.56,-0.27,-0.07,-0.01
5.8,2.49,-3.89,0.0,-0.03,0.04
5.96,4.46,-5.53,0.56,0.23,0.6
6.66,3.82,-5.84,0.39,-0.02,0.31
6.48,3.57,-5.42,0.21,0.06,0.15
6.6,4.26,-5.29,0.05,0.0,0.01
6.33,3.26,-5.41,0.29,-0.05,0.25
6.62,3.53,-5.55,0.33,-0.01,0.47
7.7,2.36,-5.73,-0.14,-0.25,0.63
7.83,3.23,-4.58,-0.4,0.04,0.06
6.56,3.06,-4.55,-0.06,-0.32,0.11
7.13,2.67,-5.38,0.08,-0.24,0.04
6.76,3.92,-4.91,0.28,-0.11,0.27
6.47,2.71,-5.07,-0.14,0.07,0.17
6.48,2.56,-5.14,0.41,-0.05,0.15
6.85,3.04,-5.12,0.23,0.03,0.02
6.79,3.23,-5.2,0.04,0.0,0.0
6.84,3.23,-5.18,0.05,0.03,0.05
6.75,2.99,-5.21,-0.01,-0.03,-0.01
6.86,3.27,-4.69,-0.23,0.03,0.01
6.98,2.95,-4.92,-0.09,-0.15,-0.01
7.02,2.9,-5.59,-0.1,-0.09,0.0
6.58,3.59,-5.52,0.28,-0.14,0.17
6.65,2.22,-5.6,0.22,0.09,0.25
5.84,4.88,-4.51,-0.14,0.21,-0.02
6.12,4.22,-4.63,0.14,-0.17,0.04
6.39,3.62,-5.21,0.05,-0.19,0.06
6.37,3.61,-5.55,0.13,-0.2,0.03
6.7,3.63,-5.71,0.06,0.0,0.01
6.68,3.78,-5.4,0.06,-0.04,0.02
6.75,3.63,-5.36,0.04,-0.07,0.05
6.67,3.99,-5.28,-0.08,-0.09,0.05
3.71,-0.51,-0.86,2.23,-1.15,1.49
6.46,3.22,-4.06,2.64,-1.68,1.24
7.02,0.96,-4.0,2.07,-1.51,0.61
6.87,1.75,-5.14,1.18,-1.55,0.42
8.74,2.63,-5.47,1.79,-1.33,0.01
9.03,1.4,-4.47,0.47,-0.69,0.29
9.39,3.75,-5.59,-0.09,-0.29,-0.2
9.21,3.35,-5.25,-0.33,-0.06,-0.09
7.78,3.57,-5.84,-0.64,-0.05,0.08
7.43,3.38,-6.33,0.1,-0.09,0.06
9.05,2.39,-4.75,1.54,-1.37,-0.36
9.77,3.52,-5.44,1.19,-1.15,-0.23
9.49,5.17,-5.3,1.02,0.17,0.43
7.82,4.13,-5.13,-0.55,0.25,0.6
6.25,2.9,-5.61,-0.28,-0.03,0.41
6.26,3.53,-6.12,0.02,-0.22,0.27
6.83,3.68,-6.61,0.09,-0.16,0.08
7.25,3.64,-6.22,0.0,0.02,0.1
6.8,3.73,-6.02,-0.07,-0.09,0.09
6.75,3.28,-6.43,0.24,-0.31,-0.01
-0.78,0.16,-2.9,0.26,-0.1,0.87
-0.79,-1.58,-1.51,0.28,-0.66,1.36
-1.06,-2.49,0.03,2.01,-1.26,0.81
1.41,-0.54,-0.07,2.63,-1.61,0.94
2.93,-0.02,-0.4,1.99,-1.5,0.73
3.99,-0.17,-0.53,1.77,-1.27,0.88
4.45,0.26,-1.6,1.85,-1.88,0.45
6.29,2.39,-2.05,1.58,-2.03,-0.1
7.8,1.69,-1.79,1.26,-1.85,-0.19
9.81,4.29,-2.41,1.05,-1.51,0.14
0.89,-1.07,-0.78,1.34,-0.7,0.14
0.32,-1.49,-0.79,0.71,-0.36,0.53
0.0,0.83,-1.3,0.62,-1.09,0.88
0.99,-0.89,-1.38,0.76,-0.8,1.46
2.01,-2.67,-0.75,1.06,-0.86,0.84
2.97,-1.25,-1.52,2.39,-1.2,0.81
4.84,0.66,-1.46,1.8,-0.71,1.25
5.41,-1.85,-1.56,1.62,-0.7,0.57
4.83,-0.53,-0.89,0.78,-0.69,0.0
6.58,0.36,-1.14,1.67,-1.21,-0.29
-3.38,-1.45,1.29,1.25,-1.38,0.31
1.02,6.69,-3.33,-0.69,-3.29,-0.43
1.28,-4.25,-2.51,0.96,-2.35,0.82
4.41,-2.42,-2.8,0.96,-1.01,0.96
4.67,-1.67,-3.32,2.46,-1.28,0.81
4.6,-3.56,-1.77,1.44,-0.24,1.13
5.02,1.15,-2.79,1.18,-0.18,-0.07
5.95,-1.63,-0.86,0.61,0.33,-0.02
5.5,-0.69,-1.28,1.6,-0.6,-0.05
7.37,0.36,-2.18,1.65,-0.79,-0.61
5.77,1.2,-3.38,0.99,-0.22,0.64
5.74,1.9,-3.91,1.04,-1.12,0.11
5.85,2.22,-2.42,1.03,-0.7,0.03
7.75,1.02,-3.48,0.5,-1.24,-0.37
8.37,4.93,-3.1,1.14,-0.77,-0.77
10.3,3.42,-4.16,1.3,-0.51,-0.27
8.61,4.75,-4.36,0.34,0.1,0.32
7.69,4.33,-3.87,-0.45,0.44,0.65
5.95,3.33,-3.51,-0.75,0.2,0.82
6.12,2.25,-4.2,0.08,-0.36,0.53
7.42,0.55,-2.64,0.85,-0.7,-0.2
8.85,0.85,-2.52,1.17,-0.45,-0.12
8.39,1.05,-2.43,0.29,-0.4,-0.2
7.57,2.75,-4.03,2.59,-0.8,0.12
8.41,3.08,-6.05,0.89,-0.83,0.83
8.76,3.26,-7.07,0.6,-0.68,1.28
8.87,1.22,-6.85,0.34,0.2,1.0
7.99,1.44,-6.53,0.37,0.0,0.94
8.15,0.86,-6.7,0.89,-0.15,0.42
8.3,0.63,-6.65,0.96,0.06,0.12
5.29,-1.09,-0.67,2.67,-0.92,0.61
7.02,1.22,-2.48,1.25,-1.28,0.61
6.91,2.25,-3.21,0.81,-1.37,0.07
7.48,0.46,-4.65,0.29,-1.19,-0.02
7.28,1.32,-3.64,0.59,-0.74,-0.02
8.3,2.59,-4.58,0.3,-1.0,-0.22
8.94,2.54,-4.29,0.43,-0.59,0.1
8.19,2.71,-5.62,-0.32,-0.51,0.02
7.73,2.64,-6.26,0.01,-0.31,0.33
6.97,2.32,-5.94,-0.16,-0.06,0.39
9.6,28.24,-91.26,17.77,31.83,17.55
48.22,-158.19,45.78,0.34,23.68,26.16
-132.64,-41.92,44.55,24.04,24.21,-0.14
-129.06,-41.92,44.55,24.04,24.21,-0.12
-78.03,-157.36,-8.14,24.04,24.21,-0.12
48.22,-158.15,55.59,24.04,24.21,-0.18
-128.97,-41.92,44.55,24.04,27.21,-0.15
17.77,-0.61,-6.31,24.31,24.22,0.28
-157.72,-0.3,1.72,24.31,-21.0,-0.18
-153.58,-41.92,44.55,0.34,24.23,28.06
9.6,28.24,71.22,-16.52,-16.44,18.09
-78.03,-157.36,-8.14,0.44,-32.45,-0.12
-157.71,154.14,-85.38,26.49,26.66,-0.14
-110.73,-41.92,44.55,0.34,26.41,-32.68
-111.9,-41.92,44.55,0.34,26.68,-32.41
-78.03,-157.36,-8.14,26.77,26.94,-0.16
-41.26,-157.36,62.94,26.76,0.24,-0.12
-157.72,-0.3,-9.3,26.96,0.24,-0.14
-78.8,-41.92,44.56,26.77,-15.83,-0.18
-157.72,-0.24,44.55,27.04,-15.56,-0.18
9.6,28.24,-86.03,-16.51,-6.54,18.09
0.95,-1.46,44.55,0.45,11.95,-0.12
-78.03,-158.43,-8.14,0.45,25.85,-0.12
-116.8,-41.92,44.55,29.22,29.13,-22.05
-21.64,-157.36,4.1,29.22,29.13,0.28
-157.72,-0.3,4.17,29.22,29.13,-21.78
-90.97,-41.92,44.56,29.49,0.24,-0.12
-0.74,52.41,39.66,29.49,29.4,0.28
-89.83,-41.92,44.55,0.45,-29.72,-0.12
154.86,121.11,44.55,0.45,-15.28,0.14
9.6,28.24,-86.05,18.35,-21.96,18.09
0.92,-1.46,44.55,31.67,31.84,-0.14
136.47,0.98,44.55,31.94,-11.74,-0.12
0.1,1.52,-6.32,31.94,31.85,0.28
-70.22,-41.92,44.55,31.94,31.85,0.28
0.47,52.41,39.66,0.46,-27.0,0.14
-108.22,-41.92,44.55,31.94,31.85,0.28
-70.13,-41.92,44.55,0.46,0.78,0.14
154.93,52.41,39.66,32.21,32.38,-0.18
123.54,-41.92,44.55,32.21,32.12,0.28
9.6,28.24,71.52,18.31,-18.26,18.09
0.47,52.39,-86.59,34.39,34.56,-0.16
132.04,-41.92,44.55,0.47,-25.09,-0.12
1.63,17.05,-8.45,0.47,-10.92,-0.12
-0.16,141.95,44.55,34.67,34.58,0.28
-157.72,-0.24,44.55,34.67,34.84,-0.12
48.22,-158.29,18.81,34.67,34.58,0.28
15.11,17.05,-8.45,34.67,34.84,-0.16
48.22,-158.43,62.94,34.67,0.24,-0.12
-157.72,-0.24,44.55,-34.8,-34.63,-0.12
