acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.31,-2.59,0.07,0.05,-0.02,0.04
-0.31,-2.61,0.22,-0.07,0.0,0.02
-0.29,-2.83,0.1,-0.01,0.0,0.03
-0.28,-2.59,-0.03,0.08,-0.02,0.0
-0.34,-2.62,0.14,-0.04,0.01,0.01
-0.25,-2.71,-0.12,0.07,-0.01,0.0
-0.27,-2.51,0.04,-0.05,0.05,0.0
-0.27,-2.74,0.09,-0.01,0.02,-0.01
-0.23,-2.42,0.12,0.0,-0.01,-0.02
-0.32,-2.4,0.13,0.05,-0.01,-0.02
0.41,-3.4,0.08,0.0,-0.04,0.01
0.37,-3.68,-0.07,-0.01,0.02,0.03
0.37,-3.39,-0.09,0.01,-0.01,0.02
0.31,-3.48,-0.22,0.0,0.0,0.04
0.32,-3.48,-0.21,0.06,-0.03,0.07
0.23,-3.52,0.03,0.15,0.0,0.05
-0.16,-3.07,0.15,0.19,-0.11,0.19
0.13,-3.74,-0.6,0.66,-0.24,0.22
-0.68,-2.16,0.12,0.93,-0.32,0.55
0.26,-1.75,-0.27,0.75,-0.61,0.67
0.65,-2.89,-3.45,-0.2,-0.01,0.0
0.11,-3.97,-1.38,-0.54,0.37,0.2
-0.41,-5.6,0.77,-0.34,0.2,0.29
-0.05,-4.9,0.33,0.02,-0.11,0.19
0.15,-5.42,-0.02,0.0,-0.02,0.22
0.12,-5.29,-0.03,-0.06,0.13,0.06
0.06,-4.79,-0.12,0.22,-0.01,-0.03
0.02,-4.34,-0.43,0.21,-0.09,-0.06
0.32,-3.53,-0.19,0.16,0.0,0.0
0.29,-3.89,-0.01,0.06,0.04,-0.02
0.3,-3.84,-0.16,0.2,-0.02,0.1
0.4,-4.19,-0.25,0.0,-0.06,0.11
0.47,-4.11,-0.11,0.0,-0.02,0.07
0.47,-4.02,-0.21,0.0,-0.03,0.02
0.34,-3.92,-0.06,0.07,0.02,-0.02
0.32,-3.81,-0.13,0.0,-0.04,0.0
0.51,-3.94,-0.38,0.03,0.0,0.0
0.35,-3.61,-0.14,0.03,0.01,-0.02
0.3,-3.76,-0.45,0.06,-0.02,-0.01
0.32,-3.71,-0.17,0.0,0.06,0.0
-7.77,-1.34,2.61,0.63,0.65,-1.67
-1.05,-6.51,-3.55,-0.07,-0.85,0.25
-0.19,-5.81,-3.64,0.4,-0.04,-0.42
0.05,-4.17,-1.04,-0.04,-0.17,0.29
0.09,-5.4,-0.29,0.11,-0.23,0.21
0.5,-5.86,-0.75,-0.3,-0.18,0.15
0.78,-5.85,-1.91,0.27,-0.36,0.17
0.97,-6.31,-1.54,-0.06,-0.05,0.16
0.99,-5.79,-0.79,0.15,0.02,0.17
0.75,-6.33,-1.26,0.18,-0.01,-0.03
0.64,-4.39,-0.38,0.01,0.03,-0.08
0.77,-4.25,-0.33,0.07,0.03,0.0
0.5,-4.49,-0.51,-0.06,0.03,-0.03
0.67,-4.4,-0.13,0.05,0.02,0.01
0.59,-4.66,-0.69,0.0,0.01,-0.04
0.59,-4.09,-0.26,-0.01,0.04,0.01
0.46,-4.55,-0.3,-0.16,0.0,0.04
0.49,-4.8,-0.32,-0.21,0.01,0.04
