acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-18.81,-1.02,9.75,-3.59,4.38,-4.36
-9.78,-7.98,-2.01,-0.31,-1.79,1.98
-1.23,-4.07,-6.29,0.47,-1.73,0.93
0.66,-5.26,-3.46,-0.51,1.6,-0.53
-3.13,-1.4,1.66,-0.4,0.57,0.1
-0.92,-4.61,1.22,-0.06,-0.41,0.13
-1.08,-2.23,-0.21,0.28,-0.16,0.12
-0.64,-3.15,0.26,-0.27,0.16,-0.14
-1.04,-2.34,0.73,0.02,-0.09,-0.03
-0.36,-2.17,0.23,-0.14,-0.14,-0.28
-18.81,5.79,-7.14,-2.42,2.6,-4.36
-8.1,-3.68,-4.0,1.67,-0.19,1.89
-5.94,-3.74,-2.0,-1.04,-1.13,0.77
-0.94,-6.59,-1.81,0.22,1.07,0.03
-4.5,-3.0,2.76,-0.47,-0.18,0.06
-1.88,-5.39,0.15,0.44,-0.05,0.38
-1.77,-4.05,-0.04,-0.4,-0.21,-0.06
-1.38,-3.58,-0.25,0.15,-0.05,0.1
-1.46,-2.34,-0.32,0.16,-0.14,0.03
-1.35,-3.56,-0.57,-0.01,-0.17,-0.01
-18.81,1.81,5.26,-4.31,4.38,-4.36
-10.58,5.07,-2.72,1.35,0.16,0.22
-7.3,4.23,-0.43,2.33,-0.23,3.6
1.94,-9.37,-1.6,-2.35,0.05,-0.78
-3.29,-3.73,3.93,0.34,0.85,0.66
-2.19,-3.0,1.7,-0.42,-0.29,0.16
-1.57,-3.27,0.41,-0.07,0.09,0.26
-1.24,-3.18,0.55,-0.12,0.05,0.08
-0.88,-3.27,-0.2,-0.18,-0.07,0.0
-0.78,-2.18,-0.37,0.17,-0.09,0.08
-18.81,-4.04,4.81,-4.31,2.94,-4.36
-11.99,7.77,-0.62,2.46,-0.15,0.71
-4.44,-10.12,-4.27,-0.8,-0.89,0.98
-1.56,-4.66,-0.52,0.67,0.81,0.17
-3.27,-0.77,0.29,-0.32,-0.18,0.25
-2.12,-2.78,1.68,0.37,0.15,0.29
-1.29,-2.67,0.12,0.02,-0.16,0.02
-1.29,-1.9,0.19,0.0,-0.11,0.19
-0.82,-2.55,-0.2,0.07,-0.22,0.13
-1.05,-0.53,-0.24,0.14,-0.06,-0.05
