acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-20.43,-3.11,-6.12,-4.29,2.33,-0.59
-20.43,-13.87,10.23,0.76,1.38,-2.4
2.54,-0.11,-9.98,2.07,-1.82,0.24
-9.69,-9.92,1.91,4.43,0.29,0.13
-14.34,1.17,5.84,4.43,-2.45,2.16
-6.57,6.92,-3.86,4.43,-2.86,2.28
1.45,5.51,-2.87,3.9,-0.63,3.02
9.38,-1.28,-8.45,1.91,-1.94,1.81
14.78,-5.98,-7.39,0.72,-1.22,0.42
17.15,-2.83,-9.44,0.6,-2.06,-1.06
-20.43,-9.22,-2.85,-1.97,-1.66,-0.29
-20.43,-10.62,1.97,0.4,1.76,-1.68
-14.07,-4.4,-5.17,4.43,-0.82,-0.09
-13.94,-1.25,2.32,2.26,-1.21,1.24
-10.59,3.5,-0.37,4.29,-0.27,0.87
-2.57,0.82,-1.55,3.98,0.03,1.92
5.79,5.85,-4.07,3.35,0.12,1.6
12.69,4.72,-6.9,2.55,-0.75,0.87
12.58,3.39,-7.55,-0.3,-1.77,0.68
14.75,0.82,-4.09,-0.54,-1.62,-0.75
-20.43,-7.39,-6.12,-2.17,-1.38,-1.43
-20.38,-6.97,3.63,-1.67,1.25,-0.68
-10.39,-8.55,-6.44,2.65,-0.29,-1.27
-7.82,-5.54,2.0,3.35,-1.0,1.22
-10.48,-4.95,-2.15,4.43,-1.17,1.55
-5.48,2.57,-0.98,4.43,-0.19,1.93
1.06,5.05,-4.76,4.43,-0.04,1.52
6.42,3.95,-5.83,3.29,-0.78,1.46
10.68,5.99,-8.14,1.1,-1.77,0.96
12.19,3.79,-8.43,-1.35,-1.84,-0.51
-18.93,-9.14,-4.76,-2.34,-0.88,-0.81
-8.24,-12.6,3.69,-2.18,1.08,-1.22
-10.61,-9.13,-5.85,2.24,0.03,-0.77
-3.78,-8.85,-0.13,2.06,-0.77,0.81
-9.4,-6.74,-3.74,4.43,-0.63,1.01
-6.71,-0.71,0.96,4.43,0.02,1.62
1.04,5.46,-6.04,4.43,0.23,1.13
4.16,7.09,-6.25,4.32,-0.03,1.24
9.54,7.45,-8.15,0.82,-1.13,1.43
11.13,5.29,-7.1,-0.61,-1.32,0.03
-20.43,-9.01,-3.83,-3.68,-1.37,-1.08
-18.78,4.57,4.07,-4.29,0.43,-0.44
-15.59,-9.58,-7.48,2.98,-0.04,-1.55
-8.47,-4.23,0.46,3.51,-1.63,1.14
-12.47,-9.34,-2.81,4.43,-0.94,1.46
-1.89,5.3,-1.72,4.43,-0.62,2.05
3.01,3.84,-4.77,4.43,-0.42,1.3
10.28,5.97,-7.25,3.0,-0.77,1.5
14.55,5.38,-5.16,1.05,-1.22,0.37
13.22,5.14,-6.89,-0.17,-1.2,-0.4
-20.43,-7.26,-8.01,-2.94,-1.84,-0.52
-9.63,-3.29,5.75,-4.29,1.67,-1.93
-11.17,-8.18,-6.22,3.32,-0.68,-0.46
-7.41,-7.42,1.42,2.42,-1.31,0.73
-13.67,-7.36,-1.27,4.43,-1.35,1.38
-7.15,2.54,-0.58,4.43,-0.41,1.9
0.08,4.63,-3.57,4.03,-0.5,1.4
7.75,4.71,-4.08,3.5,0.11,1.42
10.09,5.28,-7.48,2.69,-0.64,0.72
10.95,4.12,-5.15,1.09,-0.43,0.14
-20.09,-7.83,-2.38,-3.28,-0.52,-1.14
-14.92,-8.1,-0.31,-2.83,0.53,-0.37
-7.24,-11.08,-6.25,1.77,-0.35,-0.87
-4.39,-7.87,0.42,1.95,-1.1,0.76
-9.07,-8.69,-2.4,4.43,-0.73,1.18
-6.3,1.98,0.1,4.43,-0.35,1.42
-0.98,3.53,-2.1,4.43,-0.1,1.18
5.41,6.52,-6.4,4.43,-0.46,1.08
7.27,5.37,-5.93,2.93,-0.82,1.35
12.02,7.61,-8.09,-0.02,-1.09,0.16
-20.43,-4.51,-2.97,-3.62,-1.38,-0.36
-14.15,-12.97,4.53,-2.08,2.27,-0.49
-10.38,-7.15,-4.58,1.26,-0.71,-0.93
-5.64,-4.51,-2.98,3.3,-1.27,0.17
-9.67,-2.84,-1.05,4.43,-0.5,0.99
-9.35,-1.61,-1.65,4.43,-0.32,1.54
-2.56,2.92,-2.91,4.43,0.15,1.19
0.6,3.16,-4.1,3.98,0.68,0.85
8.08,8.81,-6.74,2.12,-0.56,0.79
8.32,6.24,-3.49,1.93,-0.15,0.75
-17.92,-1.94,-3.43,-3.27,-0.88,0.05
-11.12,-6.24,0.93,-1.2,2.18,-0.58
-5.25,-9.98,-2.93,-0.74,1.18,-0.93
-5.18,-5.11,-2.42,1.46,-0.59,-0.01
-3.31,-8.19,0.17,2.89,-0.18,0.86
-7.81,-4.83,-0.95,4.43,-0.51,0.97
-5.64,2.58,-2.42,4.43,-0.75,1.14
-5.09,3.06,-1.61,4.43,0.43,1.26
2.24,8.64,-7.23,3.22,0.22,1.49
6.22,6.45,-3.81,0.6,0.09,1.17
-20.43,-1.64,-4.08,-3.28,-3.2,0.17
3.26,6.6,10.23,-3.15,1.88,0.59
-11.06,-9.85,-5.91,4.3,-0.96,-0.15
-6.72,-7.6,1.43,2.74,-1.5,1.46
-10.66,-3.94,-1.61,4.43,-1.49,1.53
-1.97,1.4,-3.05,4.43,-0.63,1.3
2.85,4.74,-3.64,4.43,0.26,0.94
5.6,4.78,-5.1,3.27,0.27,0.46
7.66,5.72,-6.41,1.01,-0.8,0.37
8.81,7.57,-3.29,0.19,-0.6,-0.28
-20.43,-2.71,-6.84,-34.8,-34.89,-9.63
-20.43,-21.15,-26.18,-4.29,-0.97,4.38
-3.77,-7.52,-2.12,2.41,-1.83,0.76
-11.04,-10.42,-0.67,4.43,-0.76,1.02
-8.34,1.49,-1.35,4.43,-0.64,1.49
-2.5,-2.23,-2.68,4.43,-0.15,1.8
3.55,5.92,-5.86,4.43,0.28,0.94
8.45,6.26,-6.94,2.65,-0.4,1.05
10.34,7.34,-5.36,0.65,-0.53,0.4
10.02,4.34,-7.17,0.39,-1.3,-0.22
