acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-7.3,-0.43,2.76,2.17,-2.06,2.07
1.16,-6.12,0.97,2.81,-2.91,0.94
7.13,-5.41,-2.15,4.43,-2.21,1.31
7.48,-6.09,-7.5,4.43,-3.61,0.25
12.21,-0.79,-9.38,2.98,-2.25,-0.47
13.48,-2.8,-10.62,2.42,-2.65,-0.59
12.82,1.44,-11.13,0.61,-1.79,-1.26
12.41,2.17,-9.82,-0.14,-0.71,-0.18
10.57,2.81,-9.65,-0.74,-0.18,0.54
8.45,2.62,-9.03,-0.38,-0.14,0.34
7.98,4.21,-9.43,-0.1,0.09,-0.04
7.96,4.24,-9.18,0.02,0.12,0.05
7.64,3.45,-9.21,0.02,0.05,-0.02
7.63,3.85,-9.27,-0.01,0.09,0.0
7.71,3.85,-9.38,0.08,0.03,-0.01
7.67,3.77,-9.17,0.09,0.05,0.07
7.73,3.6,-9.08,0.02,0.0,0.0
7.8,4.08,-9.14,0.0,-0.02,0.03
7.79,3.73,-9.34,0.01,0.04,0.08
7.77,3.7,-9.15,-0.06,0.1,0.03
8.02,3.45,-7.88,0.02,0.0,0.0
7.91,2.93,-7.84,-0.01,0.02,-0.01
7.86,3.43,-7.67,0.07,-0.01,-0.04
7.87,3.29,-7.87,-0.02,0.03,0.02
7.89,2.9,-7.84,-0.01,0.0,-0.04
7.7,3.47,-7.73,-0.02,-0.03,-0.05
7.97,3.4,-7.83,-0.02,0.0,-0.01
7.8,3.03,-7.73,-0.04,0.0,-0.02
7.96,3.1,-7.88,-0.03,0.0,-0.07
8.08,3.44,-7.77,-0.1,0.0,-0.05
8.35,4.48,-8.87,-0.44,0.14,0.35
6.69,3.12,-7.95,-0.48,-0.03,0.48
7.07,2.37,-8.56,-0.32,-0.23,0.16
7.62,3.25,-8.61,-0.46,-0.38,-0.08
8.06,3.41,-8.49,-0.45,-0.2,-0.06
8.25,2.18,-7.96,-0.45,-0.05,0.02
9.19,2.65,-8.13,-0.12,0.07,-0.29
8.82,3.31,-7.31,-0.25,0.28,-0.05
7.86,2.84,-7.24,-0.2,0.41,0.07
6.77,2.0,-7.26,0.07,0.07,0.04
7.54,3.35,-9.12,-0.13,0.13,-0.05
7.36,4.04,-8.78,-0.17,0.14,-0.02
7.71,3.82,-9.0,0.01,0.01,0.14
8.44,3.42,-9.18,-0.11,0.05,0.06
7.64,3.61,-8.57,-0.13,0.14,0.14
7.93,2.45,-8.84,-0.27,0.02,-0.05
8.17,3.77,-8.54,0.06,-0.05,-0.29
7.93,4.33,-9.01,0.1,0.0,-0.04
7.43,3.62,-8.75,-0.13,0.31,0.05
6.81,3.43,-8.52,-0.04,0.0,0.09
7.83,4.22,-9.6,0.08,0.2,0.1
8.27,3.89,-9.52,0.01,0.19,-0.09
7.64,3.28,-9.25,-0.01,0.05,0.08
7.95,3.17,-9.67,-0.2,0.02,-0.08
8.2,4.29,-10.04,-0.15,-0.11,-0.03
7.9,4.05,-10.06,-0.07,0.02,0.12
7.25,3.28,-9.49,-0.29,0.09,0.2
7.14,2.96,-9.5,-0.18,-0.08,0.0
7.75,3.55,-9.79,0.02,-0.21,-0.09
