acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-2.27,9.78,-5.57,0.26,0.69,0.27
-4.65,9.27,-6.4,0.64,-0.22,0.56
-3.74,9.31,-7.11,0.54,-0.3,0.0
-2.74,7.23,-6.56,0.13,-0.77,0.43
1.47,7.28,-8.12,0.29,-1.49,0.07
3.32,5.77,-8.31,0.77,-1.17,0.04
5.31,7.71,-9.24,0.75,-0.97,0.69
6.4,5.65,-9.83,0.34,-0.29,0.52
6.94,6.37,-9.71,0.5,0.06,0.39
6.8,5.49,-8.92,-0.02,0.88,0.57
-1.49,7.35,-6.89,0.26,-0.04,-0.13
-3.5,8.86,-7.01,0.1,-0.72,-0.13
-2.1,8.03,-6.93,0.46,-1.23,0.33
-0.11,7.77,-7.31,0.7,-0.82,0.85
1.17,7.27,-8.25,0.57,-0.68,1.0
3.44,6.39,-9.12,0.14,-0.44,0.95
5.43,5.4,-8.97,-0.14,0.05,0.6
7.59,4.52,-9.22,-0.04,0.18,0.67
8.02,4.25,-8.04,-0.09,0.25,0.73
8.24,4.21,-7.62,-0.02,0.42,0.27
0.67,8.36,-7.93,-0.12,0.0,1.45
4.16,4.74,-7.58,0.05,-0.31,0.98
6.42,3.36,-7.05,0.07,0.3,0.59
7.14,2.74,-7.78,0.15,0.25,0.19
6.75,3.65,-6.48,-0.21,0.19,0.02
6.54,3.15,-6.94,0.47,-0.26,-0.31
5.68,5.23,-7.5,-0.08,-0.46,-0.25
6.47,3.96,-8.34,-0.85,-0.62,-0.04
6.54,3.8,-7.39,-0.42,0.03,-0.04
7.01,6.09,-8.09,0.31,-0.04,-0.01
4.1,7.25,-6.91,0.22,0.33,0.04
3.21,7.88,-8.64,0.4,-0.15,-0.34
4.55,7.27,-6.38,-0.08,0.24,-0.07
2.63,7.79,-8.4,-0.14,0.34,0.12
1.83,7.75,-8.51,-0.25,-0.25,-0.03
2.05,6.88,-8.43,-0.09,-0.3,-0.05
1.6,7.36,-8.74,0.02,-0.16,-0.06
2.01,6.97,-8.22,0.09,-0.06,-0.12
1.49,7.74,-7.96,-0.02,0.01,-0.04
2.39,7.37,-7.27,0.04,0.03,0.15
4.31,8.92,-6.75,-0.43,0.5,-0.79
2.83,7.91,-8.83,-0.48,0.03,-0.33
2.59,8.01,-8.64,-0.19,-0.31,-0.35
2.38,7.76,-8.47,0.1,-0.05,-0.37
2.55,7.92,-8.23,-0.07,0.1,-0.05
2.57,7.72,-8.38,-0.06,0.05,0.0
2.77,7.83,-7.66,-0.14,0.21,-0.02
2.19,7.84,-7.72,-0.07,0.27,0.03
2.35,7.56,-7.58,-0.14,0.17,0.05
2.3,7.2,-7.59,-0.09,0.08,0.0
4.95,5.93,-8.11,0.02,-0.22,-0.59
6.71,9.26,-8.62,0.5,-0.15,-1.05
3.22,8.21,-7.76,0.06,0.59,-0.6
1.11,9.0,-9.07,-0.22,-0.01,0.25
2.42,6.89,-8.41,-0.56,-0.08,0.33
2.71,7.45,-8.24,0.05,0.05,-0.06
2.29,7.61,-8.75,0.18,-0.13,-0.2
4.05,7.0,-8.41,-0.2,0.07,0.02
4.18,7.31,-8.52,0.06,0.28,-0.17
3.65,7.94,-8.5,0.16,0.22,-0.34
2.63,5.56,-8.02,0.67,-0.26,0.67
4.79,6.28,-8.27,0.51,-0.19,0.62
4.46,5.03,-8.4,-0.4,-0.43,0.49
5.49,4.74,-7.67,-0.1,-0.67,0.43
6.58,3.92,-8.92,-0.5,-0.71,-0.01
6.22,4.25,-9.49,0.02,-0.78,-0.28
6.07,4.32,-9.26,-0.32,-0.33,-0.37
6.0,5.07,-8.8,-0.76,-0.05,0.15
6.11,6.21,-8.03,-0.81,-0.22,0.43
6.07,5.47,-7.8,0.15,-0.27,0.53
5.21,5.86,-9.15,0.16,-0.39,-0.13
5.23,4.96,-9.49,0.15,-0.64,-0.26
5.54,6.59,-8.98,-0.07,-0.38,-0.59
5.63,5.45,-8.52,-0.17,0.24,-0.43
4.28,5.75,-8.67,-0.15,0.25,-0.21
4.51,5.85,-8.64,-0.38,0.05,-0.33
4.6,6.3,-8.29,-0.08,-0.22,-0.68
4.4,7.23,-7.89,-0.27,-0.18,-0.7
3.8,6.71,-7.86,-0.47,-0.19,-0.47
3.78,7.42,-7.94,0.12,-0.22,-0.57
4.5,6.66,-8.22,0.0,0.0,-0.59
3.98,5.85,-8.02,0.15,0.1,-0.66
