acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-2.27,9.78,4.24,0.26,0.69,0.27
-4.65,9.27,3.41,0.64,-0.22,0.56
-3.74,9.31,2.7,0.54,-0.3,0.0
-2.74,7.23,3.250000000000001,0.13,-0.77,0.43
1.47,7.28,1.6900000000000013,0.29,-1.49,0.07
3.32,5.77,1.5,0.77,-1.17,0.04
5.31,7.71,0.5700000000000003,0.75,-0.97,0.69
6.4,5.65,-0.019999999999999574,0.34,-0.29,0.52
6.94,6.37,0.09999999999999964,0.5,0.06,0.39
6.8,5.49,0.8900000000000006,-0.02,0.88,0.57
-1.49,7.35,2.920000000000001,0.26,-0.04,-0.13
-3.5,8.86,2.8000000000000007,0.1,-0.72,-0.13
-2.1,8.03,2.880000000000001,0.46,-1.23,0.33
-0.11,7.77,2.500000000000001,0.7,-0.82,0.85
1.17,7.27,1.5600000000000005,0.57,-0.68,1.0
3.44,6.39,0.6900000000000013,0.14,-0.44,0.95
5.43,5.4,0.8399999999999999,-0.14,0.05,0.6
7.59,4.52,0.5899999999999999,-0.04,0.18,0.67
8.02,4.25,1.7700000000000014,-0.09,0.25,0.73
8.24,4.21,2.1900000000000004,-0.02,0.42,0.27
0.67,8.36,1.8800000000000008,-0.12,0.0,1.45
4.16,4.74,2.2300000000000004,0.05,-0.31,0.98
6.42,3.36,2.7600000000000007,0.07,0.3,0.59
7.14,2.74,2.0300000000000002,0.15,0.25,0.19
6.75,3.65,3.33,-0.21,0.19,0.02
6.54,3.15,2.87,0.47,-0.26,-0.31
5.68,5.23,2.3100000000000005,-0.08,-0.46,-0.25
6.47,3.96,1.4700000000000006,-0.85,-0.62,-0.04
6.54,3.8,2.420000000000001,-0.42,0.03,-0.04
7.01,6.09,1.7200000000000006,0.31,-0.04,-0.01
4.1,7.25,2.9000000000000004,0.22,0.33,0.04
3.21,7.88,1.17,0.4,-0.15,-0.34
4.55,7.27,3.4300000000000006,-0.08,0.24,-0.07
2.63,7.79,1.4100000000000001,-0.14,0.34,0.12
1.83,7.75,1.3000000000000007,-0.25,-0.25,-0.03
2.05,6.88,1.3800000000000008,-0.09,-0.3,-0.05
1.6,7.36,1.0700000000000003,0.02,-0.16,-0.06
2.01,6.97,1.5899999999999999,0.09,-0.06,-0.12
1.49,7.74,1.8500000000000005,-0.02,0.01,-0.04
2.39,7.37,2.540000000000001,0.04,0.03,0.15
4.31,8.92,3.0600000000000005,-0.43,0.5,-0.79
2.83,7.91,0.9800000000000004,-0.48,0.03,-0.33
2.59,8.01,1.17,-0.19,-0.31,-0.35
2.38,7.76,1.3399999999999999,0.1,-0.05,-0.37
2.55,7.92,1.58,-0.07,0.1,-0.05
2.57,7.72,1.4299999999999997,-0.06,0.05,0.0
2.77,7.83,2.1500000000000004,-0.14,0.21,-0.02
2.19,7.84,2.0900000000000007,-0.07,0.27,0.03
2.35,7.56,2.2300000000000004,-0.14,0.17,0.05
2.3,7.2,2.2200000000000006,-0.09,0.08,0.0
4.95,5.93,1.700000000000001,0.02,-0.22,-0.59
6.71,9.26,1.1900000000000013,0.5,-0.15,-1.05
3.22,8.21,2.0500000000000007,0.06,0.59,-0.6
1.11,9.0,0.7400000000000002,-0.22,-0.01,0.25
2.42,6.89,1.4000000000000004,-0.56,-0.08,0.33
2.71,7.45,1.5700000000000003,0.05,0.05,-0.06
2.29,7.61,1.0600000000000005,0.18,-0.13,-0.2
4.05,7.0,1.4000000000000004,-0.2,0.07,0.02
4.18,7.31,1.290000000000001,0.06,0.28,-0.17
3.65,7.94,1.3100000000000005,0.16,0.22,-0.34
2.63,5.56,1.790000000000001,0.67,-0.26,0.67
4.79,6.28,1.540000000000001,0.51,-0.19,0.62
4.46,5.03,1.4100000000000001,-0.4,-0.43,0.49
5.49,4.74,2.1400000000000006,-0.1,-0.67,0.43
6.58,3.92,0.8900000000000006,-0.5,-0.71,-0.01
6.22,4.25,0.3200000000000003,0.02,-0.78,-0.28
6.07,4.32,0.5500000000000007,-0.32,-0.33,-0.37
6.0,5.07,1.0099999999999998,-0.76,-0.05,0.15
6.11,6.21,1.7800000000000011,-0.81,-0.22,0.43
6.07,5.47,2.0100000000000007,0.15,-0.27,0.53
5.21,5.86,0.6600000000000001,0.16,-0.39,-0.13
5.23,4.96,0.3200000000000003,0.15,-0.64,-0.26
5.54,6.59,0.8300000000000001,-0.07,-0.38,-0.59
5.63,5.45,1.290000000000001,-0.17,0.24,-0.43
4.28,5.75,1.1400000000000006,-0.15,0.25,-0.21
4.51,5.85,1.17,-0.38,0.05,-0.33
4.6,6.3,1.5200000000000014,-0.08,-0.22,-0.68
4.4,7.23,1.9200000000000008,-0.27,-0.18,-0.7
3.8,6.71,1.9500000000000002,-0.47,-0.19,-0.47
3.78,7.42,1.87,0.12,-0.22,-0.57
4.5,6.66,1.5899999999999999,0.0,0.0,-0.59
3.98,5.85,1.790000000000001,0.15,0.1,-0.66
3.73,7.68,1.4400000000000013,-0.06,0.0,-0.47
3.22,7.19,2.1400000000000006,0.04,0.06,-0.93
4.13,7.48,2.7800000000000002,0.44,0.4,-0.61
2.57,8.33,1.83,-0.01,0.34,-0.43
2.47,9.47,2.2,0.3,0.09,-0.63
2.02,8.81,1.6300000000000008,0.08,0.11,-0.48
2.77,8.17,1.87,-0.04,0.16,-0.18
2.38,8.86,1.700000000000001,-0.13,0.18,-0.18
4.45,3.34,0.8000000000000007,0.54,0.0,0.11
3.74,3.3,1.0300000000000011,-0.07,0.33,0.55
4.5,5.88,2.62,0.02,0.74,0.47
6.62,7.55,2.3000000000000007,-0.28,0.32,0.18
6.35,6.39,2.95,-0.29,0.11,-0.1
5.45,6.33,2.6900000000000004,-0.22,-0.05,-0.38
5.27,5.85,2.9000000000000004,-0.01,-0.33,-0.42
4.93,7.57,2.7600000000000007,0.02,-0.35,-0.6
4.45,6.1,2.3900000000000006,0.43,-0.43,-0.68
4.86,7.62,2.49,0.06,-0.07,-0.43
-2.39,9.92,5.8500000000000005,0.36,0.47,-0.37
-1.02,10.65,4.460000000000001,0.79,-0.16,-0.26
-1.48,8.65,2.920000000000001,0.49,-0.03,-0.24
-1.06,9.29,2.5500000000000007,0.53,-0.2,0.24
-0.41,9.69,2.750000000000001,0.5,-0.39,0.7
0.31,7.97,2.5600000000000005,0.93,-0.17,1.33
2.84,9.18,2.0200000000000005,0.47,-0.15,1.29
