acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-1.09,8.57,-0.379999999999999,-0.26,-0.16,0.57
-0.61,8.67,0.3800000000000008,-0.1,-0.67,0.31
0.82,8.0,1.25,0.33,-0.35,-0.01
2.26,9.94,1.75,0.34,-0.25,-0.18
1.95,8.56,0.5600000000000005,0.41,-0.38,-0.34
2.06,7.74,0.040000000000000924,-0.16,0.1,-0.25
1.72,7.27,0.46000000000000085,-0.05,0.44,0.0
1.39,7.81,0.09999999999999964,-0.19,0.38,0.01
1.56,7.27,-0.25,0.16,0.21,-0.07
1.05,8.66,0.5500000000000007,0.07,0.57,-0.07
-5.06,6.36,1.5099999999999998,0.19,0.2,0.09
-4.54,7.54,1.3900000000000006,0.35,0.07,0.0
-4.61,7.56,1.5600000000000005,0.02,0.04,0.31
-4.59,6.74,1.1799999999999997,-0.41,0.15,0.31
-4.27,6.63,1.7400000000000002,-0.01,0.09,0.4
-4.77,7.03,1.0700000000000003,-0.07,0.08,0.23
-5.13,7.1,1.2800000000000011,0.39,0.0,0.38
-5.48,7.26,0.7599999999999998,0.61,0.06,0.59
-5.37,7.33,0.27000000000000135,0.29,0.2,0.58
-4.91,7.17,0.19000000000000128,-0.02,0.31,0.7
-6.49,5.69,2.16,-0.62,0.11,0.4
-6.28,6.42,1.75,0.84,-0.05,0.55
-6.22,7.27,1.0300000000000011,0.57,0.13,0.42
-5.57,7.43,0.75,-0.03,0.12,0.55
-6.02,6.37,1.540000000000001,-0.96,0.39,0.67
-4.75,8.5,1.5700000000000003,-0.32,0.01,0.66
-3.62,6.34,0.7200000000000006,-0.27,-0.05,0.66
-1.9,7.28,1.9500000000000002,-0.25,0.46,0.74
-2.57,7.08,1.9500000000000002,0.21,0.61,0.63
0.05,8.22,1.3800000000000008,0.57,0.53,0.56
-4.74,6.57,2.0100000000000007,0.21,0.26,-0.29
-5.29,7.58,1.5700000000000003,0.43,0.12,-0.28
-5.9,8.84,1.58,0.3,-0.1,0.02
-6.3,4.35,1.450000000000001,-0.67,-0.14,0.63
-6.58,4.83,2.6000000000000005,-0.94,-0.29,1.77
-4.21,4.61,1.5500000000000007,-0.49,0.15,0.93
-4.72,7.97,2.380000000000001,0.72,0.62,0.21
-4.99,11.13,0.46000000000000085,1.12,-0.02,-0.01
-5.0,8.22,-0.07000000000000028,0.29,0.09,0.57
-4.54,5.85,0.02000000000000135,-0.8,0.54,0.64
-4.99,5.89,0.7700000000000014,-0.35,0.67,-0.18
-5.6,6.28,1.17,-0.4,0.21,-0.09
-4.9,6.61,1.6300000000000008,-0.75,0.32,-0.15
-4.45,8.08,1.9600000000000009,0.5,0.04,0.31
-4.59,7.42,2.2200000000000006,0.03,0.09,0.19
-5.31,6.96,1.7400000000000002,-0.41,0.31,-0.16
-5.23,7.51,2.2200000000000006,-0.12,0.13,0.28
-6.26,5.77,1.2300000000000004,-0.04,0.17,0.23
-6.39,5.99,1.3100000000000005,0.13,0.15,0.11
-5.96,6.64,1.1100000000000012,-0.05,0.09,0.41
-5.19,4.52,1.0,0.71,0.46,0.32
-5.6,7.72,-0.07000000000000028,1.24,-0.19,0.38
-6.18,5.6,-0.9699999999999989,-0.13,0.69,-0.17
-4.23,10.69,0.9900000000000002,-1.66,1.14,-0.52
-4.92,7.41,1.2100000000000009,-0.14,0.36,0.53
-5.74,5.62,-0.41000000000000014,-0.34,-0.39,1.03
-4.09,8.64,2.24,-1.37,0.2,1.31
-2.15,4.92,0.870000000000001,-0.42,0.39,0.85
-2.51,7.43,0.9600000000000009,0.94,0.49,0.38
-1.85,8.09,-0.08999999999999986,0.25,0.67,0.23
-4.37,7.27,2.0900000000000007,0.52,0.22,0.26
-5.07,7.42,1.83,0.29,0.07,0.48
-5.83,7.24,1.5,-0.55,-0.04,0.53
-5.22,6.31,2.1800000000000006,0.3,-0.18,0.6
-4.8,5.95,1.2700000000000014,0.43,-0.02,0.74
-4.49,8.64,1.620000000000001,-0.37,0.02,0.66
-2.96,7.05,2.2200000000000006,-0.37,-0.18,0.69
-3.05,6.54,1.4000000000000004,-0.06,-0.21,0.43
-2.12,8.21,2.210000000000001,-0.17,0.05,0.25
0.6,7.68,0.9100000000000001,0.9,0.0,0.13
-4.8,7.13,1.5,0.26,0.44,0.15
-4.25,7.1,0.9900000000000002,0.35,0.64,0.44
