acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-6.49,5.39,3.6400000000000006,1.4,-0.17,-0.08
-3.04,10.12,1.450000000000001,0.11,-0.21,-0.03
-3.25,6.67,1.5600000000000005,0.37,-0.08,0.04
-2.29,7.46,1.2400000000000002,0.33,-0.27,-0.27
-2.29,7.79,1.1500000000000004,-0.45,-0.11,-0.21
-2.18,7.44,1.620000000000001,0.23,-0.09,-0.1
-2.15,8.13,2.000000000000001,0.33,-0.04,0.03
-2.63,7.84,1.4800000000000004,-0.35,-0.5,-0.16
-1.97,7.57,1.1100000000000012,0.4,-0.19,0.0
-0.83,7.3,1.8500000000000005,-0.73,0.23,0.12
-3.27,4.94,1.5099999999999998,0.9,-0.06,0.56
-1.17,8.25,0.5300000000000011,0.62,-0.1,0.31
-1.6,8.3,2.37,-0.53,0.35,-0.06
-1.19,8.91,2.6800000000000006,-0.37,-0.09,-0.09
-0.6,10.21,2.5700000000000003,-0.02,0.16,-0.19
-1.6,9.52,2.8200000000000003,-0.6,-0.04,0.16
0.79,7.53,2.5900000000000007,0.01,0.31,0.2
0.05,7.32,2.7700000000000005,0.23,0.0,0.25
-0.52,7.18,2.9400000000000004,0.18,0.48,0.13
-2.16,6.89,2.16,0.83,-0.43,0.43
0.16,7.95,1.6600000000000001,0.05,0.36,0.02
1.06,8.33,1.5300000000000011,-0.38,0.15,-0.17
0.42,8.29,2.4300000000000006,0.07,-0.01,0.13
1.57,8.25,1.4800000000000004,-0.26,-0.38,0.36
0.35,7.93,1.6799999999999997,-0.25,0.15,0.37
0.71,7.37,2.250000000000001,-0.06,0.01,0.3
1.4,7.06,1.3499999999999996,0.12,-0.2,0.19
1.31,7.76,1.8900000000000006,0.05,0.07,0.17
1.83,6.85,1.8000000000000007,-0.22,0.33,-0.03
1.15,7.55,2.170000000000001,0.03,-0.02,-0.09
-15.31,12.43,-4.289999999999999,-0.85,-1.87,0.84
-6.78,8.1,2.1000000000000005,-1.43,1.08,1.06
-7.75,7.0,3.380000000000001,1.26,-0.61,0.04
-1.94,10.12,1.1100000000000012,-0.54,-0.26,-0.64
-3.83,7.82,2.5700000000000003,0.34,0.28,-0.08
-3.26,8.07,2.7600000000000007,-0.69,0.04,-0.84
-3.06,9.8,2.8100000000000005,0.1,0.04,-0.43
-2.12,8.41,2.5300000000000002,0.22,-0.24,0.06
-2.0,6.72,2.08,-0.43,-0.04,0.1
-4.06,8.05,1.5500000000000007,-0.28,-0.27,-0.02
-0.94,6.53,3.0100000000000007,-0.5,0.22,0.22
0.1,6.8,2.1900000000000004,0.03,0.09,0.28
-1.88,6.65,4.380000000000001,0.04,0.6,-0.02
-0.02,6.93,4.19,0.4,0.31,-0.38
1.58,8.98,4.23,1.01,0.05,-0.26
1.14,9.48,4.180000000000001,0.82,0.11,-0.22
0.56,8.76,3.08,0.54,-0.08,0.0
0.52,7.47,2.040000000000001,-0.08,-0.16,0.04
1.78,8.0,1.33,-0.06,0.72,-0.22
-1.37,6.95,1.790000000000001,-0.08,0.39,0.0
0.24,6.91,3.91,0.34,0.07,0.17
-1.55,6.96,3.8600000000000003,0.45,0.04,0.16
-0.36,8.64,2.2300000000000004,-0.02,-0.29,0.2
-1.71,6.22,3.87,0.47,0.63,0.39
-1.49,8.58,2.6100000000000003,0.07,-0.45,0.2
-0.65,5.79,2.3600000000000003,0.72,0.02,0.56
-0.53,7.99,1.8800000000000008,-0.09,-0.22,0.49
-0.47,6.74,1.7300000000000004,1.13,0.21,0.42
0.59,8.13,1.8200000000000003,-0.03,-0.09,0.54
1.61,8.09,1.1500000000000004,0.92,-0.03,0.05
-13.79,16.69,-2.9799999999999986,-3.68,-1.95,-1.18
-4.47,1.88,0.5800000000000001,-1.1,1.57,1.78
-7.12,7.26,5.41,0.97,1.82,-0.41
-3.48,9.32,3.790000000000001,-0.19,-0.05,-0.31
-2.83,7.83,4.510000000000001,-0.18,0.7,-0.38
-3.93,7.8,4.45,-0.01,-0.14,-0.23
-2.91,7.42,3.08,0.41,-0.51,0.03
-2.87,7.12,2.4000000000000004,0.41,-0.31,-0.11
-2.6,8.19,2.0600000000000005,0.18,-0.16,-0.04
-2.15,6.36,2.420000000000001,0.33,0.2,0.35
-2.43,7.11,2.4400000000000004,-0.08,0.27,0.08
-3.03,7.58,2.2200000000000006,0.29,-0.07,-0.04
-2.98,8.07,2.170000000000001,-0.24,0.12,-0.04
-3.32,8.24,2.1900000000000004,-0.55,0.1,-0.03
-2.69,6.26,2.4800000000000004,-0.11,-0.1,0.25
-3.15,7.25,2.3000000000000007,-0.31,0.03,0.1
-1.91,6.54,1.7700000000000014,0.03,-0.12,0.29
-2.7,6.81,2.7700000000000005,0.34,0.09,0.49
-2.39,7.35,1.83,0.03,-0.2,0.25
-1.3,7.62,2.6800000000000006,0.11,0.05,0.42
-5.8,6.35,5.050000000000001,-0.12,1.0,0.12
-3.02,6.52,5.07,0.88,0.33,0.75
-2.04,7.89,3.880000000000001,-0.28,0.32,0.0
-3.19,6.73,4.8100000000000005,0.19,0.45,-0.21
-2.28,8.71,3.6000000000000005,1.1,-0.61,-0.44
-2.0,8.4,2.2800000000000002,0.69,-0.37,-0.24
-1.95,8.63,2.710000000000001,-0.47,0.02,-0.23
-2.52,7.61,3.1500000000000004,-0.26,0.01,-0.2
-3.41,7.04,3.1500000000000004,-0.21,-0.27,-0.06
-2.12,6.62,2.7800000000000002,0.16,-0.17,0.06
3.87,6.66,1.2800000000000011,-0.6,-0.7,-0.24
3.36,5.84,2.7300000000000004,-1.38,0.12,0.19
3.14,2.8,2.130000000000001,-0.64,0.14,-0.85
0.14,12.04,3.0200000000000005,0.02,-0.13,-1.77
2.07,10.66,1.67,0.99,0.29,-0.33
-0.36,9.31,2.3000000000000007,0.12,0.45,-0.13
0.53,8.28,2.2200000000000006,0.02,0.38,0.04
-0.31,8.98,2.6900000000000004,-0.29,0.35,0.06
0.58,7.64,2.3100000000000005,-0.29,0.14,0.04
0.44,7.75,2.7800000000000002,-0.22,0.25,-0.09
-2.58,7.33,2.0600000000000005,0.42,0.03,-0.01
-2.2,7.28,3.2700000000000005,-0.06,0.41,-0.04
-3.42,8.13,3.45,-0.27,0.06,-0.05
-2.5,7.79,2.2600000000000007,0.05,-0.23,0.15
-2.92,6.97,3.4800000000000004,-0.19,-0.02,0.18
-1.48,7.17,3.2,-0.13,-0.48,0.11
-2.65,7.23,3.49,-0.19,-0.72,0.44
-1.7,5.78,2.3100000000000005,0.09,-0.77,0.19
-1.8,7.05,2.7,0.27,0.25,-0.11
-2.29,7.4,2.7,0.1,0.27,-0.17
3.75,8.4,3.1800000000000006,0.64,-0.22,-0.46
0.85,7.72,1.8900000000000006,0.37,-0.44,-1.06
1.87,7.84,1.3200000000000003,0.92,-0.11,-1.01
1.42,10.22,0.4299999999999997,1.34,0.11,-0.53
1.92,10.34,1.3399999999999999,-0.03,0.71,-0.37
1.51,9.3,2.4800000000000004,-0.93,0.84,0.05
0.65,7.36,3.2600000000000007,-1.08,0.65,0.1
0.35,7.15,3.0500000000000007,-0.26,-0.09,-0.1
-0.14,7.99,2.0700000000000003,0.26,-0.32,0.06
-0.09,8.96,1.5,-0.08,-0.42,0.06
-2.75,6.86,1.8400000000000007,-0.19,-0.23,0.28
-2.43,6.83,2.45,0.64,0.33,0.02
-1.7,8.1,2.08,0.69,-0.28,0.38
-2.08,5.97,1.7700000000000014,-0.36,0.15,0.35
-1.78,6.42,1.9700000000000006,-0.53,0.08,-0.01
-0.51,5.65,2.000000000000001,0.25,-0.01,0.13
-1.14,8.5,2.8500000000000005,-0.33,0.41,-0.04
-0.51,8.37,3.0700000000000003,0.16,0.16,0.4
-1.07,8.35,2.5600000000000005,0.38,-0.22,0.22
1.26,8.69,3.130000000000001,0.42,0.11,0.55
-3.8,7.11,1.9500000000000002,0.24,-0.27,-0.03
-3.69,7.25,2.24,0.24,-0.51,-0.15
-4.09,8.73,1.4900000000000002,0.15,-0.64,0.2
-2.41,6.09,0.9299999999999997,0.28,-0.26,0.38
-4.12,7.14,1.5099999999999998,-0.45,0.64,0.0
-4.02,7.1,2.0200000000000005,-0.56,0.5,0.05
-3.05,5.6,1.2200000000000006,-0.07,0.22,0.67
-2.67,5.21,1.9900000000000002,-0.24,0.36,0.26
-2.31,8.28,1.9100000000000001,0.06,-0.16,0.12
-0.51,9.05,1.5500000000000007,0.48,0.53,0.17
-2.09,8.13,2.95,0.0,-0.06,-0.02
-1.3,6.25,2.4700000000000006,0.08,0.18,0.11
-2.16,7.54,4.07,0.01,0.12,-0.33
-1.75,8.41,3.6500000000000004,0.0,-0.14,-0.11
-2.06,7.91,2.9700000000000006,-0.08,-0.07,0.04
-2.23,7.42,2.1100000000000003,0.18,-0.08,0.16
-2.57,8.1,2.0100000000000007,0.22,-0.05,0.14
-2.53,6.2,2.0700000000000003,0.17,-0.15,0.36
-2.67,6.03,2.880000000000001,0.51,0.27,0.11
-2.62,7.81,2.8400000000000007,0.17,0.09,-0.05
1.53,8.76,3.7,0.74,0.29,-0.06
0.89,8.28,3.87,-0.55,0.23,0.0
-0.1,7.05,2.8200000000000003,0.5,-0.32,0.43
0.08,7.19,2.91,0.05,0.73,0.08
-0.83,8.53,2.9700000000000006,-0.32,0.63,0.66
0.13,7.99,3.8600000000000003,-1.28,-0.03,0.46
-0.57,6.05,3.3500000000000005,-1.24,-0.44,0.46
2.19,5.98,3.4400000000000004,-0.2,0.1,0.33
1.21,5.52,3.3400000000000007,0.16,-0.43,0.52
3.13,5.46,2.83,0.44,0.37,-0.18
-3.5,7.11,3.380000000000001,0.18,-0.21,0.17
-3.05,7.08,2.960000000000001,0.19,0.02,0.22
-2.94,5.83,3.250000000000001,0.18,-0.12,0.27
-3.82,7.87,3.4400000000000004,-0.21,0.0,-0.19
-3.77,5.7,3.290000000000001,1.06,-0.53,0.31
-3.56,6.74,3.420000000000001,0.67,-0.23,-0.27
-3.18,7.86,2.6400000000000006,0.09,-0.25,0.06
-2.98,7.46,2.3400000000000007,-0.02,-0.05,0.23
-2.38,7.35,3.41,-0.47,0.22,0.09
-2.87,7.94,3.8100000000000005,-0.03,-0.25,0.09
-0.42,7.88,3.0700000000000003,1.07,-0.08,0.62
1.67,4.08,2.99,1.09,0.51,0.24
1.53,9.32,1.5099999999999998,0.76,-0.11,0.2
0.33,8.22,1.5500000000000007,1.0,0.43,-0.18
1.51,8.73,1.620000000000001,-0.16,0.18,-0.28
0.22,9.38,1.9200000000000008,0.0,0.34,-0.47
1.63,7.93,0.9100000000000001,-0.29,-0.05,-0.64
0.33,9.71,0.7900000000000009,-0.25,0.22,-0.52
0.66,8.14,1.1600000000000001,-1.01,0.31,-0.11
-0.63,7.87,1.42,-0.37,0.03,-0.15
-1.17,7.29,2.3400000000000007,0.63,-0.08,0.87
-0.75,6.25,3.12,0.54,0.22,0.4
0.56,8.04,2.4700000000000006,0.22,0.07,0.37
0.6,6.92,2.500000000000001,1.29,-0.06,0.3
