acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
6.81,4.27,1.5200000000000014,0.67,-0.36,-0.04
5.99,5.41,1.790000000000001,0.37,-0.09,0.12
5.23,4.9,1.4600000000000009,-0.22,0.13,0.3
6.24,4.31,1.4700000000000006,0.25,0.27,0.18
4.94,4.81,1.7400000000000002,-0.23,0.29,0.03
6.41,5.34,2.4400000000000004,-0.26,0.54,-0.26
5.91,5.28,2.0500000000000007,0.53,0.12,-0.32
5.99,6.27,1.67,-0.06,0.1,-0.19
6.71,7.13,2.3400000000000007,-0.37,0.39,-0.16
5.34,6.27,2.2300000000000004,-0.03,0.09,-0.25
1.91,6.2,5.260000000000001,1.09,0.0,1.35
7.03,6.07,3.7200000000000006,-0.2,-0.58,2.16
6.73,2.87,3.3200000000000003,0.59,0.06,1.18
6.8,3.59,2.7600000000000007,0.83,-0.44,0.51
6.8,2.63,2.460000000000001,1.35,-0.22,0.42
6.63,2.35,2.6100000000000003,0.05,-0.15,0.59
7.29,1.87,2.08,0.19,0.13,0.03
6.01,0.87,2.4300000000000006,0.16,0.04,-0.34
6.36,1.25,1.1500000000000004,0.47,-0.36,-0.02
6.8,1.78,1.3000000000000007,0.62,-0.03,-0.07
2.86,10.84,5.53,0.6,-0.43,1.29
0.91,7.94,4.300000000000001,1.08,0.34,0.78
2.47,8.24,4.920000000000001,0.79,0.15,1.24
3.66,6.63,3.5900000000000007,0.94,0.1,1.14
5.37,3.49,2.83,0.74,-0.08,0.95
7.26,2.74,3.1100000000000003,0.63,-0.07,0.59
6.54,2.34,1.5500000000000007,0.9,-0.09,0.12
7.55,2.06,2.9800000000000004,0.83,0.31,0.3
6.35,3.0,2.6800000000000006,0.48,0.21,0.23
6.75,3.81,1.8200000000000003,0.82,-0.12,-0.07
5.28,7.15,1.6100000000000012,0.01,-0.2,-0.2
5.03,6.95,1.4400000000000013,-0.09,-0.08,-0.06
4.7,6.86,1.4600000000000009,-0.09,-0.07,-0.01
4.54,6.62,1.3600000000000012,-0.14,-0.05,0.03
4.48,6.66,1.5099999999999998,0.03,-0.04,-0.03
4.36,6.68,1.4400000000000013,-0.01,-0.02,0.01
4.51,6.58,1.450000000000001,-0.02,-0.04,-0.02
4.5,6.69,1.3000000000000007,0.03,0.0,-0.01
4.62,6.66,1.5,-0.07,0.0,-0.01
4.52,6.92,1.5500000000000007,0.06,-0.01,-0.03
6.21,4.14,2.8100000000000005,0.35,-0.25,0.66
4.26,1.13,3.9700000000000006,0.3,0.43,0.54
4.75,3.98,3.0700000000000003,0.32,-0.02,0.59
4.57,1.71,4.260000000000001,0.44,0.41,0.77
4.22,3.43,3.49,0.76,-0.01,0.56
5.76,1.68,2.8600000000000003,1.65,0.11,0.0
6.14,4.41,1.9000000000000004,1.24,-0.47,0.24
7.54,4.11,2.290000000000001,0.51,0.09,0.12
6.99,5.6,1.450000000000001,1.16,0.38,0.33
7.13,4.63,2.0300000000000002,-0.76,0.6,-0.23
4.47,5.29,2.1000000000000005,0.39,-0.37,1.41
7.16,3.79,2.87,-0.53,-0.13,1.1
7.22,2.26,2.16,0.58,-0.16,0.87
7.27,1.83,2.58,0.24,-0.07,0.84
6.48,1.84,2.6800000000000006,0.71,0.08,0.56
5.8,2.82,3.2700000000000005,0.81,0.17,0.28
5.89,2.56,2.420000000000001,0.98,0.24,0.26
4.92,2.21,2.8000000000000007,0.57,0.4,0.24
5.89,2.46,2.5600000000000005,0.82,0.22,0.29
5.61,2.2,2.0500000000000007,0.89,0.12,0.01
-0.05,9.66,3.6000000000000005,0.34,0.15,0.41
0.17,10.39,3.7300000000000004,0.29,-0.03,0.77
0.28,7.42,3.540000000000001,0.48,0.3,0.83
0.99,7.72,3.66,0.28,0.31,0.95
2.82,6.16,2.0300000000000002,0.81,0.04,0.93
3.43,5.57,2.7,0.65,0.31,0.76
4.72,6.11,1.8200000000000003,0.71,0.03,0.71
6.08,4.52,1.1500000000000004,0.77,0.18,0.95
6.35,3.87,1.9200000000000008,0.84,0.35,0.68
6.15,3.7,1.700000000000001,1.1,0.31,0.36
