acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.37,8.58,4.500000000000001,0.17,0.19,0.31
-1.71,6.09,2.8100000000000005,0.5,0.11,0.29
-0.45,8.08,4.95,0.01,0.52,-0.01
2.07,6.38,2.3500000000000005,0.64,-0.04,0.13
3.24,6.79,4.45,-0.09,0.61,-0.48
4.73,7.78,3.1500000000000004,0.46,0.14,-0.06
4.01,6.39,3.920000000000001,-0.14,0.48,-0.22
4.14,7.47,3.7300000000000004,0.32,-0.01,0.06
3.34,6.08,3.8900000000000006,-0.13,0.15,-0.11
4.03,7.5,4.4,0.15,0.07,0.0
-1.23,8.34,5.5200000000000005,-0.1,0.19,-0.3
-2.0,9.96,5.540000000000001,-0.09,-0.32,0.08
-1.32,8.28,4.8500000000000005,0.07,-0.29,0.14
-1.89,8.28,4.53,0.1,-0.24,0.11
-1.81,8.05,4.91,0.18,-0.17,0.3
-1.32,7.39,3.3500000000000005,0.88,-0.35,0.52
-2.96,7.08,3.880000000000001,-0.35,0.25,0.3
-0.63,8.32,3.630000000000001,0.79,-0.39,0.87
-1.38,6.33,3.0900000000000007,0.08,0.4,0.58
1.95,6.58,3.58,-0.1,0.16,0.51
-0.71,7.61,5.73,-0.28,0.11,-0.12
-1.5,8.93,6.33,-0.09,-0.19,0.01
-0.72,7.68,4.930000000000001,0.17,-0.43,0.13
-1.46,7.8,4.82,0.2,0.04,0.09
-1.32,6.84,5.000000000000001,-0.03,0.08,0.07
-1.19,6.33,4.050000000000001,0.74,-0.18,0.32
-1.93,7.8,4.74,0.33,-0.03,0.14
-0.48,7.4,3.74,0.79,-0.05,0.39
-2.62,7.86,4.2,-0.37,0.41,0.25
0.06,8.74,4.4,0.53,0.06,0.72
-1.6,2.92,2.0900000000000007,-3.04,1.35,0.56
-3.44,7.23,9.190000000000001,-0.03,0.51,-0.48
-0.44,8.51,5.800000000000001,0.54,-0.64,-0.35
-1.6,9.26,6.130000000000001,0.46,-0.04,-0.4
-1.1,9.3,5.340000000000001,-0.32,-0.39,-0.09
-1.04,7.68,4.3100000000000005,0.38,-0.38,-0.09
-1.17,8.97,4.28,-0.08,-0.21,0.0
-1.22,7.47,4.62,0.0,0.02,0.02
-1.91,7.3,4.1000000000000005,0.28,-0.17,0.31
-3.12,7.6,3.91,0.12,-0.07,0.42
3.83,6.7,3.62,0.22,0.36,-0.08
3.5,7.25,3.750000000000001,-0.02,0.26,-0.11
3.56,6.76,3.9300000000000006,-0.06,0.15,0.0
3.79,6.67,3.5500000000000007,-0.07,-0.06,-0.16
3.89,6.9,3.41,0.49,-0.07,-0.15
3.61,7.63,3.2,0.0,0.0,-0.01
3.44,6.66,3.130000000000001,-0.14,-0.07,0.08
3.32,6.92,3.210000000000001,-0.14,-0.09,0.03
3.04,6.75,3.0300000000000002,0.09,-0.13,-0.01
2.96,7.16,2.9700000000000006,0.0,-0.03,-0.02
-1.11,6.43,4.290000000000001,0.55,-0.17,0.0
-1.18,7.6,5.170000000000001,0.0,0.17,-0.03
-2.25,7.11,4.86,0.53,-0.02,0.16
-2.07,8.8,5.470000000000001,0.33,0.22,0.12
-1.41,6.43,3.8400000000000007,0.93,0.0,0.62
-3.92,8.24,4.460000000000001,0.06,0.55,0.43
-0.98,7.37,3.5100000000000007,0.85,0.27,0.58
-2.14,6.77,3.49,0.45,0.52,0.29
1.94,6.34,3.040000000000001,0.59,0.27,0.15
4.31,6.97,3.710000000000001,0.04,0.63,-0.56
-9.62,4.16,4.58,-1.75,1.77,-0.11
-2.45,7.79,7.290000000000001,0.21,-0.42,-0.1
0.64,9.23,4.86,-0.19,0.1,-0.56
-2.36,7.43,4.640000000000001,-0.04,0.33,-0.05
-1.16,8.01,4.220000000000001,-0.5,-0.03,-0.19
-2.03,7.16,3.3600000000000003,0.39,-0.38,0.07
-2.5,7.96,3.3000000000000007,0.06,-0.05,0.2
-1.59,8.88,3.9800000000000004,0.11,-0.02,0.65
-2.32,6.63,2.5900000000000007,0.81,0.01,0.62
-1.83,8.79,3.6100000000000003,0.91,0.13,0.77
3.69,6.75,2.8100000000000005,0.09,-0.17,0.02
3.17,7.06,2.5300000000000002,0.01,-0.06,-0.11
2.91,7.09,2.7700000000000005,-0.03,0.0,0.0
2.86,7.01,2.880000000000001,-0.07,0.0,-0.04
2.61,7.41,3.0200000000000005,0.06,0.07,-0.02
2.74,7.37,3.0700000000000003,-0.03,0.12,0.0
2.65,7.21,3.170000000000001,0.0,0.24,0.01
2.52,7.35,3.420000000000001,-0.06,0.16,0.08
2.31,7.19,3.4800000000000004,0.01,0.1,0.08
2.34,7.3,3.4800000000000004,0.01,0.07,0.12
-12.14,18.07,-3.539999999999999,1.92,-1.58,-4.34
0.48,11.35,8.82,-0.86,-0.23,3.2
-5.44,4.61,3.7300000000000004,-2.56,1.67,0.08
-0.61,4.46,6.050000000000001,0.89,-0.25,-0.63
