acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.41,2.33,0.8499999999999996,-0.2,-2.22,0.29
8.9,9.7,0.6699999999999999,1.78,-1.23,-0.76
10.13,5.09,3.0900000000000007,-0.6,0.18,0.79
7.96,2.43,-0.019999999999999574,0.67,-0.26,-0.47
10.82,1.89,0.2400000000000002,-0.07,0.28,0.0
5.82,5.48,2.24,0.97,0.13,-0.4
9.6,2.66,1.1900000000000013,-0.33,0.3,0.65
3.59,6.55,1.4900000000000002,0.07,0.12,-0.53
6.78,4.84,2.58,-0.56,-0.15,0.06
3.42,7.28,2.2,0.54,-0.22,-0.57
8.07,5.14,1.58,0.12,0.21,-0.17
11.19,5.39,1.450000000000001,0.36,0.51,-0.23
6.08,7.03,2.6100000000000003,0.32,0.46,-0.97
6.46,4.17,2.08,-0.28,0.11,-0.23
7.0,4.28,0.5700000000000003,-0.54,-0.35,0.02
6.25,6.15,2.1100000000000003,0.09,-0.21,-0.6
6.73,4.86,1.3200000000000003,-0.01,-0.34,-0.09
6.21,5.87,1.7100000000000009,0.12,-0.13,-0.25
6.49,5.15,1.0999999999999996,-0.19,-0.29,0.12
6.46,5.27,1.2400000000000002,0.0,-0.1,-0.03
5.91,7.0,2.7600000000000007,0.62,-0.3,-0.44
4.68,5.75,2.4400000000000004,-0.32,-0.49,-0.14
4.73,7.23,1.9600000000000009,-0.02,-0.47,-0.16
5.94,5.63,1.790000000000001,0.11,-0.27,-0.14
4.53,8.4,2.0600000000000005,0.5,-0.41,-0.27
6.36,6.02,0.8600000000000012,1.1,-0.24,-0.24
4.77,7.94,0.9600000000000009,0.59,0.17,-0.28
5.66,5.93,1.7800000000000011,0.98,0.37,0.08
4.46,6.68,0.5999999999999996,0.74,0.1,-0.02
5.29,5.93,0.6100000000000012,0.91,0.31,0.05
5.39,6.5,1.5200000000000014,0.08,-0.28,-0.14
6.13,4.1,0.7900000000000009,0.19,-0.26,0.15
5.48,4.65,0.11000000000000121,-0.32,-0.24,0.11
6.0,4.98,0.7700000000000014,0.21,0.06,-0.18
5.36,6.42,1.4600000000000009,0.1,-0.14,-0.36
6.68,6.26,0.6600000000000001,0.06,-0.05,-0.1
5.67,6.57,0.5099999999999998,0.03,0.03,-0.04
5.88,5.63,0.8800000000000008,0.06,0.14,0.06
5.54,5.86,0.7700000000000014,-0.02,0.16,-0.02
5.15,6.34,1.1300000000000008,0.11,0.15,-0.09
5.34,8.94,1.9200000000000008,0.7,-0.02,-0.94
4.07,8.94,2.0600000000000005,-0.15,0.04,-0.06
2.72,7.62,1.540000000000001,-0.87,0.31,0.61
2.83,7.04,1.9800000000000004,-0.33,-0.26,0.43
1.91,7.73,2.7200000000000006,0.13,-0.53,-0.06
3.05,6.27,2.0600000000000005,0.06,-0.72,0.4
2.94,6.53,2.3000000000000007,-0.04,-0.15,0.15
3.09,6.98,1.3499999999999996,-0.3,-0.46,0.13
3.82,7.62,1.9700000000000006,0.01,-0.03,-0.2
2.63,7.57,1.6300000000000008,-0.07,-0.14,-0.08
8.12,5.58,1.3399999999999999,0.36,-0.11,-0.41
7.91,6.66,2.41,0.58,0.5,-0.29
6.93,5.32,1.7400000000000002,-0.19,0.23,-0.1
8.06,6.04,2.8400000000000007,0.59,0.42,-0.17
6.61,5.97,3.2700000000000005,-0.31,0.84,-0.28
4.46,7.49,2.790000000000001,0.28,0.39,-0.15
4.53,6.46,1.7400000000000002,-0.22,0.13,0.17
3.8,8.68,2.0900000000000007,0.07,0.1,-0.11
3.46,7.41,1.9300000000000006,0.24,-0.01,0.07
3.17,6.47,2.000000000000001,0.05,0.11,0.38
3.27,3.54,2.0100000000000007,0.4,-0.3,1.49
6.23,3.27,1.040000000000001,-0.03,-0.08,0.72
5.05,4.06,0.9900000000000002,0.16,-0.19,-0.06
9.04,4.45,1.1100000000000012,0.41,-0.23,0.2
8.2,4.73,-0.16000000000000014,0.06,-0.69,-0.26
8.15,3.44,0.13000000000000078,-0.06,-0.3,-0.34
10.69,4.05,1.3600000000000012,0.43,0.2,-0.22
7.03,4.75,1.1799999999999997,-0.56,0.27,0.16
7.03,5.58,0.5200000000000014,0.7,0.04,-0.6
6.33,2.61,1.5700000000000003,0.34,0.12,-0.2
5.01,7.89,3.83,-0.38,-0.02,-0.43
4.1,8.52,3.3600000000000003,0.24,0.21,-0.39
3.69,6.74,2.7,-0.07,-0.08,0.23
3.88,7.7,2.2200000000000006,0.11,0.06,-0.02
2.88,6.64,2.2300000000000004,0.08,-0.08,-0.01
3.03,7.71,2.2200000000000006,-0.12,-0.25,0.09
3.35,7.34,2.3200000000000003,0.11,-0.18,-0.07
2.77,7.57,1.8200000000000003,0.46,0.01,-0.08
2.49,8.39,1.8800000000000008,0.09,0.07,0.1
2.78,7.77,1.9100000000000001,0.13,-0.14,0.18
6.05,3.92,1.370000000000001,-0.87,-0.64,-0.55
7.06,4.76,4.6000000000000005,0.06,-0.52,-0.97
5.22,3.09,2.6400000000000006,0.07,-0.62,-1.47
4.04,5.91,3.2800000000000002,0.71,-0.47,-1.66
4.98,4.96,3.8000000000000007,0.86,-0.36,-1.3
5.19,8.76,4.2,-0.56,0.22,-0.16
4.13,6.02,3.1500000000000004,-0.11,0.44,-0.82
3.06,8.01,2.2200000000000006,0.11,0.0,-0.93
2.76,7.6,3.1500000000000004,0.63,-0.19,-0.48
3.72,7.41,1.8200000000000003,0.09,-0.39,-0.28
3.47,6.81,1.540000000000001,-0.05,0.01,0.07
3.51,7.46,1.8600000000000003,0.04,-0.12,0.0
4.01,6.69,1.3399999999999999,-0.16,0.02,0.19
3.73,6.96,1.7200000000000006,0.0,0.11,-0.01
4.14,6.79,1.5500000000000007,0.05,-0.09,0.0
3.9,7.19,1.5700000000000003,-0.05,0.03,-0.02
3.89,6.87,1.620000000000001,0.02,-0.05,0.01
3.63,7.19,1.6900000000000013,-0.07,-0.05,0.03
3.88,6.6,1.5300000000000011,0.01,0.02,-0.09
3.71,6.99,1.450000000000001,-0.04,0.01,-0.02
7.1,7.55,3.5500000000000007,-0.22,-0.23,-0.27
6.12,7.84,2.9800000000000004,0.24,-0.41,0.17
4.15,5.97,2.0300000000000002,0.25,-0.2,0.03
4.69,6.76,1.4000000000000004,0.35,-0.12,0.15
4.14,6.65,1.5700000000000003,0.27,-0.2,0.27
4.55,6.83,1.6900000000000013,0.18,-0.16,0.18
4.64,5.54,1.3600000000000012,-0.01,-0.01,0.41
4.68,5.98,1.2599999999999998,0.24,-0.19,0.01
5.47,6.18,0.6900000000000013,0.28,0.01,-0.19
