acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.28,6.21,4.180000000000001,-0.51,-0.19,0.08
3.5,6.55,4.41,0.17,-0.17,0.04
3.05,7.39,4.790000000000001,-0.14,-0.13,-0.03
1.62,7.08,4.11,-0.08,-0.13,0.12
1.41,6.68,3.74,-0.14,-0.2,0.34
1.66,6.78,3.91,0.07,-0.15,0.2
1.29,7.44,4.140000000000001,-0.08,-0.21,0.14
1.49,6.71,4.1000000000000005,0.05,-0.17,0.11
1.46,6.66,4.090000000000001,0.06,-0.09,0.05
1.88,6.83,4.380000000000001,0.02,0.05,0.0
5.47,5.87,1.1300000000000008,-0.93,-0.68,-0.73
6.08,5.72,2.45,0.2,-0.07,-1.01
9.76,5.83,2.460000000000001,-0.26,0.03,-0.87
7.96,8.11,2.9800000000000004,-0.89,0.1,-0.75
5.9,6.64,3.24,0.52,0.31,-0.55
5.48,5.94,3.0100000000000007,0.0,0.29,-0.33
5.05,6.34,2.7800000000000002,-0.65,0.15,-0.01
4.97,5.11,3.3500000000000005,-0.34,0.0,0.06
4.81,5.23,3.0700000000000003,-0.2,-0.15,0.1
4.32,6.35,3.91,0.0,-0.02,-0.07
6.83,6.86,1.7800000000000011,-0.91,-0.4,-0.54
4.98,6.03,4.36,0.4,-0.05,-0.81
5.3,6.96,2.3100000000000005,0.21,0.05,-0.92
5.29,6.98,2.540000000000001,0.01,-0.1,-0.61
5.4,6.8,3.0100000000000007,-0.36,0.17,-0.35
4.91,6.96,2.4800000000000004,-0.13,0.06,0.17
3.87,6.13,3.5900000000000007,-0.37,0.21,0.37
3.11,7.53,3.6900000000000004,-0.63,0.17,0.51
2.47,5.87,4.08,-0.13,-0.18,0.23
2.58,7.23,3.8400000000000007,-0.07,-0.09,0.29
6.76,6.54,4.07,0.08,0.01,-0.41
4.76,7.32,1.7200000000000006,-0.35,-0.35,-0.85
6.43,6.39,2.8600000000000003,0.17,0.11,-0.44
5.71,7.55,2.3600000000000003,-0.55,0.11,-0.55
3.73,6.84,2.960000000000001,0.11,0.31,-0.28
4.17,8.31,2.49,-0.04,0.09,0.1
3.78,7.0,3.3900000000000006,-0.28,0.26,0.17
2.68,6.9,2.8900000000000006,-0.13,0.14,0.29
3.1,6.74,3.250000000000001,-0.17,-0.19,0.36
2.87,6.22,3.4800000000000004,0.14,-0.14,0.16
7.23,5.94,1.5300000000000011,0.04,-0.37,-0.38
5.69,7.15,1.7800000000000011,-0.07,-0.46,-0.56
5.64,6.39,2.87,0.28,0.11,-0.44
4.68,6.98,2.1500000000000004,-0.05,0.26,-0.52
4.22,6.51,2.3400000000000007,0.14,0.38,-0.21
3.86,6.58,2.16,-0.45,0.1,0.02
3.83,6.48,2.420000000000001,-0.2,0.0,0.2
3.41,7.65,3.210000000000001,0.04,-0.06,0.0
2.61,7.5,3.460000000000001,0.01,-0.17,0.07
2.34,7.26,3.2600000000000007,-0.05,-0.07,0.1
5.2,6.56,1.790000000000001,-0.35,0.25,0.28
4.6,6.07,2.2700000000000005,-0.61,0.02,0.58
4.44,6.8,3.5200000000000005,-0.35,0.08,0.5
