acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.51,8.23,1.2800000000000011,-0.03,0.06,0.01
-0.51,8.2,1.1400000000000006,-0.02,0.02,0.02
-0.93,8.4,1.17,0.01,-0.04,0.04
-0.44,7.71,0.8600000000000012,-0.02,0.04,0.04
-0.82,8.13,1.08,0.02,0.0,0.0
-0.82,8.43,1.08,-0.09,0.07,-0.07
-0.71,8.22,1.1900000000000013,0.01,0.12,0.06
-1.03,7.57,1.290000000000001,-0.11,0.06,0.03
-1.07,7.77,1.2800000000000011,0.01,0.0,0.03
-1.0,8.07,1.2200000000000006,0.0,0.06,-0.04
-1.59,7.07,4.33,-1.03,0.67,0.0
3.77,6.9,1.4700000000000006,0.93,-0.19,0.25
1.13,8.31,3.460000000000001,0.8,0.0,-0.23
4.93,7.53,1.7700000000000014,0.21,0.45,-0.15
0.96,8.58,-0.3200000000000003,-0.37,-0.36,-0.04
0.3,6.94,3.0200000000000005,0.02,0.92,-0.44
3.09,9.47,-0.4900000000000002,-0.36,0.06,0.4
1.04,7.36,2.4800000000000004,-0.11,0.28,-0.23
3.05,8.09,1.290000000000001,0.21,0.24,-0.32
1.18,8.61,1.1400000000000006,0.46,-0.27,-0.24
-3.48,8.35,0.5300000000000011,0.09,0.39,0.2
-5.8,6.34,2.960000000000001,-0.05,0.02,0.29
-4.82,10.95,0.17999999999999972,1.09,0.17,0.55
-5.83,9.52,3.5100000000000007,-0.4,0.57,1.08
-3.54,4.47,2.0600000000000005,0.53,0.07,0.34
-3.47,7.23,3.1000000000000005,0.62,1.96,0.24
-3.0,7.11,1.9600000000000009,-0.37,-0.28,-0.05
1.09,6.41,1.1400000000000006,1.88,-0.34,-0.59
0.26,9.47,1.3000000000000007,0.77,-0.3,-0.81
2.03,7.97,0.4900000000000002,0.03,-0.48,-0.09
-3.48,9.47,2.2700000000000005,-0.27,0.02,0.62
-2.88,6.26,3.040000000000001,0.08,-0.02,0.01
-2.42,8.55,2.790000000000001,0.52,-0.2,0.63
-2.28,6.86,2.6500000000000004,-0.04,-0.05,0.36
-2.41,8.76,3.750000000000001,-0.79,0.28,0.27
-1.65,6.86,2.7700000000000005,0.64,0.0,0.4
-3.46,6.95,5.3100000000000005,0.24,0.37,-0.04
1.18,7.58,2.1500000000000004,-0.03,-0.12,-0.2
-1.68,7.95,3.750000000000001,0.94,-0.42,-0.04
1.82,7.18,2.83,0.03,0.45,-0.6
0.59,8.07,1.7100000000000009,0.06,0.05,-0.12
0.86,8.24,1.4600000000000009,0.15,0.07,-0.24
0.3,8.86,1.2800000000000011,0.1,-0.09,0.0
-0.17,8.03,1.5999999999999996,-0.08,-0.06,0.08
0.13,8.35,0.5400000000000009,-0.05,-0.15,0.24
0.01,7.25,0.7200000000000006,-0.01,-0.21,0.08
0.75,7.76,0.6600000000000001,0.19,-0.1,-0.06
0.28,8.28,1.1900000000000013,0.01,-0.14,-0.01
0.45,8.09,0.8600000000000012,-0.01,-0.12,-0.02
0.08,8.27,0.9800000000000004,-0.1,-0.22,0.09
-4.13,8.05,2.5300000000000002,0.68,-0.09,0.26
-0.54,6.29,1.0899999999999999,0.2,0.47,0.34
-0.06,8.25,0.33999999999999986,1.07,-0.04,-0.2
-2.03,10.14,1.1600000000000001,0.71,0.07,-0.07
2.36,9.8,0.47000000000000064,-1.28,1.01,0.37
-0.82,8.66,1.4100000000000001,-0.34,-0.19,0.45
-2.35,8.15,1.75,-0.01,0.33,0.45
3.23,9.56,1.7300000000000004,-0.8,0.9,0.53
0.14,9.61,0.21000000000000085,0.35,-0.48,0.13
1.31,7.79,3.2200000000000006,-0.87,1.13,0.36
-1.44,9.08,2.1800000000000006,-0.65,0.03,0.01
-3.35,7.93,3.0500000000000007,0.39,-0.05,0.0
-1.82,7.36,3.45,0.0,0.55,-0.05
-2.31,7.53,2.6500000000000004,0.72,0.17,0.07
-0.78,7.39,3.49,0.14,0.45,-0.05
-1.18,7.56,2.16,-0.04,-0.04,0.29
-2.69,6.82,2.3000000000000007,0.2,-0.1,0.16
-0.4,6.53,1.8200000000000003,0.37,0.06,0.28
-0.68,6.74,1.6900000000000013,0.36,-0.07,-0.09
2.27,7.89,0.9000000000000004,0.39,0.21,-0.06
-2.7,7.18,1.0300000000000011,-0.15,-0.28,0.0
-2.83,6.18,2.1400000000000006,0.08,0.14,-0.15
-1.78,8.4,1.5500000000000007,0.38,-0.35,0.01
-2.31,7.95,1.8000000000000007,-0.25,-0.07,-0.14
-1.85,7.93,1.3800000000000008,0.22,-0.34,0.14
-2.44,7.67,1.2200000000000006,0.4,0.18,-0.11
-2.38,9.23,1.5600000000000005,-0.25,0.03,0.32
-1.67,7.31,0.6699999999999999,0.18,0.01,0.3
-2.37,7.89,1.3100000000000005,-0.26,0.36,0.3
-1.49,7.3,1.7800000000000011,0.24,0.14,0.18
-6.71,5.82,2.6500000000000004,1.8,-0.89,1.27
-3.45,10.93,1.3499999999999996,-0.81,-0.5,0.22
-4.23,7.86,1.2800000000000011,-0.17,0.51,0.13
